
[00:00:00.000 --> 00:00:01.200]   - Amen. - Amen.
[00:00:01.200 --> 00:00:02.040]   - Thank you.
[00:00:02.040 --> 00:00:03.200]   - Isn't he amazing?
[00:00:03.200 --> 00:00:05.080]   (audience applauding)
[00:00:05.080 --> 00:00:05.980]   Thank you, Leslie.
[00:00:05.980 --> 00:00:10.120]   How's everyone doing?
[00:00:10.120 --> 00:00:11.400]   Weather's finally changing.
[00:00:11.400 --> 00:00:12.920]   Are you enjoying it so far?
[00:00:12.920 --> 00:00:16.080]   I love the weather this week.
[00:00:16.080 --> 00:00:18.400]   That I have to put on something extra to tell you
[00:00:18.400 --> 00:00:20.280]   I'm really enjoying it.
[00:00:20.280 --> 00:00:24.480]   So on Wednesday night, I remember after Alpha,
[00:00:24.480 --> 00:00:26.500]   I was leaving the building on my way to the bus stop
[00:00:26.500 --> 00:00:29.920]   and I was like, "Oh, that's awesome!"
[00:00:29.920 --> 00:00:31.560]   I missed it!
[00:00:31.560 --> 00:00:33.300]   To a point that when I reached the bus stop,
[00:00:33.300 --> 00:00:35.300]   I actually have to take out my phone,
[00:00:35.300 --> 00:00:37.660]   took a picture, put it on Instagram immediately,
[00:00:37.660 --> 00:00:40.240]   on stories and say, "I love the weather."
[00:00:40.240 --> 00:00:44.020]   I hope you're enjoying it because we don't get this a lot.
[00:00:44.020 --> 00:00:49.480]   Weather has been pretty hot, humid, terrible
[00:00:49.480 --> 00:00:54.360]   in the last couple of weeks, years, months, I don't know.
[00:00:54.360 --> 00:00:56.640]   And I was actually Googling, not Googling,
[00:00:56.640 --> 00:00:59.800]   I first saw this on IG a couple days ago.
[00:00:59.800 --> 00:01:03.840]   It says that this mid-autumn, two weeks ago,
[00:01:03.840 --> 00:01:07.440]   it was the hottest mid-autumn ever
[00:01:07.440 --> 00:01:08.680]   in the history of Hong Kong.
[00:01:08.680 --> 00:01:12.960]   So I really, I saw it on the news, I didn't make this up.
[00:01:12.960 --> 00:01:14.880]   Hong Kong sees hottest mid-autumn festival
[00:01:14.880 --> 00:01:18.440]   since records began in 1884.
[00:01:18.440 --> 00:01:23.100]   And I actually continued to do a little bit of digging
[00:01:23.100 --> 00:01:26.120]   and mainly I was searching Chinese news,
[00:01:26.120 --> 00:01:27.480]   which I don't have it here,
[00:01:27.480 --> 00:01:30.240]   but I'll show it to the Chinese congregation.
[00:01:30.240 --> 00:01:34.160]   I found out that last year, 2023,
[00:01:34.160 --> 00:01:39.160]   it was also a record-breaking hottest autumn last year.
[00:01:39.160 --> 00:01:43.280]   And then I continued to dig and realized in 2019,
[00:01:43.280 --> 00:01:47.760]   it was then also the record-breaking highest temperature,
[00:01:47.760 --> 00:01:49.240]   hottest autumn ever.
[00:01:49.240 --> 00:01:54.040]   So we had three record breakers in the last five years
[00:01:54.040 --> 00:01:55.920]   when it comes to how hot it's been.
[00:01:55.920 --> 00:01:57.400]   Isn't it crazy?
[00:01:57.400 --> 00:02:01.360]   So I know, I know that, I know there's a debate out there
[00:02:01.360 --> 00:02:03.360]   whether global warming is fake news or not,
[00:02:03.360 --> 00:02:05.240]   I really know that.
[00:02:05.240 --> 00:02:07.760]   But like whenever I go out,
[00:02:07.760 --> 00:02:11.080]   whenever I sit in a house without turning on the air con,
[00:02:11.080 --> 00:02:14.120]   I know, like I'm so convinced that global warming,
[00:02:14.120 --> 00:02:15.240]   it's quite real.
[00:02:15.240 --> 00:02:17.800]   That heat is just unbearable.
[00:02:17.800 --> 00:02:20.680]   The thing about global warming is this,
[00:02:20.680 --> 00:02:23.360]   I grew up in a church here in Hong Kong.
[00:02:23.360 --> 00:02:27.360]   For 99% of the church meetings or services I've been to,
[00:02:27.360 --> 00:02:31.440]   whenever the topic global warming was brought up,
[00:02:31.440 --> 00:02:36.280]   99%, the implication was always the same.
[00:02:36.280 --> 00:02:40.440]   Jesus is coming back, it's the end times, the end is near.
[00:02:40.440 --> 00:02:43.800]   Come on guys, repent and go and preach the gospel.
