
[00:00:00.000 --> 00:00:07.500]  我們接下來會有講座環節,請Pastor Ivan上台
[00:00:07.500 --> 00:00:12.500]  要自己搬鋪架,新教會是這樣的
[00:00:12.500 --> 00:00:16.500]  我們已經一整年了,全都要自己做
[00:00:16.500 --> 00:00:19.500]  新體力病的教會,新教會
[00:00:19.500 --> 00:00:23.500]  我們一起伸出手為Ivan祈禱
[00:00:23.500 --> 00:00:30.500]  主佑我們為Ivan感謝你,因為你呼召他成為你的僕人,宣講你的道
[00:00:30.500 --> 00:00:36.500]  為著你今天準備了在他的心裏宣講的每一句說話
[00:00:36.500 --> 00:00:40.500]  我們去禱告,求你親自去祝福
[00:00:40.500 --> 00:00:49.500]  願意你在他準備的所有東西裏,將你的說話告訴我們
[00:00:49.500 --> 00:00:55.500]  讓我們心裏聽到你的聲音,我們可以去回應,去禱告馮主名球,阿門
[00:00:55.500 --> 00:00:58.500]  Thank you Enon,給Enon掌聲
[00:00:58.500 --> 00:01:05.500]  也thank you你的家人,因為幫忙一起服務,很早就回來了
[00:01:05.500 --> 00:01:11.500]  可能已經在休息,在餵奶,在這裏,很可愛的BB
[00:01:11.500 --> 00:01:17.500]  我們和錦一玲穿的衣服差不多,我有祈禱的就穿衣服
[00:01:17.500 --> 00:01:23.500]  Mitchel立即笑,誰知原來是為了你,我們可以和錦一玲一隊
[00:01:23.500 --> 00:01:27.500]  好,剛才說了一年
[00:01:27.500 --> 00:01:33.500]  上年10月1日,我們在這裏有我們的開幕主日
[00:01:33.500 --> 00:01:38.500]  第一次正式在這裏有元朗普魯藤教會的崇拜
[00:01:38.500 --> 00:01:45.500]  在當日我們在這裏分享了教會直堂的意象和呼召
[00:01:45.500 --> 00:01:53.500]  其中我們分享了直堂的DNA,這些是Divine Church一直以來的DNA
[00:01:53.500 --> 00:01:58.500]  不只是元朗,是灣仔一直以來的DNA
[00:01:58.500 --> 00:02:04.500]  這些DNA是我們直堂的基因,是我們需要持續在基督裏面
[00:02:04.500 --> 00:02:10.500]  不斷去倚靠它,倚靠上帝,不斷在當中去成長的一部份
[00:02:10.500 --> 00:02:18.500]  其中一個DNA代表著我們教會,也是基督教會不可或缺的一部份
[00:02:18.500 --> 00:02:22.500]  這就是我們今天要說的公義和憐憫
[00:02:22.500 --> 00:02:27.500]  我今天有些特別的東西準備了,差點忘記了
[00:02:27.500 --> 00:02:30.500]  沒有人幫我按,浪費也要自己按
[00:02:30.500 --> 00:02:42.500]  因為是要開的嗎?是呀,要按,好緊張呀
[00:02:42.500 --> 00:02:45.500]  呀,對呀,不好意思,不要嚇到大家
[00:02:45.500 --> 00:02:47.500]  因為我們這次是第一次用,為甚麼呢?
[00:02:47.500 --> 00:02:50.500]  其實不是因為沒有侍應,我們有很多義工幫忙
[00:02:50.500 --> 00:02:53.500]  當然如果你們有興趣去支持製作團隊
[00:02:53.500 --> 00:02:58.500]  歡迎去找Chadman,Justin,誰都可以
[00:02:58.500 --> 00:03:04.500]  因為我為了今天的講道,精心炮製了40個slide給大家
[00:03:04.500 --> 00:03:08.500]  大家準備好了嗎?
[00:03:08.500 --> 00:03:12.500]  你們鼓掌鼓得太早了
[00:03:12.500 --> 00:03:17.500]  OK,希望留下一點掌聲,待會交給上帝
[00:03:17.500 --> 00:03:24.500]  公義和憐憫,Devine Church有兩位我們叫Founding Pastor
[00:03:24.500 --> 00:03:27.500]  John's Logo,大家應該有見過
[00:03:27.500 --> 00:03:31.500]  他偶爾也會來跟我們講道,有分享
[00:03:31.500 --> 00:03:35.500]  在英文崇拜,中文崇拜也曾經講過,我們有翻譯
[00:03:35.500 --> 00:03:36.500]  他接下來也會繼續來
[00:03:36.500 --> 00:03:41.500]  Tony,Tony Whit,是另一位我們的Founding Pastor
[00:03:41.500 --> 00:03:45.500]  年紀也大了,他來過一次,因為他說很遠
[00:03:45.500 --> 00:03:49.500]  不過他也很想來我們這裡,看看孫子
[00:03:49.500 --> 00:03:51.500]  教會好像兒子一樣,這裡好像他的孫子一樣
[00:03:51.500 --> 00:03:56.500]  Tony是一個很熱心,公義議題的一位牧者
[00:03:56.500 --> 00:03:59.500]  每次我跟他坐在一起,基本上工作人員會見面
[00:03:59.500 --> 00:04:02.500]  我也是坐在他旁邊,因為我要捉住他
[00:04:02.500 --> 00:04:06.500]  每次我跟他坐在一起,我會視為一個機會
[00:04:06.500 --> 00:04:09.500]  去了解什麼是公義
[00:04:09.500 --> 00:04:15.500]  我記得有一次我問他,我怎樣可以明白公義是什麼
[00:04:15.500 --> 00:04:19.500]  他跟我分享了他自己一次的經歷
[00:04:19.500 --> 00:04:24.500]  有一天他照常在家裡,回教會工作
[00:04:24.500 --> 00:04:27.500]  在教會的路上,他問同樣的問題
[00:04:27.500 --> 00:04:33.500]  他問神,我怎樣可以明白公義多一點
[00:04:33.500 --> 00:04:35.500]  方向錯了,我知道有反光
[00:04:35.500 --> 00:04:38.500]  (笑)
[00:04:38.500 --> 00:04:45.500]  在這裡,他怎樣可以明白公義更加多呢
[00:04:45.500 --> 00:04:51.500]  他在祈禱問神的時候,他看到街邊有個乞丐
[00:04:51.500 --> 00:04:56.500]  神挑戰他,叫他給錢那個乞丐
[00:04:56.500 --> 00:05:02.500]  而且不是一次,是要每天這樣給錢那個乞丐
[00:05:02.500 --> 00:05:05.500]  他接受神這個挑戰,他聽神的話
[00:05:05.500 --> 00:05:09.500]  他就每天,一天復一天這樣給錢那個乞丐
[00:05:09.500 --> 00:05:12.500]  一個月之後,他說他更加明白到
[00:05:12.500 --> 00:05:18.500]  什麼是上帝眼中,神眼中的公義和憐憫
[00:05:18.500 --> 00:05:22.500]  我嘗試代入他的角色,不是那個乞丐
[00:05:22.500 --> 00:05:24.500]  我嘗試代入Tony的角色
[00:05:24.500 --> 00:05:28.500]  我可能會懷疑那個乞丐其實背後有一個集團操控
[00:05:28.500 --> 00:05:32.500]  我不會想給錢他,也不會給他
[00:05:32.500 --> 00:05:36.500]  但Tony的分享,他提醒了我一件事
[00:05:36.500 --> 00:05:41.500]  我永遠不會知道那個乞丐為什麼做乞丐
[00:05:41.500 --> 00:05:44.500]  我永遠可能不知道那個人發生過什麼事
[00:05:44.500 --> 00:05:49.500]  而他需要在這裡,無論是自己乞丐也好,被操控也好
[00:05:49.500 --> 00:05:55.500]  沒有人會想睡在街上成為一個乞食的乞丐,是嗎
[00:05:55.500 --> 00:05:58.500]  Tony提醒了我一件事
[00:05:58.500 --> 00:06:01.500]  當我們說公義的時候
[00:06:01.500 --> 00:06:05.500]  我們首先是要代入別人的處境裡面
[00:06:05.500 --> 00:06:09.500]  他也提醒了我另一件事
[00:06:09.500 --> 00:06:16.500]  公義,有沒有,是上帝憐憫人的回應
[00:06:16.500 --> 00:06:18.500]  公義是上帝憐憫人的回應
[00:06:18.500 --> 00:06:24.500]  對我們來說,可能有時候我們不是完全能夠明白
[00:06:24.500 --> 00:06:26.500]  你可能也不是很肯定的時候
[00:06:26.500 --> 00:06:31.500]  你需要憑著信去作的回應
[00:06:31.500 --> 00:06:37.500]  藉著憐憫,我們會更加能夠去明白什麼是公義
[00:06:37.500 --> 00:06:40.500]  公義是直根在我們裡面
[00:06:40.500 --> 00:06:43.500]  藉著上帝的呼召和帶領
[00:06:43.500 --> 00:06:48.500]  讓我們能夠在這個世界上去彰顯出來的生命價值
[00:06:48.500 --> 00:06:53.500]  公義是上帝創造人,創造世界,創造教會的時候
[00:06:53.500 --> 00:06:57.500]  其實已經賦予這個世界應該有的東西
[00:06:57.500 --> 00:07:00.500]  但是很諷刺的是
[00:07:00.500 --> 00:07:04.500]  這個神創造的世界裡面
[00:07:04.500 --> 00:07:06.500]  公義好像往往很含糊
[00:07:06.500 --> 00:07:11.500]  公義好像很多時候我們很難去搞清楚是一個什麼概念
[00:07:11.500 --> 00:07:13.500]  就算是我們作為基督徒
[00:07:13.500 --> 00:07:19.500]  可能我們自己也不是很肯定公義背後的真正意義是什麼
[00:07:19.500 --> 00:07:21.500]  但不過你留意,與此同時
[00:07:21.500 --> 00:07:24.500]  我們看到在世界各地,在每一個社會裡面
[00:07:24.500 --> 00:07:27.500]  都總有人,有一班人
[00:07:27.500 --> 00:07:32.500]  他們大聲地喊著要爭取公義
[00:07:32.500 --> 00:07:34.500]  他們去放棄他們自己的自由
[00:07:34.500 --> 00:07:38.500]  他們犧牲了自己的生命,甚至乎他們家人的生命
[00:07:38.500 --> 00:07:42.500]  都是為了公義,這兩個字
[00:07:42.500 --> 00:07:46.500]  我們強調公義是我們教會的DNA
[00:07:46.500 --> 00:07:48.500]  是我們需要擁抱的生命價值
[00:07:48.500 --> 00:07:50.500]  是我們作為敬拜上帝的教會
[00:07:50.500 --> 00:07:53.500]  我們上一集說到敬拜
[00:07:53.500 --> 00:07:57.500]  我們作為敬拜上帝的教會是必須要呈現出來的東西
[00:07:57.500 --> 00:08:02.500]  但我們必須首先搞清楚什麼是公義
[00:08:02.500 --> 00:08:05.500]  當我們懷著基督徒的身分
[00:08:05.500 --> 00:08:07.500]  我們說我們要行公義
[00:08:07.500 --> 00:08:09.500]  像我們敬拜上帝所說的
[00:08:09.500 --> 00:08:13.500]  我們必須首先懷著謙卑的心
[00:08:13.500 --> 00:08:16.500]  了解什麼是神眼中的公義
[00:08:16.500 --> 00:08:20.500]  因為這樣我們才能夠同樣地
[00:08:20.500 --> 00:08:23.500]  懷著謙卑的心,與神同行
[00:08:23.500 --> 00:08:27.500]  所以從這個星期開始,我們一連五個星期
[00:08:27.500 --> 00:08:33.500]  我們會有我們公義的神的講道系列
[00:08:33.500 --> 00:08:35.500]  第一個星期,就是這個星期
[00:08:35.500 --> 00:08:38.500]  我們會從聖經的Narrative
[00:08:38.500 --> 00:08:42.500]  即是聖經敘事,去看看什麼是聖經當中的公義
[00:08:42.500 --> 00:08:45.500]  下個星期我們會有我們的BuildH
[00:08:45.500 --> 00:08:48.500]  希望之子,我們一個姊妹的社福機構
[00:08:48.500 --> 00:08:52.500]  他們就會來到這裡,和我們一起探討
[00:08:52.500 --> 00:08:55.500]  什麼是公義與社會
