
[00:00:00.000 --> 00:00:03.720]   Welcome to The Vine.
[00:00:03.720 --> 00:00:05.060]   A big welcome to The Vine.
[00:00:05.060 --> 00:00:06.060]   My name's Andrew.
[00:00:06.060 --> 00:00:07.060]   I'm one of the pastors here.
[00:00:07.060 --> 00:00:12.000]   And if you're new to The Vine or relatively new, we are so glad you're with us.
[00:00:12.000 --> 00:00:14.080]   And we have people in the overflow outside as well.
[00:00:14.080 --> 00:00:16.720]   So hi to those who are in the second floor on the overflow.
[00:00:16.720 --> 00:00:18.660]   It's great to have you with us as well.
[00:00:18.660 --> 00:00:21.520]   What a joy it is to be together in Hong Kong.
[00:00:21.520 --> 00:00:22.520]   Amen?
[00:00:22.520 --> 00:00:23.520]   Yeah.
[00:00:23.520 --> 00:00:27.960]   We'll try that one one more time.
[00:00:27.960 --> 00:00:29.820]   Am I the only one?
[00:00:29.820 --> 00:00:31.480]   It's great to be together in Hong Kong.
[00:00:31.480 --> 00:00:32.480]   Amen.
[00:00:32.480 --> 00:00:33.480]   Amen.
[00:00:33.480 --> 00:00:36.960]   Well, last week I told you that in three weeks time, we're going to start a new series here
[00:00:36.960 --> 00:00:38.960]   on the Book of Exodus.
[00:00:38.960 --> 00:00:41.880]   It's a series that we've been planning for about four years.
[00:00:41.880 --> 00:00:43.120]   It's a film series.
[00:00:43.120 --> 00:00:49.280]   I went to Egypt and Jordan and we filmed the journey of Israel going out of slavery in
[00:00:49.280 --> 00:00:51.660]   Egypt into the freedom of the promised land.
[00:00:51.660 --> 00:00:53.980]   And it got delayed a hundred times because of COVID.
[00:00:53.980 --> 00:00:54.980]   We finally got it finished.
[00:00:54.980 --> 00:00:58.040]   We're finally going to start to do that series on the 16th of April.
[00:00:58.040 --> 00:01:01.720]   And I said last week we're going to show a little bit of that series each week leading
[00:01:01.720 --> 00:01:02.720]   up to the 16th.
[00:01:02.720 --> 00:01:07.040]   And last week I just showed you a quick 20 seconds of me standing near the pyramids.
[00:01:07.040 --> 00:01:11.520]   This week I'm going to show you about 45 seconds of some other footage from the series.
[00:01:11.520 --> 00:01:15.700]   Next week we're going to look at about a minute and a half from one of the episodes.
[00:01:15.700 --> 00:01:21.120]   And then on Easter Sunday itself, we'll show you the trailer that we have for the series.
[00:01:21.120 --> 00:01:28.120]   But here's 45 seconds of me in the middle of nowhere.
[00:01:28.120 --> 00:01:52.880]   There you go.
[00:01:52.880 --> 00:01:55.000]   That's a little bit more.
[00:01:55.000 --> 00:02:00.720]   So the reason why I wanted to show you that is because that place that I was looking out
[00:02:00.720 --> 00:02:05.240]   on, I'm going to tell you a little bit more about that place together today.
[00:02:05.240 --> 00:02:14.680]   But before I do, I think it was in the late, yeah, probably the late month of October 1976,
[00:02:14.680 --> 00:02:21.400]   a Hungarian sculptor and professor of architecture at the University of Budapest created a 3D
[00:02:21.400 --> 00:02:24.760]   model for his students so that they could understand structural engineering a little
[00:02:24.760 --> 00:02:25.760]   bit better.
[00:02:25.760 --> 00:02:30.040]   And he created this 3D model and he showed it to them and they absolutely loved it.
[00:02:30.040 --> 00:02:32.760]   And they asked him if he would make a 3D model for each one of them.
