
[00:00:00.000 --> 00:00:02.240]  剛才Jason也提到主流
[00:00:02.240 --> 00:00:05.640]  如果第一次來我們
[00:00:05.640 --> 00:00:07.640]  或者過去兩星期沒有來我們當中
[00:00:07.640 --> 00:00:08.960]  主流是甚麼來的呢?
[00:00:08.960 --> 00:00:10.960]  即是名字是怎樣來的呢?
[00:00:10.960 --> 00:00:14.560]  主流的講道系列其實是在說
[00:00:14.560 --> 00:00:17.160]  是從耶穌所說的比喻
[00:00:17.160 --> 00:00:20.400]  在當中學習和世界的主流文化
[00:00:20.400 --> 00:00:23.440]  那個主流價值很不同的天國價值
[00:00:23.440 --> 00:00:25.920]  當我去慰藉這個講道系列
[00:00:25.920 --> 00:00:28.720]  慰藉這篇講道去準備的時候
[00:00:28.720 --> 00:00:33.040]  再一次見到其實耶穌的話語的威力真的很大
[00:00:33.040 --> 00:00:37.040]  它是充滿挑戰性
[00:00:37.040 --> 00:00:40.040]  而且這個挑戰不是一般的挑戰
[00:00:40.040 --> 00:00:42.040]  而且這個是神的話語
[00:00:42.040 --> 00:00:44.040]  耶穌的話語是一個兩刃劍來的
[00:00:44.040 --> 00:00:48.040]  它是要進入到我們生命的內心深處裡面
[00:00:48.040 --> 00:00:52.040]  它是要讓我們知道在我們長年累月日積月累
[00:00:52.040 --> 00:00:54.040]  不斷建立的世界價值裡面
[00:00:54.040 --> 00:00:55.040]  是怎樣的不同
[00:00:55.040 --> 00:00:57.040]  它怎樣去顛覆扭轉
[00:00:57.040 --> 00:00:59.040]  我們一直以為正確的價值
[00:00:59.040 --> 00:01:03.040]  原來天國的價值是要將我們內心深處的黑暗
[00:01:03.040 --> 00:01:07.040]  甚至是去揭示出來
[00:01:07.040 --> 00:01:09.040]  人很多時候我們都不知道
[00:01:09.040 --> 00:01:13.040]  原來在我們的內心深處裡面有些東西是隱藏著
[00:01:13.040 --> 00:01:16.040]  可能是一些我們不能夠讓人知道
[00:01:16.040 --> 00:01:19.040]  甚至連我們都未必察覺的地方
[00:01:19.040 --> 00:01:23.040]  耶穌的比喻正正就是要針對著這些地方
[00:01:23.040 --> 00:01:25.040]  讓我們能夠醒覺、醒察
[00:01:25.040 --> 00:01:27.040]  也可以見得到
[00:01:27.040 --> 00:01:30.040]  所以當大家去聽耶穌的話語
[00:01:30.040 --> 00:01:31.040]  去讀耶穌的話語的時候
[00:01:31.040 --> 00:01:34.040]  大家要有心理準備
[00:01:34.040 --> 00:01:37.040]  因為耶穌的話語是跟我們每一個人說
[00:01:37.040 --> 00:01:39.040]  在座的每一個人說
[00:01:39.040 --> 00:01:42.040]  不如在我們開始的時候
[00:01:42.040 --> 00:01:44.040]  我們一起有個祈禱
[00:01:44.040 --> 00:01:47.040]  為我們內心真的做一個準備
[00:01:47.040 --> 00:01:49.040]  主耶穌我們歡迎你
[00:01:49.040 --> 00:01:54.040]  我們感謝你將你的話語放在你的聖經當中
[00:01:54.040 --> 00:01:58.040]  也讓我們作為每一個基督徒的我們能夠學習
[00:01:58.040 --> 00:02:01.040]  很多時候我們都是藉著你的話語
[00:02:01.040 --> 00:02:04.040]  我們能夠知道你的國度是怎樣
[00:02:04.040 --> 00:02:05.040]  也不單止是這樣
[00:02:05.040 --> 00:02:08.040]  也讓這個國度在這裡降臨
[00:02:08.040 --> 00:02:11.040]  求你的話語進入到我們的內心深處裡面
[00:02:11.040 --> 00:02:13.040]  讓我們能夠看見
[00:02:13.040 --> 00:02:15.040]  也藉著你的話語
[00:02:15.040 --> 00:02:16.040]  你的靈
[00:02:16.040 --> 00:02:19.040]  我們能夠有生命的根生而變化
[00:02:19.040 --> 00:02:22.040]  我們禱告是奉求主耶穌基督的名
[00:02:22.040 --> 00:02:23.040]  Amen
[00:02:23.040 --> 00:02:26.040]  好了今天我們來看看《路加福音》第十八章
[00:02:26.040 --> 00:02:28.040]  我先讀一讀經文給大家聽
[00:02:28.040 --> 00:02:32.040]  9到14節那裡
[00:02:32.040 --> 00:02:38.040]  耶穌向那些自以為義而藐視別人的人說了這個比喻
[00:02:38.040 --> 00:02:41.040]  有兩個人上到去聖殿去祈禱
[00:02:41.040 --> 00:02:42.040]  一個是法里塞人
[00:02:42.040 --> 00:02:43.040]  一個是瑞利
[00:02:43.040 --> 00:02:46.040]  法里塞人獨自站在那裡
[00:02:46.040 --> 00:02:48.040]  自言自語地去禱告說
[00:02:48.040 --> 00:02:50.040]  神啊我感謝你
[00:02:50.040 --> 00:02:53.040]  我不似別人勒索不義奸淫
[00:02:53.040 --> 00:02:55.040]  也不似這個瑞利
[00:02:55.040 --> 00:02:57.040]  我每週禁食兩次
[00:02:57.040 --> 00:03:00.040]  凡我所得的都獻上十分之一
[00:03:00.040 --> 00:03:03.040]  那個瑞利遠遠地站著
[00:03:03.040 --> 00:03:06.040]  連舉目望天也不敢
[00:03:06.040 --> 00:03:07.040]  只隨著空說
[00:03:07.040 --> 00:03:11.040]  神啊開恩可憐我這個罪人
[00:03:11.040 --> 00:03:13.040]  我告訴你們
[00:03:13.040 --> 00:03:15.040]  這個人回家去
[00:03:15.040 --> 00:03:17.040]  被那人倒算為義
[00:03:17.040 --> 00:03:20.040]  因為凡至高的必降為卑
[00:03:20.040 --> 00:03:24.040]  至今卑微的必升為高
[00:03:24.040 --> 00:03:29.040]  耶穌在這個比喻當中有兩個人物角色
[00:03:29.040 --> 00:03:31.040]  一個是法里塞人
[00:03:31.040 --> 00:03:33.040]  一個是瑞利
[00:03:33.040 --> 00:03:36.040]  他們兩個人一起上到去聖殿去禱告
[00:03:36.040 --> 00:03:38.040]  這兩個角色其實上個星期
[00:03:38.040 --> 00:03:40.040]  卓文在講道裡面也介紹過
[00:03:40.040 --> 00:03:43.040]  這兩個類人是什麼來的呢
[00:03:43.040 --> 00:03:45.040]  首先說一說瑞利
[00:03:45.040 --> 00:03:47.040]  瑞利是在耶穌時代
[00:03:47.040 --> 00:03:48.040]  視為不潔的
[00:03:48.040 --> 00:03:51.040]  視為不道德的猶太人
[00:03:51.040 --> 00:03:55.040]  他負責代表統治他們的羅馬帝國
[00:03:55.040 --> 00:03:57.040]  向自己的同胞納稅
[00:03:57.040 --> 00:03:59.040]  經常濫收稅款
[00:03:59.040 --> 00:04:01.040]  賺取不義之財
[00:04:01.040 --> 00:04:03.040]  他們在猶太社會裡面
[00:04:03.040 --> 00:04:07.040]  在整個群體當中視為叛徒
[00:04:07.040 --> 00:04:11.040]  他是背叛和貪婪的代表
[00:04:11.040 --> 00:04:14.040]  法里塞人
[00:04:14.040 --> 00:04:16.040]  我們從聖經裡面得知
[00:04:16.040 --> 00:04:20.040]  他是一群嚴守著猶太律法的宗教領袖
[00:04:20.040 --> 00:04:23.040]  他們強調遵守摩西的律法
[00:04:23.040 --> 00:04:25.040]  和一些傳統的教條
[00:04:25.040 --> 00:04:29.040]  對宗教的純潔和禮儀非常注重
[00:04:29.040 --> 00:04:32.040]  他們注重的是外表的虔誠
[00:04:32.040 --> 00:04:37.040]  甚至會加添一大堆的規條
[00:04:37.040 --> 00:04:39.040]  條文要人遵守
[00:04:39.040 --> 00:04:43.040]  但偏偏他們就是那些密守成規
[00:04:43.040 --> 00:04:45.040]  假冒偽善
[00:04:45.040 --> 00:04:48.040]  自以為義的偽君子
[00:04:48.040 --> 00:04:50.040]  但大家不要忘記
[00:04:50.040 --> 00:04:54.040]  我們是因為有手上這本聖經
[00:04:54.040 --> 00:04:57.040]  我們才會有這樣的認知
[00:04:57.040 --> 00:04:59.040]  我們不可以忘記的是
[00:04:59.040 --> 00:05:00.040]  在耶穌的時代
[00:05:00.040 --> 00:05:01.040]  一世紀的時候
[00:05:01.040 --> 00:05:04.040]  其實絕大部分人都不是這樣去理解的
[00:05:04.040 --> 00:05:08.040]  他們沒有我們手上的那本聖經
[00:05:08.040 --> 00:05:12.040]  耶穌所說的比喻是向當時那些人說
[00:05:12.040 --> 00:05:17.040]  他們要知道的故事
[00:05:17.040 --> 00:05:20.040]  而知道一些他們未能夠
[00:05:20.040 --> 00:05:22.040]  可以有一本編成的聖經
[00:05:22.040 --> 00:05:25.040]  但他要揭示天國的價值
[00:05:25.040 --> 00:05:27.040]  上帝的心意
[00:05:27.040 --> 00:05:29.040]  在他的指紋裡面
[00:05:29.040 --> 00:05:31.040]  我們要清楚這一點
[00:05:31.040 --> 00:05:33.040]  我們才能夠真正明白到
[00:05:33.040 --> 00:05:35.040]  這個比喻的真正意義
[00:05:35.040 --> 00:05:39.040]  在當時猶太人
[00:05:39.040 --> 00:05:43.040]  普遍對法理賽人有一個很高度的評價
[00:05:43.040 --> 00:05:45.040]  他們在社會群體當中
[00:05:45.040 --> 00:05:48.040]  其實是受著一個極度尊崇的
[00:05:48.040 --> 00:05:52.040]  一個宗教和精神領袖的角色
[00:05:52.040 --> 00:05:54.040]  他們在主流的社會當中
[00:05:54.040 --> 00:05:55.040]  在當時的主流社會當中
[00:05:55.040 --> 00:05:58.040]  法理賽人是一個敬虔的榜樣
[00:05:58.040 --> 00:06:01.040]  他們是眾人的一個模範
[00:06:01.040 --> 00:06:04.040]  所以當耶穌去作這個比喻的時候
[00:06:04.040 --> 00:06:06.040]  法理賽人的祈禱裡面
[00:06:06.040 --> 00:06:07.040]  猶太人會覺得
[00:06:07.040 --> 00:06:09.040]  很好啊
[00:06:09.040 --> 00:06:10.040]  很正常啊
[00:06:10.040 --> 00:06:12.040]  沒什麼問題
[00:06:12.040 --> 00:06:14.040]  他們感謝神
[00:06:14.040 --> 00:06:15.040]  他們說祂不勒索人
[00:06:15.040 --> 00:06:16.040]  不行不義
[00:06:16.040 --> 00:06:18.040]  他們不作奸淫的行為
