
[00:00:00.000 --> 00:00:02.000]  Thank you June 麻煩你
[00:00:02.000 --> 00:00:04.000]  大家早安
[00:00:04.000 --> 00:00:05.000]  早安
[00:00:05.000 --> 00:00:07.000]  大家都精精神神
[00:00:07.000 --> 00:00:13.000]  我想問大家近來有沒有看電影?
[00:00:13.000 --> 00:00:17.000]  有沒有看《九龍城寨》?看了沒有?
[00:00:17.000 --> 00:00:20.000]  還沒看的可以考慮一下
[00:00:20.000 --> 00:00:25.000]  去支持一下我們楊威康城的香港製作的電影
[00:00:25.000 --> 00:00:28.000]  我有些朋友說電影很好看 很棒
[00:00:28.000 --> 00:00:33.000]  我看了 我覺得這套電影很經典
[00:00:33.000 --> 00:00:37.000]  當然是經典的港產武打片
[00:00:37.000 --> 00:00:40.000]  經典的兩大勢力對立
[00:00:40.000 --> 00:00:43.000]  經典的邪不能勝正
[00:00:43.000 --> 00:00:45.000]  我不劇透那麼多了
[00:00:45.000 --> 00:00:48.000]  免得待會想看還沒看的罵我
[00:00:48.000 --> 00:00:50.000]  有誰想看還沒看的?
[00:00:50.000 --> 00:00:54.000]  幸好我下山了一半的講章
[00:00:54.000 --> 00:00:56.000]  已經放心不講這套電影了
[00:00:56.000 --> 00:01:01.000]  大家有沒有想過原來在兩大頭目
[00:01:01.000 --> 00:01:05.000]  那些恩怨情仇的情節在聖經裡面也有
[00:01:05.000 --> 00:01:07.000]  今天我們一起去看看
[00:01:07.000 --> 00:01:10.000]  在聖經當中關於那些恩怨情仇的故事
[00:01:10.000 --> 00:01:13.000]  今天我們去到《迦太書》的第二章
[00:01:13.000 --> 00:01:17.000]  故事的主角除了保羅還有彼得
[00:01:17.000 --> 00:01:20.000]  如果你看《使徒行傳》你會發覺
[00:01:20.000 --> 00:01:23.000]  《使徒行傳》的頭半本書其實是在說
[00:01:23.000 --> 00:01:27.000]  使徒以彼得為首在猶太群體當中
[00:01:27.000 --> 00:01:31.000]  去建立早期教會記載的一些事蹟
[00:01:31.000 --> 00:01:35.000]  後半本書是在記載保羅
[00:01:35.000 --> 00:01:37.000]  剛才我說彼得沒有說錯吧
[00:01:37.000 --> 00:01:41.000]  彼得建立猶太群體裡面的教會
[00:01:41.000 --> 00:01:44.000]  保羅是建立猶太群體以外
[00:01:44.000 --> 00:01:47.000]  記載他的宣教工作
[00:01:47.000 --> 00:01:52.000]  正如在《迦太書》第二章第七第八節
[00:01:52.000 --> 00:01:54.000]  我們可以看到
[00:01:54.000 --> 00:01:58.000]  保羅所說主託付我傳福音給未受割禮的人
[00:01:58.000 --> 00:02:02.000]  正如主託付彼得傳福音給未受割禮的人
[00:02:02.000 --> 00:02:06.000]  感動彼得叫他為受割禮的人作使徒
[00:02:06.000 --> 00:02:09.000]  也感動了我 感動了保羅
[00:02:09.000 --> 00:02:13.000]  去叫他為外邦作使徒
[00:02:13.000 --> 00:02:15.000]  大家看到第九節也提到
[00:02:15.000 --> 00:02:20.000]  被認為是教會儲錫的雅各 彼得 約翰
[00:02:20.000 --> 00:02:24.000]  和保羅和巴拿巴握右手示意合作
[00:02:24.000 --> 00:02:26.000]  在那時候握右手是很重要的
[00:02:26.000 --> 00:02:30.000]  代表他們完全認同對方 完全接納
[00:02:30.000 --> 00:02:32.000]  也完全願意彼此同心
[00:02:32.000 --> 00:02:36.000]  他們一起同心合意 一起為耶穌打天下
[00:02:36.000 --> 00:02:39.000]  但直到一天 有一件事發生
[00:02:39.000 --> 00:02:43.000]  引發了兩大頭目保羅和彼得的衝突
[00:02:43.000 --> 00:02:46.000]  嚴格來說應該是保羅向彼得
[00:02:46.000 --> 00:02:50.000]  發出嚴厲的譴責 嚴厲的責備
[00:02:50.000 --> 00:02:52.000]  這件事非常重要
[00:02:52.000 --> 00:02:54.000]  重要到保羅需要記載在這本
[00:02:54.000 --> 00:02:56.000]  比加拉太教會的書裏
[00:02:56.000 --> 00:02:59.000]  去釐清基督的信仰
[00:02:59.000 --> 00:03:01.000]  去釐清福音的真諦
[00:03:01.000 --> 00:03:04.000]  去為保羅自己護己
[00:03:04.000 --> 00:03:07.000]  和為基督教護教
[00:03:07.000 --> 00:03:10.000]  故事的地點是耶路撒冷北面
[00:03:10.000 --> 00:03:13.000]  大約是200英里的安提亞
[00:03:13.000 --> 00:03:18.000]  安提亞是一個對基督徒非常重要的地方
[00:03:18.000 --> 00:03:23.000]  基督徒的稱謂也是從安提亞這個地方開始
[00:03:23.000 --> 00:03:28.000]  而這裏也是保羅和巴拿巴展開
[00:03:28.000 --> 00:03:31.000]  他們第一次宣教旅程的一個起始點
[00:03:31.000 --> 00:03:34.000]  大家也看到吧 原來遮住了
[00:03:34.000 --> 00:03:37.000]  這裏 安提亞在這裏
[00:03:37.000 --> 00:03:40.000]  保羅在耶路撒冷在這裏
[00:03:40.000 --> 00:03:44.000]  上到去 然後就開始他的宣道旅程
[00:03:44.000 --> 00:03:48.000]  經文記載 彼得在安提亞這個方林頌鎮
[00:03:48.000 --> 00:03:53.000]  他和沒有受割禮的非猶太基督徒一起吃飯
[00:03:53.000 --> 00:03:55.000]  大家要知道 猶太傳統
[00:03:55.000 --> 00:03:58.000]  他們對飲食的要求是非常重視的
[00:03:58.000 --> 00:04:01.000]  他們要守那些叫飲食的清規
[00:04:01.000 --> 00:04:05.000]  從小到大 按照猶太人規矩長大的彼得
[00:04:05.000 --> 00:04:08.000]  在上帝感動之下
[00:04:08.000 --> 00:04:12.000]  上帝曾經給他的意象打開了他屬靈的眼睛
[00:04:12.000 --> 00:04:16.000]  他明白到愛邦人一樣可以領受聖靈
[00:04:16.000 --> 00:04:19.000]  他明白到沒有受割禮
[00:04:19.000 --> 00:04:22.000]  沒有受這些猶太飲食清規的人
[00:04:22.000 --> 00:04:25.000]  仍然都可以得救
[00:04:25.000 --> 00:04:29.000]  大家可以回到《史獨行傳》第十和十一章
[00:04:29.000 --> 00:04:32.000]  可以看到剛才所說的這個故事
[00:04:32.000 --> 00:04:34.000]  在安提亞這個地方
[00:04:34.000 --> 00:04:37.000]  彼得本身是藉著福音的緣故
[00:04:37.000 --> 00:04:41.000]  和沒有猶太背景的人打成一片
[00:04:41.000 --> 00:04:43.000]  他們在主裡面無分彼此
[00:04:43.000 --> 00:04:47.000]  他們一起去享受團契的生活
[00:04:47.000 --> 00:04:49.000]  但很可惜
[00:04:49.000 --> 00:04:53.000]  當一些仍然抱著猶太傳統觀念的老朋友
