
[00:00:00.000 --> 00:00:02.000]  剛才Ina為我們開始的時候
[00:00:02.000 --> 00:00:03.000]  展示了一張照片
[00:00:03.000 --> 00:00:10.000]  就是我們前天去參與支持
[00:00:10.000 --> 00:00:13.000]  我們叫home and away的足球賽事
[00:00:13.000 --> 00:00:16.000]  其實是很開心的一件事
[00:00:16.000 --> 00:00:19.000]  透過一個運動
[00:00:19.000 --> 00:00:22.000]  我們教會當中無論中英文崇拜
[00:00:22.000 --> 00:00:23.000]  弟子妹一起去
[00:00:23.000 --> 00:00:25.000]  除了我們踢的去參與
[00:00:25.000 --> 00:00:30.000]  但看到大家一起去參與真的很感恩
[00:00:30.000 --> 00:00:32.000]  那個畫面是很美很開心的
[00:00:32.000 --> 00:00:34.000]  謝謝
[00:00:34.000 --> 00:00:37.000]  不只是我們十多人
[00:00:37.000 --> 00:00:41.000]  而在場邊看到無論是我們的家人
[00:00:41.000 --> 00:00:46.000]  家人即是真的家人
[00:00:46.000 --> 00:00:52.000]  但看到有些可能沒有親人去參加
[00:00:52.000 --> 00:00:55.000]  但我們真的視為一個家
[00:00:55.000 --> 00:00:56.000]  一起來支持
[00:00:56.000 --> 00:00:58.000]  我覺得很感動
[00:00:58.000 --> 00:01:00.000]  我替其他團隊不好意思
[00:01:00.000 --> 00:01:02.000]  他們很孤單
[00:01:02.000 --> 00:01:07.000]  我們在這裡很支持
[00:01:07.000 --> 00:01:09.000]  謝謝大家
[00:01:09.000 --> 00:01:12.000]  我們都是做分威的
[00:01:12.000 --> 00:01:14.000]  希望可以幫助到BOH
[00:01:14.000 --> 00:01:18.000]  但原來當我們想幫助一個機構的時候
[00:01:18.000 --> 00:01:21.000]  我們在裡面有更多的喜樂
[00:01:21.000 --> 00:01:23.000]  和大家庭
[00:01:23.000 --> 00:01:24.000]  所以很開心
[00:01:24.000 --> 00:01:26.000]  謝謝Ino和我們分享
[00:01:26.000 --> 00:01:27.000]  除了這張照片
[00:01:27.000 --> 00:01:30.000]  我想給大家看一張照片
[00:01:30.000 --> 00:01:33.000]  如果上星期大家在這裡
[00:01:33.000 --> 00:01:34.000]  看到兩張是不同的
[00:01:34.000 --> 00:01:36.000]  我想告訴你這張照片
[00:01:36.000 --> 00:01:38.000]  兩人有部分一樣
[00:01:38.000 --> 00:01:39.000]  大部分都不同
[00:01:39.000 --> 00:01:42.000]  哪一張是我們廣東話崇拜
[00:01:42.000 --> 00:01:43.000]  能否找到自己
[00:01:43.000 --> 00:01:44.000]  那邊那張
[00:01:44.000 --> 00:01:47.000]  我們上星期一起慶祝教會一周年
[00:01:47.000 --> 00:01:49.000]  在廣東話崇拜
[00:01:49.000 --> 00:01:50.000]  英文崇拜
[00:01:50.000 --> 00:01:53.000]  我們一起很開心去慶祝
[00:01:53.000 --> 00:01:56.000]  教會在這裡成立了一周年
[00:01:56.000 --> 00:01:59.000]  我們在慶祝的同時
[00:01:59.000 --> 00:02:00.000]  可能你們
[00:02:00.000 --> 00:02:02.000]  因為我們在說上年十月一日
[00:02:02.000 --> 00:02:04.000]  到今天大概一年
[00:02:04.000 --> 00:02:06.000]  可能你們當中有些人未必知道
[00:02:06.000 --> 00:02:10.000]  其實在我們上年十月一日之前
[00:02:10.000 --> 00:02:13.000]  兩個星期我們已經移師了來這裡
[00:02:13.000 --> 00:02:14.000]  在幼稚園
[00:02:14.000 --> 00:02:16.000]  移師了來這裡有兩堂
[00:02:16.000 --> 00:02:19.000]  叫做一個熱身的崇拜
[00:02:19.000 --> 00:02:21.000]  在崇拜之前
[00:02:21.000 --> 00:02:23.000]  即是那兩次崇拜之前
[00:02:23.000 --> 00:02:24.000]  我們有一個叫做祈禱
[00:02:24.000 --> 00:02:26.000]  步行祈禱
[00:02:26.000 --> 00:02:28.000]  我們全部人一起出去
[00:02:28.000 --> 00:02:30.000]  在元朗這裡的周圍
[00:02:30.000 --> 00:02:31.000]  分散了不同的團隊
[00:02:31.000 --> 00:02:33.000]  去圍著附近去祈禱
[00:02:33.000 --> 00:02:35.000]  當我和其中一組人
[00:02:35.000 --> 00:02:38.000]  回到教會門口圍著
[00:02:38.000 --> 00:02:40.000]  在這裡樓下大門口
[00:02:40.000 --> 00:02:43.000]  望著門口去祈禱的時候
[00:02:43.000 --> 00:02:45.000]  我看到那三個字
[00:02:45.000 --> 00:02:48.000]  那三個字令到我有很大的感動
[00:02:48.000 --> 00:02:50.000]  聲靈給了我一個很大的領袖
[00:02:50.000 --> 00:02:51.000]  很順利
[00:02:51.000 --> 00:02:53.000]  大家知道我們現在這裡叫做
[00:02:53.000 --> 00:02:54.000]  很順利商場
[00:02:54.000 --> 00:02:56.000]  很順利的三個字
[00:02:56.000 --> 00:02:59.000]  我望著這三個字
[00:02:59.000 --> 00:03:02.000]  聲靈給了我一些啟示
[00:03:02.000 --> 00:03:05.000]  其實在Grand Opening之前那星期
[00:03:05.000 --> 00:03:07.000]  說到最後的部分
[00:03:07.000 --> 00:03:10.000]  我也有分享過這個體健
[00:03:10.000 --> 00:03:13.000]  有沒有人有印象
[00:03:13.000 --> 00:03:15.000]  沒有就對了
[00:03:15.000 --> 00:03:18.000]  沒有代表我今天可以認真
[00:03:18.000 --> 00:03:21.000]  再去詳細和大家說
[00:03:21.000 --> 00:03:22.000]  我相信說完之後
[00:03:22.000 --> 00:03:24.000]  大家應該會記得
[00:03:24.000 --> 00:03:25.000]  很順利的三個字
[00:03:25.000 --> 00:03:26.000]  大家看到這三個字
[00:03:26.000 --> 00:03:28.000]  其實是由兩部分組成的
[00:03:28.000 --> 00:03:30.000]  左有兩部分
[00:03:30.000 --> 00:03:32.000]  好
[00:03:32.000 --> 00:03:34.000]  一個女一個子
[00:03:34.000 --> 00:03:35.000]  川
[00:03:35.000 --> 00:03:36.000]  葉
[00:03:36.000 --> 00:03:37.000]  和
[00:03:37.000 --> 00:03:38.000]  都
[00:03:38.000 --> 00:03:39.000]  當我在這裡看的時候
[00:03:39.000 --> 00:03:41.000]  聲靈幫我拆散了這幾個字
[00:03:41.000 --> 00:03:42.000]  然後把它融入在一起
[00:03:42.000 --> 00:03:45.000]  子女寓意著神的兒女
[00:03:45.000 --> 00:03:46.000]  川
[00:03:46.000 --> 00:03:47.000]  川流的義將
[00:03:47.000 --> 00:03:48.000]  我們River Model
[00:03:48.000 --> 00:03:49.000]  葉
[00:03:49.000 --> 00:03:50.000]  新的一葉
[00:03:50.000 --> 00:03:51.000]  和
[00:03:51.000 --> 00:03:52.000]  和場
[00:03:52.000 --> 00:03:53.000]  都
[00:03:53.000 --> 00:03:54.000]  修葛
[00:03:54.000 --> 00:03:56.000]  得出來的整句的句子
[00:03:56.000 --> 00:03:57.000]  我們重組句子
[00:03:57.000 --> 00:03:58.000]  麻煩你
[00:03:58.000 --> 00:04:04.000]  Yes
[00:04:04.000 --> 00:04:05.000]  我們作為神的兒女
[00:04:05.000 --> 00:04:06.000]  藉著River Vision
[00:04:06.000 --> 00:04:07.000]  川流的義將
[00:04:07.000 --> 00:04:09.000]  直堂展開了新的一葉
[00:04:09.000 --> 00:04:10.000]  在元朗這個地方
[00:04:10.000 --> 00:04:12.000]  這個和場為主修葛
[00:04:12.000 --> 00:04:14.000]  我們要給掌聲給主耶穌
[00:04:14.000 --> 00:04:20.000]  其實是一件令人很無感動的事
[00:04:20.000 --> 00:04:22.000]  即是
[00:04:22.000 --> 00:04:23.000]  這個不是爛笑話
[00:04:23.000 --> 00:04:24.000]  我想告訴你
[00:04:24.000 --> 00:04:26.000]  這個是真的一個
[00:04:26.000 --> 00:04:27.000]  我也不知道自己
[00:04:27.000 --> 00:04:28.000]  為什麼會見到這樣的東西
[00:04:28.000 --> 00:04:29.000]  所以我相信是聖靈
[00:04:29.000 --> 00:04:31.000]  讓我見到
[00:04:31.000 --> 00:04:32.000]  祂要告訴我們
[00:04:32.000 --> 00:04:33.000]  究竟我們教會
[00:04:33.000 --> 00:04:36.000]  究竟上帝帶我們來這個地方
[00:04:36.000 --> 00:04:39.000]  究竟上帝想我們成為一個怎樣的教會
[00:04:39.000 --> 00:04:41.000]  這一句話
[00:04:41.000 --> 00:04:42.000]  這三個字很順利
[00:04:42.000 --> 00:04:44.000]  其實也是給我們
[00:04:44.000 --> 00:04:45.000]  這個教會
[00:04:45.000 --> 00:04:47.000]  義將的方向
[00:04:47.000 --> 00:04:48.000]  這個教會
[00:04:48.000 --> 00:04:50.000]  究竟是怎樣去實踐
[00:04:50.000 --> 00:04:51.000]  上帝給我們的使命
[00:04:51.000 --> 00:04:52.000]  今天
[00:04:52.000 --> 00:04:55.000]  我們就來看看這三個字
[00:04:55.000 --> 00:04:57.000]  究竟怎樣去解拆這三個字
[00:04:57.000 --> 00:04:58.000]  第一個字好
[00:04:58.000 --> 00:05:00.000]  神的子女
[00:05:00.000 --> 00:05:03.000]  神的兒女
[00:05:03.000 --> 00:05:04.000]  我相信大家都知道
[00:05:04.000 --> 00:05:06.000]  我們其實不斷去強調
[00:05:06.000 --> 00:05:07.000]  神的兒女
[00:05:08.000 --> 00:05:10.000]  神的兒女這個身份
[00:05:10.000 --> 00:05:12.000]  不單止是說
[00:05:12.000 --> 00:05:14.000]  很多時候很多教會都說
[00:05:14.000 --> 00:05:15.000]  神的兒女
[00:05:15.000 --> 00:05:16.000]  但是這個是很真實的
[00:05:16.000 --> 00:05:18.000]  在我們當中去發生的
[00:05:18.000 --> 00:05:19.000]  不知道你們第一次
[00:05:19.000 --> 00:05:21.000]  進來這間教會的時候
[00:05:21.000 --> 00:05:22.000]  你記不記得
[00:05:22.000 --> 00:05:24.000]  你第一個感覺是怎樣呢
[00:05:24.000 --> 00:05:26.000]  很多人
[00:05:26.000 --> 00:05:29.000]  我想十個有九個的朋友
