
[00:00:00.000 --> 00:00:09.640]  各位頂姐妹,很榮幸今天可以跟大家分享
[00:00:09.640 --> 00:00:12.440]  學上醫治系列的第六講
[00:00:12.440 --> 00:00:16.080]  就是If you are willing 如理如意
[00:00:16.080 --> 00:00:19.800]  是有關麻瘋病人得醫治的故事
[00:00:19.800 --> 00:00:28.120]  我會從麻瘋病人、主耶穌和群體三方面去詮釋
[00:00:28.120 --> 00:00:35.720]  麻瘋病是千年古老的慢性疾病
[00:00:35.720 --> 00:00:40.120]  在聖經記載,第一個患有麻瘋的
[00:00:40.120 --> 00:00:42.120]  相信大家都很記得
[00:00:42.120 --> 00:00:44.720]  就是摩西的姐姐米利暗
[00:00:44.720 --> 00:00:49.120]  因為妒忌摩西,所以患有麻瘋
[00:00:49.120 --> 00:00:55.240]  麻瘋病是使身體生成肉芽腫
[00:00:55.240 --> 00:00:58.840]  即是一塊塊的東西在身體上
[00:00:58.840 --> 00:01:03.920]  特別是在面部,引致皮膚潰爛、面容扭曲
[00:01:03.920 --> 00:01:07.720]  甚至破壞神經系統
[00:01:07.720 --> 00:01:14.840]  當神經系統被破壞時,會令身體不覺得痛
[00:01:14.840 --> 00:01:19.840]  如果沒有痛的感覺,手腳很容易受傷
[00:01:19.840 --> 00:01:22.320]  甚至需要截肢
[00:01:23.320 --> 00:01:28.120]  上世紀,香港翠雅山莊和喜寧洲
[00:01:28.120 --> 00:01:32.120]  都有來隔離和醫治麻瘋病人
[00:01:32.120 --> 00:01:34.120]  不知道大家知不知道
[00:01:34.120 --> 00:01:40.920]  其實現在香港每年仍有十宗新的麻瘋病例
[00:01:40.920 --> 00:01:46.320]  因為現在醫學昌明,有藥物可以治療
[00:01:46.320 --> 00:01:53.520]  所以如果他們服藥72小時,就可以把病菌殺死
[00:01:53.520 --> 00:01:57.120]  以致病情不會惡化
[00:01:57.120 --> 00:02:03.920]  在耶穌的時代,如果一個人患了麻瘋病
[00:02:03.920 --> 00:02:06.920]  其實就像判了死刑一樣
[00:02:06.920 --> 00:02:12.120]  他的心靈和肉體都會受到非常大的痛苦
[00:02:12.120 --> 00:02:19.320]  首先猶太人覺得患麻瘋病是一種罪
[00:02:19.320 --> 00:02:21.920]  是上帝所審判的
[00:02:21.920 --> 00:02:29.320]  而法律規定,他要離開家人
[00:02:29.320 --> 00:02:33.720]  在他們所屬群體當中,他要隔離
[00:02:33.720 --> 00:02:37.720]  要住在城外,甚至在曠野的地方
[00:02:37.720 --> 00:02:41.920]  如果在路上經過,看到有人在走近他們
[00:02:41.920 --> 00:02:44.120]  他們都會說「不潔淨,不潔淨」
[00:02:44.120 --> 00:02:47.120]  叫大家離開,不要走近他們
[00:02:47.120 --> 00:02:57.120]  相信大家在2019年,我們有新冠病毒的時候
[00:02:57.120 --> 00:02:58.720]  都記憶猶新
[00:02:58.720 --> 00:03:01.520]  當時我們可能都遭受隔離
[00:03:01.520 --> 00:03:05.120]  無論在酒店隔離一天
[00:03:05.120 --> 00:03:11.720]  或者在家中,甚至要去隔離營隔離
[00:03:11.720 --> 00:03:16.520]  相信那天都非常受滋擾
[00:03:16.520 --> 00:03:20.520]  覺得孤零零,好像被拒絕
[00:03:20.520 --> 00:03:26.920]  在隔離當中,都不知道何時可以放出來
[00:03:26.920 --> 00:03:31.520]  那種無助和無奈的難堪
[00:03:31.520 --> 00:03:36.920]  相信我們這裡有些朋友都曾經經歷過
[00:03:36.920 --> 00:03:39.520]  其實真的一點都不好受
[00:03:41.120 --> 00:03:47.320]  今天講到的經文是記載在《馬可福音》一章40至44節
[00:03:47.320 --> 00:03:49.720]  《馬可福音》第一章已經提到
