
[00:00:00.000 --> 00:00:01.600]   In Jesus' name.
[00:00:01.600 --> 00:00:05.680]   Everyone says, hey, can we thank our worship team as always?
[00:00:05.680 --> 00:00:07.400]   Amazing.
[00:00:07.400 --> 00:00:09.280]   Have a seat, have a seat.
[00:00:09.280 --> 00:00:13.440]   And as you see it, I wonder whether you could imagine
[00:00:13.440 --> 00:00:17.400]   with me or think with me back to your childhood.
[00:00:17.400 --> 00:00:20.160]   And I want you to think about the greatest memories
[00:00:20.160 --> 00:00:22.200]   that you have of your childhood.
[00:00:22.200 --> 00:00:25.760]   The times in your heart and in your lives
[00:00:25.760 --> 00:00:28.000]   that you remember back and you think back to almost
[00:00:28.000 --> 00:00:31.080]   what I would call core memories of your childhood.
[00:00:31.080 --> 00:00:33.760]   Those moments where you think about all the great things
[00:00:33.760 --> 00:00:35.240]   that happened for you.
[00:00:35.240 --> 00:00:37.360]   And maybe some of you have great memories of your family
[00:00:37.360 --> 00:00:39.600]   or great memories of a holiday you took
[00:00:39.600 --> 00:00:41.760]   or whatever it might be, but those memories where you're
[00:00:41.760 --> 00:00:43.800]   like, that defines who I was as a child.
[00:00:43.800 --> 00:00:45.560]   Those are memories that I cherish,
[00:00:45.560 --> 00:00:47.640]   memories that I celebrate.
[00:00:47.640 --> 00:00:52.440]   For me, so many of my core childhood memories,
[00:00:52.440 --> 00:00:57.360]   they're located largely in one singular place.
[00:00:57.360 --> 00:00:59.360]   And that's this house.
[00:00:59.360 --> 00:01:03.280]   This is the house that I lived in from the age
[00:01:03.280 --> 00:01:07.200]   of eight years old to about 11 years old.
[00:01:07.200 --> 00:01:10.120]   The house is located in a small town in Connecticut
[00:01:10.120 --> 00:01:14.120]   on the Northeastern side of the US called Wilton.
[00:01:14.120 --> 00:01:17.800]   Wilson's a small town and we lived in a small cul-de-sac
[00:01:17.800 --> 00:01:19.280]   in a small neighborhood.
[00:01:19.280 --> 00:01:23.200]   And so many of my great childhood memories
[00:01:23.200 --> 00:01:25.880]   are from this particular house.
[00:01:25.880 --> 00:01:27.920]   I think one of the reasons why I love this house so much
[00:01:27.920 --> 00:01:31.240]   is 'cause my dad loved this house so much.
[00:01:31.240 --> 00:01:34.080]   My dad worked for a bank in the UK
[00:01:34.080 --> 00:01:36.080]   and he received a promotion.
[00:01:36.080 --> 00:01:38.360]   And when I was seven years old, the bank said,
[00:01:38.360 --> 00:01:40.600]   "We wanna move you to the US and you're gonna start working
[00:01:40.600 --> 00:01:41.840]   "for the bank in the US."
[00:01:41.840 --> 00:01:43.680]   And so for a year we lived in Charlotte
[00:01:43.680 --> 00:01:45.400]   and then we moved up to this house.
[00:01:45.400 --> 00:01:47.760]   And I remember my dad loved this house.
[00:01:47.760 --> 00:01:49.400]   In fact, my dad probably took this photo.
[00:01:49.400 --> 00:01:51.560]   This photo is from the early '80s.
[00:01:51.560 --> 00:01:54.320]   My dad took this photo because the house represented
[00:01:54.320 --> 00:01:57.000]   for him really the first time in his life
[00:01:57.000 --> 00:01:59.200]   that he was able to provide something significant
[00:01:59.200 --> 00:02:00.360]   for his family.
[00:02:00.360 --> 00:02:03.680]   He had a family of five and he had provided this home
[00:02:03.680 --> 00:02:05.360]   and there was a certain sense of pride
[00:02:05.360 --> 00:02:07.160]   that his family could grow up
[00:02:07.160 --> 00:02:11.880]   in a beautiful, spacious place like this.
[00:02:11.880 --> 00:02:18.280]   My greatest memories of my father are found in this home.
[00:02:18.280 --> 00:02:21.000]   I remember he taught me how to throw a baseball
