
[00:00:00.000 --> 00:00:01.600]   - Thank you, Francesca.
[00:00:01.600 --> 00:00:02.960]   Oh, a lot of pressure.
[00:00:02.960 --> 00:00:04.640]   But thank you so much for coming in.
[00:00:04.640 --> 00:00:06.040]   Thank you so much for, you know,
[00:00:06.040 --> 00:00:07.400]   worshiping together the Lord.
[00:00:07.400 --> 00:00:09.580]   I think this is such a powerful moment for us
[00:00:09.580 --> 00:00:13.040]   just to come and be in the presence of God, yeah?
[00:00:13.040 --> 00:00:17.080]   Well, seven years ago, I handed in my resignation letter.
[00:00:17.080 --> 00:00:19.800]   I quit the job that I was doing for nine years
[00:00:19.800 --> 00:00:23.560]   in a primary school, and I went to Australia.
[00:00:23.560 --> 00:00:25.520]   Well, you live in Hong, we all live in Hong Kong,
[00:00:25.520 --> 00:00:28.920]   and we know how packed our timetable is.
[00:00:28.920 --> 00:00:31.120]   And I'm not just talking about the timetable
[00:00:31.120 --> 00:00:34.120]   for getting up, going to work, coming back,
[00:00:34.120 --> 00:00:35.680]   we have to make dinner, we have to go to bed,
[00:00:35.680 --> 00:00:37.440]   and we have to start everything again.
[00:00:37.440 --> 00:00:39.200]   It's not about that timetable.
[00:00:39.200 --> 00:00:43.200]   It's more about like, when do you start school?
[00:00:43.200 --> 00:00:45.280]   Do I start at two year old or three year old?
[00:00:45.280 --> 00:00:47.280]   You know, do I finish school,
[00:00:47.280 --> 00:00:49.900]   do I have a time for my gap year or not?
[00:00:49.900 --> 00:00:51.200]   When do I get married?
[00:00:51.200 --> 00:00:53.560]   There's a timetable to get married, to get pregnant,
[00:00:53.560 --> 00:00:55.680]   and then to buy a house.
[00:00:55.680 --> 00:00:59.320]   All these are so jam-packed that there's little
[00:00:59.320 --> 00:01:00.960]   for us to move about.
[00:01:00.960 --> 00:01:04.320]   It feels like everything is set on a timetable,
[00:01:04.320 --> 00:01:07.480]   every moment scheduled, and every detail planned
[00:01:07.480 --> 00:01:09.440]   with little room for mistakes.
[00:01:09.440 --> 00:01:11.640]   So when I moved to Australia,
[00:01:11.640 --> 00:01:15.200]   it felt like stepping into a completely new world,
[00:01:15.200 --> 00:01:16.720]   one without a map.
[00:01:16.720 --> 00:01:19.640]   No one's telling me what is going to happen next,
[00:01:19.640 --> 00:01:23.000]   no plan in my hand, with just a wide space
[00:01:23.000 --> 00:01:25.520]   full of possibilities.
[00:01:25.520 --> 00:01:28.320]   Well, for me, the change is not just about work.
[00:01:28.320 --> 00:01:32.640]   It's about giving myself a chance to rediscover who I am
[00:01:32.640 --> 00:01:36.840]   and to step out of all the boxes that people have put me in
[00:01:36.840 --> 00:01:40.720]   and to explore new things and to find a new me.
[00:01:40.720 --> 00:01:42.840]   Well, the first new me that I discovered,
[00:01:42.840 --> 00:01:44.920]   that is that I have natural curly hair.
[00:01:44.920 --> 00:01:47.920]   So when I moved to Australia,
[00:01:47.920 --> 00:01:50.560]   I stopped straightening my hair and found out that,
[00:01:50.560 --> 00:01:53.280]   wow, actually, this is, I have curly hair
[00:01:53.280 --> 00:01:56.160]   and I look pretty good in it, right?
[00:01:56.160 --> 00:01:58.000]   Okay, there's a little delay, but I accept that.
[00:01:58.000 --> 00:02:00.200]   It's okay. (laughs)
[00:02:00.200 --> 00:02:02.640]   Well, and it's not just about the outer,
[00:02:02.640 --> 00:02:08.800]   the facial appearance that was not a newer,
[00:02:08.800 --> 00:02:11.400]   but in the places, in that place,
[00:02:11.400 --> 00:02:14.640]   I discovered that my faith was often small,
[00:02:14.640 --> 00:02:16.440]   that there were many uncertainties
[00:02:16.440 --> 00:02:19.360]   and insecurities in myself.
[00:02:19.400 --> 00:02:21.480]   And in those moments, I began to learn
[00:02:21.480 --> 00:02:25.600]   how to rebuild my faith and how to grab hold of Jesus
[00:02:25.600 --> 00:02:27.960]   when I feel that I'm sinking.
[00:02:27.960 --> 00:02:31.040]   I was truly living in the no-map season,
[00:02:31.040 --> 00:02:35.000]   but it wasn't by accident that I stumbled upon Australia.
[00:02:35.000 --> 00:02:37.240]   It wasn't that I got lost, I got on a plane,
[00:02:37.240 --> 00:02:39.360]   and I happened to be in Australia.
[00:02:39.360 --> 00:02:44.360]   No, I made a conscious decision to enter into that space.
[00:02:44.360 --> 00:02:48.840]   I want to find myself again, to try new paths,
[00:02:48.840 --> 00:02:52.920]   to give myself space, to quietly hear God's voice,
[00:02:52.920 --> 00:02:56.280]   and to grow in a community that loved Him.
[00:02:56.280 --> 00:02:58.440]   The vision for our church this year
[00:02:58.440 --> 00:03:02.400]   is about being in the uncharted,
[00:03:02.400 --> 00:03:05.840]   but let me be clear, we're not just drifting along,
[00:03:05.840 --> 00:03:08.320]   waiting to see what's going to happen,
[00:03:08.320 --> 00:03:10.880]   following trends, or copying some 10-step
[00:03:10.880 --> 00:03:13.160]   to grow our church formula.
[00:03:13.160 --> 00:03:16.920]   Instead, we're intentionally placing ourselves
[00:03:16.920 --> 00:03:20.320]   in a position where God has room to lead us,
[00:03:20.320 --> 00:03:24.520]   to show us new direction and new possibilities.
[00:03:24.520 --> 00:03:28.240]   We want to trust the Holy Spirit to be our compass
[00:03:28.240 --> 00:03:31.200]   and not rely on the world's map.
[00:03:31.200 --> 00:03:34.760]   We want to be a people who are willing to step out,
[00:03:34.760 --> 00:03:37.240]   to take risks, and to obey God,
[00:03:37.240 --> 00:03:39.760]   not because we already have the answers
[00:03:39.760 --> 00:03:42.840]   or the roadmap to it, but because we know
[00:03:42.840 --> 00:03:45.200]   that it is God who truly does.
