
[00:00:00.000 --> 00:00:06.000]  歡迎大家來到元朗葡萄園教會的第二天,2025年。
[00:00:06.000 --> 00:00:10.000]  相信今天上帝有話想跟大家說。
[00:00:10.000 --> 00:00:16.000]  一個新的一年,新的開始,新的信息,新的更新,新的靈將會臨到我們當中。
[00:00:16.000 --> 00:00:23.000]  過去一個星期,我們看到美國,美國洛杉磯,大家都看到新聞,
[00:00:23.000 --> 00:00:32.000]  有他們當地有史以來最嚴重的山火,無情的火奪去了很多人的生命,還有很多家園。
[00:00:32.000 --> 00:00:41.000]  我們都繼續為當地祈禱,求主,求上帝繼續去保守,繼續去幫助他們。
[00:00:41.000 --> 00:00:48.000]  在網上,不知道大家有沒有看到,其實有很多不同的,流傳很多不同的片段。
[00:00:48.000 --> 00:00:54.000]  其中一個就是當地一位消防員用他第一身配置的鏡頭,
[00:00:54.000 --> 00:00:58.000]  香港消防署好像沒有,兩位阿sir,應該沒有。
[00:00:58.000 --> 00:01:06.000]  自己配置一個鏡頭,就是可以第一身看到他如何進入一個單位裡面救火的情景。
[00:01:06.000 --> 00:01:15.000]  那個情景是很實在,很有現場感,導致我想起當年,又要想當年。
[00:01:15.000 --> 00:01:22.000]  當年我在一個火場,當年做消防員的時候,火場救火的情景。
[00:01:22.000 --> 00:01:26.000]  話說當時是大約凌晨,不是凌晨,是黃昏。
[00:01:26.000 --> 00:01:35.000]  黃昏大約七點鐘,我們收到呼召,呼召去召喚,不是呼召,呼召留在教會。
[00:01:35.000 --> 00:01:41.000]  消防那些叫召喚,OK?不過都是call。
[00:01:41.000 --> 00:01:46.000]  收到召喚就去屯門一個公屋救一場單位的火。
[00:01:46.000 --> 00:01:52.000]  去到的時候,因為需要很多人手去疏散,很快就升為三級火。
[00:01:52.000 --> 00:01:58.000]  我頭陣車到,頭陣車就是第一批的消防車。
[00:01:58.000 --> 00:02:02.000]  第一批通常是四紅一白,四架消防車,一架救護車。
[00:02:02.000 --> 00:02:07.000]  第一陣頭陣車到的時候,其實已經在燒,當然。
[00:02:07.000 --> 00:02:14.000]  是在21樓,頭陣車上去,然後小搶救車幫忙爆了其中一個單位的門。
[00:02:14.000 --> 00:02:26.000]  我就揹著煙帽,拖喉進去,第一個進火場去救火。
[00:02:26.000 --> 00:02:35.000]  進去的時候,裡面很大煙,大概能見到是三十公分左右。
[00:02:35.000 --> 00:02:41.000]  三十公分即是多少?即是這麼多,一尺,差不多一尺。
[00:02:41.000 --> 00:02:44.000]  即是代表甚麼?你伸長一點,伸手不見五指。
[00:02:44.000 --> 00:02:46.000]  我只見到自己的手和自己的喉。
[00:02:46.000 --> 00:02:51.000]  但越來越熱,很大煙,我越蹲越低。
[00:02:51.000 --> 00:03:00.000]  如果大家有些認識知識的話,火是熱向上的,在火場裡面是很熱的。
[00:03:00.000 --> 00:03:03.000]  你差兩尺,可以差一百度。
[00:03:03.000 --> 00:03:12.000]  越蹲越低,但最慘的是甚麼?我見不到火頭,裡面很熱,裡面很黑。
[00:03:12.000 --> 00:03:18.000]  但我知道我一定要找到火源才能控制火勢。
[00:03:18.000 --> 00:03:26.000]  我就這樣和火連了十分鐘,我唯有到處射水,因為我不知道在哪裏,
[00:03:26.000 --> 00:03:33.000]  我不斷射,射了十分鐘,突然「砰」一聲,有個玻璃窗爆了,
[00:03:33.000 --> 00:03:40.000]  那些煙開始散出去,我就開始見到那邊有個黃黃的火源,
[00:03:40.000 --> 00:03:45.000]  我就終於可以在那邊射水,因為當時不知道甚麼原因,
[00:03:45.000 --> 00:03:49.000]  我的喉又卡住了,我又不能一直去推進,
[00:03:49.000 --> 00:03:58.000]  我只能夠離遠去射水,但起碼我最終都可以控制到火勢。
[00:03:58.000 --> 00:04:06.000]  回想當時的情景,是十七年前,但都仍然記憶猶新,
[00:04:06.000 --> 00:04:11.000]  所以我想向每一位消防員致敬。
[00:04:11.000 --> 00:04:21.000]  不要看那邊,很尷尬,看著鏡頭吧,可能香港有萬多位消防員,向他們致敬。
[00:04:21.000 --> 00:04:30.000]  回想當時的十分鐘,其實是很無助的,又很熱,又甚麼都看不到,
[00:04:30.000 --> 00:04:34.000]  我又不能把喉咽掉。
[00:04:34.000 --> 00:04:43.000]  當時我最希望的是,我可以看得見,我可以看得見我想看到的東西。
[00:04:43.000 --> 00:04:50.000]  我知道有個火源在那裡,但我看不到,我甚麼都做不到,
[00:04:50.000 --> 00:04:56.000]  我知道如果我看見,我就可以用水去控制火頭。
[00:04:56.000 --> 00:04:59.000]  大家可能沒有試過這樣去救火,
[00:04:59.000 --> 00:05:06.000]  但在大家的生活中,會否有試過遇上一些困境,
[00:05:06.000 --> 00:05:13.000]  你覺得其實應該有希望,但你找不到出路,你看不到。
[00:05:13.000 --> 00:05:17.000]  尤其是在我們的信仰中,我們經常知道我們有主,我們有盼望,
[00:05:17.000 --> 00:05:23.000]  但在這個處境中,在這個困境中,沒有人可以幫到你,
[00:05:23.000 --> 00:05:28.000]  沒有人可以幫到你,你找不到,你仍然看不到。
[00:05:28.000 --> 00:05:37.000]  我們延續我們一月的講道系列,在我們一個禁食禱告的期間,放膽禱告。
[00:05:37.000 --> 00:05:41.000]  放膽禱告系列中,我們今天主題是漢見。
[00:05:41.000 --> 00:05:48.000]  我們會去到獵王紀夏中,看一看先知以利沙,
[00:05:48.000 --> 00:05:53.000]  他如何藉著漢見去打破他的困境。
[00:05:53.000 --> 00:05:55.000]  我們一起看一看經文吧。
[00:05:55.000 --> 00:05:58.000]  我先喝口水,不好意思。
[00:05:58.000 --> 00:06:01.000]  大家忍耐一下我的聲線。
[00:06:01.000 --> 00:06:13.000]  我是白隊Ray,大家真的要小心身體,流感器,真的要命。
[00:06:13.000 --> 00:06:16.000]  真的比COVID更嚴重,那個辛苦程度。
[00:06:16.000 --> 00:06:23.000]  好,獵王紀夏,六章,第八節開始了。
[00:06:23.000 --> 00:06:26.000]  今天的經文有點長,不好意思。
[00:06:26.000 --> 00:06:31.000]  大家撐住,OK嗎?神的話語,醒神。
[00:06:31.000 --> 00:06:36.000]  第八節開始,阿難王和以色列作戰。
[00:06:36.000 --> 00:06:42.000]  他和神僕商議,說要去到某處安營,就是去攻打以色列。
[00:06:42.000 --> 00:06:50.000]  神人就派人到以色列王那裡去,說你要小心,不要經過某處,因為阿難人會去到那裡。
[00:06:50.000 --> 00:06:58.000]  以色列王派人去到神人那裡告訴他那個地方,神人警告他,神人就是以利沙。
[00:06:58.000 --> 00:07:02.000]  他就在那裡有所防備,不止一兩次。
[00:07:02.000 --> 00:07:08.000]  阿難王因為這件事心裡很氣憤,召了神僕來跟他們說,
