
[00:00:00.000 --> 00:00:01.160]   - Amen. - Amen.
[00:00:01.160 --> 00:00:02.520]   Thank you, Carla.
[00:00:02.520 --> 00:00:05.200]   We are a staff that loves to smile indeed.
[00:00:05.200 --> 00:00:07.120]   So Carla's always got a smile on her face.
[00:00:07.120 --> 00:00:08.660]   Even through the most stressful times,
[00:00:08.660 --> 00:00:10.800]   you'll never see Carla without a smile on her face.
[00:00:10.800 --> 00:00:12.080]   Isn't that right, Richard?
[00:00:12.080 --> 00:00:12.920]   Yes?
[00:00:12.920 --> 00:00:13.920]   Yeah, okay, yeah.
[00:00:13.920 --> 00:00:15.000]   Good answer.
[00:00:15.000 --> 00:00:17.120]   All right, well, good morning, y'all.
[00:00:17.120 --> 00:00:19.440]   Here and online.
[00:00:19.440 --> 00:00:21.280]   How y'all doing today?
[00:00:21.280 --> 00:00:23.560]   Good, okay, you'll have to excuse me a little bit.
[00:00:23.560 --> 00:00:26.200]   I just returned to Hong Kong after spending some time
[00:00:26.200 --> 00:00:28.320]   in Texas with my wife's family.
[00:00:28.320 --> 00:00:30.400]   So if I start throwing out words like y'all
[00:00:30.400 --> 00:00:33.080]   and fixin' to and howdy, you know,
[00:00:33.080 --> 00:00:36.160]   I'm not having a stroke, I'm not having an identity crisis,
[00:00:36.160 --> 00:00:39.160]   just readjusting to Hong Kong, okay?
[00:00:39.160 --> 00:00:40.800]   Any Texans in the house today, by the way?
[00:00:40.800 --> 00:00:42.640]   Anyone from Texas?
[00:00:42.640 --> 00:00:44.720]   No, all right, all right, all right.
[00:00:44.720 --> 00:00:46.420]   Okay, just me, okay.
[00:00:46.420 --> 00:00:51.800]   Well, our son, Isaiah, I just had to,
[00:00:51.800 --> 00:00:53.200]   Isaiah, that is his name, yes?
[00:00:53.200 --> 00:00:56.480]   Isaiah is turning two in a few weeks.
[00:00:56.480 --> 00:00:59.280]   And watching him grow has been the most lovely
[00:00:59.280 --> 00:01:01.880]   yet frustrating journey we've been on together
[00:01:01.880 --> 00:01:03.720]   as a family so far.
[00:01:03.720 --> 00:01:05.760]   Of course, there are many challenges.
[00:01:05.760 --> 00:01:08.000]   And one of the challenges we're facing this time
[00:01:08.000 --> 00:01:10.740]   is teaching him impulse control,
[00:01:10.740 --> 00:01:12.560]   which at the moment seems pretty,
[00:01:12.560 --> 00:01:15.400]   you know, it doesn't exist for him, basically.
[00:01:15.400 --> 00:01:18.400]   He just does whatever he wants, whenever he wants.
[00:01:18.400 --> 00:01:20.760]   This might be screaming at the top of his lungs
[00:01:20.760 --> 00:01:21.760]   for no reason.
[00:01:21.760 --> 00:01:25.000]   This might be, you know, throwing food across the table.
[00:01:25.000 --> 00:01:27.800]   This might be licking things that he shouldn't be licking,
[00:01:27.800 --> 00:01:31.640]   like the MTR pole that everybody has their hands on, okay?
[00:01:31.640 --> 00:01:33.600]   I'm told, this is, the internet tells me,
[00:01:33.600 --> 00:01:34.760]   so it must be true, right?
[00:01:34.760 --> 00:01:38.940]   This is a very common stage for toddlers to go through.
[00:01:38.940 --> 00:01:41.560]   In fact, there's a very famous social experiment
[00:01:41.560 --> 00:01:45.000]   that highlights this thing about children
[00:01:45.000 --> 00:01:45.880]   and impulse control.
[00:01:45.880 --> 00:01:48.940]   It's called the Stanford Marshmallow Experiment.
[00:01:48.940 --> 00:01:50.280]   Some of you might be familiar with it.
[00:01:50.280 --> 00:01:52.320]   You might have seen the YouTube video on it.
