
[00:00:00.000 --> 00:00:01.560]  多謝Ivan,給Ivan掌聲吧
[00:00:01.560 --> 00:00:02.840]  嘩,好多人聲
[00:00:02.840 --> 00:00:04.720]  Speak too loud
[00:00:04.720 --> 00:00:06.720]  Maybe I'm too loud
[00:00:06.720 --> 00:00:11.120]  第三個星期的章林期
[00:00:11.120 --> 00:00:15.640]  換言之,我們距離聖誕只剩下十天時間
[00:00:15.640 --> 00:00:19.480]  大家是否已經開始去聖誕派對
[00:00:19.480 --> 00:00:22.440]  很多公司、很多地方的派對要去
[00:00:22.440 --> 00:00:23.880]  大家吃過了嗎?
[00:00:23.880 --> 00:00:24.400]  還未
[00:00:24.400 --> 00:00:24.920]  還未?
[00:00:24.920 --> 00:00:27.200]  即是還有時間,繼續吃,OK
[00:00:27.200 --> 00:00:30.800]  是否已經去過很多派對,去到很累了?
[00:00:30.800 --> 00:00:32.360]  應該不是
[00:00:32.360 --> 00:00:34.720]  還有力量繼續去,是嗎?
[00:00:34.720 --> 00:00:36.920]  派對很重要的
[00:00:36.920 --> 00:00:41.040]  大家不要覺得派對一定是邪惡
[00:00:41.040 --> 00:00:43.760]  派對本身是很好的一件事,很美好
[00:00:43.760 --> 00:00:47.720]  而且派對是一件很合乎聖經的事
[00:00:47.720 --> 00:00:48.720]  我們之前有說過
[00:00:48.720 --> 00:00:51.680]  當罪人回到主的懷裡
[00:00:51.680 --> 00:00:54.000]  天上都會有開派對
[00:00:54.000 --> 00:00:56.880]  最重要是開派對有一個目的
[00:00:56.880 --> 00:01:00.040]  那個派對是在慶祝一些事情
[00:01:00.040 --> 00:01:02.400]  不是大家互劈
[00:01:02.400 --> 00:01:04.440]  不是那些,是那些
[00:01:04.440 --> 00:01:06.760]  大家不要互劈,喝醉了
[00:01:06.760 --> 00:01:10.640]  每一個派對背後應該有一些事情想去慶祝
[00:01:10.640 --> 00:01:15.320]  而慶祝這個動作本來也是非常合乎聖經的
[00:01:15.320 --> 00:01:17.920]  我們每個星期走在一起
[00:01:17.920 --> 00:01:21.200]  星期日我們拿一個多兩個小時的時間出來
[00:01:21.200 --> 00:01:24.680]  除了因為我們都是基督徒
[00:01:24.680 --> 00:01:27.280]  我們這個是責任之類之外
[00:01:27.280 --> 00:01:28.680]  我們在這裡其中一個原因
[00:01:28.680 --> 00:01:31.280]  都是我們在慶祝一些事情
[00:01:31.280 --> 00:01:34.160]  我們在慶祝我們在耶穌裡面有的新生命
[00:01:34.160 --> 00:01:37.240]  我們在慶祝我們每一次回來的時候
[00:01:37.240 --> 00:01:38.360]  或者我們聚集
[00:01:38.360 --> 00:01:39.560]  或者我們自己一個人
[00:01:39.560 --> 00:01:41.520]  有時候我們禱告,當我們敬拜
[00:01:41.520 --> 00:01:42.840]  我們去經歷神的愛
[00:01:42.840 --> 00:01:44.840]  當我們經歷到神的喜樂的時候
[00:01:44.840 --> 00:01:47.800]  這些都是值得慶祝的事情
[00:01:47.800 --> 00:01:51.320]  今天真的好冷,我感覺到
[00:01:51.320 --> 00:01:54.280]  慶祝是一件很重要的事
[00:01:54.280 --> 00:01:55.960]  很多時候我們會
[00:01:55.960 --> 00:01:57.360]  特別在教會裡面
[00:01:57.360 --> 00:02:00.840]  我們會透過唱一些歌來慶祝
[00:02:00.840 --> 00:02:02.720]  我們剛才一開始的時候
[00:02:02.720 --> 00:02:05.000]  我們會有一齊去唱歌的時間
[00:02:05.000 --> 00:02:08.560]  特別今天早上我們唱了一些聖誕歌
[00:02:08.560 --> 00:02:11.080]  可能你是一年真的那個時間才會唱
[00:02:11.080 --> 00:02:12.960]  正如Spotify有一張播放清單
[00:02:12.960 --> 00:02:14.480]  或者有一堆播放清單
[00:02:14.480 --> 00:02:16.240]  差不多到了每一年的時候
[00:02:16.240 --> 00:02:18.560]  它就會自己彈出來叫你聽那堆歌
[00:02:18.560 --> 00:02:20.800]  覺得你走到商場你又會聽
[00:02:20.800 --> 00:02:22.960]  然後你自己可能在車上又會聽
[00:02:22.960 --> 00:02:24.240]  可能你走到哪裡都會聽
[00:02:24.240 --> 00:02:28.240]  原來那些歌是聖誕歌
[00:02:28.240 --> 00:02:30.400]  不過原來當我們去看聖經
[00:02:30.400 --> 00:02:33.200]  當我們看回聖經最早期的記載
[00:02:33.200 --> 00:02:35.600]  聖誕的確是有一些歌
[00:02:35.600 --> 00:02:37.280]  在聖誕的故事裡面
[00:02:37.280 --> 00:02:39.880]  特別在《路加福音》裡面記載了
[00:02:39.880 --> 00:02:43.280]  幾首關於耶穌降生的時期裡面
[00:02:43.280 --> 00:02:44.400]  有幾首的歌
[00:02:44.400 --> 00:02:46.640]  今天我們會來看其中的一首
[00:02:46.640 --> 00:02:48.360]  我們會來看一首屬於
[00:02:48.360 --> 00:02:50.000]  瑪利亞耶穌的媽媽
[00:02:50.000 --> 00:02:52.080]  瑪利亞的一首歌
[00:02:52.080 --> 00:02:54.080]  在…
[00:02:54.080 --> 00:02:56.880]  今天還有點冷
[00:02:56.880 --> 00:03:01.240]  我們今天會來看《路加福音》
[00:03:01.240 --> 00:03:04.280]  我們之前的一個多兩個星期
[00:03:04.280 --> 00:03:05.840]  我們已經開始了
[00:03:05.840 --> 00:03:07.720]  來看聖誕的故事
[00:03:07.720 --> 00:03:08.760]  特別上個星期
[00:03:08.760 --> 00:03:10.560]  Pastor Ivan跟我們分享到
[00:03:10.560 --> 00:03:11.640]  瑪利亞這個角色
[00:03:11.640 --> 00:03:16.400]  相信這個角色是不能夠再更加受歡迎的
[00:03:16.400 --> 00:03:18.280]  話說耶穌誕生
[00:03:18.280 --> 00:03:21.000]  或者約瑟瑪利亞的故事
[00:03:21.000 --> 00:03:22.160]  當我小時候
[00:03:22.160 --> 00:03:23.520]  當我三、四歲的時候
[00:03:23.520 --> 00:03:25.840]  因為我三、四歲上教會的時候
[00:03:25.840 --> 00:03:28.640]  聖誕節就被導師叫我上去
[00:03:28.640 --> 00:03:31.280]  做一個聖誕的戲劇
[00:03:31.280 --> 00:03:32.080]  就是要…
[00:03:32.080 --> 00:03:33.200]  就是要好像扮什麼
[00:03:33.200 --> 00:03:34.880]  好像是扮約瑟的
[00:03:34.880 --> 00:03:37.800]  小時候我就聽過有約瑟瑪利亞的故事
[00:03:37.800 --> 00:03:40.640]  可能你也聽過約瑟瑪利亞的故事很多次
[00:03:40.640 --> 00:03:42.800]  聽過怎樣有一個天使來找他告訴他
[00:03:42.800 --> 00:03:43.960]  喂 你會懷孕
[00:03:43.960 --> 00:03:45.560]  他說 我會懷孕?
[00:03:45.560 --> 00:03:46.720]  是 我知道你還沒結婚
[00:03:46.720 --> 00:03:48.000]  不過你會懷孕
[00:03:48.000 --> 00:03:49.160]  但是嚇到他
[00:03:49.160 --> 00:03:50.560]  嚇到他
[00:03:50.560 --> 00:03:52.560]  這個故事我們上個星期聽完
[00:03:52.560 --> 00:03:54.480]  我們今天來看看
[00:03:54.480 --> 00:03:57.200]  瑪利亞怎樣來回應
[00:03:57.200 --> 00:03:59.600]  我們會去看看路加福音第一章
[00:03:59.600 --> 00:04:01.640]  由第46節開始
[00:04:01.640 --> 00:04:02.840]  那裡說瑪利亞說
[00:04:02.840 --> 00:04:05.000]  我的心裡面尊主為大
[00:04:05.000 --> 00:04:06.640]  我的靈以我的神
[00:04:06.640 --> 00:04:08.240]  我的救主為樂
[00:04:08.240 --> 00:04:10.680]  因為祂顧念祂使慮的卑微
[00:04:10.680 --> 00:04:13.480]  從今以後萬代都稱我為有福
[00:04:13.480 --> 00:04:16.680]  那個有權能的為我成就了大事
[00:04:16.680 --> 00:04:18.280]  祂的名為聖
[00:04:18.280 --> 00:04:21.840]  祂憐憫敬畏祂的人直到世世代代
[00:04:21.840 --> 00:04:24.400]  祂用磅秘施展大能
[00:04:24.400 --> 00:04:27.160]  那些狂傲的人
[00:04:27.160 --> 00:04:29.240]  他們心裡面妄想的時候
[00:04:29.240 --> 00:04:31.960]  就被神趕散了
[00:04:31.960 --> 00:04:34.840]  祂叫有權位的失位
[00:04:34.840 --> 00:04:37.160]  祂叫悲戰的升高
[00:04:37.160 --> 00:04:39.520]  叫飢餓的可以得飽美食
[00:04:39.520 --> 00:04:41.680]  叫富足的空手回去
[00:04:41.680 --> 00:04:44.360]  祂輔助了他的僕人以色列
[00:04:44.360 --> 00:04:47.880]  為了要紀念亞伯拉罕和他的後裔
[00:04:47.880 --> 00:04:50.840]  向他們施憐憫直到永遠
[00:04:50.840 --> 00:04:52.160]  正如從前
[00:04:52.160 --> 00:04:54.000]  他對我們的列祖所說的話
[00:04:54.000 --> 00:04:54.680]  謝謝
[00:04:54.680 --> 00:04:55.680]  先喝口水
[00:04:55.680 --> 00:04:58.560]  好棒
[00:04:58.560 --> 00:05:02.000]  一首歌
