
[00:00:00.000 --> 00:00:03.080]   (gentle piano music)
[00:00:03.080 --> 00:00:26.840]   When he shall come with trumpet sound,
[00:00:26.840 --> 00:00:29.480]   and may I then in him be found,
[00:00:29.480 --> 00:00:32.880]   dressed only in his righteousness,
[00:00:32.880 --> 00:00:36.480]   faultless I stand before his throne.
[00:00:36.480 --> 00:00:40.240]   The words of that beautiful modern day hymn
[00:00:40.240 --> 00:00:42.920]   that we've just heard really resonate
[00:00:42.920 --> 00:00:45.280]   with a central theme that we're looking at here
[00:00:45.280 --> 00:00:48.600]   in our Advent season at the Vine in 2024.
[00:00:48.600 --> 00:00:50.720]   We've been saying each week, haven't we,
[00:00:50.720 --> 00:00:53.720]   that Advent is not just about the birth of Christ,
[00:00:53.720 --> 00:00:56.160]   it's also about this longing for his return.
[00:00:56.160 --> 00:00:59.360]   And I love how that song picks up that longing.
[00:00:59.360 --> 00:01:03.840]   When the trumpets sound, Christ will return to this world.
[00:01:03.840 --> 00:01:07.460]   And as he returns, his heart is to make this whole world
[00:01:07.460 --> 00:01:10.980]   just as he had always planned and designed for it to be.
[00:01:10.980 --> 00:01:14.080]   We read in that picture in Revelation 21 and 22
[00:01:14.080 --> 00:01:16.120]   that he's gonna make all things new,
[00:01:16.120 --> 00:01:18.800]   this desire to bring every tribe and tongue
[00:01:18.800 --> 00:01:21.880]   and nation together, praising him in a city
[00:01:21.880 --> 00:01:24.280]   that will come from heaven down to earth,
[00:01:24.280 --> 00:01:26.840]   drawing together all people, no more sin,
[00:01:26.840 --> 00:01:29.840]   no more brokenness, no more death.
[00:01:29.840 --> 00:01:31.960]   We will all find life to its fullness
[00:01:31.960 --> 00:01:34.000]   in the presence of him.
[00:01:34.000 --> 00:01:36.200]   And I love the way that the writer of that song
[00:01:36.200 --> 00:01:40.820]   expresses that sense within them, this idea of confidence.
[00:01:40.820 --> 00:01:44.020]   They say, here's where my confidence will be on that day.
[00:01:44.020 --> 00:01:46.000]   It's not gonna be in me.
[00:01:46.000 --> 00:01:49.800]   It's not gonna be in how well that I live my life.
[00:01:49.800 --> 00:01:51.840]   It's not gonna be that I had all the answers
[00:01:51.840 --> 00:01:54.760]   and I knew everything and I did the best that I could.
[00:01:54.760 --> 00:01:59.240]   No, he says, I will be dressed in his righteousness alone.
[00:01:59.240 --> 00:02:02.000]   In other words, the only thing I'm gonna have on that day,
[00:02:02.000 --> 00:02:04.680]   the only thing I need to have on that day
[00:02:04.680 --> 00:02:07.000]   is not my goodness, not my strength,
[00:02:07.000 --> 00:02:08.760]   not me having figured it all out.
[00:02:08.760 --> 00:02:11.780]   It's only in the life, death and resurrection of Jesus,
[00:02:11.780 --> 00:02:13.120]   what he's done on the cross,
[00:02:13.120 --> 00:02:14.880]   how he's paid the price for my sin,
[00:02:14.880 --> 00:02:16.240]   how I've come into that forgiveness
[00:02:16.240 --> 00:02:17.520]   and redemption for myself.
[00:02:17.520 --> 00:02:20.560]   And I'm gonna be dressed, not in my righteousness,
[00:02:20.560 --> 00:02:23.600]   as if I'm dressed in my righteousness on that day,
[00:02:23.600 --> 00:02:24.920]   things are not gonna go well.
[00:02:24.920 --> 00:02:27.320]   I'm gonna be dressed in his righteousness alone.
[00:02:27.320 --> 00:02:28.640]   And if that's the case,
[00:02:28.640 --> 00:02:31.020]   then I will be faultless before his throne.
