
[00:00:00.000 --> 00:00:02.440]   Amen, amen, awesome.
[00:00:02.440 --> 00:00:05.400]   Have a seat, please, have a seat.
[00:00:05.400 --> 00:00:11.000]   Well, welcome to the Vine if this is your relatively new time or if this is kind of
[00:00:11.000 --> 00:00:12.560]   like one of your first times.
[00:00:12.560 --> 00:00:13.800]   We're so grateful you're here.
[00:00:13.800 --> 00:00:15.480]   This is our 11 o'clock service.
[00:00:15.480 --> 00:00:18.800]   We have three services on a Sunday, 9, 15, 11, and 2.
[00:00:18.800 --> 00:00:20.920]   We're very, very, very full at the 11 o'clock.
[00:00:20.920 --> 00:00:26.360]   In fact, we've got a huge overflow happening at the moment and there's probably not a spare.
[00:00:26.360 --> 00:00:28.440]   But if you do have a seat next to you, could you just put your hand up?
[00:00:28.440 --> 00:00:31.240]   There are some people standing around the sides here.
[00:00:31.240 --> 00:00:35.120]   So if you do have a seat next to you, there's one right at the front over here.
[00:00:35.120 --> 00:00:37.840]   There's one in the back over here.
[00:00:37.840 --> 00:00:39.120]   We really appreciate it.
[00:00:39.120 --> 00:00:41.480]   We don't want anyone having to stand, but we recognize that there's a bunch of people
[00:00:41.480 --> 00:00:42.960]   standing in the upper house and the lower house.
[00:00:42.960 --> 00:00:47.480]   So if there's a possible seat next to you or if somebody just doesn't mind like sharing
[00:00:47.480 --> 00:00:52.000]   a seat, you know, bum on each part of the seat, we're a community here together.
[00:00:52.000 --> 00:00:54.080]   Okay, maybe don't do that.
[00:00:54.080 --> 00:00:56.000]   All right, Ellison's giving up his seat.
[00:00:56.000 --> 00:00:57.000]   Come on, let's hear it for Ellison.
[00:00:57.000 --> 00:00:58.000]   What a man.
[00:00:58.000 --> 00:00:59.000]   You can sit with Justin.
[00:00:59.000 --> 00:01:01.000]   Ellison's giving up his seat.
[00:01:01.000 --> 00:01:05.240]   Okay, we need one person for this seat.
[00:01:05.240 --> 00:01:08.280]   Otherwise it's going to look really weird in the video because there's going to be like
[00:01:08.280 --> 00:01:09.640]   an empty seat right here.
[00:01:09.640 --> 00:01:13.840]   Ellison, we need you back in that seat if no one else is going to sit in that seat.
[00:01:13.840 --> 00:01:14.840]   My name is Andrew.
[00:01:14.840 --> 00:01:15.840]   I'm one of the pastors here.
[00:01:15.840 --> 00:01:16.840]   We're grateful that you're here.
[00:01:16.840 --> 00:01:19.880]   We've been in this series on the Holy Spirit over the last little while.
[00:01:19.880 --> 00:01:23.200]   And then this week and the next week, we're going to be focusing now on the work of the
[00:01:23.200 --> 00:01:24.200]   Spirit.
[00:01:24.200 --> 00:01:27.760]   And I'm really excited because we want to do a couple of things with you today.
[00:01:27.760 --> 00:01:31.760]   I want to teach you a little bit around the work of the Spirit, which I'll do in a moment.
[00:01:31.760 --> 00:01:34.200]   But the most important thing that's going to happen today is we're actually going to
[00:01:34.200 --> 00:01:40.080]   pray and we're going to make space for the work of the Spirit for each one of us here.
[00:01:40.080 --> 00:01:41.080]   And that's going to be personal.
[00:01:41.080 --> 00:01:42.520]   It'll be corporate.
[00:01:42.520 --> 00:01:44.200]   But we really want to make space today.
[00:01:44.200 --> 00:01:46.000]   So that's why we've set up a little bit differently.
[00:01:46.000 --> 00:01:48.120]   That's why we're going to have time.
[00:01:48.120 --> 00:01:50.880]   That's why we cut our worship a little bit shorter than we normally do because we want
[00:01:50.880 --> 00:01:54.840]   to emphasize ministry of the Holy Spirit on each one of us today.
[00:01:54.840 --> 00:01:57.240]   That's both Upper House, Lower House, in the overflow.
[00:01:57.240 --> 00:02:02.440]   And if you're joining us online right now, we're so grateful you're sitting at home somewhere
[00:02:02.440 --> 00:02:06.440]   wearing your pajamas maybe, just chilling out at home.
[00:02:06.440 --> 00:02:07.600]   We're glad that you're here with us as well.
[00:02:07.600 --> 00:02:11.440]   And we pray that this and what we do today will also really reach you and minister to
[00:02:11.440 --> 00:02:15.480]   you where you're at.
[00:02:15.480 --> 00:02:19.280]   In order to kind of unpack what I want to do with you guys, I want to start by having
[00:02:19.280 --> 00:02:20.280]   you guys do something.
[00:02:20.280 --> 00:02:25.520]   So I want you to start by thinking about when was the last time you experienced the personal
[00:02:25.520 --> 00:02:27.960]   work of the Holy Spirit for you?
[00:02:27.960 --> 00:02:32.400]   When was the last time you had a personal encounter with the Holy Spirit?
[00:02:32.400 --> 00:02:36.160]   For some of you, you're like, "Just two minutes ago during worship," which is great.
[00:02:36.160 --> 00:02:38.040]   But maybe for many of us, maybe it's another time.
[00:02:38.040 --> 00:02:39.040]   But have a think.
[00:02:39.040 --> 00:02:44.240]   When was the last time you had a personal encounter with the Holy Spirit and what was
[00:02:44.240 --> 00:02:45.240]   it like?
[00:02:45.240 --> 00:02:47.200]   Think about that.
[00:02:47.200 --> 00:02:53.160]   Now I would hazard a guess that for the majority of us in this room, when we pause for a moment
[00:02:53.160 --> 00:02:57.800]   to think about, "Okay, when was the last time I had a personal encounter with the Holy Spirit?"
[00:02:57.800 --> 00:03:02.680]   The natural tendency is maybe to think about some of the dramatic kind of manifestations
[00:03:02.680 --> 00:03:03.680]   of the Spirit.
[00:03:03.680 --> 00:03:07.800]   So we kind of automatically begin to think about, "Oh yeah, that time when somebody prayed
[00:03:07.800 --> 00:03:12.160]   for me and I felt like kind of bolts of lightning through my body," or, "Somebody prayed for
[00:03:12.160 --> 00:03:15.640]   me and I felt all warm inside," or, "Actually, there was that moment when I was praying for
[00:03:15.640 --> 00:03:19.440]   somebody at the service last weekend and I could see that the Holy Spirit was doing something
[00:03:19.440 --> 00:03:21.980]   on them and it just felt amazing."
[00:03:21.980 --> 00:03:25.720]   Or maybe it was a time where you had a headache and you prayed and suddenly your headache
[00:03:25.720 --> 00:03:26.720]   went.
[00:03:26.720 --> 00:03:30.400]   Or maybe you were with someone and they had something going on in their lives and a group
[00:03:30.400 --> 00:03:33.120]   of people prayed for them and you saw a miracle take place.
[00:03:33.120 --> 00:03:38.160]   I think when we often think about the work of the Holy Spirit, when we think about that
[00:03:38.160 --> 00:03:43.640]   as an encounter for us, it's easy for us to think about these dramatic moments where the
[00:03:43.640 --> 00:03:47.900]   Spirit does something external to us that is incredible to see.
[00:03:47.900 --> 00:03:51.440]   And those are, of course, very much the work of the Spirit.
[00:03:51.440 --> 00:03:53.520]   But here's a fascinating thing.
[00:03:53.520 --> 00:03:58.640]   When you open up the New Testament in particular and you look at the theology and the teaching
[00:03:58.640 --> 00:04:04.340]   around the Spirit, particularly in the work of Paul as he's writing to the church, predominantly
[00:04:04.340 --> 00:04:08.800]   what is spoken about when the work of the Spirit is spoken about is, yes, it is the
[00:04:08.800 --> 00:04:09.800]   external manifestations.
[00:04:09.800 --> 00:04:14.000]   I mean, we see those in the ministry of Jesus, of course, and the miracles in which he did.
[00:04:14.000 --> 00:04:17.800]   And then in the early church, we know that there was gifts of the Spirit that was poured
[00:04:17.800 --> 00:04:18.800]   out.
[00:04:18.800 --> 00:04:20.760]   And, of course, that external stuff was at work.
[00:04:20.760 --> 00:04:27.320]   But Paul, predominantly, when he's speaking about the Spirit and its work, he talks differently.
[00:04:27.320 --> 00:04:31.800]   He says, actually, the Spirit does its primary work within us.
[00:04:31.800 --> 00:04:38.280]   The slow at times, sometimes imperceptible changes that happen within us, that the Spirit
[00:04:38.280 --> 00:04:44.000]   by its fruit comes and changes us and turns us into people who are more patient, people
[00:04:44.000 --> 00:04:49.360]   who have more joy, people that find more love coming from us.
[00:04:49.360 --> 00:04:53.400]   And yes, there are the dramatic moments where the Spirit comes and does what only the Spirit
[00:04:53.400 --> 00:04:58.560]   can do, these miraculous things that I think, particularly for us charismatic Christians,
[00:04:58.560 --> 00:05:00.880]   that's kind of something that we long for and look for.
[00:05:00.880 --> 00:05:09.400]   But actually, it's the internal, quiet, step-by-step, life-transforming work of the Spirit that
[00:05:09.400 --> 00:05:13.040]   the New Testament particularly celebrates.
[00:05:13.040 --> 00:05:16.880]   In fact, it is these two things, and I want you to think about this, it is the external
[00:05:16.880 --> 00:05:23.720]   manifestations of the Spirit and the internal transformation by the Spirit that are the
[00:05:23.720 --> 00:05:25.080]   totality of His work.
[00:05:25.080 --> 00:05:27.600]   Are you following this?
[00:05:27.600 --> 00:05:32.120]   Here's the tendency I think we have as Christians, is that when we see that the work of the Spirit
[00:05:32.120 --> 00:05:37.280]   is both of these things, the problem is, though, if you're anything like me, you can have a
[00:05:37.280 --> 00:05:40.600]   bias towards one of them.
[00:05:40.600 --> 00:05:43.240]   And that bias might be for a number of reasons.
[00:05:43.240 --> 00:05:48.220]   There may be one of these sides, whether the external manifestation or the internal transformation,
[00:05:48.220 --> 00:05:54.800]   that we naturally find ourselves leaning more towards, wanting perhaps more or perhaps more
[00:05:54.800 --> 00:05:58.840]   comfortable with than the other.
[00:05:58.840 --> 00:06:06.080]   Perhaps for some of you in this room, your theological convictions and your own personal
[00:06:06.080 --> 00:06:10.580]   convictions lends you to one or the other.
[00:06:10.580 --> 00:06:16.520]   Maybe for some of us in this room, your past experience, whether good or bad, may actually
[00:06:16.520 --> 00:06:18.940]   put you in one camp or the other.
[00:06:18.940 --> 00:06:21.800]   Maybe for some of you in this room, you just don't care.
[00:06:21.800 --> 00:06:26.300]   The exits are just over here and here.
[00:06:26.300 --> 00:06:30.240]   But whatever it is, I think we as human beings, we find ourselves gravitating towards one
[00:06:30.240 --> 00:06:34.560]   of these things more, maybe because of theology, maybe because of experience, maybe because
[00:06:34.560 --> 00:06:38.000]   of our own convictions, but we're found in one of these things.
[00:06:38.000 --> 00:06:39.080]   Here's what I've found.
[00:06:39.080 --> 00:06:41.520]   I've found that this is seasonal in my life.
[00:06:41.520 --> 00:06:42.680]   I wonder if you've ever found this.
[00:06:42.680 --> 00:06:48.520]   I remember in my 20s, which was a while ago, I remember in my 20s so passionate about the
[00:06:48.520 --> 00:06:51.840]   physical manifestations of the Holy Spirit, man, I wanted to see miracles.
[00:06:51.840 --> 00:06:52.960]   I wanted to see God do anything.
[00:06:52.960 --> 00:06:56.120]   I wanted to lay hands on people that were texting their friends.
[00:06:56.120 --> 00:06:58.760]   Hi, how are you?
[00:06:58.760 --> 00:07:00.840]   The Lord Jesus.
[00:07:00.840 --> 00:07:04.960]   But I wanted to lay hands on people and pray for the Spirit, pray for miracles, see them
[00:07:04.960 --> 00:07:05.960]   set free.
[00:07:05.960 --> 00:07:06.960]   And I tell you what.
[00:07:06.960 --> 00:07:10.600]   In my 20s, I saw incredible things happen.
[00:07:10.600 --> 00:07:13.600]   In my 30s, though, I went to Bible school.
[00:07:13.600 --> 00:07:16.520]   And when I got to Bible school, it was almost like they did their very best to get rid of
[00:07:16.520 --> 00:07:19.320]   all of the manifestations of the Spirit, and it was all about the internal work of the
[00:07:19.320 --> 00:07:21.240]   sanctification of the Spirit.
[00:07:21.240 --> 00:07:25.240]   And I studied scripture, and I learned about what the internal work of the Spirit does.
[00:07:25.240 --> 00:07:29.640]   And I remember in my 30s, I was much more focused for a season on the internal work
[00:07:29.640 --> 00:07:32.880]   and the sanctification power of the Holy Spirit.
[00:07:32.880 --> 00:07:34.760]   In my 40s, I wanted both.
[00:07:34.760 --> 00:07:36.720]   In my 40s, I was like everywhere.
[00:07:36.720 --> 00:07:37.880]   I want dramatic things.
[00:07:37.880 --> 00:07:38.920]   I want the internal.
[00:07:38.920 --> 00:07:43.440]   In my 50s now, I can barely keep my eyes open.
[00:07:43.440 --> 00:07:45.080]   But for me, it's been a seasonal thing.
[00:07:45.080 --> 00:07:47.320]   I've found myself moving in seasons.
[00:07:47.320 --> 00:07:48.760]   Perhaps that's the same for you.
[00:07:48.760 --> 00:07:51.680]   Here's what I want to say, and I think this is really important.
[00:07:51.680 --> 00:07:54.080]   Here at The Vine, if you're new with us, welcome.
[00:07:54.080 --> 00:07:56.640]   But here at The Vine, we've been talking about over the last number of months that we're
[00:07:56.640 --> 00:07:59.520]   in a season of uncharted waters.
[00:07:59.520 --> 00:08:03.440]   What we mean by that is that the Lord is moving us as a church community out of our comfort
[00:08:03.440 --> 00:08:08.160]   zones into a place where we don't have a map or we don't have a strategy.
[00:08:08.160 --> 00:08:12.920]   The Holy Spirit is beginning to do things amongst us that are taking us by surprise
[00:08:12.920 --> 00:08:17.560]   and causing us to kind of rethink how we do things together as a community.
[00:08:17.560 --> 00:08:20.680]   It's an incredibly exciting time that we're in.
[00:08:20.680 --> 00:08:25.800]   And because we are in an uncharted time, because we are feeling a little bit out of our comfort
[00:08:25.800 --> 00:08:30.960]   zones, here's what I think the Spirit wants you personally to lean into, to recognize
[00:08:30.960 --> 00:08:38.000]   which of these two sides you have a little bit more of a leaning towards, and then intentionally
[00:08:38.000 --> 00:08:41.840]   in this time, try to work on the other side.
[00:08:41.840 --> 00:08:46.120]   Try to open your heart to the other aspects of the work of the Spirit.
