
[00:00:00.000 --> 00:00:03.000]   Best Christmas video ever!
[00:00:03.000 --> 00:00:09.920]   Oh my gosh, I don't know about you, but I learned a lot about Christmas from that video.
[00:00:09.920 --> 00:00:13.920]   I'm glad that we finally settled the age old question of whether there were dinosaurs at
[00:00:13.920 --> 00:00:14.920]   Christmas.
[00:00:14.920 --> 00:00:16.320]   There were.
[00:00:16.320 --> 00:00:19.800]   We finally got proof that Jesus could fly as a child.
[00:00:19.800 --> 00:00:21.040]   That's a great thing.
[00:00:21.040 --> 00:00:23.800]   Apparently there's such a thing as bubble pop.
[00:00:23.800 --> 00:00:27.000]   Don't know what that is, but yeah.
[00:00:27.000 --> 00:00:29.960]   I love the fact that Jesus got jewelry on Christmas day.
[00:00:29.960 --> 00:00:35.840]   And not just jewelry, but pretty shiny jewelry.
[00:00:35.840 --> 00:00:41.880]   And perhaps my favorite of all, right at the end there when she's like, "There's a light!"
[00:00:41.880 --> 00:00:45.080]   Which actually is the only thing in that video that is true.
[00:00:45.080 --> 00:00:49.640]   There was, there was actually a light there on Christmas day.
[00:00:49.640 --> 00:00:54.680]   The Bible describes it actually as the glory of God that shone all around.
[00:00:54.680 --> 00:00:58.560]   In fact, I want to read to you the bit from the Christmas story where it speaks about
[00:00:58.560 --> 00:01:01.160]   that light coming and shining.
[00:01:01.160 --> 00:01:06.680]   It's right after Jesus has actually been born by Mary and Joseph there in the stable.
[00:01:06.680 --> 00:01:10.880]   And then right after that, the writer of the gospel of Luke, Luke writes this incredible
[00:01:10.880 --> 00:01:11.880]   thing.
[00:01:11.880 --> 00:01:16.280]   He says, verse 8 onwards in chapter 2, "And there were shepherds living out in the fields
[00:01:16.280 --> 00:01:20.260]   nearby keeping watch over their flocks at night.
[00:01:20.260 --> 00:01:24.320]   An angel of the Lord appeared to them and the glory," here's the light thing, "the glory
[00:01:24.320 --> 00:01:26.320]   of the Lord shone around them.
[00:01:26.320 --> 00:01:28.220]   And they were terrified.
[00:01:28.220 --> 00:01:32.480]   For the angel said to them, 'Do not be afraid for I bring you good news of great joy that
[00:01:32.480 --> 00:01:34.880]   will be for all the people.
[00:01:34.880 --> 00:01:38.120]   For today in the town of David, a Savior has been born to you.
[00:01:38.120 --> 00:01:42.000]   He is the Christ, the Lord, and this will be a sign to you.
[00:01:42.000 --> 00:01:46.640]   You will find a baby wrapped in cloths and lying in a manger.'"
[00:01:46.640 --> 00:01:53.560]   I wonder if you've ever been in a situation where you simply do not belong.
[00:01:53.560 --> 00:01:55.920]   If you've been here at the Vine for a while, you'll know right at the beginning of this
[00:01:55.920 --> 00:02:02.040]   year I shared with you my years-long journey to try to get to silver status at Cafe Pacific.
[00:02:02.040 --> 00:02:03.240]   Do you remember that?
[00:02:03.240 --> 00:02:08.360]   And I told you that because the church purchases my travel tickets on Cafe, they purchase the
[00:02:08.360 --> 00:02:12.020]   cheapest ticket that they can find, which is a good thing because that means your tithes
[00:02:12.020 --> 00:02:13.020]   go a long way.
[00:02:13.020 --> 00:02:14.020]   Okay.
[00:02:14.020 --> 00:02:17.560]   So they, if they, to put it this way, if the church could put me in cargo class, okay,
[00:02:17.560 --> 00:02:19.360]   I would fly in cargo class.
[00:02:19.360 --> 00:02:22.600]   They buy me the cheapest ticket possible, which means it's really hard to like get the
[00:02:22.600 --> 00:02:24.720]   sector points to finally get up.
[00:02:24.720 --> 00:02:28.920]   A number of years ago, I was trying to get to silver and I finally got to silver, but
[00:02:28.920 --> 00:02:33.120]   I got to silver class just as COVID came and then I lost silver class.
[00:02:33.120 --> 00:02:37.760]   Well, at the end of this year, I am proud to announce to you that after flying a lot
[00:02:37.760 --> 00:02:42.480]   of Cafe during my sabbatical, I am now back on silver class in Cafe Pacific.
[00:02:42.480 --> 00:02:43.480]   Yes.
[00:02:43.480 --> 00:02:44.480]   Thank you.
[00:02:44.480 --> 00:02:45.480]   Thank you.
[00:02:45.480 --> 00:02:46.480]   Thank you.
[00:02:46.480 --> 00:02:47.480]   I made it back.
[00:02:47.480 --> 00:02:48.480]   I was so excited.
[00:02:48.480 --> 00:02:51.240]   I became silver class in the middle of my sabbatical.
[00:02:51.240 --> 00:02:53.800]   And so I was really excited because I could finally go to the lounge.
[00:02:53.800 --> 00:02:55.520]   And I haven't been to the lounge for years.
[00:02:55.520 --> 00:02:56.760]   I could finally go to the lounge again.
[00:02:56.760 --> 00:03:01.000]   And I was, I was flying back from London to Hong Kong in September.
[00:03:01.000 --> 00:03:03.480]   And I thought I'm going to use my first lounge access.
[00:03:03.480 --> 00:03:07.960]   And so I showed up three hours early before the plane took off.
[00:03:07.960 --> 00:03:11.840]   Because I'm like, I'm going to maximize my lounge time.
[00:03:11.840 --> 00:03:15.840]   I remember going up to the little desk where you have to go and they have the cafe attendance
[00:03:15.840 --> 00:03:16.840]   behind the desk.
[00:03:16.840 --> 00:03:18.640]   And I whip out my silver card.
[00:03:18.640 --> 00:03:21.360]   I'm like, I'm here to join the lounge.
[00:03:21.360 --> 00:03:23.960]   You know, I gave them my little ticket thing and they checked it.
[00:03:23.960 --> 00:03:26.160]   Oh, yes, Mr. Gardner, we're glad that you're here today.
[00:03:26.160 --> 00:03:27.160]   You can come into the lounge.
[00:03:27.160 --> 00:03:28.760]   I'm like, oh, wonderful.
[00:03:28.760 --> 00:03:31.960]   They're like, just go down the corridor, turn to the right, you'll find the lounge.
[00:03:31.960 --> 00:03:36.480]   So I go down the corridor, I turn to the right, I open these doors and I come into the lounge.
[00:03:36.480 --> 00:03:39.640]   Now, I haven't been in a cafe lounge for many years.
[00:03:39.640 --> 00:03:43.360]   And I don't know what's happened to Cafe Pacific in all those years.
[00:03:43.360 --> 00:03:46.720]   But the lounge was the most amazing thing I've ever seen.
[00:03:46.720 --> 00:03:49.680]   Obviously, cafe has made a lot of money over the last number of years.
[00:03:49.680 --> 00:03:54.160]   But this lounge was the plushest lounge that I had ever seen in my life.
[00:03:54.160 --> 00:03:56.280]   I mean, everything was dripping with expense.
[00:03:56.280 --> 00:03:58.280]   It looked the most amazing thing.
[00:03:58.280 --> 00:04:01.320]   And the other thing that was interesting about it, there was only two other people in this
[00:04:01.320 --> 00:04:02.320]   lounge.
[00:04:02.320 --> 00:04:04.320]   I thought, wow, it must be really hard to get to silver these days.
[00:04:04.320 --> 00:04:07.920]   There's only two other people that qualified to get into this lounge.
[00:04:07.920 --> 00:04:10.400]   And as I walk in, it's funny because they're checking me out.
[00:04:10.400 --> 00:04:11.400]   They're looking at me.
[00:04:11.400 --> 00:04:14.760]   But you know when people check you out, but it's not in a good way, it's a bad way.
[00:04:14.760 --> 00:04:16.960]   And they're like checking me out and they're kind of looking me up and down.
[00:04:16.960 --> 00:04:21.120]   And so I sort of look at myself and I'm wearing jeans, like a baggy jumper.
[00:04:21.120 --> 00:04:23.120]   And they're kind of looking at me like, oh, that's kind of strange.
[00:04:23.120 --> 00:04:24.560]   And I'm like, that's a bit weird.
[00:04:24.560 --> 00:04:26.400]   Anyway, I find the noodle bar.
