
[00:00:00.000 --> 00:00:03.000]  "早安,新年快樂"
[00:00:03.000 --> 00:00:08.000]  "我是德國牧師"
[00:00:08.000 --> 00:00:16.000]  "我不會說廣東話,所以我會說英語"
[00:00:16.000 --> 00:00:19.000]  他說他不太擅長說廣東話
[00:00:19.000 --> 00:00:21.000]  但他會說廣東話
[00:00:25.000 --> 00:00:45.000]  "2024年真的過得很精彩,很想和大家分享2025年的里程碑"
[00:00:45.000 --> 00:00:49.000]  "我們一起回顧一下2024年我們做過的事情"
[00:00:53.000 --> 00:00:55.000]  "我們舊會已經踏入一周年了"
[00:01:20.000 --> 00:01:25.000]  "我們與YWAM的Shanti建立了宣教夥伴的關係"
[00:01:25.000 --> 00:01:31.000]  "和希望之子、Young Lives、Oasis是我們輔導和精神治療的一個機構中心"
[00:01:31.000 --> 00:01:36.000]  "和他們合作,也和中華基督教青少年小學合作"
[00:01:36.000 --> 00:01:39.000]  "和一些五年級的小朋友一起上聖經課"
[00:01:51.000 --> 00:01:54.000]  "這些事情對我來說很重要"
[00:01:54.000 --> 00:01:57.000]  "因為在今年年初的時候,上帝跟我說"
[00:01:57.000 --> 00:02:00.000]  "如果我們不能夠在我們的社區裏面"
[00:02:00.000 --> 00:02:02.000]  "服侍我們的市民、我們的朋友"
[00:02:02.000 --> 00:02:04.000]  "不能夠在這個社區裏面造成影響的話"
[00:02:04.000 --> 00:02:08.000]  "我們就不是真正能夠在這個地方籍堂了"
[00:02:08.000 --> 00:02:18.000]  "我們也在2020年8月開始了青少年的小組"
[00:02:21.000 --> 00:02:25.000]  "我們有一些很棒的青少年事工團隊"
[00:02:25.000 --> 00:02:35.000]  "我們也邀請了剛才很厲害的Francesca"
[00:02:35.000 --> 00:02:37.000]  "和英文服務裏面的Andrew"
[00:02:37.000 --> 00:02:40.000]  "去帶領我們一起帶領青少年小組"
[00:02:47.000 --> 00:02:50.000]  "他們帶得很好,也很期待2025年上帝"
[00:02:50.000 --> 00:02:52.000]  "怎樣繼續帶領我們的青少年小組"
[00:02:52.000 --> 00:02:56.000]  "所以請大家為他們祈禱"
[00:02:56.000 --> 00:03:14.000]  "我也覺得很奇妙的是"
[00:03:14.000 --> 00:03:16.000]  "我們達到了我們的財務目標"
[00:03:16.000 --> 00:03:19.000]  "由年初只能夠支付少於20%的開支"
[00:03:19.000 --> 00:03:21.000]  "去到2024年尾"
[00:03:21.000 --> 00:03:24.000]  "已經可以支付大約40%的每月開支"
[00:03:24.000 --> 00:03:41.000]  "我們的主日崇拜出席人數"
[00:03:41.000 --> 00:03:47.000]  "也由2024年年初有166個成年人和31個小朋友"
[00:03:47.000 --> 00:03:49.000]  "去到10月份為止"
[00:03:49.000 --> 00:03:53.000]  "有241個成年人和63個小朋友"
[00:04:12.000 --> 00:04:14.000]  "但是最好的,最重要的是"
[00:04:14.000 --> 00:04:16.000]  "我們見證到有人信主"
[00:04:16.000 --> 00:04:18.000]  "在信仰上有成長"
[00:04:18.000 --> 00:04:22.000]  "也有人作為耶穌門徒這方面踏出重要的一步"
[00:04:22.000 --> 00:04:24.000]  "在當中我們透過Alpha"
[00:04:24.000 --> 00:04:26.000]  "我們的小組,我們的主日崇拜"
[00:04:26.000 --> 00:04:28.000]  "還有我們的兒童事工K4C"
[00:04:28.000 --> 00:04:30.000]  "去做出這些各樣的努力"
[00:04:30.000 --> 00:04:38.000]  "所以我在一開始之前"
[00:04:38.000 --> 00:04:39.000]  "很想讚美天父"
[00:04:39.000 --> 00:04:42.000]  "透過我們教會達成很多不同的目標"
[00:04:42.000 --> 00:04:48.000]  "因為上帝對我們真的很好,也很信實"
[00:04:48.000 --> 00:04:52.000]  "所以感謝天父,讚美天父"
[00:04:52.000 --> 00:04:57.000]  "我也很想跟大家說聲多謝"
[00:04:57.000 --> 00:05:03.000]  "因為上帝透過你們這間教會"
[00:05:09.000 --> 00:05:13.000]  "做出了他對教會信任的工作"
[00:05:13.000 --> 00:05:28.000]  "所以感謝你們用你們的貢獻和才能"
[00:05:28.000 --> 00:05:29.000]  "去建立這個教會"
[00:05:29.000 --> 00:05:31.000]  "並參與了神的工作"
[00:05:31.000 --> 00:05:34.000]  "在裡面和在教會的外面"
[00:05:39.000 --> 00:05:41.000]  "建立這個教會,去服侍這個社群"
[00:05:41.000 --> 00:05:43.000]  "讓上帝能夠透過我們"
[00:05:43.000 --> 00:05:45.000]  "去實踐他交託給我們的使命"
[00:05:45.000 --> 00:06:01.000]  "也很想多謝這裡"
[00:06:01.000 --> 00:06:03.000]  "不單只是服侍中文崇拜的人"
[00:06:03.000 --> 00:06:04.000]  "也有很多弟兄姊妹"
[00:06:04.000 --> 00:06:07.000]  "去服侍英文崇拜的崇拜"
[00:06:07.000 --> 00:06:10.000]  "讓我們真的達到一個合一的境地"
[00:06:10.000 --> 00:06:11.000]  "我們很感謝你"
[00:06:11.000 --> 00:06:16.000]  "因為很重要的是我們是一間教會"
[00:06:16.000 --> 00:06:17.000]  "我們是合一的"
[00:06:17.000 --> 00:06:30.000]  "回顧月2024年"
[00:06:30.000 --> 00:06:32.000]  "我們很興奮能夠和你們一起分享"
[00:06:32.000 --> 00:06:35.000]  "2025年上帝想我們在這裡做些什麼"
[00:06:38.000 --> 00:06:40.000]  "我們會開始一個新的講道系列"
[00:06:40.000 --> 00:06:41.000]  "就是叫做"
[00:06:41.000 --> 00:06:43.000]  "禱告大膽放膽地去禱告"
[00:06:43.000 --> 00:06:51.000]  "我們會去到講四個不同的篇章"
[00:06:51.000 --> 00:06:53.000]  "在這四個星期裡面"
[00:06:53.000 --> 00:07:01.000]  "因為上帝想在我們裡面"
[00:07:01.000 --> 00:07:02.000]  "做一些新的事情"
[00:07:02.000 --> 00:07:04.000]  "去打破一些舊有的思想和框架"
[00:07:07.000 --> 00:07:09.000]  "我們故意將這段時間"
[00:07:09.000 --> 00:07:10.000]  "和我們的禁食禱告"
[00:07:10.000 --> 00:07:11.000]  "21天的時間重疊"
