
[00:00:00.000 --> 00:00:06.000]  很開心今天有元朗葡萄藤教會的洗禮
[00:00:06.000 --> 00:00:09.000]  這次是我們第二次
[00:00:09.000 --> 00:00:12.000]  以元朗葡萄藤教會的名義為弟妹洗禮
[00:00:12.000 --> 00:00:15.000]  是一件很值得我們一起慶祝的事
[00:00:15.000 --> 00:00:19.000]  歡迎大家一起來參與
[00:00:19.000 --> 00:00:22.000]  2005年
[00:00:22.000 --> 00:00:24.000]  說著說著就回到2005年
[00:00:24.000 --> 00:00:28.000]  剛好是我太太的生日
[00:00:28.000 --> 00:00:31.000]  跟她聊天 回顧過去
[00:00:31.000 --> 00:00:34.000]  說起過去很多年
[00:00:34.000 --> 00:00:36.000]  很多不同的事情發生
[00:00:36.000 --> 00:00:38.000]  其中一樣其實影響我自己很深
[00:00:38.000 --> 00:00:42.000]  2005年是一年改變我自己人生的一年
[00:00:42.000 --> 00:00:48.000]  那一年我成功地做到一個夢想的工作
[00:00:48.000 --> 00:00:50.000]  考了一盒消防
[00:00:50.000 --> 00:00:52.000]  是不是大家都知道我曾經做過消防
[00:00:52.000 --> 00:00:53.000]  不知道 有些不知道
[00:00:53.000 --> 00:00:55.000]  曾經做過幾年消防
[00:00:55.000 --> 00:00:58.000]  薪金高 福利好
[00:00:58.000 --> 00:01:01.000]  一天放兩天
[00:01:01.000 --> 00:01:04.000]  還有最重要的是消防帥
[00:01:04.000 --> 00:01:06.000]  我自己覺得
[00:01:06.000 --> 00:01:08.000]  我覺得消防是帥的
[00:01:08.000 --> 00:01:12.000]  當然能夠有救火救人的使命
[00:01:12.000 --> 00:01:15.000]  是令我最開心和最興奮的事
[00:01:15.000 --> 00:01:19.000]  不過考了消防不是改變我人生的一件事
[00:01:19.000 --> 00:01:20.000]  改變我人生的一件事是
[00:01:20.000 --> 00:01:21.000]  當我考了消防
[00:01:21.000 --> 00:01:25.000]  我們叫入班 入到消防訓練學校
[00:01:25.000 --> 00:01:26.000]  第十個星期的訓練
[00:01:26.000 --> 00:01:28.000]  我們需要有二十六個星期的訓練
[00:01:28.000 --> 00:01:30.000]  到第十個星期的訓練的時候
[00:01:30.000 --> 00:01:33.000]  我在初年的時候暈倒
[00:01:33.000 --> 00:01:35.000]  其實我暈了很短時間
[00:01:35.000 --> 00:01:37.000]  大概幾分鐘
[00:01:37.000 --> 00:01:38.000]  但當我醒來的時候
[00:01:38.000 --> 00:01:41.000]  清醒 即是有清醒意識的時候
[00:01:41.000 --> 00:01:44.000]  原來我的臉已經有嚴重的創傷
[00:01:44.000 --> 00:01:46.000]  簡單來說
[00:01:46.000 --> 00:01:48.000]  我的鼻子扁了
[00:01:48.000 --> 00:01:49.000]  我兩邊的腮骨斷了
[00:01:49.000 --> 00:01:51.000]  我的下巴斷開了
[00:01:51.000 --> 00:01:55.000]  前面四隻門牙插在上顎上
[00:01:55.000 --> 00:01:58.000]  舌頭有一部分也咬斷了
[00:01:58.000 --> 00:01:59.000]  不好意思
[00:01:59.000 --> 00:02:01.000]  復活的大能是這麼厲害的
[00:02:01.000 --> 00:02:02.000]  你知不知道
