
[00:00:00.000 --> 00:00:02.000]  大家有玩過扭計骰嗎?
[00:00:02.000 --> 00:00:03.000]  (有)
[00:00:03.000 --> 00:00:05.000]  有人會玩嗎?
[00:00:05.000 --> 00:00:07.000]  有人舉手,來,先接著
[00:00:07.000 --> 00:00:09.000]  不是說笑,待會讓你玩
[00:00:09.000 --> 00:00:14.000]  相信就算大家不懂玩,也有扭過兩下,對吧?
[00:00:14.000 --> 00:00:18.000]  我小時候覺得懂得扭計骰的人很厲害
[00:00:18.000 --> 00:00:20.000]  他們基本上是天才
[00:00:20.000 --> 00:00:29.000]  一個扭來扭去,然後可以將亂七八糟的變成完整,將它還原
[00:00:29.000 --> 00:00:33.000]  記得我小時候拿了鄰居的扭計骰來玩
[00:00:33.000 --> 00:00:37.000]  扭了幾下之後,其實我很快就肯定了一個信念
[00:00:37.000 --> 00:00:41.000]  這個東西,這個遊戲不是屬於我們
[00:00:41.000 --> 00:00:44.000]  我永遠是不可能將它還原的
[00:00:44.000 --> 00:00:47.000]  你也覺得是吧?這是我很強的信念
[00:00:47.000 --> 00:00:52.000]  但事隔三十年,我再次拿起這個東西
[00:00:52.000 --> 00:00:55.000]  是有一點不同的
[00:00:55.000 --> 00:00:59.000]  為什麼呢?事緣就是我的大兒子Adrian
[00:00:59.000 --> 00:01:01.000]  放學後,他回來說
[00:01:01.000 --> 00:01:05.000]  爸爸,我想玩扭計骰
[00:01:05.000 --> 00:01:08.000]  我想當然是有同學帶了回去玩
[00:01:08.000 --> 00:01:11.000]  我想立刻向老師投訴一下
[00:01:11.000 --> 00:01:13.000]  不要亂帶玩具回去,弄得我要弄了
[00:01:13.000 --> 00:01:15.000]  我想想,玩什麼?
[00:01:15.000 --> 00:01:18.000]  這些東西是給天才兒童玩的
[00:01:18.000 --> 00:01:21.000]  不是給我們這些凡夫俗子普通人玩的
[00:01:24.000 --> 00:01:28.000]  但大家知道,無論小朋友懂不懂扭計骰
[00:01:28.000 --> 00:01:31.000]  他也是懂得扭計的,是吧?
[00:01:31.000 --> 00:01:35.000]  我經常說兒子,扭計骰你又不懂,扭計你又懂
[00:01:35.000 --> 00:01:39.000]  當然不是可以好好地去教訓他
[00:01:39.000 --> 00:01:42.000]  因為他也在笑,的確是
[00:01:42.000 --> 00:01:50.000]  最後,我們有一個偉大的產物,就是淘寶
[00:01:50.000 --> 00:01:53.000]  一個偉大的媽媽,就在偉大的淘寶上
[00:01:53.000 --> 00:01:56.000]  淘了這個扭計骰回來
[00:01:56.000 --> 00:02:00.000]  當Adrian很期待收到這個扭計骰的時候
[00:02:00.000 --> 00:02:03.000]  他超級興奮,終於屬於他了
[00:02:03.000 --> 00:02:04.000]  終於他有一個自己的扭計骰
[00:02:04.000 --> 00:02:05.000]  他可以怎樣呢?
[00:02:05.000 --> 00:02:09.000]  他看著它,一會兒,看著看著
[00:02:09.000 --> 00:02:12.000]  然後他就開始扭啊扭啊扭啊
[00:02:12.000 --> 00:02:15.000]  不斷地扭,這兩隻手看到他
[00:02:15.000 --> 00:02:17.000]  是充滿期待,充滿盼望
[00:02:17.000 --> 00:02:21.000]  我心想,他應該有我的真傳
[00:02:21.000 --> 00:02:24.000]  很快他就會知道,五歲知天命
[00:02:24.000 --> 00:02:26.000]  不是五十,五歲知天命
[00:02:26.000 --> 00:02:29.000]  他就會知道,這個東西不是屬於我的
[00:02:29.000 --> 00:02:32.000]  他就可以扔掉,不需要再在這裡搞
[00:02:32.000 --> 00:02:35.000]  但是呢,他在扭
[00:02:35.000 --> 00:02:39.000]  吃飯又扭,起床又立刻扭
[00:02:39.000 --> 00:02:42.000]  然後上學之前又在轉轉轉
[00:02:42.000 --> 00:02:44.000]  上學回來又在轉轉轉
[00:02:44.000 --> 00:02:47.000]  臨睡前也在轉轉轉
[00:02:47.000 --> 00:02:50.000]  如是者轉了四日四夜
[00:02:50.000 --> 00:02:53.000]  真四日四夜
[00:02:53.000 --> 00:02:55.000]  他比我好很多
[00:02:55.000 --> 00:02:56.000]  比我有多一份堅持
[00:02:56.000 --> 00:02:58.000]  現在我們的教育是不錯的
[00:02:58.000 --> 00:03:00.000]  有一份堅持
[00:03:00.000 --> 00:03:01.000]  但我看到他
[00:03:01.000 --> 00:03:03.000]  他由一個很興奮的狀態
[00:03:03.000 --> 00:03:05.000]  他變得開始失望
[00:03:05.000 --> 00:03:09.000]  他由開始失望,變得有點沮喪
[00:03:09.000 --> 00:03:12.000]  他曾經以為這個扭計骰是可以好好玩的
[00:03:12.000 --> 00:03:14.000]  他以為很容易把它弄亂
[00:03:14.000 --> 00:03:17.000]  然後變回還原,完整
