
[00:00:00.000 --> 00:00:02.000]  謝謝 Ivan
[00:00:02.000 --> 00:00:04.000]  謝謝 Tim 謝謝 Ivan
[00:00:04.000 --> 00:00:06.000]  很開心在這裡見到大家
[00:00:06.000 --> 00:00:09.000]  剛才真的很開心能夠和大家一起敬拜
[00:00:09.000 --> 00:00:14.000]  我在想兩年前我們要對著螢幕唱歌敬拜的時候
[00:00:14.000 --> 00:00:18.000]  那種孤單真的覺得很難受
[00:00:18.000 --> 00:00:20.000]  但當我們聚在一起敬拜
[00:00:20.000 --> 00:00:22.000]  我身邊有人在唱歌
[00:00:22.000 --> 00:00:25.000]  我看到有人和我一起去和應的時候
[00:00:25.000 --> 00:00:27.000]  那種感覺真的很開心
[00:00:27.000 --> 00:00:29.000]  每次當我們去說敬拜的時候
[00:00:29.000 --> 00:00:33.000]  我們第一時間想的可能都是唱歌
[00:00:33.000 --> 00:00:35.000]  為什麼會是唱歌呢
[00:00:35.000 --> 00:00:38.000]  為什麼整個崇拜有這麼多不同的元素
[00:00:38.000 --> 00:00:41.000]  我們第一時間想敬拜的時候都是唱歌呢
[00:00:41.000 --> 00:00:45.000]  可能因為唱歌需要我們全人的投入
[00:00:45.000 --> 00:00:47.000]  不單止我們要站起來
[00:00:47.000 --> 00:00:49.000]  可能有些人會舉手
[00:00:49.000 --> 00:00:52.000]  還要加上我們情感上的投入
[00:00:52.000 --> 00:00:55.000]  我們將我們心裡那種的愛慕
[00:00:55.000 --> 00:00:57.000]  那種的欣賞 那種的崇拜
[00:00:57.000 --> 00:01:00.000]  都在音樂上獻上給上帝
[00:01:00.000 --> 00:01:01.000]  不單止這樣
[00:01:01.000 --> 00:01:06.000]  我們還和台上的敬拜隊一起創造一些很美的東西
[00:01:06.000 --> 00:01:08.000]  給我們的上帝
[00:01:08.000 --> 00:01:10.000]  所以也有朋友和我說
[00:01:10.000 --> 00:01:12.000]  每個星期他們敬拜的時候
[00:01:12.000 --> 00:01:14.000]  他們回到星期日崇拜的時候
[00:01:14.000 --> 00:01:15.000]  他們離開的時候
[00:01:15.000 --> 00:01:18.000]  未必會記得台上說過什麼
[00:01:18.000 --> 00:01:21.000]  但是敬拜當中的歌聲
[00:01:21.000 --> 00:01:24.000]  裡面的歌詞就會陪著他
[00:01:24.000 --> 00:01:27.000]  在那個星期裡面一直在盤旋
[00:01:27.000 --> 00:01:30.000]  用音樂敬拜是一件很令人投入
[00:01:30.000 --> 00:01:32.000]  很開心的事情
[00:01:32.000 --> 00:01:35.000]  所以我也必須很誠實地說
[00:01:35.000 --> 00:01:37.000]  曾經有一段時間
[00:01:37.000 --> 00:01:40.000]  我因為太喜歡唱歌和崇拜的關係
[00:01:40.000 --> 00:01:42.000]  一開始的時候
[00:01:42.000 --> 00:01:45.000]  我就會用盡一切的氣力
[00:01:45.000 --> 00:01:47.000]  去崇拜
[00:01:47.000 --> 00:01:48.000]  很熱情 很開心
[00:01:48.000 --> 00:01:51.000]  很投入地去崇拜 去唱歌 去讚美
[00:01:51.000 --> 00:01:54.000]  然後完了之後我就累了
[00:01:54.000 --> 00:01:55.000]  我就沒有精神了
[00:01:55.000 --> 00:01:58.000]  我就要很難用很多的能力
[00:01:58.000 --> 00:02:01.000]  去和台上的講員聯繫
[00:02:01.000 --> 00:02:03.000]  去聽他的訊息是怎麼樣
[00:02:03.000 --> 00:02:05.000]  但是我不想是這樣
[00:02:05.000 --> 00:02:08.000]  我不想唱歌敬拜的時候
[00:02:08.000 --> 00:02:11.000]  就用盡了我很投入的狀態
[00:02:11.000 --> 00:02:14.000]  很開心 很進入的狀態當中
[00:02:14.000 --> 00:02:18.000]  但是其他環節就很難去投入
[00:02:18.000 --> 00:02:19.000]  我不想
[00:02:19.000 --> 00:02:22.000]  無論是哪一個環節當中
[00:02:22.000 --> 00:02:24.000]  我都能夠用同樣的投入
[00:02:24.000 --> 00:02:27.000]  同樣的情緒 同樣的表達
[00:02:27.000 --> 00:02:30.000]  將我對上帝的感情連結起來
[00:02:30.000 --> 00:02:34.000]  但是怎麼樣才能有這樣的力量去敬拜呢?
[00:02:34.000 --> 00:02:37.000]  就像上星期的教父Ivan所說
[00:02:37.000 --> 00:02:40.000]  這種轉變性的崇拜
[00:02:40.000 --> 00:02:42.000]  這種能夠扭轉人心
[00:02:42.000 --> 00:02:44.000]  扭轉整個生命的敬拜
[00:02:44.000 --> 00:02:47.000]  怎麼樣可以在其他元素當中
[00:02:47.000 --> 00:02:49.000]  都繼續呈現
[00:02:49.000 --> 00:02:51.000]  甚至在我們的生命裡
[00:02:51.000 --> 00:02:53.000]  都能夠呈現得到呢?
[00:02:53.000 --> 00:02:56.000]  今天我們會看《以賽雅書》
[00:02:56.000 --> 00:02:59.000]  以賽雅是一個舊約的先知
[00:02:59.000 --> 00:03:02.000]  他的工作就是向當時的以色列王
