
[00:00:00.000 --> 00:00:02.500]  謝謝Pastor Tim和Pastor Chapman
[00:00:02.500 --> 00:00:05.300]  先說說我們的裝束
[00:00:05.300 --> 00:00:08.600]  這是我們Vision Sunday的傳統裝束
[00:00:08.600 --> 00:00:10.400]  穿上西裝外套
[00:00:10.400 --> 00:00:12.700]  表示「可以嗎?可以嗎?」
[00:00:12.700 --> 00:00:18.900]  這是Vision Sunday的傳統裝束
[00:00:18.900 --> 00:00:21.300]  剛才Pastor Tim說到
[00:00:21.300 --> 00:00:25.500]  我們過去幾年如何經歷直堂
[00:00:25.500 --> 00:00:28.300]  與此同時過去幾年
[00:00:28.300 --> 00:00:30.500]  其實香港發生了很多事情
[00:00:30.500 --> 00:00:36.800]  當我們今天去了解和說教會異象之前
[00:00:36.800 --> 00:00:38.900]  我們首先真的要去看看
[00:00:38.900 --> 00:00:42.200]  上帝讓我們看到香港究竟面對著
[00:00:42.200 --> 00:00:45.500]  什麼樣的不確定性和挑戰
[00:00:45.500 --> 00:00:51.300]  香港正面臨精神的健康危機
[00:00:51.300 --> 00:00:53.800]  尤其是對下一代
[00:00:53.800 --> 00:00:57.500]  下一代的年輕人和那些兒童
[00:00:57.500 --> 00:01:02.200]  香港青年協會最近對超過3600名學生
[00:01:02.200 --> 00:01:03.700]  做了一個調查
[00:01:03.700 --> 00:01:07.400]  調查顯示有51.9%的青少年
[00:01:07.400 --> 00:01:10.200]  有抑鬱的情緒狀態
[00:01:10.200 --> 00:01:14.000]  在這群學生當中有48.6%
[00:01:14.000 --> 00:01:21.200]  他們被認為有最高水平的壓力和焦慮
[00:01:21.200 --> 00:01:25.400]  更重要的是香港年輕人的自殺率
[00:01:25.400 --> 00:01:28.900]  令我們和大家非常憂慮
[00:01:28.900 --> 00:01:35.400]  有一個調查在香港救助兒童會
[00:01:35.400 --> 00:01:39.400]  指出15至24歲的青少年
[00:01:39.400 --> 00:01:41.400]  在每一萬名當中
[00:01:41.400 --> 00:01:44.800]  他們由2014年指數是6.2人
[00:01:44.800 --> 00:01:48.100]  2022年8年之間跳升了一倍
[00:01:48.100 --> 00:01:50.200]  到達12.2人
[00:01:50.200 --> 00:01:54.300]  2023年11月有一篇報章的報道
[00:01:54.300 --> 00:01:57.700]  根據香港賽馬會防止自殺研究中心提供的指數
[00:01:57.700 --> 00:02:01.500]  指出自當年以來
[00:02:01.500 --> 00:02:05.200]  香港至少有37名學生自殺
[00:02:05.200 --> 00:02:08.900]  未計過去我們在新聞中所見到的
[00:02:08.900 --> 00:02:11.500]  那麼多的自殺個案
[00:02:11.500 --> 00:02:15.200]  另外大約有269人試圖自殺
[00:02:15.200 --> 00:02:16.600]  但最終獲救
[00:02:16.600 --> 00:02:22.300]  同樣未計我們見不到的個案
[00:02:22.300 --> 00:02:24.800]  我們還未提到那些成千上萬個
[00:02:24.800 --> 00:02:29.300]  想自殺但只是未發生的學生
[00:02:29.300 --> 00:02:31.700]  可以這樣說
[00:02:31.700 --> 00:02:36.600]  香港有很多學生被淹沒在一股強大的無助
[00:02:36.600 --> 00:02:41.000]  絕望、迷惘的情緒之下
[00:02:41.000 --> 00:02:43.300]  除了精神健康危機之外
[00:02:43.300 --> 00:02:46.600]  貧富懸殊的問題其實越來越嚴重
[00:02:46.600 --> 00:02:49.100]  香港已經是世界上其中一個
[00:02:49.100 --> 00:02:53.000]  貧富懸殊最嚴重的其中一個城市
[00:02:53.000 --> 00:02:56.000]  這種經濟差距是前所未有的大
[00:02:56.000 --> 00:02:58.000]  隨之而來的是什麼
[00:02:58.000 --> 00:03:00.200]  是住房的問題
[00:03:00.200 --> 00:03:02.000]  在這個城市裏面
[00:03:02.000 --> 00:03:04.400]  社會經濟能力比較低的人
[00:03:04.400 --> 00:03:09.200]  他們普遍的居住質素都是非常不理想
[00:03:09.200 --> 00:03:14.500]  另外由於香港的社會和政治氣候的變化
[00:03:14.500 --> 00:03:16.800]  香港人口的數字不斷下降
[00:03:16.800 --> 00:03:20.000]  政府也很清楚知道他們需要更多的措施
[00:03:20.000 --> 00:03:23.700]  去吸引外國的人才和外國的資金
[00:03:23.700 --> 00:03:25.400]  外國的投資
[00:03:25.400 --> 00:03:28.700]  重返到香港的經濟體系裏面
[00:03:28.700 --> 00:03:29.900]  對於香港本地人
[00:03:29.900 --> 00:03:34.200]  尤其是30歲以下的人來說
[00:03:34.200 --> 00:03:35.900]  他們對言論自由
[00:03:35.900 --> 00:03:39.200]  對自己能夠去表達的自由
[00:03:39.200 --> 00:03:42.400]  以及一國兩制究竟會怎樣繼續發展下去
