
[00:00:00.000 --> 00:00:03.920]  過去一個星期我在Facebook上看到一些相片
[00:00:03.920 --> 00:00:09.120]  關於上星期日在消防訓練學校開放日
[00:00:09.120 --> 00:00:11.600]  其實我有門票
[00:00:11.600 --> 00:00:12.680]  不過是星期日
[00:00:12.680 --> 00:00:14.440]  我更加想和你們一起
[00:00:14.440 --> 00:00:15.720]  本來打算帶兩個兒子去
[00:00:15.720 --> 00:00:17.640]  不過和你們一起更重要
[00:00:17.640 --> 00:00:18.400]  沒什麼反應
[00:00:18.400 --> 00:00:20.600]  我下次還是
[00:00:20.600 --> 00:00:22.840]  下次我帶大家一起去消防訓練學校
[00:00:22.840 --> 00:00:25.040]  好嗎?不如
[00:00:25.040 --> 00:00:26.360]  沒那麼多門票
[00:00:26.360 --> 00:00:27.800]  恐怕要申請
[00:00:27.800 --> 00:00:28.480]  應該不是
[00:00:28.480 --> 00:00:29.800]  Anyway
[00:00:29.800 --> 00:00:32.000]  雖然沒有去
[00:00:32.000 --> 00:00:35.920]  不過令我想起一件當年我操班的事
[00:00:35.920 --> 00:00:38.160]  如果不知道我當年做過消防
[00:00:38.160 --> 00:00:40.320]  當年也很多年前
[00:00:40.320 --> 00:00:44.000]  但這件好像看起來很小的事
[00:00:44.000 --> 00:00:46.960]  差點拿了我的命
[00:00:46.960 --> 00:00:47.800]  話說當年
[00:00:47.800 --> 00:00:50.640]  其實是二十年前的當年
[00:00:50.640 --> 00:00:52.680]  是呀,二十年前
[00:00:52.680 --> 00:00:53.840]  同工來的
[00:00:53.840 --> 00:00:55.000]  幾歲已經入消防
[00:00:55.000 --> 00:00:56.680]  二十年前
[00:00:56.680 --> 00:00:58.920]  二十年前在操班
[00:00:58.920 --> 00:01:02.800]  當時除了覺得自己很fit之外
[00:01:02.800 --> 00:01:04.680]  教官也覺得我很fit
[00:01:04.680 --> 00:01:07.200]  除了體能體格fit之外
[00:01:07.200 --> 00:01:08.720]  我學習也很快
[00:01:08.720 --> 00:01:10.920]  有一次在操班當中
[00:01:10.920 --> 00:01:14.880]  其中一個學習和訓練就是
[00:01:14.880 --> 00:01:16.280]  Appsailing
[00:01:16.280 --> 00:01:17.960]  大家知不知道什麼是Appsailing?
[00:01:17.960 --> 00:01:20.320]  游繩下降
[00:01:20.320 --> 00:01:22.760]  終於可以
[00:01:22.760 --> 00:01:23.840]  其實很興奮
[00:01:23.840 --> 00:01:25.920]  游繩下降是一件
[00:01:25.920 --> 00:01:28.880]  從小的時候沒有那麼多攀石
[00:01:28.880 --> 00:01:29.720]  沒有那麼多機會
[00:01:29.720 --> 00:01:31.040]  總覺得好像很好玩
[00:01:31.040 --> 00:01:31.760]  終於有機會
