
[00:00:00.000 --> 00:00:29.000]   [ Music ]
[00:00:29.500 --> 00:00:34.300]   >> Well, we are in our final sermon for our series
[00:00:34.300 --> 00:00:35.980]   of Blowing Water.
[00:00:35.980 --> 00:00:37.240]   Are you ready?
[00:00:37.240 --> 00:00:41.080]   Let's welcome Pastor Ellison.
[00:00:41.080 --> 00:00:43.080]   [ Applause ]
[00:00:43.080 --> 00:00:46.280]   So, Ellison started us off.
[00:00:46.280 --> 00:00:49.120]   Ellison curated this sermon series
[00:00:49.120 --> 00:00:51.100]   and Ellison will now finish.
[00:00:51.100 --> 00:00:52.260]   Can we pray for you?
[00:00:52.260 --> 00:00:53.040]   >> Yes, please.
[00:00:53.040 --> 00:00:56.800]   >> Father, we thank you for Ellison and we thank you
[00:00:56.800 --> 00:01:00.540]   for his humility and for his prayerful approach
[00:01:00.540 --> 00:01:01.940]   to your throne room.
[00:01:01.940 --> 00:01:06.180]   I pray, Father God, now as he releases this word
[00:01:06.180 --> 00:01:09.480]   that our hearts would be open to receive truth.
[00:01:09.480 --> 00:01:11.560]   In Jesus' name, amen.
[00:01:11.560 --> 00:01:13.480]   >> Amen. Thank you, Carla.
[00:01:13.480 --> 00:01:14.400]   Good morning, church.
[00:01:14.400 --> 00:01:16.620]   It's good to be with you guys.
[00:01:16.620 --> 00:01:19.660]   We're celebrating my son's third birthday at home today.
[00:01:19.660 --> 00:01:22.840]   So, this morning there was a lot of bubbles
[00:01:22.840 --> 00:01:23.880]   and balloons and everything.
[00:01:23.880 --> 00:01:25.420]   Yeah, so it's been a good morning so far.
[00:01:26.120 --> 00:01:27.540]   Isaiah turned three.
[00:01:27.540 --> 00:01:31.940]   Yes, so we're very tired but very glad
[00:01:31.940 --> 00:01:33.680]   to be here this morning.
[00:01:33.680 --> 00:01:37.360]   But it has, it's been a great honor to journey with you
[00:01:37.360 --> 00:01:40.580]   through this summer over this sermon series and I hope
[00:01:40.580 --> 00:01:43.660]   that it has led to you having better conversations
[00:01:43.660 --> 00:01:45.240]   with the people around you,
[00:01:45.240 --> 00:01:48.160]   especially conversations about Jesus.
[00:01:48.160 --> 00:01:52.420]   The hope is that you've been reminded and inspired to know
[00:01:52.420 --> 00:01:56.360]   that a good conversation can be life-giving,
[00:01:56.360 --> 00:01:58.040]   can even be life-changing,
[00:01:58.040 --> 00:02:01.920]   especially if it's centered upon who Jesus is.
[00:02:01.920 --> 00:02:04.400]   And so, we hope that this is an ongoing thing
[00:02:04.400 --> 00:02:06.840]   that you'll take with you as you go about.
[00:02:06.840 --> 00:02:09.780]   But this series, you know, we have, like Carla says,
[00:02:09.780 --> 00:02:12.740]   it's been called Blowing Water as a play on the idea
[00:02:12.740 --> 00:02:15.060]   of having conversations and, you know,
[00:02:15.060 --> 00:02:16.760]   with chit-chatting with the people around you.
[00:02:16.760 --> 00:02:18.560]   But actually, the term chozo, right,
[00:02:18.560 --> 00:02:22.140]   to blow water can actually also mean something else.
[00:02:22.440 --> 00:02:24.240]   Right, because it can actually also mean to sort
[00:02:24.240 --> 00:02:26.280]   of tell a little bit of a lie, right,
[00:02:26.280 --> 00:02:31.840]   to exaggerate the story a little bit, to embellish the truth.
[00:02:31.840 --> 00:02:34.600]   Now, that's a weird word though, truth.
[00:02:34.600 --> 00:02:37.160]   It's such a problematic word, right.
[00:02:37.160 --> 00:02:38.200]   What is truth?
[00:02:38.200 --> 00:02:40.680]   How would you define truth?
[00:02:40.680 --> 00:02:43.280]   Right, this is an answer that, this is a question
[00:02:43.280 --> 00:02:45.720]   that people have been attempting to answer for many,
[00:02:45.720 --> 00:02:48.480]   many years in many, many different ways.
[00:02:49.080 --> 00:02:52.920]   Right, so one area where you might be able to find truth is
[00:02:52.920 --> 00:02:55.280]   in the area of mathematics, right.
[00:02:55.280 --> 00:02:56.560]   Okay, don't switch off, okay.
[00:02:56.560 --> 00:02:58.940]   One plus one equals two.
[00:02:58.940 --> 00:03:01.860]   Simple mathematic, we've all learned this in school.
