
[00:00:00.000 --> 00:00:05.480]   [VIDEO PLAYBACK]
[00:00:05.480 --> 00:00:10.960]   -March 26, 1, 362, 26.
[00:00:10.960 --> 00:00:13.960]   When Jesus went with his disciples to a place
[00:00:13.960 --> 00:00:17.440]   called Bethany, and he said to them,
[00:00:17.440 --> 00:00:21.440]   sit here while I go over there and pray.
[00:00:21.440 --> 00:00:25.920]   He took Peter and the two sons of Stephen along with him.
[00:00:25.920 --> 00:00:30.400]   And he began to be sorrowful and troubled.
[00:00:30.400 --> 00:00:34.400]   Then he said to them, my soul is overwhelmed with sorrow
[00:00:34.400 --> 00:00:36.400]   to the point of death.
[00:00:36.400 --> 00:00:39.880]   Stay here and keep watch with me.
[00:00:39.880 --> 00:00:42.880]   Going a little farther, he fell with his face
[00:00:42.880 --> 00:00:45.360]   to the ground and prayed.
[00:00:45.360 --> 00:00:48.360]   My Father, be as good as possible,
[00:00:48.360 --> 00:00:52.860]   bring this cup to me to confirm me, yet not as I will,
[00:00:52.860 --> 00:00:55.360]   but as you will.
[00:00:55.360 --> 00:00:57.360]   Then he returned to his disciples
[00:00:57.360 --> 00:00:59.360]   and found their speech.
[00:00:59.360 --> 00:01:03.360]   Could you men keep watch with me while I travel?
[00:01:03.360 --> 00:01:05.360]   He asked Peter.
[00:01:05.360 --> 00:01:09.860]   Most men pray, so that you will not fall into temptation.
[00:01:09.860 --> 00:01:11.860]   But the courage in you, my friend,
[00:01:11.860 --> 00:01:14.360]   shall suffice to keep.
[00:01:14.360 --> 00:01:17.860]   He went from where he was to my bedtower.
[00:01:17.860 --> 00:01:22.360]   My Father, if it is not possible for this cup to be taken
[00:01:22.360 --> 00:01:27.360]   away from this my children, then your will be done.
[00:01:27.360 --> 00:01:31.360]   But if you do not, we are going to call them to the kitchen,
[00:01:31.360 --> 00:01:34.360]   because they are our servants.
[00:01:34.360 --> 00:01:37.360]   So he left them and went away to my school
[00:01:37.360 --> 00:01:42.360]   and enjoyed his own time, sleeping with him today.
[00:01:42.360 --> 00:01:46.360]   Then he returned to his disciples and said,
[00:01:46.360 --> 00:01:48.860]   are you still from the kingdom of heaven?
[00:01:48.860 --> 00:01:52.360]   Well, as all of us do, there are some who say
[00:01:52.360 --> 00:01:55.860]   that they were born into a high and strong kingdom.
[00:01:55.860 --> 00:01:58.360]   But let us go.
[00:01:58.360 --> 00:02:02.860]   In his arms, my Lord, he said,
[00:02:02.860 --> 00:02:07.860]   For he is God, who brings death to those who die.
[00:02:07.860 --> 00:02:10.360]   He does not have to pass away, my friend.
[00:02:10.360 --> 00:02:12.360]   If you know the God who gives you death,
[00:02:12.360 --> 00:02:14.360]   it is not the God who gives you death.
[00:02:14.360 --> 00:02:15.860]   You can worship him.
[00:02:15.860 --> 00:02:17.860]   He has no death.
[00:02:17.860 --> 00:02:20.360]   I also know he is a God who is here.
[00:02:20.360 --> 00:02:21.860]   I will stop doing what he does.
[00:02:21.860 --> 00:02:24.860]   I will not deny him any words.
[00:02:24.860 --> 00:02:28.360]   He did all this for me, and he did not.
[00:02:28.360 --> 00:02:32.360]   I think this must be a promise to the kingdom of heaven.
[00:02:32.360 --> 00:02:34.360]   I have also learned more than you,
[00:02:34.360 --> 00:02:36.360]   that you are like a slave for me,
[00:02:36.360 --> 00:02:39.360]   and you are the slave for those who exclude me
[00:02:39.360 --> 00:02:43.360]   and take me, and I shall have nothing left.
[00:02:43.360 --> 00:02:45.860]   You are all taught by the Father, I would say,
[00:02:45.860 --> 00:02:47.860]   that the Father gave you a hero,
[00:02:47.860 --> 00:02:49.860]   and he gave you a man to defend.
[00:02:49.860 --> 00:02:50.860]   You get those people around you,
