
[00:00:00.000 --> 00:00:01.200]   Thanks, Justin.
[00:00:01.200 --> 00:00:02.960]   You know, as a friend and a brother,
[00:00:02.960 --> 00:00:04.680]   you don't come much better than Justin.
[00:00:04.680 --> 00:00:05.480]   So I love you, bro.
[00:00:05.480 --> 00:00:07.760]   Appreciate it.
[00:00:07.760 --> 00:00:09.200]   OK.
[00:00:09.200 --> 00:00:12.400]   November 22, 1989.
[00:00:12.400 --> 00:00:15.160]   Where were you on this day?
[00:00:15.160 --> 00:00:16.920]   Maybe some of you weren't even born yet.
[00:00:16.920 --> 00:00:18.720]   That's OK.
[00:00:18.720 --> 00:00:24.120]   November 22, 1989, though, is one of the most important dates
[00:00:24.120 --> 00:00:26.720]   in the world because it was the date
[00:00:26.720 --> 00:00:30.600]   of the most important scientific breakthrough this world has
[00:00:30.600 --> 00:00:32.280]   ever seen.
[00:00:32.280 --> 00:00:35.160]   In a small town of Hill Valley, California,
[00:00:35.160 --> 00:00:39.200]   Dr. Emmett Brown and his trusty sidekick, Marty McFly,
[00:00:39.200 --> 00:00:42.840]   got into the DeLorean equipped with a flux capacitor
[00:00:42.840 --> 00:00:48.240]   with 1.21 gigawatts of power, traveling at 88 miles per hour,
[00:00:48.240 --> 00:00:56.120]   zoomed into the future date of October 21, 2015.
[00:00:56.120 --> 00:00:58.560]   Now, I'm totally dating myself, and there's a bunch of you
[00:00:58.560 --> 00:01:00.320]   here who know what I'm talking about.
[00:01:00.320 --> 00:01:04.480]   I'm, of course, referring to Back to the Future Part 2,
[00:01:04.480 --> 00:01:06.640]   one of my top 10 favorite movies of all time.
[00:01:06.640 --> 00:01:08.240]   You can call me lowbrow if you want.
[00:01:08.240 --> 00:01:09.480]   I don't care.
[00:01:09.480 --> 00:01:10.040]   But it is.
[00:01:10.040 --> 00:01:12.240]   It's a great movie.
[00:01:12.240 --> 00:01:15.360]   Back to the Future 2 gives us a glimpse
[00:01:15.360 --> 00:01:18.040]   of what director Robert Zemeckis thought
[00:01:18.040 --> 00:01:20.600]   the future might look like.
[00:01:20.600 --> 00:01:22.960]   And it's a pretty funny picture, mainly because here we
[00:01:22.960 --> 00:01:25.760]   are sitting in 2023.
[00:01:25.760 --> 00:01:29.320]   If you haven't seen the movie, go and watch it tonight.
[00:01:29.320 --> 00:01:31.240]   Do a Bible study, pray, and all that stuff.
[00:01:31.240 --> 00:01:32.200]   OK, that's good.
[00:01:32.200 --> 00:01:34.960]   But then watch Back to the Future 2 tonight.
[00:01:34.960 --> 00:01:36.120]   You will not regret it.
[00:01:36.120 --> 00:01:38.320]   It's an amazing film.
[00:01:38.320 --> 00:01:39.840]   But this was Zemeckis in the '80s,
[00:01:39.840 --> 00:01:44.280]   projecting to what he thought 2015 would look like.
[00:01:44.280 --> 00:01:47.720]   Flying cars, self-lacing shoes--
[00:01:47.720 --> 00:01:49.600]   I still want those shoes--
[00:01:49.600 --> 00:01:52.640]   self-drying clothes, pizza that cooks in just an instant.
[00:01:52.640 --> 00:01:55.600]   Remember that scene where the older version of him
[00:01:55.600 --> 00:01:57.640]   puts it into the oven, and bing, and instantly it
[00:01:57.640 --> 00:01:59.400]   turns into a big pizza?
[00:01:59.400 --> 00:02:02.320]   Hoverboards, ridiculous fashion--
[00:02:02.320 --> 00:02:04.680]   we have none of these things in 2023
[00:02:04.680 --> 00:02:08.680]   apart from the ridiculous fashion part, right?
[00:02:08.680 --> 00:02:10.040]   But we started this year.
[00:02:10.040 --> 00:02:16.200]   We started 2023 in a sermon series called Will You See?
[00:02:16.200 --> 00:02:17.920]   And over the past month or so, we've
[00:02:17.920 --> 00:02:22.280]   been discovering how God is preparing us for the new things
[00:02:22.280 --> 00:02:25.160]   through looking at the book of Isaiah.
[00:02:25.160 --> 00:02:28.080]   And so we started on New Year's Day
[00:02:28.080 --> 00:02:31.240]   where we said we can't put God in a box.
[00:02:31.240 --> 00:02:37.160]   But instead, we need to expand of how we think God can move.
[00:02:37.160 --> 00:02:38.680]   Around Chinese New Year, we stepped
[00:02:38.680 --> 00:02:40.280]   into the churchwide fast.
[00:02:40.280 --> 00:02:44.120]   And we talked about how our God is a God of justice.
[00:02:44.120 --> 00:02:47.600]   And therefore, we, too, need to be a people of justice.
[00:02:47.600 --> 00:02:50.160]   And one of the best ways we can prepare ourselves
[00:02:50.160 --> 00:02:53.920]   to do this work is through our fasting and praying.
[00:02:53.920 --> 00:02:57.400]   That's how we renew our passion for justice.
[00:02:57.400 --> 00:03:00.480]   In week three, we had a very frank and honest conversation
[00:03:00.480 --> 00:03:06.600]   about sin and its effects on our ability to view God clearly.
[00:03:06.600 --> 00:03:09.480]   But then we also realized that God comes to cleanse us
[00:03:09.480 --> 00:03:13.160]   and teach us about repentance and to give us new hope
[00:03:13.160 --> 00:03:16.480]   to see Him as we should.
[00:03:16.480 --> 00:03:18.640]   We then learned about a new way to worship.
[00:03:18.640 --> 00:03:22.920]   Pastor Promise talked to us about how worship isn't just
[00:03:22.920 --> 00:03:26.560]   with the songs and melodies, but it's with our lives
[00:03:26.560 --> 00:03:28.280]   that we worship.
[00:03:28.280 --> 00:03:33.040]   Then last week, Pastor Andrew reminded us of our names.
[00:03:33.040 --> 00:03:35.600]   And he unpacked to us how the labels we give ourselves
[00:03:35.600 --> 00:03:39.280]   and the others given to us aren't really our true identity.
[00:03:39.280 --> 00:03:43.400]   But what truly matters, the true name, the true label,
[00:03:43.400 --> 00:03:47.760]   comes from what Jesus has done for us.
[00:03:47.760 --> 00:03:50.320]   And I hope it's been a good journey for you.
[00:03:50.320 --> 00:03:51.920]   But here's the thing.
[00:03:51.920 --> 00:03:55.960]   Your journey in the new things God wants to do
[00:03:55.960 --> 00:03:58.280]   doesn't end with this sermon series.
[00:03:58.280 --> 00:04:01.680]   Because God is living and active in this world
[00:04:01.680 --> 00:04:03.800]   and in your life, your journey with Him
[00:04:03.800 --> 00:04:08.360]   continues into the future.
[00:04:08.360 --> 00:04:11.320]   So the future, let's talk about that for a second.
[00:04:11.320 --> 00:04:14.520]   What will the future be like?
[00:04:14.520 --> 00:04:16.640]   What questions, feelings, and emotions
[00:04:16.640 --> 00:04:18.640]   come to mind when you think about what
[00:04:18.640 --> 00:04:21.600]   the future looks like?
[00:04:21.600 --> 00:04:24.760]   What if someone said, hey, Songsong,
[00:04:24.760 --> 00:04:28.360]   I can tell you exactly what your future looks like.
[00:04:28.360 --> 00:04:30.760]   What would you say?
[00:04:30.760 --> 00:04:33.120]   This is precisely why movies like Back to the Future
[00:04:33.120 --> 00:04:34.720]   are so fun to watch.
[00:04:34.720 --> 00:04:37.640]   Zemeckis tries his very best to pull back the curtain
[00:04:37.640 --> 00:04:39.200]   to show us a glimpse.
[00:04:39.200 --> 00:04:42.160]   But really, nobody knows what the future holds.
[00:04:42.160 --> 00:04:44.240]   And he was way off, which is precisely, again,
[00:04:44.240 --> 00:04:46.880]   why we're so obsessed with it.
[00:04:46.880 --> 00:04:48.600]   This isn't the only movie about future.
[00:04:48.600 --> 00:04:51.480]   So many, Hollywood is constantly churning out
[00:04:51.480 --> 00:04:55.000]   movies about time travel and its potential ramifications,
[00:04:55.000 --> 00:04:58.160]   butterfly effects, and all that kind of stuff.
[00:04:58.160 --> 00:05:02.600]   Lots of movies about traveling into the future.
