
[00:00:00.000 --> 00:00:02.000]  Jason最開始來的時候有人說
[00:00:02.000 --> 00:00:04.000]  有人叫我Jason
[00:00:04.000 --> 00:00:06.000]  不知道有沒有人叫你Ivan
[00:00:06.000 --> 00:00:08.000]  搞錯了我們兩個
[00:00:08.000 --> 00:00:10.000]  那種合一原來是這樣呈現在我們當中
[00:00:10.000 --> 00:00:12.000]  我經常都稱讚你帥
[00:00:12.000 --> 00:00:14.000]  所以 叮咚
[00:00:14.000 --> 00:00:16.000]  真的不害羞
[00:00:16.000 --> 00:00:18.000]  大家呢 現在呢
[00:00:18.000 --> 00:00:20.000]  近年有一個新興的運動
[00:00:20.000 --> 00:00:22.000]  不知道大家有沒有
[00:00:22.000 --> 00:00:24.000]  聽過或者玩過
[00:00:24.000 --> 00:00:28.000]  新興運動
[00:00:28.000 --> 00:00:30.000]  猜猜是什麼
[00:00:30.000 --> 00:00:32.000]  我聽到
[00:00:32.000 --> 00:00:34.000]  等等
[00:00:34.000 --> 00:00:38.000]  有沒有玩過
[00:00:38.000 --> 00:00:40.000]  有沒有朋友玩過可不可以舉手
[00:00:40.000 --> 00:00:42.000]  沒有玩過啊
[00:00:42.000 --> 00:00:44.000]  不是吧
[00:00:44.000 --> 00:00:46.000]  來 接球
[00:00:46.000 --> 00:00:48.000]  這個新興運動我們幾個月前
[00:00:48.000 --> 00:00:50.000]  這個叫Pickleball
[00:00:50.000 --> 00:00:52.000]  一個幾好玩的新興運動
[00:00:52.000 --> 00:00:54.000]  幾個月前
[00:00:54.000 --> 00:00:56.000]  我自己的CG
[00:00:56.000 --> 00:00:58.000]  其實開始了每個星期
[00:00:58.000 --> 00:01:00.000]  二月開始每個星期
[00:01:00.000 --> 00:01:02.000]  打Pickleball
[00:01:02.000 --> 00:01:04.000]  這個運動
[00:01:04.000 --> 00:01:06.000]  對我來說是一個新的運動
[00:01:06.000 --> 00:01:08.000]  我最開頭的時候
[00:01:08.000 --> 00:01:10.000]  每一球都落網和出界
[00:01:10.000 --> 00:01:12.000]  到現在每三球
[00:01:12.000 --> 00:01:14.000]  就有一球落網和出界
[00:01:14.000 --> 00:01:16.000]  其實已經進步了很多
[00:01:16.000 --> 00:01:18.000]  學一項新的運動
[00:01:18.000 --> 00:01:20.000]  對於我自己
[00:01:20.000 --> 00:01:22.000]  我對自己了解多了
[00:01:22.000 --> 00:01:24.000]  和認識多了
[00:01:24.000 --> 00:01:26.000]  去到這個年紀
[00:01:26.000 --> 00:01:28.000]  學一些新的東西
[00:01:28.000 --> 00:01:30.000]  其實真的不是那麼容易
[00:01:30.000 --> 00:01:32.000]  我發現我的腦和身體
[00:01:32.000 --> 00:01:34.000]  有時是不連結的
[00:01:34.000 --> 00:01:36.000]  我控制不了自己的身體
[00:01:36.000 --> 00:01:38.000]  我雙腳和雙手是可以不聽話的
[00:01:38.000 --> 00:01:40.000]  你明不明
[00:01:40.000 --> 00:01:42.000]  那種小小的挫敗
[00:01:42.000 --> 00:01:44.000]  但是越來越多
[00:01:44.000 --> 00:01:46.000]  年紀越來越大的時候
[00:01:46.000 --> 00:01:48.000]  更加幫助到自己
[00:01:48.000 --> 00:01:50.000]  更加要謙卑自己
[00:01:50.000 --> 00:01:52.000]  更加在挫敗當中繼續學習
[00:01:52.000 --> 00:01:54.000]  繼續努力
[00:01:54.000 --> 00:01:56.000]  上星期
[00:01:56.000 --> 00:01:58.000]  我們仍然有Pickleball的時間
[00:01:58.000 --> 00:02:00.000]  母親節
[00:02:00.000 --> 00:02:02.000]  我們就提議
[00:02:02.000 --> 00:02:04.000]  邀請我們的父母
[00:02:04.000 --> 00:02:06.000]  一起去打Pickleball
[00:02:06.000 --> 00:02:08.000]  當日因為我們要完結
[00:02:08.000 --> 00:02:10.000]  下午的青年聚會
[00:02:10.000 --> 00:02:12.000]  我才可以去
[00:02:12.000 --> 00:02:14.000]  去到其實我的
[00:02:14.000 --> 00:02:16.000]  隊友已經在搓球
[00:02:16.000 --> 00:02:18.000]  當時右邊
[00:02:18.000 --> 00:02:20.000]  就是
[00:02:20.000 --> 00:02:22.000]  我那兩個和我差不多年紀的
[00:02:22.000 --> 00:02:24.000]  男弟兄
[00:02:24.000 --> 00:02:26.000]  在搓球
[00:02:26.000 --> 00:02:28.000]  和對面
