
[00:00:00.000 --> 00:00:01.400]   Well, thank you, Benedict.
[00:00:01.400 --> 00:00:04.800]   Well, I hope that this message is not so much about us.
[00:00:04.800 --> 00:00:07.900]   It's actually going to be a message for you
[00:00:07.900 --> 00:00:11.200]   as we share how we embrace limits
[00:00:11.200 --> 00:00:13.900]   as well as to break through our limits.
[00:00:13.900 --> 00:00:17.300]   My name is Sydney, and I wish you,
[00:00:17.300 --> 00:00:19.800]   on behalf of my family who are here,
[00:00:19.800 --> 00:00:22.800]   a Merry Christmas and a Happy New Year.
[00:00:22.800 --> 00:00:25.800]   I hope you have all received your Christmas gift.
[00:00:25.800 --> 00:00:28.100]   I received mine.
[00:00:28.100 --> 00:00:29.200]   Yeah.
[00:00:29.200 --> 00:00:32.100]   Okay, oh, sorry. I showed the logo.
[00:00:32.100 --> 00:00:36.200]   It was purchased very happily by my wife,
[00:00:36.200 --> 00:00:39.500]   given to me, and I gladly received it,
[00:00:39.500 --> 00:00:42.000]   and it was paid through her credit card,
[00:00:42.000 --> 00:00:45.500]   which is a supplementary card under my account.
[00:00:45.500 --> 00:00:49.200]   And, yes, so she joyously gives.
[00:00:49.200 --> 00:00:52.700]   I gladly receive, and I will pay the bill.
[00:00:52.700 --> 00:00:55.100]   [laughter]
[00:00:55.100 --> 00:00:57.700]   Well, we are coming to the end of the year,
[00:00:57.700 --> 00:01:02.200]   and we just have to learn that there are limits in life,
[00:01:02.200 --> 00:01:08.900]   and time and season are one of the many limits that we encounter.
[00:01:08.900 --> 00:01:13.700]   So today, we are actually sharing on this topic of embracing limits
[00:01:13.700 --> 00:01:16.700]   as well as overcoming limits,
[00:01:16.700 --> 00:01:19.700]   and I call it the gift of limits.
[00:01:19.700 --> 00:01:22.900]   Now, there were research studies that showed
[00:01:22.900 --> 00:01:28.700]   that young children who are playing in the playgrounds
[00:01:28.700 --> 00:01:32.700]   with very clear boundaries, like fences,
[00:01:32.700 --> 00:01:37.200]   they were actually more active and energetic in their play
[00:01:37.200 --> 00:01:43.200]   in these open fields than those without defined boundaries.
[00:01:43.200 --> 00:01:46.900]   So for that purpose, a fenced playground
[00:01:46.900 --> 00:01:50.400]   allowed children to be even more playful.
[00:01:50.400 --> 00:01:53.700]   They explore all the equipment.
[00:01:53.700 --> 00:01:56.700]   They were able to interact with peers much better
[00:01:56.700 --> 00:02:00.400]   than those in unbounded areas,
[00:02:00.400 --> 00:02:05.400]   who they tend to just take it close to the school buildings.
[00:02:05.400 --> 00:02:11.400]   So there's, in that sense, a dual sense of perceived safety
[00:02:11.400 --> 00:02:14.900]   as well as enhanced exploration.
[00:02:14.900 --> 00:02:18.900]   When we know that there's a limit within which it is safe,
[00:02:18.900 --> 00:02:21.900]   we're actually more bold to explore.
[00:02:21.900 --> 00:02:26.900]   Now, the Bible has a lot to talk about boundaries.
[00:02:26.900 --> 00:02:31.900]   The passage I love really well is Psalm 16,
[00:02:31.900 --> 00:02:35.900]   talking about how God keeps us safe,
[00:02:35.900 --> 00:02:38.900]   because in him we took refuge.
[00:02:38.900 --> 00:02:45.900]   In verse 5, he says, "Lord, you alone, you alone
[00:02:45.900 --> 00:02:48.900]   are my portion and my cup.
[00:02:48.900 --> 00:02:51.400]   You make my lot secure.
[00:02:51.400 --> 00:02:55.900]   The boundary lines have fallen for me in pleasant places.
