
[00:00:00.000 --> 00:00:05.000]   Everyone says, "Amen." Amen.
[00:00:05.000 --> 00:00:10.000]   Amen. Have a seat. Have a seat.
[00:00:10.000 --> 00:00:12.000]   Yeah, like Susanna, you know, I've got a testimony.
[00:00:12.000 --> 00:00:15.000]   I've been praying for a new job for five years.
[00:00:15.000 --> 00:00:18.000]   Just kidding. Just kidding.
[00:00:18.000 --> 00:00:20.000]   Just kidding.
[00:00:20.000 --> 00:00:22.000]   Hey, I'm really excited.
[00:00:22.000 --> 00:00:25.000]   I'm really excited to be with you today.
[00:00:25.000 --> 00:00:28.000]   We're going to be entering into a three-week series on justice.
[00:00:28.000 --> 00:00:39.000]   And I think if there's anything that has ever been a foundational call of the Lord on this church community over where we've been going almost over 30 years now,
[00:00:39.000 --> 00:00:44.000]   has been this idea of God's heart for justice and why justice is important to Him
[00:00:44.000 --> 00:00:50.000]   and why God's heart is on behalf of the poor and the vulnerable and the marginalized
[00:00:50.000 --> 00:00:56.000]   and those that desperately need equality and freedom, those that are caught in slavery.
[00:00:56.000 --> 00:01:03.000]   And there is this great sense of God's heart that He wants to mobilize His church, mobilize His people
[00:01:03.000 --> 00:01:08.000]   to be His hands and feet in this world, to be those that carry shalom into the world,
[00:01:08.000 --> 00:01:11.000]   those that stand on what His Spirit stands for.
[00:01:11.000 --> 00:01:18.000]   If you remember in our Spirit series, right, we taught that the Holy Spirit is at work taking something from its formlessness,
[00:01:18.000 --> 00:01:21.000]   giving it form and bringing it into fullness.
[00:01:21.000 --> 00:01:26.000]   This sense of trajectory that the Spirit takes the disordered and bring it into order.
[00:01:26.000 --> 00:01:31.000]   This is the heart of what God's heart for justice is all about.
[00:01:31.000 --> 00:01:40.000]   And so what we want to do over these three weeks is provide for you a window of understanding of why this call to justice is so important for us here at the Vine.
[00:01:40.000 --> 00:01:44.000]   But I want to just say that this is not just important for one church community.
[00:01:44.000 --> 00:01:50.000]   I believe what we're talking about over these three weeks is really fundamental to what the Lord is wanting to do in our city,
[00:01:50.000 --> 00:01:53.000]   what the Lord is wanting to do in structures of society,
[00:01:53.000 --> 00:01:57.000]   what the Lord is wanting to do on a global basis through the local church.
[00:01:57.000 --> 00:02:01.000]   I believe the local church is the hope of the world. Amen.
