
[00:00:00.000 --> 00:00:06.000]  (此情愛疏 更加牽引我)
[00:00:06.000 --> 00:00:12.000]  (為我捨身 背棄我墜)
[00:00:12.000 --> 00:00:19.000]  (護我一生 飛奔 千次上騰)
[00:00:19.000 --> 00:00:24.000]  (在處裡 等得我還)
[00:00:24.000 --> 00:00:30.000]  (我願一生 天力通行)
[00:00:30.000 --> 00:00:36.000]  (讓我的心 每天爭鬆)
[00:00:36.000 --> 00:00:40.000]  (徬徨人生 不擔心)
[00:00:40.000 --> 00:00:43.000]  (因有你伴我行)
[00:00:43.000 --> 00:00:50.000]  (靠著你 能走出暗暗空巷)
[00:00:51.000 --> 00:00:55.000]  (我會永遠陪著你)
[00:00:55.000 --> 00:00:59.000]  (在你身邊)
[00:00:59.000 --> 00:01:03.000]  (我會永遠陪著你)
[00:01:03.000 --> 00:01:04.000]  (在你身邊)
[00:01:04.000 --> 00:01:05.000]  (我會永遠陪著你)
[00:01:05.000 --> 00:01:06.000]  (在你身邊)
[00:01:06.000 --> 00:01:07.000]  (我會永遠陪著你)
[00:01:07.000 --> 00:01:08.000]  (在你身邊)
[00:01:08.000 --> 00:01:09.000]  (我會永遠陪著你)
[00:01:09.000 --> 00:01:10.000]  (在你身邊)
[00:01:10.000 --> 00:01:11.000]  (我會永遠陪著你)
[00:01:11.000 --> 00:01:12.000]  (在你身邊)
[00:01:12.000 --> 00:01:13.000]  (我會永遠陪著你)
[00:01:13.000 --> 00:01:14.000]  (在你身邊)
[00:01:14.000 --> 00:01:15.000]  (我會永遠陪著你)
[00:01:15.000 --> 00:01:16.000]  (在你身邊)
[00:01:16.000 --> 00:01:17.000]  (我會永遠陪著你)
[00:01:17.000 --> 00:01:18.000]  (在你身邊)
[00:01:18.000 --> 00:01:19.000]  (我會永遠陪著你)
[00:01:19.000 --> 00:01:20.000]  (在你身邊)
[00:01:20.000 --> 00:01:21.000]  (我會永遠陪著你)
[00:01:21.000 --> 00:01:22.000]  (在你身邊)
[00:01:22.000 --> 00:01:23.000]  (我會永遠陪著你)
[00:01:23.000 --> 00:01:24.000]  (在你身邊)
[00:01:24.000 --> 00:01:25.000]  (我會永遠陪著你)
[00:01:25.000 --> 00:01:26.000]  (在你身邊)
[00:01:26.000 --> 00:01:27.000]  (我會永遠陪著你)
[00:01:27.000 --> 00:01:28.000]  (在你身邊)
[00:01:28.000 --> 00:01:29.000]  (我會永遠陪著你)
[00:01:29.000 --> 00:01:30.000]  (在你身邊)
[00:01:30.000 --> 00:01:31.000]  (我會永遠陪著你)
[00:01:31.000 --> 00:01:32.000]  (在你身邊)
[00:01:32.000 --> 00:01:33.000]  (我會永遠陪著你)
[00:01:33.000 --> 00:01:34.000]  (在你身邊)
[00:01:34.000 --> 00:01:35.000]  (我會永遠陪著你)
[00:01:35.000 --> 00:01:36.000]  (在你身邊)
[00:01:36.000 --> 00:01:37.000]  (我會永遠陪著你)
[00:01:37.000 --> 00:01:38.000]  (在你身邊)
[00:01:38.000 --> 00:01:39.000]  (我會永遠陪著你)
[00:01:39.000 --> 00:01:40.000]  (在你身邊)
[00:01:40.000 --> 00:01:41.000]  (我會永遠陪著你)
[00:01:41.000 --> 00:01:42.000]  (在你身邊)
[00:01:42.000 --> 00:01:43.000]  (我會永遠陪著你)
[00:01:43.000 --> 00:01:44.000]  (在你身邊)
[00:01:44.000 --> 00:01:45.000]  (我會永遠陪著你)
[00:01:45.000 --> 00:01:46.000]  (在你身邊)
[00:01:46.000 --> 00:01:47.000]  (我會永遠陪著你)
[00:01:47.000 --> 00:01:48.000]  (在你身邊)
[00:01:48.000 --> 00:01:49.000]  (我會永遠陪著你)
[00:01:49.000 --> 00:01:50.000]  (在你身邊)
[00:01:50.000 --> 00:01:51.000]  (我會永遠陪著你)
[00:01:51.000 --> 00:01:52.000]  (在你身邊)
[00:01:52.000 --> 00:01:53.000]  (我會永遠陪著你)
[00:01:53.000 --> 00:01:54.000]  (在你身邊)
[00:01:54.000 --> 00:01:55.000]  (我會永遠陪著你)
[00:01:55.000 --> 00:01:56.000]  (在你身邊)
[00:01:56.000 --> 00:01:57.000]  (我會永遠陪著你)
[00:01:57.000 --> 00:01:58.000]  (在你身邊)
[00:01:58.000 --> 00:01:59.000]  (我會永遠陪著你)
[00:01:59.000 --> 00:02:00.000]  (在你身邊)
[00:02:00.000 --> 00:02:01.000]  (我會永遠陪著你)
[00:02:01.000 --> 00:02:02.000]  (在你身邊)
[00:02:02.000 --> 00:02:03.000]  (我會永遠陪著你)
[00:02:04.000 --> 00:02:05.000]  (想像這個教會)
[00:02:05.000 --> 00:02:07.000]  (責任於看待家庭)
[00:02:07.000 --> 00:02:08.000]  (如同它所謂的)
[00:02:08.000 --> 00:02:11.000]  (一切都能做到的)
[00:02:11.000 --> 00:02:13.000]  (牽涉到意義的)
[00:02:13.000 --> 00:02:14.000]  (責任的)
[00:02:14.000 --> 00:02:15.000]  (和真正的關係)
[00:02:15.000 --> 00:02:17.000]  (在所有層面)
[00:02:17.000 --> 00:02:19.000]  (這就是那種地方)
[00:02:19.000 --> 00:02:21.000]  (在於年輕和老年人)
[00:02:21.000 --> 00:02:23.000]  (都會被照顧)
[00:02:23.000 --> 00:02:25.000]  (被支持和支持)
[00:02:25.000 --> 00:02:26.000]  (在這裡,所有)
[00:02:26.000 --> 00:02:28.000]  (背景和傳統的人)
[00:02:28.000 --> 00:02:30.000]  (都能感到在家中)
[00:02:30.000 --> 00:02:32.000]  (一種文化褪色)
[00:02:32.000 --> 00:02:33.000]  (在這裡,所有)
[00:02:33.000 --> 00:02:34.000]  (背景和傳統的人)
[00:02:34.000 --> 00:02:35.000]  (都能感到在家中)
