
[00:00:00.000 --> 00:00:03.480]  謝謝,我們給Vanchesca掌聲,謝謝
[00:00:03.480 --> 00:00:08.760]  每次Fan帶領我們都是好像和家人聊天一樣
[00:00:08.760 --> 00:00:10.760]  專業,真是專業
[00:00:10.760 --> 00:00:16.000]  不好意思,我發音相當磁性,在咪高峰聽到聲音更磁性
[00:00:16.000 --> 00:00:18.000]  (Fan:你是誰?)
[00:00:18.000 --> 00:00:20.000]  好,求主保守
[00:00:20.000 --> 00:00:25.000]  上星期我和Michi有機會去到上星期下午
[00:00:25.000 --> 00:00:29.000]  剛才Fan說過一個青年的聚會
[00:00:29.000 --> 00:00:34.000]  青年聚會有機會分享一些關於理財的知識
[00:00:34.000 --> 00:00:40.000]  是一個很難得的機會,讓我們可以將我們本身的專業
[00:00:40.000 --> 00:00:44.000]  和一些相對年輕的一輩分享
[00:00:44.000 --> 00:00:48.000]  我們學習如何一起做一個財務的管家
[00:00:48.000 --> 00:00:51.000]  Stewardship,因為都是上帝給我們的
[00:00:51.000 --> 00:00:55.000]  當我準備的時候,讓我想起很多當年
[00:00:55.000 --> 00:01:01.000]  當我仍然是青年的時候,在金融上工作的一些經歷
[00:01:01.000 --> 00:01:04.000]  今天可以和大家分享多一點
[00:01:04.000 --> 00:01:09.000]  話說我當時還在金融市場打工的日子
[00:01:09.000 --> 00:01:11.000]  這個是在網上找回來的
[00:01:11.000 --> 00:01:13.000]  (Fan:哇)
[00:01:13.000 --> 00:01:17.000]  當時是幫Alpha買廣告
[00:01:17.000 --> 00:01:20.000]  有些這樣的東西
[00:01:20.000 --> 00:01:27.000]  當時我除了立志要以炒股為生之外
[00:01:27.000 --> 00:01:30.000]  有沒有人有這樣的心智?
[00:01:30.000 --> 00:01:32.000]  待會為你祈禱
[00:01:32.000 --> 00:01:34.000]  同時間我也是一個股票經紀
[00:01:34.000 --> 00:01:39.000]  有一段時間我在一間外資行工作
[00:01:39.000 --> 00:01:43.000]  當時我有一位投行出身的拍檔
[00:01:43.000 --> 00:01:46.000]  我們一起去賺錢
[00:01:46.000 --> 00:01:50.000]  你可能知道股票市場有不少灰色地帶
[00:01:50.000 --> 00:01:54.000]  我這位拍檔最喜歡在灰色地帶賺錢
[00:01:54.000 --> 00:01:56.000]  他覺得在那裡容易賺錢
[00:01:56.000 --> 00:01:58.000]  有一天臨收市,他跟我說
[00:01:58.000 --> 00:02:01.000]  Ivan,收市後跟我一起回大陸
[00:02:01.000 --> 00:02:04.000]  上深圳,我約了幾位大哥吃飯
[00:02:04.000 --> 00:02:07.000]  所謂的大哥,其實他們是
[00:02:07.000 --> 00:02:12.000]  他們是那些人
[00:02:12.000 --> 00:02:19.000]  他們是某幾間上市公司的大部分股票的大炒家
[00:02:19.000 --> 00:02:22.000]  上到深圳,坐下來吃飯
[00:02:22.000 --> 00:02:26.000]  當然不是馬上談生意
[00:02:26.000 --> 00:02:29.000]  天南地北都要吹一下,如果大家有應酬的話
[00:02:29.000 --> 00:02:35.000]  由他們很熟悉的一些大陸的潮流文化
[00:02:35.000 --> 00:02:39.000]  到一些他們以為自己都很熟悉的香港已經過氣的文化
[00:02:39.000 --> 00:02:44.000]  以至到一些風水、命理、獎賞、面相
[00:02:44.000 --> 00:02:46.000]  什麼都要答得兩嘴
[00:02:46.000 --> 00:02:51.000]  但當時我已經信了這一段時間
[00:02:51.000 --> 00:02:56.000]  我知道風水、命理那些跟我們信仰有點違反
[00:02:56.000 --> 00:03:01.000]  跟我們信仰不是有點違反,完全是不可以共融在一起
[00:03:01.000 --> 00:03:05.000]  但在那個環境,人家是主場,人家還是老闆
[00:03:05.000 --> 00:03:08.000]  那我可以怎樣?你可以怎樣?
[00:03:08.000 --> 00:03:12.000]  那一刻我終於有一點被老巴比倫的感覺
[00:03:12.000 --> 00:03:16.000]  去到一個不是屬於自己的地方
[00:03:16.000 --> 00:03:18.000]  你明白的了
[00:03:18.000 --> 00:03:19.000]  最慘的是什麼呢?
[00:03:19.000 --> 00:03:25.000]  最慘的是致命對面相很厲害的那個大佬之手
[00:03:25.000 --> 00:03:28.000]  他說要震你兩句
[00:03:28.000 --> 00:03:31.000]  他說:喂!Ivan!
[00:03:31.000 --> 00:03:36.000]  微心飽不飽滿代表那個人聰不聰明
[00:03:36.000 --> 00:03:40.000]  在這裡,在座,我說你是最聰明的那個
[00:03:40.000 --> 00:03:45.000]  我心想,糟糕了,我怎樣回應好呢?
[00:03:45.000 --> 00:03:48.000]  不是,不是,大佬哪裡是,你才是最聰明
[00:03:48.000 --> 00:03:53.000]  那你就是說大佬不行,就是說他不會看,沒料到
[00:03:53.000 --> 00:03:56.000]  還是我要表露我自己的身份?
