
[00:00:00.000 --> 00:00:01.420]   Woo, hi everyone.
[00:00:01.420 --> 00:00:05.260]   Yeah, forgive me, 'cause I just got off the plane
[00:00:05.260 --> 00:00:08.160]   around 12 midnight, so a little bit,
[00:00:08.160 --> 00:00:10.820]   no, it's not called Jack Lab, but just in general.
[00:00:10.820 --> 00:00:13.360]   Anyway, good to see you.
[00:00:13.360 --> 00:00:14.700]   For you, it's just another week.
[00:00:14.700 --> 00:00:16.740]   For me, I've been away almost the entire week,
[00:00:16.740 --> 00:00:19.040]   so I felt, whoa, I haven't seen you for a long time.
[00:00:19.040 --> 00:00:20.160]   It's not true, just one week, right?
[00:00:20.160 --> 00:00:23.660]   Anyway, I was with Pastor John and Sandra,
[00:00:23.660 --> 00:00:27.360]   was he, no, he was speaking earlier.
[00:00:27.360 --> 00:00:29.560]   I was with Pastor John and Sandra in Manila
[00:00:29.560 --> 00:00:32.480]   for a conference, for a gathering
[00:00:32.480 --> 00:00:36.280]   with some other 200 people around the world
[00:00:36.280 --> 00:00:41.060]   from every different continent on the globe.
[00:00:41.060 --> 00:00:44.560]   We were focusing on one thing among many other things.
[00:00:44.560 --> 00:00:47.000]   We were talking about or having discussions
[00:00:47.000 --> 00:00:50.560]   about how we can accelerate the advance of the gospel
[00:00:50.560 --> 00:00:52.200]   in the next generation.
[00:00:52.200 --> 00:00:53.520]   Sounds like, woo, right?
[00:00:53.520 --> 00:00:56.140]   No, but all I was doing was just really getting
[00:00:56.140 --> 00:00:58.620]   to meet people from all around the world,
[00:00:58.620 --> 00:01:01.160]   to hear their stories, to share my own stories,
[00:01:01.160 --> 00:01:02.920]   to gather around the table.
[00:01:02.920 --> 00:01:05.320]   I actually have a picture I can show you.
[00:01:05.320 --> 00:01:10.120]   So we have a huge, yeah, a lot of people from everywhere,
[00:01:10.120 --> 00:01:13.780]   but I was also connected to some, what I call East Asians,
[00:01:13.780 --> 00:01:18.480]   countries like Japan and, my brain's not working,
[00:01:18.480 --> 00:01:22.040]   Korea, Taiwan, and Singapore, and we were like,
[00:01:22.040 --> 00:01:24.280]   we just built relationship, tried to be a family,
[00:01:24.280 --> 00:01:26.840]   and we adopted some non-Asians here as well,
[00:01:26.840 --> 00:01:28.320]   especially this couple, you know?
[00:01:28.320 --> 00:01:31.320]   Anyway, it's very amazing,
[00:01:31.320 --> 00:01:33.660]   and whenever I go to conferences like this,
