
[00:00:00.000 --> 00:00:01.560]  謝謝Francesca
[00:00:01.560 --> 00:00:03.520]  給Francesca一點掌聲,好嗎?
[00:00:03.520 --> 00:00:08.320]  對,謝謝你一直為我們一起服侍
[00:00:08.320 --> 00:00:11.160]  相信接下來會有更多的弟兄姊妹
[00:00:11.160 --> 00:00:14.960]  站起來、興起,一起繼續服侍
[00:00:14.960 --> 00:00:16.320]  不只是Pasta
[00:00:16.320 --> 00:00:18.200]  你看Chairman又彈小提琴
[00:00:18.200 --> 00:00:20.720]  然後又要報名,又要拍攝
[00:00:20.720 --> 00:00:22.800]  一個很忙碌的Pasta
[00:00:22.800 --> 00:00:25.760]  無論如何,真的感恩
[00:00:25.800 --> 00:00:32.760]  昨晚我冷得全身發抖
[00:00:32.760 --> 00:00:34.520]  昨天早上發燒
[00:00:34.520 --> 00:00:38.040]  我們有一個祈禱禱告隊
[00:00:38.040 --> 00:00:43.080]  希望他們為我們祈禱
[00:00:43.080 --> 00:00:45.680]  其實真的是一個神蹟
[00:00:45.680 --> 00:00:46.760]  幾個小時後
[00:00:46.760 --> 00:00:48.400]  當然拍了幾粒止痛藥
[00:00:48.400 --> 00:00:52.480]  我說Prayer and Panadol
[00:00:52.520 --> 00:00:56.040]  是確有功效的
[00:00:56.040 --> 00:00:59.440]  感謝主,昨天也跟Pasta團隊談
[00:00:59.440 --> 00:01:00.680]  我說如果我真的不能回來
[00:01:00.680 --> 00:01:01.880]  他要說英文
[00:01:01.880 --> 00:01:03.280]  Chairman又多了一個職務
[00:01:03.280 --> 00:01:05.800]  又是即時傳譯
[00:01:05.800 --> 00:01:11.160]  感恩,也為大家的健康禱告
[00:01:11.160 --> 00:01:12.920]  這個季節
[00:01:12.920 --> 00:01:14.000]  看到無論大人還是小朋友
[00:01:14.000 --> 00:01:16.840]  都有很多不同的不適
[00:01:16.840 --> 00:01:18.240]  求主保守我們
[00:01:18.240 --> 00:01:20.560]  我們儲多點抵抗力
[00:01:20.600 --> 00:01:24.000]  讓我們身體和心靈更加剛強
