
[00:00:00.000 --> 00:00:02.000]  Thank you, KenKen, 多謝你
[00:00:02.000 --> 00:00:06.000]  大家好, 早安
[00:00:06.000 --> 00:00:08.000]  我們應該是一個星期沒有見面
[00:00:08.000 --> 00:00:10.000]  但對我來說好像過了很久
[00:00:10.000 --> 00:00:12.000]  因為剛剛這個星期
[00:00:12.000 --> 00:00:14.000]  我差不多整個星期都不在香港
[00:00:14.000 --> 00:00:16.000]  我和…嘩, 聲音還是有點沙沙的
[00:00:16.000 --> 00:00:18.000]  我和…
[00:00:18.000 --> 00:00:20.000]  Paz, John和Sandra
[00:00:20.000 --> 00:00:22.000]  他們整個星期的時間
[00:00:22.000 --> 00:00:24.000]  都在馬尼拉那裡
[00:00:24.000 --> 00:00:26.000]  我們可以去看看下一張照片
[00:00:26.000 --> 00:00:28.000]  我們在那裡參加一個聚會
[00:00:28.000 --> 00:00:30.000]  這個聚會基本上
[00:00:30.000 --> 00:00:32.000]  有大約200人
[00:00:32.000 --> 00:00:34.000]  走在一起, 來自全世界
[00:00:34.000 --> 00:00:36.000]  很多不同的地方
[00:00:36.000 --> 00:00:38.000]  每一個州, 有很多不同的國家
[00:00:38.000 --> 00:00:40.000]  都有他們的代表
[00:00:40.000 --> 00:00:42.000]  我們這樣走在一起, 一起去探討
[00:00:42.000 --> 00:00:44.000]  一件事, 就是怎樣可以在下一代
[00:00:44.000 --> 00:00:46.000]  我們可以見到
[00:00:46.000 --> 00:00:48.000]  福音的進步
[00:00:48.000 --> 00:00:50.000]  怎樣我們可以見到
[00:00:50.000 --> 00:00:52.000]  神的國可以更快的
[00:00:52.000 --> 00:00:54.000]  臨到地上, 他的福音
[00:00:54.000 --> 00:00:56.000]  可以繼續擴張
[00:00:56.000 --> 00:00:58.000]  好幾天的時間, 一起
[00:00:58.000 --> 00:01:00.000]  互相去認識, 去建立很深的關係
[00:01:00.000 --> 00:01:02.000]  我們這裡
[00:01:02.000 --> 00:01:04.000]  有一群很多都是, 除了有黑有白
[00:01:04.000 --> 00:01:06.000]  大部分都是亞洲人
[00:01:06.000 --> 00:01:08.000]  我們有一群亞洲人
[00:01:08.000 --> 00:01:10.000]  走在一起
[00:01:10.000 --> 00:01:12.000]  一起去祈禱, 一起去互相
[00:01:12.000 --> 00:01:14.000]  聆聽大家的故事
[00:01:14.000 --> 00:01:16.000]  所以
[00:01:16.000 --> 00:01:18.000]  基本上我昨晚12點
[00:01:18.000 --> 00:01:20.000]  下飛機
[00:01:20.000 --> 00:01:22.000]  所以我最後有點累
[00:01:22.000 --> 00:01:24.000]  但是
[00:01:24.000 --> 00:01:26.000]  在一個很趕的行程裡
[00:01:26.000 --> 00:01:28.000]  我們剛剛上星期在說
[00:01:28.000 --> 00:01:30.000]  教會應該是怎樣的
[00:01:30.000 --> 00:01:32.000]  那種
[00:01:32.000 --> 00:01:34.000]  我們彼此去同心的
[00:01:34.000 --> 00:01:36.000]  我們互相去分享的
[00:01:36.000 --> 00:01:38.000]  我很榮幸, 很感謝Pastor John
[00:01:38.000 --> 00:01:40.000]  眷顧小弟帶我去
[00:01:40.000 --> 00:01:42.000]  在一個
[00:01:42.000 --> 00:01:44.000]  和全世界
[00:01:44.000 --> 00:01:46.000]  一個整個基督的身體
[00:01:46.000 --> 00:01:48.000]  裡, 我這個時間
[00:01:48.000 --> 00:01:50.000]  和他們一起去聽很多人的故事
[00:01:50.000 --> 00:01:52.000]  和他們一起去禱告
[00:01:52.000 --> 00:01:54.000]  一會兒有機會再說多一點
[00:01:54.000 --> 00:01:56.000]  在我
[00:01:56.000 --> 00:01:58.000]  通常出去外面
