
[00:00:00.000 --> 00:00:01.760]   in Jesus' name, amen.
[00:00:01.760 --> 00:00:02.960]   - Amen.
[00:00:02.960 --> 00:00:03.960]   Thank you, Carla.
[00:00:03.960 --> 00:00:05.960]   Congratulations to all the baptism candidates.
[00:00:05.960 --> 00:00:10.440]   What a wonderful day to celebrate together.
[00:00:10.440 --> 00:00:12.920]   And so yeah, as Carla said, over the past five weeks,
[00:00:12.920 --> 00:00:15.200]   we've been exploring, right, through the Old Testament,
[00:00:15.200 --> 00:00:17.720]   these encounters with God.
[00:00:17.720 --> 00:00:19.520]   And through looking at the different characters
[00:00:19.520 --> 00:00:21.400]   and the encounters they have had,
[00:00:21.400 --> 00:00:23.600]   the hope is that you've been challenged,
[00:00:23.600 --> 00:00:26.560]   you've been inspired, and hopefully even changed
[00:00:26.560 --> 00:00:28.840]   as you start to apply some of these things
[00:00:28.840 --> 00:00:31.280]   that we've been talking about into your own life.
[00:00:31.280 --> 00:00:34.360]   The whole heart behind this series was that,
[00:00:34.360 --> 00:00:35.840]   you know, right at the beginning of the year,
[00:00:35.840 --> 00:00:36.800]   I'm not sure if you remember,
[00:00:36.800 --> 00:00:41.080]   the word spoken over us by the Lord was intimacy.
[00:00:41.080 --> 00:00:43.880]   And these encounters prove that God is a God
[00:00:43.880 --> 00:00:45.600]   that wants to be close to us,
[00:00:45.600 --> 00:00:46.960]   that wants us to be close to him,
[00:00:46.960 --> 00:00:50.360]   that wants to reveal things about himself to us
[00:00:50.360 --> 00:00:52.080]   so that we can get to know him.
[00:00:52.080 --> 00:00:55.600]   However, and this is the other side of the coin,
[00:00:55.600 --> 00:00:59.040]   being close to God, encountering him in all we do,
[00:00:59.040 --> 00:01:01.360]   knowing and feeling the love of Jesus
[00:01:01.360 --> 00:01:03.840]   is not necessarily the end goal
[00:01:03.840 --> 00:01:06.600]   of what it means to call yourself a Christian.
[00:01:06.600 --> 00:01:08.920]   And yes, over the summer, right,
[00:01:08.920 --> 00:01:11.040]   we've had some incredible moments in this room.
[00:01:11.040 --> 00:01:12.800]   Even this morning, today,
[00:01:12.800 --> 00:01:14.280]   there have been times where we've been worshiping
[00:01:14.280 --> 00:01:15.440]   when it feels like we're worshiping
[00:01:15.440 --> 00:01:17.240]   with the angels themselves in heaven, right?
[00:01:17.240 --> 00:01:21.920]   Just really passionate, intimate moments of worship.
[00:01:21.920 --> 00:01:24.200]   There have been stories and testimonies shared
