
[00:00:00.000 --> 00:00:02.000]  多謝KenKen,我們給KenKen掌聲
[00:00:02.000 --> 00:00:03.000]  說得很好
[00:00:03.000 --> 00:00:05.000]  剛才他很緊張
[00:00:05.000 --> 00:00:07.000]  我說不要緊,叫大家一起站起來
[00:00:07.000 --> 00:00:09.000]  然後一起拉筋
[00:00:09.000 --> 00:00:12.000]  蹲下伸展就可以了
[00:00:12.000 --> 00:00:13.000]  我以前跟他做運動
[00:00:13.000 --> 00:00:15.000]  他給了我很多很清晰的指引
[00:00:15.000 --> 00:00:17.000]  如何可以改善我的身體
[00:00:17.000 --> 00:00:19.000]  剛才KenKen也有說到
[00:00:19.000 --> 00:00:21.000]  一家人回來教會聚會
[00:00:21.000 --> 00:00:25.000]  其實這個詞語是由今早祈禱會的時候
[00:00:25.000 --> 00:00:29.000]  大家已經感受到一家人的狀態
[00:00:29.000 --> 00:00:31.000]  於是我就想一家人
[00:00:31.000 --> 00:00:32.000]  不如我也分享一下
[00:00:32.000 --> 00:00:34.000]  我在家中間的一些尷尬情況
[00:00:34.000 --> 00:00:37.000]  我不知道你有沒有發生過這些事情
[00:00:37.000 --> 00:00:40.000]  最尷尬的情況的其中之一
[00:00:40.000 --> 00:00:42.000]  就是倒垃圾的時候
[00:00:42.000 --> 00:00:44.000]  倒垃圾的時候
[00:00:44.000 --> 00:00:46.000]  就是一身的睡衣
[00:00:46.000 --> 00:00:48.000]  然後你束好頭髮
[00:00:48.000 --> 00:00:50.000]  然後拿著一堆垃圾
[00:00:50.000 --> 00:00:52.000]  然後你嘗試吸住
[00:00:52.000 --> 00:00:54.000]  你不會完全穿進鞋子裡
[00:00:54.000 --> 00:00:56.000]  你只會定著腳
[00:00:56.000 --> 00:00:59.000]  然後就離遠到垃圾房裡
[00:00:59.000 --> 00:01:01.000]  最恐怖的位置
[00:01:01.000 --> 00:01:03.000]  就是當你離開家門的時候
[00:01:03.000 --> 00:01:04.000]  就突然關上
[00:01:04.000 --> 00:01:06.000]  然後就鎖在門外
[00:01:06.000 --> 00:01:08.000]  我形容得這麼仔細
[00:01:08.000 --> 00:01:10.000]  當然沒有發生過在我身上
[00:01:10.000 --> 00:01:13.000]  我是會帶鎖匙出去扔垃圾的人
[00:01:13.000 --> 00:01:16.000]  但你們有沒有試過這個狀態
[00:01:16.000 --> 00:01:19.000]  立刻沒有人敢舉手
[00:01:19.000 --> 00:01:20.000]  真的很尷尬
[00:01:20.000 --> 00:01:22.000]  被鎖在門外的時候
[00:01:22.000 --> 00:01:25.000]  但有時候有些門是我自己關上的
[00:01:25.000 --> 00:01:29.000]  我很記得我在灣仔做K4
[00:01:29.000 --> 00:01:31.000]  See Kids for Christ
[00:01:31.000 --> 00:01:33.000]  這個侍奉的時候
[00:01:33.000 --> 00:01:34.000]  我在灣仔那裡做
[00:01:34.000 --> 00:01:35.000]  灣仔很好
[00:01:35.000 --> 00:01:37.000]  他們每一年
[00:01:37.000 --> 00:01:38.000]  或者只是那一年
[00:01:38.000 --> 00:01:42.000]  就是一個多謝義工的派對
[00:01:42.000 --> 00:01:44.000]  邀請大家發電郵去
[00:01:44.000 --> 00:01:47.000]  我是一個極度內向的人
[00:01:47.000 --> 00:01:49.000]  在教會那裡很少接觸人
[00:01:49.000 --> 00:01:51.000]  我就想,不行的
[00:01:51.000 --> 00:01:53.000]  有時候活動都要亮相
[00:01:53.000 --> 00:01:55.000]  認識一下人
[00:01:55.000 --> 00:01:56.000]  拓展一下自己
[00:01:56.000 --> 00:01:58.000]  開闊一下自己的眼界
[00:01:58.000 --> 00:02:00.000]  於是我完崇拜的時候
[00:02:00.000 --> 00:02:02.000]  就去了Mini Hall
[00:02:02.000 --> 00:02:04.000]  就想參與這個派對
[00:02:04.000 --> 00:02:05.000]  當我走過去
[00:02:05.000 --> 00:02:06.000]  一開門的時候
[00:02:06.000 --> 00:02:08.000]  嘩,超多人
[00:02:08.000 --> 00:02:09.000]  然後大家都在聊天
[00:02:09.000 --> 00:02:10.000]  很開心
[00:02:10.000 --> 00:02:11.000]  很多東西吃
[00:02:11.000 --> 00:02:13.000]  然後我就慢慢地關上門
[00:02:13.000 --> 00:02:15.000]  我就轉身走了
[00:02:15.000 --> 00:02:17.000]  我一路走,一路走,一路走
[00:02:17.000 --> 00:02:20.000]  我走到教會的門口外
[00:02:20.000 --> 00:02:24.000]  我就想,自己都快要離開香港去澳洲了
[00:02:24.000 --> 00:02:26.000]  我還是要做一個正常人結交
[00:02:26.000 --> 00:02:28.000]  學會結交朋友
[00:02:28.000 --> 00:02:32.000]  於是我轉身嘗試一下進去
[00:02:32.000 --> 00:02:35.000]  如果人和人建立關係
[00:02:35.000 --> 00:02:37.000]  就好像這道門那樣
[00:02:37.000 --> 00:02:40.000]  可以自己開,自己關的話
[00:02:40.000 --> 00:02:42.000]  又會是怎樣呢?
[00:02:42.000 --> 00:02:43.000]  其實很多人都形容關係
[00:02:43.000 --> 00:02:46.000]  好像一道門那樣
[00:02:46.000 --> 00:02:48.000]  但是這道門
[00:02:48.000 --> 00:02:52.000]  有時候可能是鎖住了
[00:02:52.000 --> 00:02:55.000]  不知道大家有沒有經歷過這樣的關係呢?
[00:02:55.000 --> 00:02:58.000]  可能是和家人
[00:02:58.000 --> 00:02:59.000]  和親戚
[00:02:59.000 --> 00:03:02.000]  可能很多年沒有見過了
[00:03:02.000 --> 00:03:04.000]  有時候想起這些關係的時候
[00:03:04.000 --> 00:03:05.000]  你會覺得
[00:03:05.000 --> 00:03:08.000]  我很懷念以前和他們一起過新年
[00:03:08.000 --> 00:03:12.000]  或者做節,或者吃飯的時候的情況
[00:03:12.000 --> 00:03:14.000]  可能是一個朋友
[00:03:14.000 --> 00:03:17.000]  累積了很多不同的誤會
[00:03:17.000 --> 00:03:19.000]  很多不同的情況
[00:03:19.000 --> 00:03:22.000]  於是慢慢就沒有再找對方了
[00:03:22.000 --> 00:03:24.000]  可能你被他傷害過
[00:03:24.000 --> 00:03:26.000]  或者你不小心說了一些話
[00:03:26.000 --> 00:03:28.000]  令到他受傷害
[00:03:28.000 --> 00:03:30.000]  所以暫時
[00:03:30.000 --> 00:03:32.000]  這道關係的門
[00:03:32.000 --> 00:03:34.000]  你要關上
[00:03:34.000 --> 00:03:36.000]  給自己一點時間療傷
[00:03:36.000 --> 00:03:38.000]  冷靜一下
[00:03:38.000 --> 00:03:42.000]  可能有些關係是你的另一半
[00:03:42.000 --> 00:03:45.000]  大家都有一起吃飯
[00:03:45.000 --> 00:03:47.000]  有一起照顧家裡的需要
[00:03:47.000 --> 00:03:50.000]  家裡的柴米油鹽都會談的
[00:03:50.000 --> 00:03:52.000]  但是你知道
[00:03:52.000 --> 00:03:56.000]  你很久沒有和他談心事了
[00:03:56.000 --> 00:03:57.000]  可能自己的一些需要
[00:03:57.000 --> 00:03:59.000]  一些感受
[00:03:59.000 --> 00:04:01.000]  你都沒有再和對方分享
[00:04:01.000 --> 00:04:05.000]  是一個暫時靜止的狀態
[00:04:05.000 --> 00:04:07.000]  但是有些關係
[00:04:07.000 --> 00:04:11.000]  不單只是上了鎖那麼簡單
[00:04:11.000 --> 00:04:14.000]  可能已經是死了
[00:04:14.000 --> 00:04:16.000]  上了鎖的關係不一樣
[00:04:16.000 --> 00:04:18.000]  死了的關係
[00:04:18.000 --> 00:04:20.000]  死了的狀態是開不了門
[00:04:20.000 --> 00:04:23.000]  是很難進入這個關係當中
[00:04:23.000 --> 00:04:25.000]  當人與人之間
[00:04:25.000 --> 00:04:27.000]  有一個這樣的狀態的時候
[00:04:27.000 --> 00:04:30.000]  其實好像很難再回到信任當中
[00:04:30.000 --> 00:04:32.000]  我不知道你腦海裡
[00:04:32.000 --> 00:04:34.000]  會不會閃過一些這樣的人
[00:04:34.000 --> 00:04:36.000]  或者一些這樣的記憶
