
[00:00:00.000 --> 00:00:03.720]  我想問一下大家有沒有以前用中文名
[00:00:03.720 --> 00:00:07.320]  但是來到這個教會之後
[00:00:07.320 --> 00:00:09.840]  就經常都要叫英文名
[00:00:09.840 --> 00:00:12.840]  有沒有以前 通常 可能舊教會也好
[00:00:12.840 --> 00:00:14.400]  或者平時以前生活也好
[00:00:14.400 --> 00:00:15.880]  都是叫中文名的
[00:00:15.880 --> 00:00:18.280]  但是來到這裡被迫用英文名 有沒有
[00:00:18.280 --> 00:00:21.200]  有啊 有不少啊 是不是
[00:00:21.200 --> 00:00:23.920]  這個也是剛才Ina說很多我們教會傳統
[00:00:23.920 --> 00:00:25.920]  這是其中一個
[00:00:25.920 --> 00:00:27.560]  雖然我們教會只有一年
[00:00:27.560 --> 00:00:29.240]  我們在創造傳統
[00:00:29.240 --> 00:00:32.480]  這是我們元朗培行教會
[00:00:32.480 --> 00:00:35.280]  一個中英雙語教會
[00:00:35.280 --> 00:00:38.360]  一個挺特別的 挺有趣的情況
[00:00:38.360 --> 00:00:42.000]  近來我聽到有些弟兄姊妹
[00:00:42.000 --> 00:00:44.000]  就特意叫對方的中文名
[00:00:44.000 --> 00:00:47.720]  尤其是 別說了 等一下說我取笑別人
[00:00:47.720 --> 00:00:51.320]  比較 我有話想說
[00:00:51.320 --> 00:00:54.640]  譬如什麼魚啊
[00:00:54.640 --> 00:00:57.240]  什麼美魚啊 是不是
[00:00:57.240 --> 00:01:00.840]  譬如叫 諷那些 突然間覺得比較特別
[00:01:00.840 --> 00:01:03.320]  總是大家喜歡拿出來說
[00:01:03.320 --> 00:01:04.600]  但又好像不太習慣
[00:01:04.600 --> 00:01:07.000]  不過又很有親切感 是不是
[00:01:07.000 --> 00:01:08.600]  挺好玩的
[00:01:08.600 --> 00:01:10.040]  作為一個香港人
[00:01:10.040 --> 00:01:12.200]  有部分人可能
[00:01:12.200 --> 00:01:13.600]  當你出生的時候 英文名
[00:01:13.600 --> 00:01:15.240]  其實你父母已經幫你改了
[00:01:15.240 --> 00:01:18.640]  放在身份證上 是不是
[00:01:18.640 --> 00:01:20.760]  但是有更多人好像我這樣
[00:01:20.760 --> 00:01:25.240]  當我長大之後 我可以自己改我的英文名
[00:01:25.240 --> 00:01:28.040]  甚至有些朋友會喜歡
[00:01:28.040 --> 00:01:30.840]  偶爾 或者去到某個時段就改另一個英文名
[00:01:30.840 --> 00:01:33.600]  又或者在不同場景裡面
[00:01:33.600 --> 00:01:35.240]  就用不同的英文名
[00:01:35.240 --> 00:01:38.240]  當年我出去玩的時候
[00:01:38.240 --> 00:01:41.040]  都有不少不同的英文名
[00:01:41.040 --> 00:01:45.240]  不過作為一個中國人用中文名的時候
[00:01:45.240 --> 00:01:49.240]  其實這個名對大家來說是一個身份的象徵
[00:01:49.240 --> 00:01:52.440]  有句話叫做 恨不改名 坐不改姓 是不是
[00:01:52.440 --> 00:01:55.040]  我們的名字代表著我們
[00:01:55.040 --> 00:01:56.840]  也可能會跟著我們一輩子
[00:01:56.840 --> 00:01:58.840]  當然有些人可能會改名
[00:01:58.840 --> 00:02:02.040]  但其實中文名改名不是那麼常見
[00:02:02.040 --> 00:02:04.840]  對於大部分人來說
[00:02:04.840 --> 00:02:08.440]  這個中文名代表著一個意思
[00:02:08.440 --> 00:02:10.440]  也可能代表著你自己的身份
[00:02:10.440 --> 00:02:13.040]  而這個意思 這個身份
[00:02:13.040 --> 00:02:18.440]  其實是你父母在你出生的時候已經給了你
[00:02:18.440 --> 00:02:21.240]  我的大兒子叫Adriel 進去了
[00:02:21.240 --> 00:02:24.640]  Adriel 他的中文名是林二號
[00:02:24.640 --> 00:02:26.640]  林二號
[00:02:26.640 --> 00:02:29.840]  我就說一下這麼深的一個字 究竟是怎麼來的
[00:02:29.840 --> 00:02:32.640]  反而當時是相反的
[00:02:32.640 --> 00:02:36.440]  是呀 Michi 他找到Adriel這個名字
[00:02:36.440 --> 00:02:39.040]  英文名Adriel其實是希伯來文裡面
[00:02:39.040 --> 00:02:41.240]  一個聖經的人物
[00:02:41.240 --> 00:02:45.440]  他本身Adriel的意思是叫做Flood of God
[00:02:45.440 --> 00:02:51.040]  就是說神的羊群 神的子民 神的跟隨者
[00:02:51.040 --> 00:02:54.040]  我藉著Adriel這個音
[00:02:54.040 --> 00:02:56.040]  就連繫到一個號字
[00:02:56.040 --> 00:02:58.240]  究竟用什麼號字呢
[00:02:58.240 --> 00:03:01.440]  我就上網找找 查字典
[00:03:01.440 --> 00:03:03.440]  名字很重要
[00:03:03.440 --> 00:03:06.440]  我就找到一個號字
[00:03:06.440 --> 00:03:10.040]  這個號字的意思是光
[00:03:10.040 --> 00:03:11.640]  光明
[00:03:11.640 --> 00:03:16.040]  當然很容易我們可以引用上帝的光
[00:03:16.040 --> 00:03:19.040]  但當我看到另一個意思的時候
[00:03:19.040 --> 00:03:21.040]  我領會到這個意思的時候
[00:03:21.040 --> 00:03:23.440]  我馬上決定我會用這個字
[00:03:23.440 --> 00:03:26.240]  這個字你看到它的組合是
[00:03:26.240 --> 00:03:28.640]  白白大十
[00:03:28.640 --> 00:03:29.640]  是不是
[00:03:29.640 --> 00:03:33.440]  平時可能很少見 其實是耗旱的號
[00:03:33.440 --> 00:03:36.240]  白白大十我看到是什麼呢
[00:03:36.240 --> 00:03:40.240]  是白白得著十架的大恩
[00:03:40.240 --> 00:03:42.440]  不簡單了
[00:03:42.440 --> 00:03:43.840]  白白得著十架的大恩
[00:03:43.840 --> 00:03:47.440]  那我整體整個名字是怎麼去理解呢
[00:03:47.440 --> 00:03:50.840]  林 林二號 林其實除了樹林
[00:03:50.840 --> 00:03:55.440]  它也可以解作聚集著一群同類的人
[00:03:55.440 --> 00:03:58.440]  以馬來里豪
[00:03:58.440 --> 00:04:00.240]  意思是這樣
[00:04:00.240 --> 00:04:05.040]  一群人聚在一起
[00:04:05.040 --> 00:04:08.440]  以馬來里神與他們同在
[00:04:08.440 --> 00:04:11.840]  白白得著十架的大恩
[00:04:11.840 --> 00:04:15.040]  嘩 我自己也覺得厲害
[00:04:15.040 --> 00:04:18.040]  我也很佩服 我不是佩服我自己
[00:04:18.040 --> 00:04:23.040]  我是感恩聖靈親自為我兒子改了這個名字
[00:04:23.040 --> 00:04:27.040]  我今天分享這個名字
[00:04:27.040 --> 00:04:29.040]  正正因為和今天的經文相關
[00:04:29.040 --> 00:04:32.040]  分享每一樣東西都要和經文相關
[00:04:32.040 --> 00:04:35.040]  今天的經文正正是在說
[00:04:35.040 --> 00:04:39.040]  撒加利亞為兒子改名的故事
[00:04:39.040 --> 00:04:41.040]  而且是更加厲害的
[00:04:41.040 --> 00:04:43.040]  我們一起看看好不好
[00:04:43.040 --> 00:04:47.040]  盧家福音第一章57到80節
[00:04:47.040 --> 00:04:52.040]  伊底撒伯的產期到了 生了一個兒子
[00:04:52.040 --> 00:04:56.040]  倫理親屬聽見主向他大師憐憫
