
[00:00:00.000 --> 00:00:03.320]  Thank you 其實每次在這裡祈禱 睜大眼睛就好像變了魔術一樣
[00:00:03.320 --> 00:00:05.520]  魔術突然間有個Stand出現了
[00:00:05.520 --> 00:00:07.520]  謝謝某人Benedict Thank you
[00:00:07.520 --> 00:00:08.520]  (笑)
[00:00:08.520 --> 00:00:12.480]  你見到我今天橙...橙什麼的 那兩次
[00:00:12.480 --> 00:00:14.760]  橙...橙澄澄
[00:00:14.760 --> 00:00:15.760]  (嘆氣)
[00:00:15.760 --> 00:00:17.560]  小學生的媽媽是不同一點
[00:00:17.560 --> 00:00:18.760]  橙澄澄這樣
[00:00:18.760 --> 00:00:21.960]  因為呢 你見到其實我們Bunches of Hope
[00:00:21.960 --> 00:00:23.960]  希望支持B.O.H.R.
[00:00:23.960 --> 00:00:26.760]  其實他們的Film Color是橙色的
[00:00:26.760 --> 00:00:29.360]  所以我怎樣也找了一件橙色的衣服出來
[00:00:29.360 --> 00:00:30.960]  一層一層的 然後回來
[00:00:30.960 --> 00:00:32.960]  咦 童工原來穿藍色的
[00:00:32.960 --> 00:00:33.960]  (笑)
[00:00:33.960 --> 00:00:37.960]  藍色配橙色原來是最Perfect的Matching
[00:00:37.960 --> 00:00:39.960]  OK 一直學習
[00:00:39.960 --> 00:00:41.960]  一直穿心也在學習顏色的配搭
[00:00:41.960 --> 00:00:44.960]  好 想問一下大家
[00:00:44.960 --> 00:00:49.960]  你們覺得上帝喜不喜悅人的敬拜
[00:00:49.960 --> 00:00:50.960]  喜悅
[00:00:50.960 --> 00:00:51.960]  喜悅是吧
[00:00:51.960 --> 00:00:54.960]  你們覺得上帝聽不聽人禱告
[00:00:54.960 --> 00:00:55.960]  聽
[00:00:55.960 --> 00:00:58.960]  你們覺得上帝月不月立大家的奉獻
[00:00:58.960 --> 00:01:00.960]  大家都很有信心
[00:01:00.960 --> 00:01:02.960]  答案是Yes
[00:01:02.960 --> 00:01:04.960]  And No
[00:01:04.960 --> 00:01:06.960]  你可能心想不是吧
[00:01:06.960 --> 00:01:08.960]  你們經常叫人敬拜
[00:01:08.960 --> 00:01:10.960]  經常叫人祈禱 經常叫人奉獻
[00:01:10.960 --> 00:01:12.960]  然後你說上帝不月立 不喜悅
[00:01:12.960 --> 00:01:14.960]  不聽禱告
[00:01:14.960 --> 00:01:16.960]  頂主妹
[00:01:16.960 --> 00:01:18.960]  對不起 不是我說的
[00:01:18.960 --> 00:01:20.960]  是聖經說的
[00:01:20.960 --> 00:01:22.960]  我們一起看看聖經怎樣說
[00:01:22.960 --> 00:01:24.960]  你就會知道為何我會這樣說
[00:01:24.960 --> 00:01:27.960]  今天我們的經文在二創下書第一章
[00:01:27.960 --> 00:01:29.960]  我讀一讀給大家聽
