
[00:00:00.000 --> 00:00:01.160]   >> Amen. >> Amen.
[00:00:01.160 --> 00:00:02.000]   >> Thank you, Jess.
[00:00:02.000 --> 00:00:04.760]   I think once a year I kick a football around,
[00:00:04.760 --> 00:00:07.440]   so considering that, it was a really good day, actually.
[00:00:07.440 --> 00:00:09.200]   No injuries, it was really fun.
[00:00:09.200 --> 00:00:13.040]   Well, a lot of times people ask you,
[00:00:13.040 --> 00:00:14.680]   how did you first become a pastor?
[00:00:14.680 --> 00:00:16.000]   When did you start your journey?
[00:00:16.000 --> 00:00:18.600]   And so let me tell you a little bit about that.
[00:00:18.600 --> 00:00:21.840]   I started my journey into full-time ministry
[00:00:21.840 --> 00:00:23.360]   as a youth pastor.
[00:00:23.360 --> 00:00:25.640]   And back then I was serving the church I grew up in
[00:00:25.640 --> 00:00:26.720]   over in Kowloon Tong.
[00:00:26.720 --> 00:00:28.440]   I see Paco right there, actually.
[00:00:28.440 --> 00:00:29.680]   He was in my youth group.
[00:00:29.680 --> 00:00:31.800]   Oh, okay, well I'm talking about you, okay, Paco?
[00:00:31.800 --> 00:00:35.920]   Anyway, so I was the youth pastor for a little while,
[00:00:35.920 --> 00:00:40.000]   and youth work is a great way to get to know
[00:00:40.000 --> 00:00:41.520]   how to do ministry.
[00:00:41.520 --> 00:00:44.520]   And one of the things I got to do was to take youth groups
[00:00:44.520 --> 00:00:45.920]   on mission trips.
[00:00:45.920 --> 00:00:48.560]   And so this was about 17 years ago.
[00:00:48.560 --> 00:00:51.660]   I was just a kid back then, so I was like a big kid
[00:00:51.660 --> 00:00:54.560]   taking some little kids to a foreign country,
[00:00:54.560 --> 00:00:56.200]   a place I didn't know the language,
[00:00:56.200 --> 00:00:58.560]   I didn't know the people, to serve a group.
[00:00:58.560 --> 00:01:00.840]   I didn't even really know who I was connecting with.
[00:01:00.840 --> 00:01:03.080]   It's amazing that the parents allowed this all to happen
[00:01:03.080 --> 00:01:05.120]   in the first place, right?
[00:01:05.120 --> 00:01:09.200]   But it was a really good trip, actually, overall.
[00:01:09.200 --> 00:01:11.000]   But on the first night when we got there,
[00:01:11.000 --> 00:01:13.360]   we were looking for a place to have dinner.
[00:01:13.360 --> 00:01:14.840]   Okay, actually, we were on Hainan Island.
[00:01:14.840 --> 00:01:17.120]   This is when I discovered that Hainanese chicken rice
[00:01:17.120 --> 00:01:19.520]   is not really from Hainan Island, okay?
[00:01:19.520 --> 00:01:20.920]   Amongst many other things.
[00:01:20.920 --> 00:01:22.560]   So we were looking for a place to have dinner.
[00:01:22.560 --> 00:01:25.520]   I was walking around with me and a bunch of about 12
[00:01:25.520 --> 00:01:29.960]   other kids, teenagers, preteens, and so we found this place.
[00:01:29.960 --> 00:01:33.600]   It was a cheap hot pot place, so I thought, perfect.
[00:01:33.600 --> 00:01:37.600]   Hong Kong kids, cheap hot pot, perfect place for dinner.
[00:01:37.600 --> 00:01:39.800]   And so we decided to have dinner there.
[00:01:39.800 --> 00:01:41.440]   And when we walked in, we discovered, actually,
[00:01:41.440 --> 00:01:44.080]   it's a all-you-can-eat place.
[00:01:44.080 --> 00:01:46.200]   So yeah, we loved that.
[00:01:46.200 --> 00:01:51.080]   But how it worked was you get one visit to the buffet table,
[00:01:51.080 --> 00:01:52.400]   you get as much food as you want,
[00:01:52.400 --> 00:01:54.120]   and you can bring it back to the table,
[00:01:54.120 --> 00:01:56.360]   and that was your dinner.
[00:01:56.360 --> 00:01:58.700]   Okay, so we were all there having a good time
[00:01:58.700 --> 00:02:01.680]   and eating away, and there was one kid, though,
[00:02:01.680 --> 00:02:03.480]   who got way too much food.
[00:02:03.480 --> 00:02:05.800]   Like, it was just like a ridiculous amount of food.
[00:02:05.800 --> 00:02:07.720]   Now, do you remember back in the day,
[00:02:07.720 --> 00:02:09.740]   or back when I was growing up, Pizza Hut, right,
[00:02:09.740 --> 00:02:11.900]   had the salad bar, right?
[00:02:11.900 --> 00:02:14.240]   Oh, Pizza Hut salad bar, right?
[00:02:14.240 --> 00:02:16.560]   Me going out for Pizza Hut was like, yes, you know,
[00:02:16.560 --> 00:02:18.280]   Saitan, you know, white people food, right?
[00:02:18.280 --> 00:02:20.440]   This is amazing, okay?
[00:02:20.440 --> 00:02:23.360]   But that salad bar, right, you got that really flimsy,
[00:02:23.360 --> 00:02:26.360]   brown, like, bamboo-ish sort of bowl, do you remember that?
[00:02:26.360 --> 00:02:27.880]   Right, and there was whole art to, like,
[00:02:27.880 --> 00:02:29.480]   building up the salad, right?
[00:02:29.480 --> 00:02:31.400]   So you put, like, the potatoes at the bottom
[00:02:31.400 --> 00:02:32.960]   to get, like, a foundation, right?
[00:02:32.960 --> 00:02:34.560]   Stick some cucumbers on the side
[00:02:34.560 --> 00:02:37.520]   so you could, like, widen the bowl a little bit, right?
[00:02:37.520 --> 00:02:38.720]   And people would come back,
[00:02:38.720 --> 00:02:41.780]   and it was, like, this huge tower of salad, right?
[00:02:41.780 --> 00:02:43.720]   But in the end, like, it just got wasted
[00:02:43.720 --> 00:02:44.640]   'cause it was disgusting.
[00:02:44.640 --> 00:02:46.360]   It was like Thousand Island sauce over, like,
[00:02:46.360 --> 00:02:48.520]   pineapples and raisins and, like,
[00:02:48.520 --> 00:02:50.800]   all this random stuff mashed together.
[00:02:50.800 --> 00:02:52.000]   It was disgusting.
[00:02:52.000 --> 00:02:53.360]   No one actually liked the salad,
[00:02:53.360 --> 00:02:55.200]   and I think they just liked seeing how tall
[00:02:55.200 --> 00:02:56.600]   they could make that tower, right,
[00:02:56.600 --> 00:02:58.360]   and bringing it back to the table.
[00:02:58.360 --> 00:02:59.740]   Well, that's kind of what happened, right?
[00:02:59.740 --> 00:03:01.540]   This kid got all this food, right?
[00:03:01.540 --> 00:03:03.680]   There was so much, so much food that he got.
[00:03:03.680 --> 00:03:05.640]   He couldn't finish it all.
[00:03:05.640 --> 00:03:06.800]   All right, so I got really upset.
[00:03:06.800 --> 00:03:08.600]   I was like, what are we gonna do, right?
[00:03:08.600 --> 00:03:11.880]   You've wasted all this food.
[00:03:11.880 --> 00:03:13.120]   But then I also thought to myself,
[00:03:13.120 --> 00:03:16.040]   okay, there's a teachable moment here, all right?
[00:03:16.040 --> 00:03:19.000]   How am I gonna make this into a life lesson, right?
[00:03:19.000 --> 00:03:19.840]   So it's a true story.
[00:03:19.840 --> 00:03:20.680]   This is what I did, right?
[00:03:20.680 --> 00:03:21.680]   I told the young guy, he's like,
[00:03:21.680 --> 00:03:23.200]   dude, like, what happened?
[00:03:23.200 --> 00:03:25.440]   You just wasted all this food.
[00:03:25.440 --> 00:03:26.480]   And he said to me, yeah, I thought
[00:03:26.480 --> 00:03:27.920]   it was all you can eat, Ellison.
[00:03:27.920 --> 00:03:29.280]   So, well, yeah, all you can eat
[00:03:29.280 --> 00:03:31.280]   doesn't mean all you can waste, okay?
[00:03:31.280 --> 00:03:33.600]   So, like, what are we gonna do about this?
[00:03:33.600 --> 00:03:34.800]   You know, you didn't eat the food.
[00:03:34.800 --> 00:03:36.840]   You're gonna have to pay for it now.
[00:03:36.840 --> 00:03:38.080]   And he starts to panic.
[00:03:38.080 --> 00:03:39.840]   He's like, well, I didn't do anything wrong, right?
[00:03:39.840 --> 00:03:40.880]   You said it was all you can eat.
[00:03:40.880 --> 00:03:42.120]   I'm just gonna put the food back.
[00:03:42.120 --> 00:03:43.840]   He's like, dude, that's disgusting, okay?
[00:03:43.840 --> 00:03:45.740]   Do not put the food back, okay?
[00:03:45.740 --> 00:03:46.960]   It's at the table now.
[00:03:46.960 --> 00:03:48.960]   All right, something's gotta happen.
[00:03:48.960 --> 00:03:50.260]   And he said, what's gonna happen?
[00:03:50.260 --> 00:03:52.840]   So, I told him, okay, well, the manager's gonna come.
[00:03:52.840 --> 00:03:54.720]   He's gonna weigh all the food.
[00:03:54.720 --> 00:03:57.140]   And according to how much it weighs,
[00:03:57.140 --> 00:03:58.840]   you're gonna have to pay the penalty
[00:03:58.840 --> 00:04:01.160]   for wasting all this food.
[00:04:01.160 --> 00:04:02.640]   And then he really starts to panic.
[00:04:02.640 --> 00:04:04.560]   So, well, how much money are you gonna have to pay?
[00:04:04.560 --> 00:04:06.560]   Like, my mom didn't give me that much pocket money.
[00:04:06.560 --> 00:04:08.400]   You know, I've been planning to spend on some souvenirs.
[00:04:08.400 --> 00:04:09.400]   Like, I don't have it.
[00:04:09.400 --> 00:04:11.440]   Like, what am I gonna do?
[00:04:11.440 --> 00:04:14.620]   So, I told him, okay, the only way you can get out of this
[00:04:14.620 --> 00:04:16.360]   is if you go to the manager
[00:04:16.360 --> 00:04:18.880]   and you beg him for forgiveness, okay?
[00:04:18.880 --> 00:04:20.240]   Beg him for forgiveness.
[00:04:20.240 --> 00:04:22.560]   Maybe he'll just let you go.
[00:04:22.560 --> 00:04:23.560]   He's panicking.
[00:04:23.560 --> 00:04:24.400]   Where is he?
[00:04:24.400 --> 00:04:25.760]   So, I point to a gentleman
[00:04:25.760 --> 00:04:27.040]   sitting on the other side of the restaurant.
[00:04:27.040 --> 00:04:29.920]   Okay, that's the manager sitting right there, right?
[00:04:29.920 --> 00:04:32.640]   Now, I've just pointed to a random guy
[00:04:32.640 --> 00:04:34.040]   minding his business, okay?
[00:04:34.040 --> 00:04:36.260]   He's there having dinner with his family, right?
[00:04:36.260 --> 00:04:39.960]   Because the truth was, there was no manager, okay?
[00:04:39.960 --> 00:04:41.240]   Who was mad at him.
[00:04:41.240 --> 00:04:43.140]   I just, like I said, teachable moment.
[00:04:43.140 --> 00:04:46.340]   I wanted to teach him a lesson to not to waste food.
[00:04:46.340 --> 00:04:48.980]   Right, so this boy, he stands there for a minute, right?
[00:04:48.980 --> 00:04:50.180]   And he's like sweating bullets.
[00:04:50.180 --> 00:04:52.500]   He's like rehearsing what he's gonna say,
[00:04:52.500 --> 00:04:53.340]   practicing his Mandarin.
[00:04:53.340 --> 00:04:55.300]   He's like, (mimics Mandarin)
[00:04:55.300 --> 00:04:56.900]   Right, and so, and then he really like,
[00:04:56.900 --> 00:04:59.660]   coyly walks up to this man, taps him on the shoulder,
[00:04:59.660 --> 00:05:00.900]   and he just starts going for it.
[00:05:00.900 --> 00:05:01.740]   I'm really sorry.
[00:05:01.740 --> 00:05:03.180]   I've ate all this food.
[00:05:03.180 --> 00:05:04.140]   I don't have money to pay.
[00:05:04.140 --> 00:05:05.420]   Please forgive me, right?
[00:05:05.420 --> 00:05:07.820]   And this man's just staring blankly at him like,
[00:05:07.820 --> 00:05:11.500]   why is this kid like confessing all his sins to me
[00:05:11.500 --> 00:05:12.840]   right now, you know?
[00:05:12.840 --> 00:05:14.820]   And then, anyway, I was standing in the corner
[00:05:14.820 --> 00:05:17.020]   also crying, but with laughter, right?
[00:05:17.020 --> 00:05:19.940]   Like, I'm not saying it was a good thing or a bad thing.
[00:05:19.940 --> 00:05:22.820]   I don't know, but no more food was wasted that trip.
[00:05:22.820 --> 00:05:23.900]   We'll say it like that, okay?
[00:05:23.900 --> 00:05:28.900]   So, now of course, you know, that's a bit of a funny story.
[00:05:28.900 --> 00:05:31.500]   But in a way, we sort of, we've all been there, right?
[00:05:31.500 --> 00:05:33.300]   In that moment.
[00:05:33.300 --> 00:05:36.740]   Like that moment when we realize we've done something wrong
[00:05:36.740 --> 00:05:38.820]   and the guilt and the shame and the fear
[00:05:38.820 --> 00:05:40.460]   that comes with that.
[00:05:40.460 --> 00:05:42.120]   And then you have this reaction of trying
[00:05:42.120 --> 00:05:44.020]   to make things right, realizing then,
[00:05:44.020 --> 00:05:46.580]   actually, there is nothing I can do to make it right.
[00:05:46.580 --> 00:05:51.540]   The only thing left for me to do is to ask for forgiveness
[00:05:51.540 --> 00:05:54.840]   and hope that forgiveness is offered to us.
[00:05:54.840 --> 00:05:59.020]   You know, we're at the tail end of the year already,
[00:05:59.020 --> 00:06:00.340]   believe it or not.
[00:06:00.340 --> 00:06:03.180]   And we have Advent starting soon.
[00:06:03.180 --> 00:06:06.120]   But before Advent, this is our last sermon series
[00:06:06.120 --> 00:06:07.380]   of the year.
[00:06:07.380 --> 00:06:12.380]   And actually, this sermon series was born out of a heart cry
[00:06:12.380 --> 00:06:14.340]   of the community, I believe.
[00:06:14.340 --> 00:06:16.420]   You may remember a few months ago,
[00:06:16.420 --> 00:06:18.860]   we did an event called Converse.
[00:06:18.860 --> 00:06:20.860]   And at Converse, we set up prayer stations
[00:06:20.860 --> 00:06:22.900]   up at a high school, you know, just up the hill.
[00:06:22.900 --> 00:06:24.840]   And there was a big hall and there was all these different,
[00:06:24.840 --> 00:06:27.340]   amazing prayer stations, different ways for us
[00:06:27.340 --> 00:06:28.980]   to interact with prayer.
[00:06:28.980 --> 00:06:32.020]   And one of the stations was to do with forgiveness, right?
[00:06:32.020 --> 00:06:34.540]   It was either asking, you know, prayer requests
[00:06:34.540 --> 00:06:39.380]   to give forgiveness or to receive forgiveness.
[00:06:39.380 --> 00:06:42.540]   And as we looked through the prayer requests
[00:06:42.540 --> 00:06:44.100]   that were written out, we realized, right,
[00:06:44.100 --> 00:06:49.100]   this is a theme that so many of us are struggling with
[00:06:49.100 --> 00:06:50.420]   in our community.
[00:06:50.420 --> 00:06:54.300]   Many of these had to do with relationships, right?
[00:06:54.300 --> 00:06:58.060]   People asking for the strength to be able to forgive people
[00:06:58.060 --> 00:07:00.700]   that have hurt them in different ways.
[00:07:00.700 --> 00:07:03.360]   There were also many voices asking for forgiveness
[00:07:03.360 --> 00:07:05.900]   because they have been the ones who have caused harm
[00:07:05.900 --> 00:07:08.320]   and hurt to other people.
[00:07:08.320 --> 00:07:10.140]   A lot of written on there was to, you know,
[00:07:10.140 --> 00:07:12.220]   about forgiving ourselves, right?
[00:07:12.220 --> 00:07:14.180]   The different things that we struggle with,
[00:07:14.180 --> 00:07:16.340]   asking God for forgiveness.
[00:07:16.340 --> 00:07:19.220]   And in some ways, there was also a lot of requests
[00:07:19.220 --> 00:07:22.700]   asking for, you know, to be able to forgive God, right?
[00:07:22.700 --> 00:07:24.900]   Because people have felt like God has let them down.
[00:07:24.900 --> 00:07:26.460]   They put their faith in God and they felt like God
[00:07:26.460 --> 00:07:27.300]   had let them down.
[00:07:27.300 --> 00:07:30.080]   And I feel like I need to forgive God in some way.
[00:07:30.080 --> 00:07:33.660]   And so since this was a topic that so many of us
[00:07:33.660 --> 00:07:36.120]   were wrestling with, we figured it was time
[00:07:36.120 --> 00:07:39.660]   to address this together as a church.
[00:07:39.660 --> 00:07:43.460]   Because the truth is, we all need, everyone needs
[00:07:43.460 --> 00:07:46.380]   to come to a good understanding of what forgiveness is,
[00:07:46.380 --> 00:07:49.260]   of what forgiveness is and what it's supposed to look like
[00:07:49.260 --> 00:07:53.380]   because forgiveness sits at the center of God's heart.
[00:07:53.380 --> 00:07:58.100]   And forgiveness is essential for our relationship with God.
[00:07:58.100 --> 00:08:00.020]   In fact, without forgiveness, there would be
[00:08:00.020 --> 00:08:03.180]   no relationship with God possible, right?
[00:08:03.180 --> 00:08:05.900]   At the same time, forgiveness is also essential
[00:08:05.900 --> 00:08:08.840]   for us to be in relationship and in community
[00:08:08.840 --> 00:08:11.000]   with each other.
[00:08:11.000 --> 00:08:13.800]   Without forgiveness, not even this church, right,
[00:08:13.800 --> 00:08:16.620]   society itself would totally break down
[00:08:16.620 --> 00:08:18.380]   and we would never be able to do life
[00:08:18.380 --> 00:08:20.300]   and to connect with each other.
[00:08:20.300 --> 00:08:24.640]   But at the same time, as we've experienced,
[00:08:24.640 --> 00:08:27.660]   it's not that simple.
[00:08:27.660 --> 00:08:29.080]   Right, because forgiveness is nuanced
[00:08:29.080 --> 00:08:32.880]   with so many different questions and feelings and emotions.
[00:08:32.880 --> 00:08:35.000]   And over these next few weeks, we're gonna face
[00:08:35.000 --> 00:08:37.680]   some of these questions head on.
[00:08:37.680 --> 00:08:40.440]   We're gonna be talking about some theological framework
[00:08:40.440 --> 00:08:44.440]   about what forgiveness is from the biblical perspective.
[00:08:44.440 --> 00:08:46.960]   We're gonna be looking at some very practical ways
[00:08:46.960 --> 00:08:49.140]   of how we can forgive, what forgiveness is
[00:08:49.140 --> 00:08:51.040]   and what forgiveness isn't.
[00:08:51.040 --> 00:08:53.600]   We're gonna hear testimonies from our community groups
[00:08:53.600 --> 00:08:57.420]   about how forgiveness has been such an enriching part
[00:08:57.420 --> 00:09:00.200]   of their relationship with each other.
[00:09:00.200 --> 00:09:01.880]   We're gonna talk about what it means
[00:09:01.880 --> 00:09:03.960]   for us to forgive ourselves.
[00:09:03.960 --> 00:09:06.560]   And in the end, the hope is we're gonna be equipped
[00:09:06.560 --> 00:09:08.400]   to be live out, to be walking out,
[00:09:08.400 --> 00:09:12.960]   to live a life that is defined by forgiveness.
[00:09:12.960 --> 00:09:14.720]   And so to start us on our journey today,
[00:09:14.720 --> 00:09:17.440]   I want to look at a passage that teaches us,
[00:09:17.440 --> 00:09:20.320]   you know, that I think really Jesus uses this passage
[00:09:20.320 --> 00:09:23.880]   to highlight just how important forgiveness is
[00:09:23.880 --> 00:09:26.060]   from his perspective and how he hopes
[00:09:26.060 --> 00:09:29.040]   his followers will respond to it.
[00:09:29.040 --> 00:09:31.440]   Okay, we're looking at Matthew chapter 18,
[00:09:31.440 --> 00:09:33.560]   verses 21 to 35.
[00:09:33.560 --> 00:09:35.760]   I'm gonna read it and you can follow along.
[00:09:35.760 --> 00:09:38.800]   Then Peter came to Jesus and asked,
[00:09:38.800 --> 00:09:42.880]   "Lord, how many times shall I forgive my brother or sister
[00:09:42.880 --> 00:09:44.480]   "who sins against me?
[00:09:44.480 --> 00:09:47.040]   "Up to seven times?"
[00:09:47.040 --> 00:09:49.940]   Jesus answered, "I tell you, not seven times,
[00:09:49.940 --> 00:09:52.820]   "but 77 times.
[00:09:52.820 --> 00:09:54.760]   "Therefore, the kingdom of heaven is like a king
[00:09:54.760 --> 00:09:57.520]   "who wanted to settle accounts with his servants.
[00:09:57.520 --> 00:10:00.380]   "As he began the settlement, a man who owed him
[00:10:00.380 --> 00:10:03.860]   "10,000 bags of gold was brought to him.
[00:10:03.860 --> 00:10:06.500]   "Since he was not able to pay, the master ordered
[00:10:06.500 --> 00:10:08.020]   "that he and his wife and his children
[00:10:08.020 --> 00:10:11.080]   "and all that he had to be sold to repay the debt."
[00:10:11.080 --> 00:10:13.280]   Excuse me.
[00:10:13.280 --> 00:10:15.400]   "At this, the servant fell on his knees before him.
[00:10:15.400 --> 00:10:17.040]   "Be patient with me, he begged,
[00:10:17.040 --> 00:10:19.320]   "and I will pay back everything.
[00:10:19.320 --> 00:10:21.480]   "The servant's master took pity on him,
[00:10:21.480 --> 00:10:24.200]   "canceled the debt, and let him go.
[00:10:24.200 --> 00:10:25.380]   "But when that servant went out,
[00:10:25.380 --> 00:10:27.060]   "he found one of his fellow servants
[00:10:27.060 --> 00:10:28.740]   "who owed him 100 silver coins.
[00:10:28.740 --> 00:10:31.100]   "He grabbed him and began to choke him.
[00:10:31.100 --> 00:10:33.800]   "'Pay back what you owe me,' he demanded.
[00:10:33.800 --> 00:10:36.360]   "His fellow servant fell to his knees and begged him,
[00:10:36.360 --> 00:10:39.560]   "'Be patient with me, and I will pay it back.'
[00:10:39.560 --> 00:10:40.820]   "But he refused.
[00:10:40.820 --> 00:10:43.340]   "Instead, he went off and had the man thrown into prison
[00:10:43.340 --> 00:10:45.820]   "until he could pay the debt.
[00:10:45.820 --> 00:10:48.100]   "When the other servants saw what had happened,
[00:10:48.100 --> 00:10:50.500]   "they were outraged and went to tell the master
[00:10:50.500 --> 00:10:52.380]   "everything that had happened.
[00:10:52.380 --> 00:10:54.600]   "The master then called the servant in.
[00:10:54.600 --> 00:10:57.140]   "'You wicked servant,' he said.
[00:10:57.140 --> 00:10:58.920]   "'I canceled all that debt of yours
[00:10:58.920 --> 00:11:00.380]   "'because you begged me to.
[00:11:00.380 --> 00:11:02.660]   "'Shouldn't you have had mercy on your fellow servant
[00:11:02.660 --> 00:11:05.180]   "'just as I had on you?'
[00:11:05.180 --> 00:11:08.260]   "In his anger, the master handed him over to the jailers
[00:11:08.260 --> 00:11:12.640]   "to be tortured until he should pay back all that he owed.
[00:11:12.640 --> 00:11:16.160]   "This is how my heavenly Father will treat each of you
[00:11:16.160 --> 00:11:21.160]   "unless you forgive your brother or sister from your heart."
[00:11:21.160 --> 00:11:24.820]   Challenging words.
[00:11:24.820 --> 00:11:26.940]   I think one of the reasons why it's challenging
[00:11:26.940 --> 00:11:28.980]   is because when we talk about forgiveness,
[00:11:28.980 --> 00:11:32.660]   initially, it's sort of like a counterproductive thing
[00:11:32.660 --> 00:11:33.580]   to do, we feel like.
[00:11:33.580 --> 00:11:36.420]   It feels foreign to our natural inclinations.
[00:11:36.420 --> 00:11:37.500]   It's unnatural.
[00:11:37.500 --> 00:11:39.740]   Maybe that's just me.
[00:11:39.740 --> 00:11:42.140]   But when we're hurt, when we're wronged,
[00:11:42.140 --> 00:11:44.140]   we don't want to forgive.
[00:11:44.140 --> 00:11:46.700]   What we want is revenge.
[00:11:46.700 --> 00:11:49.420]   What we want is revenge because we think revenge,
[00:11:49.420 --> 00:11:52.620]   getting this person back, is gonna make us feel better.
