
[00:00:00.000 --> 00:00:01.000]   Amen, amen.
[00:00:01.000 --> 00:00:02.000]   Thanks, Tim.
[00:00:02.000 --> 00:00:06.920]   You know, as we come into this, oh, thank you, that's nice.
[00:00:06.920 --> 00:00:12.280]   As we come into this final week of this first series of the year, I want to bring a word
[00:00:12.280 --> 00:00:17.440]   to you that's both kind of very personal, but also one that I hope and pray will be
[00:00:17.440 --> 00:00:19.680]   quite prophetic for us.
[00:00:19.680 --> 00:00:24.280]   It's personal because the topic we're going to be speaking about together here today is
[00:00:24.280 --> 00:00:27.080]   one that I've had to wrestle very deeply with.
[00:00:27.080 --> 00:00:31.360]   It's one that's caused a lot of frustration in my own life, one that's caused me actually
[00:00:31.360 --> 00:00:36.720]   quite a bit of pain and hardship, but equally is one where I felt the restoration and the
[00:00:36.720 --> 00:00:41.700]   work of the Holy Spirit, perhaps in some of the most profound ways.
[00:00:41.700 --> 00:00:45.680]   But I also hope that the message is prophetic because the topic that we are going to talk
[00:00:45.680 --> 00:00:53.000]   about I truly believe has the power to really liberate us, set us free from many of the
[00:00:53.000 --> 00:00:59.920]   things that hold us down and kind of wear us down and kind of come upon us and restrict
[00:00:59.920 --> 00:01:03.680]   us from perhaps moving forward in the ways that God wants us to move forward.
[00:01:03.680 --> 00:01:09.080]   And as I was praying for you and myself as I was putting this together today, I really
[00:01:09.080 --> 00:01:14.680]   felt a strong sense that many of us in this room were carrying burdens, were carrying
[00:01:14.680 --> 00:01:20.600]   anxieties, were carrying frustrations, if anything like me, just stuff that is deep
[00:01:20.600 --> 00:01:24.560]   down inside and as you're stepping into this new year, you're kind of carrying these things
[00:01:24.560 --> 00:01:28.560]   with you and those things kind of weigh us down.
[00:01:28.560 --> 00:01:34.400]   And I really felt like what the Lord wants to do today is to liberate you from the impact
[00:01:34.400 --> 00:01:35.400]   of them.
[00:01:35.400 --> 00:01:38.000]   Now, I want you to hear my words really clearly here.
[00:01:38.000 --> 00:01:44.360]   I did not say necessarily liberate you from them, but liberate you from the impact of
[00:01:44.360 --> 00:01:50.560]   them because the reality is so often the circumstances and situations that we struggle with in life
[00:01:50.560 --> 00:01:55.080]   – we pray for those things to change, but they don't always change.
[00:01:55.080 --> 00:01:59.000]   Quite often we might find ourselves in really tough moments in life.
[00:01:59.000 --> 00:02:03.720]   We might have those desperate prayers, "God, release me from this really hard situation."
[00:02:03.720 --> 00:02:08.200]   And for whatever reason, it seems like God doesn't release us from that situation.
[00:02:08.200 --> 00:02:12.240]   And so it would be wrong for me to stand here and say God is going to release you from whatever
[00:02:12.240 --> 00:02:16.960]   situation or circumstance that you're perhaps struggling with as you enter into this new
[00:02:16.960 --> 00:02:17.960]   year.
[00:02:17.960 --> 00:02:23.520]   But what I can promise you is that God always has a heart not always to change our circumstances,
[00:02:23.520 --> 00:02:25.600]   but always to change us.
[00:02:25.600 --> 00:02:31.680]   And although we may remain in our circumstances, God always wants to liberate us from their
[00:02:31.680 --> 00:02:33.080]   impact.
[00:02:33.080 --> 00:02:36.100]   And so that's what I want to kind of share a little bit about with you today.
[00:02:36.100 --> 00:02:40.680]   And so if you're coming into this service, coming into this year, struggling with some
[00:02:40.680 --> 00:02:44.320]   of those burdens, anxieties and things there, I hope that what we look at over the next
[00:02:44.320 --> 00:02:47.240]   30 minutes will be liberating for you.
[00:02:47.240 --> 00:02:51.800]   Now, to frame this, I want to tell you a little bit about what happened for me on my sabbatical
[00:02:51.800 --> 00:02:52.880]   last year.
[00:02:52.880 --> 00:02:56.480]   So here at The Vine, we have a sabbatical policy for all of our staff.
[00:02:56.480 --> 00:03:01.840]   And when our staff work for a complete seven years of full-time work here, on the completion
[00:03:01.840 --> 00:03:05.600]   of their seventh year, they're eligible for sabbatical and everybody gets it.
[00:03:05.600 --> 00:03:08.480]   And so I got my first sabbatical back in 2019.
[00:03:08.480 --> 00:03:12.080]   And then our policy is that every five years after your first one, you get it again.
[00:03:12.080 --> 00:03:13.400]   So I had it last year.
[00:03:13.400 --> 00:03:15.800]   I had four months off from work.
[00:03:15.800 --> 00:03:19.800]   And I have to tell you, I was desperately in need of the break.
[00:03:19.800 --> 00:03:25.520]   If you can imagine what's happened in Hong Kong since 2019, all the way through to 2024,
[00:03:25.520 --> 00:03:30.600]   protests, social movement, everything that was involved with that, the NSL getting that
[00:03:30.600 --> 00:03:33.680]   pass and all the impact that that had in our city.
[00:03:33.680 --> 00:03:38.560]   Then COVID came and you can imagine what it was like to lead a relatively large church
[00:03:38.560 --> 00:03:43.160]   here in Hong Kong through all of those pretty big crises that have taken place over the
[00:03:43.160 --> 00:03:44.460]   last five years.
[00:03:44.460 --> 00:03:51.520]   So the fact that I was exhausted spiritually, physically, desperately in need of a break,
[00:03:51.520 --> 00:03:57.020]   wanting to get away, was the reality of just the burden and the things that I had held
[00:03:57.020 --> 00:04:01.360]   on behalf of all of the community that I was trying to serve and the weight of that and
[00:04:01.360 --> 00:04:05.480]   just needing some space to better deal with some of that stuff.
[00:04:05.480 --> 00:04:09.660]   And I know that when I'm kind of dealing with burdens and anxieties, the thing that manifests
[00:04:09.660 --> 00:04:12.300]   most of my life is insecurity.
