
[00:00:00.000 --> 00:00:01.080]   Amen.
[00:00:01.080 --> 00:00:02.720]   Thank you, worship team.
[00:00:02.720 --> 00:00:03.700]   That was beautiful.
[00:00:03.700 --> 00:00:05.400]   Let's go.
[00:00:05.400 --> 00:00:06.920]   Wow, okay.
[00:00:06.920 --> 00:00:08.600]   You can say hello to the person next to you.
[00:00:08.600 --> 00:00:10.380]   You know, it might be someone new.
[00:00:10.380 --> 00:00:11.920]   If you're online, hi.
[00:00:11.920 --> 00:00:14.000]   Good to see you as well.
[00:00:14.000 --> 00:00:17.120]   If you have some space next to you, let our host know.
[00:00:17.120 --> 00:00:20.200]   So if there's people outside who still need to come in,
[00:00:20.200 --> 00:00:22.640]   there might be a few seats scattered around.
[00:00:22.640 --> 00:00:24.800]   So host, if you see any hands being held up,
[00:00:24.800 --> 00:00:27.240]   out overflow people, welcome as well.
[00:00:27.240 --> 00:00:29.960]   If you still wanna come in, there might be a few seats.
[00:00:29.960 --> 00:00:31.960]   Excuse me, dotted around here and there.
[00:00:31.960 --> 00:00:33.900]   And so, yeah, welcome.
[00:00:33.900 --> 00:00:37.920]   All right, well, it's always an honor to be here
[00:00:37.920 --> 00:00:42.240]   sharing God's word with my church family.
[00:00:42.240 --> 00:00:44.640]   And today we come to the end
[00:00:44.640 --> 00:00:47.560]   of our Uncharted sermon series.
[00:00:47.560 --> 00:00:48.420]   You know, it's funny to think,
[00:00:48.420 --> 00:00:51.400]   who would have thought that God would work through
[00:00:51.400 --> 00:00:54.280]   a broken phone that Andrew had, right,
[00:00:54.280 --> 00:00:57.940]   to the journey that we've had in these past few weeks,
[00:00:57.940 --> 00:01:01.560]   walking through the season of being called
[00:01:01.560 --> 00:01:02.980]   into the Uncharted.
[00:01:02.980 --> 00:01:04.760]   Let me just give you a quick reminder
[00:01:04.760 --> 00:01:07.040]   of the different things that we've talked about
[00:01:07.040 --> 00:01:08.600]   in this journey so far.
[00:01:08.600 --> 00:01:12.640]   We started off by being encouraged in obedience to God.
[00:01:12.640 --> 00:01:13.920]   If there's one word, maybe,
[00:01:13.920 --> 00:01:15.980]   that summarizes everything so far,
[00:01:15.980 --> 00:01:18.240]   I think obedience might be quite a good one.
[00:01:18.240 --> 00:01:20.560]   But we're reminded at the start of this journey
[00:01:20.560 --> 00:01:22.240]   that there will be no map, right?
[00:01:22.240 --> 00:01:24.160]   There's no strategy, there's no map.
[00:01:24.160 --> 00:01:27.120]   We're going into areas and places and doing things
[00:01:27.120 --> 00:01:29.300]   that we've never done before.
[00:01:29.300 --> 00:01:31.100]   So of course there can't be a plan for it,
[00:01:31.100 --> 00:01:35.260]   but we are in response, in obedience
[00:01:35.260 --> 00:01:37.200]   to what God has called us to do.
[00:01:37.200 --> 00:01:39.100]   Even if it's not comfortable,
[00:01:39.100 --> 00:01:41.840]   we were challenged to go and to obey.
[00:01:41.840 --> 00:01:45.600]   And then we talked about shifting our perspective
[00:01:45.600 --> 00:01:46.880]   to the way we think, right,
[00:01:46.880 --> 00:01:48.740]   to put on God's perspective,
[00:01:48.740 --> 00:01:50.860]   to think about things from a kingdom,
[00:01:50.860 --> 00:01:52.160]   of a heavenly perspective,
[00:01:52.160 --> 00:01:55.460]   instead of using our earthly human wisdom
[00:01:55.460 --> 00:01:57.800]   to judge why we do things.
[00:01:57.800 --> 00:01:59.980]   As we go on this journey,
[00:01:59.980 --> 00:02:02.740]   we're also reminded of the likelihood
[00:02:02.740 --> 00:02:04.820]   of facing persecution,
[00:02:04.820 --> 00:02:06.380]   and the very real persecution
