
[00:00:00.000 --> 00:00:00.760]   Good morning.
[00:00:00.760 --> 00:00:02.920]   Hey, we're growing, eh?
[00:00:02.920 --> 00:00:04.880]   I love it.
[00:00:04.880 --> 00:00:10.320]   It's wonderful to be back with our family at Vine
[00:00:10.320 --> 00:00:12.280]   year long.
[00:00:12.280 --> 00:00:15.680]   This is always one of my favorite places,
[00:00:15.680 --> 00:00:19.760]   quite possibly my number one favorite place.
[00:00:19.760 --> 00:00:21.480]   Please don't tell everybody in Wanchai.
[00:00:25.000 --> 00:00:32.360]   Sandra and I love you guys and rejoice what God is doing here.
[00:00:32.360 --> 00:00:34.640]   We regard you as close personal friends.
[00:00:34.640 --> 00:00:50.760]   But-- but what I'm going to say today actually pains me.
[00:00:50.760 --> 00:00:51.260]   Deeply.
[00:00:51.260 --> 00:01:03.320]   I've been involved in church leadership for over 40 years.
[00:01:03.320 --> 00:01:05.800]   And the biggest conflicts that I've
[00:01:05.800 --> 00:01:08.920]   witnessed in churches across the world,
[00:01:08.920 --> 00:01:13.560]   the one thing that has caused more arguments
[00:01:13.560 --> 00:01:22.480]   and done more collateral damage is worship in church.
[00:01:22.480 --> 00:01:24.280]   Yeah, that's right.
[00:01:24.280 --> 00:01:27.880]   Worship in church.
[00:01:27.880 --> 00:01:35.600]   Ironically, the very thing that should be uniting us
[00:01:35.600 --> 00:01:43.240]   has often turned into what I call worship wars.
[00:01:43.240 --> 00:01:45.280]   Did you ever hear the story about the pastor
[00:01:45.280 --> 00:01:49.400]   who wanted to move the piano from one side of the church
[00:01:49.400 --> 00:01:51.440]   to the other?
[00:01:51.440 --> 00:01:55.640]   He knew he couldn't move it just in one Sunday.
[00:01:55.640 --> 00:01:58.440]   It wasn't a question of physical capability,
[00:01:58.440 --> 00:02:00.720]   but he knew it wouldn't go over well.
[00:02:00.720 --> 00:02:03.240]   Everyone was used to the piano being
[00:02:03.240 --> 00:02:06.920]   on this side of the stage.
[00:02:06.920 --> 00:02:10.320]   So instead of a shock and awe approach,
[00:02:10.320 --> 00:02:13.720]   the pastor decided to be patient.
[00:02:13.720 --> 00:02:18.880]   Every Sunday, he moved the piano just one inch
[00:02:18.880 --> 00:02:23.600]   until eventually it was on the other side.
[00:02:23.600 --> 00:02:28.760]   When he finished, no one even noticed the change.
[00:02:28.760 --> 00:02:31.160]   Now for me, growing up in, shall I say,
[00:02:31.160 --> 00:02:34.880]   more traditional churches, all my life
[00:02:34.880 --> 00:02:39.880]   I've heard this issue brought up more times than I count.
[00:02:39.880 --> 00:02:45.800]   I was told that rhythmic music, the pattern of sound, silence,
[00:02:45.800 --> 00:02:55.440]   and emphasis in a song was wrong if it was in a minor key,
[00:02:55.440 --> 00:03:01.560]   if it was syncopated, or had a set of drums,
[00:03:01.560 --> 00:03:05.080]   or any percussion instrument for that matter.
[00:03:05.080 --> 00:03:09.680]   And of course, guitars, especially electric guitars,
[00:03:09.680 --> 00:03:11.840]   were bad.
[00:03:11.840 --> 00:03:15.480]   It seemed that every person told me
[00:03:15.480 --> 00:03:20.520]   something different about where I should stand with music
