
[00:00:00.000 --> 00:00:03.400]  Thank you Enoch 回來我們這個服侍大家庭
[00:00:03.400 --> 00:00:06.600]  Enoch因為生了小朋友 恭喜你
[00:00:06.600 --> 00:00:09.200]  一段時間沒有幫助我們服務
[00:00:09.200 --> 00:00:14.000]  現在他重歸服侍的懷抱
[00:00:14.000 --> 00:00:14.800]  多謝你
[00:00:14.800 --> 00:00:18.400]  好了 看看是否精神
[00:00:18.400 --> 00:00:20.000]  有沒有人三點起床
[00:00:20.000 --> 00:00:22.800]  不是吧 你不是吧 你已經一點起床了
[00:00:22.800 --> 00:00:24.200]  看完四強了 是不是
[00:00:24.200 --> 00:00:28.800]  Yeah 香港奪冠 Yeah 奪金 Yeah
[00:00:28.800 --> 00:00:30.400]  很開心
[00:00:30.400 --> 00:00:36.400]  這些都是經常讓大家覺得很團結
[00:00:36.400 --> 00:00:38.400]  很開心的一件事情
[00:00:38.400 --> 00:00:44.800]  今天我們的分享其實都和團結的事情相關
[00:00:44.800 --> 00:00:48.200]  過去兩個星期 我們在第五章
[00:00:48.200 --> 00:00:50.800]  直接進入了 今次沒有那麼多故事
[00:00:50.800 --> 00:00:52.800]  暫時 等一下再慢慢來
[00:00:52.800 --> 00:00:56.000]  我們在第五章 其實應該說過去兩個星期
[00:00:56.000 --> 00:00:59.000]  第五章我們已經去探索
[00:00:59.000 --> 00:01:04.000]  究竟在一個 什麼是基督徒的自由
[00:01:04.000 --> 00:01:09.400]  藉著聖靈 基督徒不單止是可以得著那份可以選擇的自由
[00:01:09.400 --> 00:01:10.600]  大家還記不記得
[00:01:10.600 --> 00:01:15.000]  他還是可以得著上星期所說的聖靈的果子
[00:01:15.000 --> 00:01:16.600]  聖靈的果子是什麼
[00:01:16.600 --> 00:01:19.800]  人愛喜樂和平 忍耐恩慈 良善溫柔 節制
[00:01:19.800 --> 00:01:21.600]  這些各樣的美德
[00:01:21.600 --> 00:01:27.000]  他會在一個藉著靠著聖靈去生活的生命當中
[00:01:27.000 --> 00:01:28.600]  就會去呈現
[00:01:28.600 --> 00:01:30.600]  靠著聖靈而活
[00:01:30.600 --> 00:01:33.600]  我們就成為屬靈的人
[00:01:33.600 --> 00:01:35.600]  說到今天第六節
[00:01:35.600 --> 00:01:37.600]  我們可以出一出那個slide
[00:01:37.600 --> 00:01:40.200]  就是剛才所說的 屬靈的人
[00:01:40.200 --> 00:01:42.200]  屬靈的人先吧
[00:01:42.200 --> 00:01:43.600]  整個slide只有四個字
[00:01:43.600 --> 00:01:45.600]  屬靈的人 沒錯了
[00:01:45.600 --> 00:01:47.600]  屬靈的人很重要
