
[00:00:00.000 --> 00:00:01.920]   - Good morning, church.
[00:00:01.920 --> 00:00:04.460]   It's good to see you.
[00:00:04.460 --> 00:00:07.300]   I know there's a lot of you watching from different places,
[00:00:07.300 --> 00:00:08.420]   so I know you're there,
[00:00:08.420 --> 00:00:11.040]   and so thank you for joining us this morning.
[00:00:11.040 --> 00:00:14.480]   Church, I want to start by recapping our last two weeks
[00:00:14.480 --> 00:00:15.800]   from the Advent series.
[00:00:15.800 --> 00:00:18.560]   In week one, we talked about the call
[00:00:18.560 --> 00:00:20.940]   and that there's 400 years of silence,
[00:00:20.940 --> 00:00:23.020]   people's hearts got hardened,
[00:00:23.020 --> 00:00:26.640]   and no one expected Jesus to come, but he did.
[00:00:26.640 --> 00:00:30.040]   And Andrew focused on the call of repentance,
[00:00:30.040 --> 00:00:31.840]   which is a call to turn around,
[00:00:31.840 --> 00:00:34.460]   to reorientate yourself in a new direction,
[00:00:34.460 --> 00:00:36.440]   and it speaks more of action
[00:00:36.440 --> 00:00:38.940]   and more than just a confession.
[00:00:38.940 --> 00:00:42.600]   And John the Baptist shows us that Advent is a call
[00:00:42.600 --> 00:00:46.320]   to personal renewal as well as social reversal.
[00:00:46.320 --> 00:00:48.340]   Last week, which you probably remember,
[00:00:48.340 --> 00:00:50.880]   we talked about this beautiful place called the desert,
[00:00:50.880 --> 00:00:52.920]   and we focused on the wilderness
[00:00:52.920 --> 00:00:55.080]   and how that it plays a central role
[00:00:55.080 --> 00:00:57.720]   in the Old Testament biblical narrative,
[00:00:57.720 --> 00:01:00.840]   and this is where God most revealed himself to his people,
[00:01:00.840 --> 00:01:04.040]   and he did it through a process in the wilderness
[00:01:04.040 --> 00:01:07.000]   through intimacy, through teaching, and through healing.
[00:01:07.000 --> 00:01:11.340]   Also, we just dwelled on the fact that Advent is a time
[00:01:11.340 --> 00:01:14.320]   for us to redefine our own wilderness,
[00:01:14.320 --> 00:01:19.020]   from a place of isolation to a place where we can meet God.
[00:01:19.020 --> 00:01:21.320]   And we must remember that this is the coolest thing,
[00:01:21.320 --> 00:01:23.880]   that there is fruit in the desert,
[00:01:23.880 --> 00:01:28.160]   and that God will stop at nothing in our wilderness
[00:01:28.160 --> 00:01:33.160]   to shape and refine us so that we could be fully alive in him.
[00:01:33.160 --> 00:01:37.320]   And so before I start, I have a disclaimer to make.
[00:01:37.320 --> 00:01:41.440]   Although we are gonna be talking about baptisms,
[00:01:41.440 --> 00:01:44.880]   my intention, for those of you who are already baptized,
[00:01:44.880 --> 00:01:48.160]   whether in November or you got baptized earlier,
[00:01:48.160 --> 00:01:51.360]   I do not wanna cause any one of you to second doubt
[00:01:51.360 --> 00:01:53.120]   or second guess your baptism, right?
[00:01:53.120 --> 00:01:55.160]   The fact that you got baptism, that's good.
[00:01:55.160 --> 00:01:58.840]   Now, for those of you who have not gone baptized yet,
[00:01:58.840 --> 00:02:01.400]   every year we run a few courses throughout the year
[00:02:01.400 --> 00:02:03.720]   where you can learn more about baptism,
[00:02:03.720 --> 00:02:07.200]   and hopefully it'll help you make an informed decision
[00:02:07.200 --> 00:02:08.800]   on whether to get baptized or not.
[00:02:08.800 --> 00:02:10.840]   So there's more information on that.
[00:02:10.840 --> 00:02:14.100]   So in the last two months,
[00:02:14.100 --> 00:02:16.660]   I've been preparing to share with you today,
[00:02:16.660 --> 00:02:20.200]   and three things came to mind
[00:02:20.200 --> 00:02:22.000]   that I wanna bring to your attention,
[00:02:22.000 --> 00:02:25.920]   and these things hinder our faith and hinder our growth,
[00:02:25.920 --> 00:02:29.000]   and they are distractions, they are hurries,
[00:02:29.000 --> 00:02:30.880]   and they are desires.
[00:02:30.880 --> 00:02:32.280]   And so I just want you to reflect
[00:02:32.280 --> 00:02:35.720]   on whether these things impact your faith or not.
[00:02:35.720 --> 00:02:37.800]   So church, I wanna ask you,
[00:02:37.800 --> 00:02:41.680]   how often do you get distracted from what you need to do
[00:02:41.680 --> 00:02:43.440]   and are called to do?
[00:02:43.440 --> 00:02:46.080]   Think about Jesus in the Garden of Gethsemane,
[00:02:46.080 --> 00:02:49.160]   and how many times did Jesus have to ask his disciples
[00:02:49.160 --> 00:02:52.120]   to stay focused and to just pray with him?
[00:02:52.120 --> 00:02:54.280]   Because often there is so much going on,
[00:02:54.280 --> 00:02:57.460]   not just externally, but internally in us,
[00:02:57.460 --> 00:03:01.080]   that our hearts and our focus gets divided.
[00:03:01.080 --> 00:03:03.000]   Let me ask you another thing.
[00:03:03.000 --> 00:03:07.600]   How often are you hurrying from one thing to another,
[00:03:07.600 --> 00:03:12.200]   one place to another, from one conversation to another?
[00:03:12.200 --> 00:03:14.280]   Lately I'm realizing that hurry
[00:03:14.280 --> 00:03:17.880]   is one of the greatest enemies to our spirituality,
[00:03:17.880 --> 00:03:22.280]   because we simply cannot do what Jesus asks of us
[00:03:22.280 --> 00:03:23.960]   in a hurry.
[00:03:23.960 --> 00:03:26.540]   We cannot follow him to a quiet place in a hurry.
[00:03:26.540 --> 00:03:29.640]   We cannot build meaningful relationships in a hurry.
[00:03:29.640 --> 00:03:33.620]   We cannot listen to what God wants to say to us in a hurry.
[00:03:33.620 --> 00:03:36.640]   And lastly, I want you to think about this, church.
[00:03:36.640 --> 00:03:40.880]   How often do you experience a perpetual restlessness
[00:03:40.880 --> 00:03:43.580]   within your heart that you can't get rid of?
[00:03:43.580 --> 00:03:46.940]   As humans, we have desires, and they drive and motivate us,
[00:03:46.940 --> 00:03:49.520]   and we get stuff done, which is great.
[00:03:49.520 --> 00:03:51.920]   But the tension arises when we realize
[00:03:51.920 --> 00:03:53.720]   that we're actually finite beings.
[00:03:53.720 --> 00:03:55.180]   That means we have limitations,
[00:03:55.180 --> 00:04:00.180]   but yet our hearts desire infinitely so much stuff.
[00:04:00.180 --> 00:04:02.200]   And what happens then?
[00:04:02.200 --> 00:04:04.760]   We experience this thing called restlessness.
[00:04:04.760 --> 00:04:07.800]   We can't stay still, and no matter how much we see,
[00:04:07.800 --> 00:04:10.680]   no matter how much we do, buy, sell, eat, drink,
[00:04:10.680 --> 00:04:14.280]   experience, visit, travel, we always want more.
[00:04:14.280 --> 00:04:16.840]   We can't seem to satisfy that.
[00:04:16.840 --> 00:04:18.680]   And we do try to satisfy that.
[00:04:18.680 --> 00:04:20.200]   We try to manage that ourselves,
[00:04:20.200 --> 00:04:23.600]   but then we're led down this path of more anxiety,
[00:04:23.600 --> 00:04:26.440]   of depression, of burnout, of materialism,
[00:04:26.440 --> 00:04:28.260]   of sin, idolatry.
[00:04:28.260 --> 00:04:32.780]   We form these unhealthy habits and attachments to things,
[00:04:32.780 --> 00:04:36.020]   all as a way of us trying to address our restlessness
[00:04:36.020 --> 00:04:39.400]   that actually only God can satisfy.
[00:04:39.400 --> 00:04:41.040]   And we continue to spiral
[00:04:41.040 --> 00:04:43.520]   unless we encounter some kind of intervention.
[00:04:44.440 --> 00:04:47.560]   And so the danger and consequence of being distracted,
[00:04:47.560 --> 00:04:50.640]   of hurrying, letting our desires consume us,
[00:04:50.640 --> 00:04:54.800]   is how easily we remove ourselves from God's presence
[00:04:54.800 --> 00:04:56.780]   and out of his speaking range.
[00:04:56.780 --> 00:05:01.440]   Our manic lifestyles, whether you realize it or not,
[00:05:01.440 --> 00:05:03.960]   disconnects and actually threatens our connection
[00:05:03.960 --> 00:05:05.220]   with our living God.
[00:05:05.220 --> 00:05:08.400]   And of course, God knows we've done,
[00:05:08.400 --> 00:05:11.480]   we've tried everything we can to fix this and to help this,
[00:05:11.480 --> 00:05:15.720]   but perhaps our solution to these states
[00:05:15.720 --> 00:05:18.720]   that we find ourselves in isn't found in reduction
[00:05:18.720 --> 00:05:22.560]   or in elimination, but rather in a redirection
[00:05:22.560 --> 00:05:24.480]   to what God has for us.
[00:05:24.480 --> 00:05:27.840]   Church, in this period of Advent,
[00:05:27.840 --> 00:05:31.100]   God redirects our attention back to him,
[00:05:31.100 --> 00:05:32.680]   back to what he's saying,
[00:05:32.680 --> 00:05:35.920]   back to what is most important to him.
[00:05:35.920 --> 00:05:37.960]   He directs the church, that is us,
[00:05:37.960 --> 00:05:40.160]   to reflect on our readiness
[00:05:40.160 --> 00:05:43.400]   and to anticipate his son, his second coming,
[00:05:43.400 --> 00:05:46.240]   but more importantly and just as important,
[00:05:46.240 --> 00:05:48.480]   God redirects our attention to remind us
[00:05:48.480 --> 00:05:50.240]   that Jesus is already with us,
[00:05:50.240 --> 00:05:53.200]   he's already present in our life right now.
[00:05:53.200 --> 00:05:59.120]   And God reminds us that he has given us the spirit
[00:05:59.120 --> 00:06:01.320]   so that we don't have to walk each day alone
[00:06:01.320 --> 00:06:02.580]   or without any help.
[00:06:02.580 --> 00:06:08.720]   So church, this morning, I just want to let God address you.
[00:06:09.240 --> 00:06:12.160]   I want him to, I've been praying
[00:06:12.160 --> 00:06:14.380]   that he would show you something about himself
[00:06:14.380 --> 00:06:17.200]   or that he would just remind you of something
[00:06:17.200 --> 00:06:18.760]   that he wants you just to remember,
[00:06:18.760 --> 00:06:20.020]   just to continue to work in,
[00:06:20.020 --> 00:06:22.040]   something he wants to encourage you in,
[00:06:22.040 --> 00:06:24.300]   something he wants to comfort you in.
[00:06:24.300 --> 00:06:26.520]   And as Andrew said, God does not condemn.
[00:06:26.520 --> 00:06:28.960]   He reminds us because he loves us.
[00:06:28.960 --> 00:06:32.700]   And so today, as we talk about the baptism,
[00:06:32.700 --> 00:06:35.400]   we're not gonna go verse by verse as we're used to.
[00:06:35.400 --> 00:06:37.600]   I would like to share God's desire,
[00:06:37.600 --> 00:06:40.200]   his heart for the church that is us
[00:06:40.200 --> 00:06:42.400]   and what it means to be baptized.
[00:06:42.400 --> 00:06:45.700]   And so I pray that God would reveal this to you today.
[00:06:45.700 --> 00:06:47.680]   So church, I'm just gonna pray for us.
[00:06:47.680 --> 00:06:48.980]   So would you pray with me?
[00:06:48.980 --> 00:06:57.000]   Lord, I have done my humanly best to prepare for today.
[00:06:57.000 --> 00:07:01.420]   And only you, Lord, can say what you want to say
[00:07:01.420 --> 00:07:05.600]   to each of my family members listening, wherever they are.
[00:07:05.600 --> 00:07:07.500]   So Lord, I surrender this morning to you
[00:07:07.500 --> 00:07:09.280]   and I trust that you will speak
[00:07:09.280 --> 00:07:11.640]   because I will say a lot of things this morning,
[00:07:11.640 --> 00:07:14.320]   but I pray that you would just say that one thing
[00:07:14.320 --> 00:07:16.420]   to each person as they need it
[00:07:16.420 --> 00:07:18.920]   and that it would change them, it would form them,
[00:07:18.920 --> 00:07:20.320]   it would transform them.
[00:07:20.320 --> 00:07:22.680]   And you are with us.
[00:07:22.680 --> 00:07:25.520]   Lord, thank you, in your name we pray, amen.
[00:07:25.520 --> 00:07:29.280]   So with that, we are gonna jump into our passage today.
[00:07:29.280 --> 00:07:32.680]   We're in Mark chapter one, verse one to eight.
[00:07:32.680 --> 00:07:34.320]   Please read with me.
[00:07:34.320 --> 00:07:36.880]   The beginning of the good news about Jesus,
