
[00:00:00.000 --> 00:00:01.640]  謝謝KenKen
[00:00:01.640 --> 00:00:05.680]  今次應該是KenKen第二次為我們帶領崇拜
[00:00:05.680 --> 00:00:07.840]  我們給KenKen掌聲
[00:00:07.840 --> 00:00:10.400]  不容易的,我想跟大家說不容易
[00:00:10.400 --> 00:00:11.800]  今次亦是KenKen第一次
[00:00:11.800 --> 00:00:15.960]  整個服務領導的過程都領導了
[00:00:15.960 --> 00:00:18.520]  多謝你,多謝你一起去服侍
[00:00:18.520 --> 00:00:22.440]  一起在當中服侍主,服侍大家
[00:00:22.440 --> 00:00:26.160]  其實好像很久沒有見大家
[00:00:26.160 --> 00:00:30.000]  上星期打風,大家不能回來崇拜
[00:00:30.000 --> 00:00:34.800]  剛才KenKen說,如果有加入我們網上崇拜
[00:00:34.800 --> 00:00:39.080]  你會知道上星期Bill H的Alex
[00:00:39.080 --> 00:00:42.920]  即是我們的總幹事,希望之子的總幹事
[00:00:42.920 --> 00:00:48.120]  為我們延續關於工作的講道系列
[00:00:48.120 --> 00:00:51.200]  當中是一個復活的臨在,一個很好的訊息
[00:00:51.200 --> 00:00:54.760]  所以未看的不要緊,可以回去看我們的YouTube channel
[00:00:54.760 --> 00:00:56.680]  可以看當日的訊息
[00:00:56.680 --> 00:01:01.080]  說起上星期打風,除此之外
[00:01:01.080 --> 00:01:05.560]  其實我有三星期放大假,兩三星期
[00:01:05.560 --> 00:01:11.400]  雖然放大假,但其實我放下了在教會的職務
[00:01:11.400 --> 00:01:14.680]  去了做另一份full time
[00:01:14.680 --> 00:01:17.760]  不用擔心,我不是因為不夠錢花去付工
[00:01:17.760 --> 00:01:20.280]  所謂full time,其實因為我的兒子放假
[00:01:20.280 --> 00:01:21.680]  放暑假
[00:01:21.680 --> 00:01:24.880]  我去了做full time的照顧兒子
[00:01:24.880 --> 00:01:27.960]  照顧小朋友,當然我們有去旅行
[00:01:27.960 --> 00:01:30.160]  除了那星期日去旅行之外
[00:01:30.160 --> 00:01:32.160]  其實剩餘的兩個星期日
[00:01:32.160 --> 00:01:35.480]  我們一家人都有回來崇拜
[00:01:35.480 --> 00:01:39.240]  回來崇拜,對於我來說,我有少少掙扎
[00:01:39.240 --> 00:01:45.160]  放大假,我想問有沒有人放大假會想回公司
[00:01:45.160 --> 00:01:47.080]  有沒有人放大假會想回一個
[00:01:47.080 --> 00:01:49.400]  每天都很辛苦工作的地方
[00:01:49.400 --> 00:01:50.720]  有沒有?
[00:01:50.720 --> 00:01:52.680]  如果有的話,我想剛好你想升職
[00:01:52.680 --> 00:01:54.040]  你老闆在你附近
[00:01:54.040 --> 00:01:55.560]  是不是?
[00:01:55.560 --> 00:01:57.240]  不過你可能會說,餵,怎麼搞的?
[00:01:57.240 --> 00:01:59.560]  Ivan,你是牧師
[00:01:59.560 --> 00:02:01.280]  你怎麼可以當服侍是上班?
[00:02:01.280 --> 00:02:03.360]  還要說很辛苦?
[00:02:03.360 --> 00:02:04.720]  是不是?
[00:02:04.720 --> 00:02:05.840]  可能你這樣想
[00:02:05.840 --> 00:02:07.440]  沒有這樣想的,多謝你
[00:02:07.440 --> 00:02:08.640]  不過,對不起
[00:02:08.640 --> 00:02:10.720]  當我去寫我的職業
[00:02:10.720 --> 00:02:12.720]  你填很多form,有時是吧?
[00:02:12.720 --> 00:02:14.160]  要寫你的職業的時候
[00:02:14.160 --> 00:02:16.600]  我真的要寫「牧師」兩個字
[00:02:16.600 --> 00:02:18.360]  而且真的辛苦
[00:02:18.400 --> 00:02:22.360]  辛苦是含辛茹苦、面乾碎濕的那些
[00:02:22.360 --> 00:02:23.360]  你明白嗎?
[00:02:23.360 --> 00:02:24.360]  如果你有服侍的
[00:02:24.360 --> 00:02:27.400]  你可能更加知道那種叫做「面乾碎濕」
[00:02:27.400 --> 00:02:28.160]  是不是?
[00:02:28.160 --> 00:02:29.480]  不過老實說
[00:02:29.480 --> 00:02:31.840]  哪有工作不辛苦的,是不是?
[00:02:31.840 --> 00:02:34.760]  大家在工作裡面都有很多付出
[00:02:34.760 --> 00:02:37.360]  不會說輕輕鬆鬆
[00:02:37.360 --> 00:02:38.360]  又是那些難笑
[00:02:38.360 --> 00:02:39.560]  什麼輕輕鬆鬆,鄧智峯那些
[00:02:39.560 --> 00:02:41.160]  又被人笑我太嘔
[00:02:41.160 --> 00:02:44.960]  不過,工作是要付出的
[00:02:44.960 --> 00:02:48.560]  是付出才有收穫,是這個世界教我們的
[00:02:48.560 --> 00:02:51.360]  但是,早幾個星期我們也有說過
[00:02:51.360 --> 00:02:55.360]  工作本身是上帝的創造
[00:02:55.360 --> 00:02:58.960]  不過,在《創世紀》第三章第十七節
[00:02:58.960 --> 00:03:03.760]  它說到人類因為始祖亞當和夏娃犯罪
[00:03:03.760 --> 00:03:04.760]  所以什麼?
[00:03:04.760 --> 00:03:05.560]  我那本聖經忘記了
[00:03:05.560 --> 00:03:07.360]  你等我一會,我先拿回聖經
[00:03:07.360 --> 00:03:09.760]  所以十七章那裡說
[00:03:09.760 --> 00:03:12.760]  人是必須要是奴婦
[00:03:12.760 --> 00:03:14.960]  才可以得到地上的食物
[00:03:14.960 --> 00:03:16.360]  應該沒有說錯,是不是?
[00:03:16.360 --> 00:03:18.960]  工作辛苦是必然的
[00:03:18.960 --> 00:03:20.160]  但是大家不要忘記
[00:03:20.160 --> 00:03:21.560]  過去那麼多星期
[00:03:21.560 --> 00:03:22.560]  其實我們在說
[00:03:22.560 --> 00:03:24.760]  上帝當創造人的時候
[00:03:24.760 --> 00:03:26.360]  可以創造工作
[00:03:26.360 --> 00:03:30.360]  工作本身是讓我們能夠享受在裡面的
[00:03:30.360 --> 00:03:33.360]  我們的工作本身是能夠在裡面得到祝福
[00:03:33.360 --> 00:03:34.960]  以及滿有喜樂的
[00:03:34.960 --> 00:03:36.960]  但是前提就是
[00:03:36.960 --> 00:03:39.160]  不可以有罪的阻隔
[00:03:39.160 --> 00:03:41.960]  我們是要和神去配合
[00:03:41.960 --> 00:03:45.760]  去合作神和祂同行一起去做
[00:03:45.760 --> 00:03:47.960]  這個我們才會更加看到
[00:03:47.960 --> 00:03:52.760]  工作和人本身的關係和當中的價值
[00:03:52.760 --> 00:03:56.760]  所以我也有回來崇拜
[00:03:56.760 --> 00:03:58.360]  那兩個星期我回來崇拜的原因是
[00:03:58.360 --> 00:03:59.560]  因為我知道我來到這裡
[00:03:59.560 --> 00:04:01.560]  我能夠和神連結
[00:04:01.560 --> 00:04:02.760]  我不是上班
[00:04:02.760 --> 00:04:05.360]  我真的知道在這裡和神連結
[00:04:05.360 --> 00:04:08.360]  而且崇拜正正是一個最好的時間
[00:04:08.360 --> 00:04:10.960]  讓我們能夠擺開拋開
[00:04:10.960 --> 00:04:13.760]  放下所有其他的一切
[00:04:13.760 --> 00:04:17.560]  單單只是仰望著我們的上帝
[00:04:17.560 --> 00:04:20.960]  單單只是仰望著那個造物主
[00:04:20.960 --> 00:04:25.960]  我們不再需要去顧慮那些被創造之物
[00:04:25.960 --> 00:04:28.560]  那些是被創造物
[00:04:28.560 --> 00:04:33.560]  但是我們今天連結的是創造萬物的造物主
[00:04:33.560 --> 00:04:37.160]  很多時候我們
[00:04:37.160 --> 00:04:38.960]  這個會是一個掙扎
[00:04:38.960 --> 00:04:44.960]  這個會是一個我們好像不能夠完全放下放鬆
[00:04:44.960 --> 00:04:47.360]  但是我們今天所說的
[00:04:47.360 --> 00:04:49.560]  不單止是放假
[00:04:49.560 --> 00:04:51.560]  也不只是休息
[00:04:51.560 --> 00:04:53.360]  我們今天說的主題是
[00:04:53.360 --> 00:04:54.960]  安息
[00:04:54.960 --> 00:04:57.560]  安息不是當我們離開這個世界
[00:04:57.560 --> 00:04:59.760]  上天界的時候才叫安息
[00:04:59.760 --> 00:05:01.960]  原來神創造的時候
[00:05:01.960 --> 00:05:04.560]  在我們的生活裡面每一天
[00:05:04.560 --> 00:05:06.360]  不單止是星期日
[00:05:06.360 --> 00:05:08.960]  其實也可以有主的安息在裡面
[00:05:08.960 --> 00:05:11.960]  今天就是想和大家說這個主題
[00:05:11.960 --> 00:05:16.960]  首先想和大家說多一點安息的概念
[00:05:16.960 --> 00:05:19.160]  安息和休息有什麼不同呢?
[00:05:19.160 --> 00:05:22.560]  休息很多時候是我們工作很辛苦
[00:05:22.560 --> 00:05:23.560]  很累
[00:05:23.560 --> 00:05:24.360]  受不住了
[00:05:24.360 --> 00:05:25.360]  我們要休息
[00:05:25.360 --> 00:05:26.560]  我們的精神
[00:05:26.560 --> 00:05:27.760]  我們的體力
[00:05:27.760 --> 00:05:31.560]  我們的身體都需要去休息
[00:05:31.560 --> 00:05:32.960]  都需要休息
[00:05:32.960 --> 00:05:34.760]  所以那個叫做休息
[00:05:35.160 --> 00:05:36.360]  有句說話說
[00:05:36.360 --> 00:05:40.160]  休息為了可以走更加遠的路
[00:05:40.160 --> 00:05:41.760]  大家都有聽過
[00:05:41.760 --> 00:05:42.960]  有人說
[00:05:42.960 --> 00:05:44.360]  休息就休息
[00:05:44.360 --> 00:05:45.960]  走什麼遠的路
[00:05:45.960 --> 00:05:48.760]  就是不能全心全意放下所有東西
[00:05:48.760 --> 00:05:50.160]  不顧慮任何東西
[00:05:50.160 --> 00:05:52.160]  好好地放鬆地休息
[00:05:52.160 --> 00:05:54.360]  哪個比較適合呢?
[00:05:54.360 --> 00:05:58.960]  休息是為了走遠一點的路
[00:05:58.960 --> 00:06:01.560]  還是休息真的什麼都不用理會
[00:06:01.560 --> 00:06:02.760]  那個才是休息
[00:06:02.760 --> 00:06:04.560]  其實兩個都沒錯
[00:06:04.960 --> 00:06:05.760]  不過
[00:06:05.760 --> 00:06:06.960]  所以我們今天所說的
[00:06:06.960 --> 00:06:09.160]  不只是說體力上面
