
[00:00:00.000 --> 00:00:02.000]  多謝你,June
[00:00:02.000 --> 00:00:07.280]  我講得好好廣東話
[00:00:07.280 --> 00:00:11.920]  我鍾意冷食
[00:00:11.920 --> 00:00:19.720]  我安息年嘅時候上咗啲廣東話堂
[00:00:19.720 --> 00:00:24.200]  係非常之好,上完嘅效果係
[00:00:27.680 --> 00:00:30.680]  唔好意思,or whatever
[00:00:30.680 --> 00:00:32.280]  Sorry
[00:00:32.280 --> 00:00:35.440]  I wanna actually before I start
[00:00:35.440 --> 00:00:38.440]  I wanna say thank you to my team
[00:00:38.440 --> 00:00:41.120]  開始之前好想多謝我嘅團隊
[00:00:41.120 --> 00:00:44.040]  Who has always has done an incredible job
[00:00:44.040 --> 00:00:47.360]  While I was gone leading and taking care of everything
[00:00:47.360 --> 00:00:48.720]  In our church community
[00:00:48.720 --> 00:00:50.720]  當我唔喺度嘅時候
[00:00:50.720 --> 00:00:53.640]  佢哋做得好好,照顧哂教會裏面嘅一切
[00:00:53.640 --> 00:00:57.400]  And for me that is a sign of a well-running team
[00:00:57.400 --> 00:01:00.400]  That somebody can be away and everything runs fine
[00:01:00.400 --> 00:01:02.640]  對我嚟講,當我行開咗
[00:01:02.640 --> 00:01:05.080]  但係成間教會仍然運作得咁好
[00:01:05.080 --> 00:01:07.480]  就俾我見到我哋嘅團隊有幾好
[00:01:07.480 --> 00:01:10.840]  So I wanna express a special thank you to Pastor Ivan
[00:01:10.840 --> 00:01:12.120]  Who is not here yet to take a break
[00:01:12.120 --> 00:01:13.840]  After me being gone for so long
[00:01:13.840 --> 00:01:14.920]  特別多謝
[00:01:14.920 --> 00:01:16.440]  Pastor Ivan 當我返嚟
[00:01:16.440 --> 00:01:18.040]  佢就要去放一放假
[00:01:18.040 --> 00:01:20.120]  Who did a wonderful job leading the team
[00:01:20.120 --> 00:01:23.120]  佢做得好好,帶領住整個團隊
[00:01:23.120 --> 00:01:27.360]  But I wanna tell you about 2018
[00:01:27.360 --> 00:01:31.080]  我想同大家講下2018年嘅時候
[00:01:31.080 --> 00:01:33.880]  I was flying with my German friend Matthias
[00:01:33.880 --> 00:01:36.000]  from Hong Kong to Tel Aviv, Israel
[00:01:36.000 --> 00:01:37.720]  我就同我嘅朋友Matthias
[00:01:37.720 --> 00:01:40.880]  由香港喺一班航班裏面飛緊去
[00:01:40.880 --> 00:01:42.760]  以色列嘅特拉維夫
[00:01:42.760 --> 00:01:44.480]  Now usually when I am on a flight
[00:01:44.480 --> 00:01:46.360]  I am so uncomfortable
[00:01:46.360 --> 00:01:49.400]  I just want to have this flight be over
[00:01:49.400 --> 00:01:52.360]  通常我坐飛機都覺得好唔舒服
[00:01:52.360 --> 00:01:53.960]  好想快啲坐完
[00:01:53.960 --> 00:01:55.680]  And I think the reason is quite obvious
[00:01:55.680 --> 00:01:56.800]  why I am uncomfortable
[00:01:56.800 --> 00:01:58.360]  點解我會咁唔舒服呢
[00:01:58.360 --> 00:01:59.640]  原因都好明顯
[00:01:59.640 --> 00:02:00.760]  You know I am a big guy
[00:02:00.760 --> 00:02:02.600]  I usually fly economy class
[00:02:02.600 --> 00:02:05.160]  So my knees are like jammed in the front seat
[00:02:05.160 --> 00:02:06.640]  我咁大隻啦
[00:02:06.640 --> 00:02:07.720]  又坐經濟艙
[00:02:07.720 --> 00:02:10.080]  通常個膝頭都頂住頂住嘅
[00:02:10.080 --> 00:02:11.400]  Very uncomfortable
[00:02:11.400 --> 00:02:13.360]  好唔舒服
[00:02:13.360 --> 00:02:15.560]  And so over time I have
[00:02:15.560 --> 00:02:17.360]  actually developed strategies
[00:02:17.360 --> 00:02:20.080]  on how to make time pass by faster
[00:02:20.080 --> 00:02:21.280]  咁所以呢
[00:02:21.280 --> 00:02:22.760]  日子耐咗
[00:02:22.760 --> 00:02:24.360]  我就開始諗緊啲方法
[00:02:24.360 --> 00:02:26.320]  令到嗰啲時間過得快啲
[00:02:26.320 --> 00:02:27.520]  One of them is
[00:02:27.520 --> 00:02:28.520]  I try to sit in the aisle
[00:02:28.520 --> 00:02:30.680]  so I can stretch out my leg a little bit
[00:02:30.680 --> 00:02:33.320]  有時就係希望坐走廊位
[00:02:33.320 --> 00:02:34.880]  然後隻腳可以伸出啲
[00:02:34.880 --> 00:02:36.040]  If it's a night flight
[00:02:36.040 --> 00:02:38.480]  I hope I pray that I can sleep
[00:02:38.480 --> 00:02:39.920]  如果係夜晚嘅話
[00:02:39.920 --> 00:02:41.400]  夜晚機我就希望可以
[00:02:41.400 --> 00:02:43.280]  即係祈禱我可以瞓得著
[00:02:43.280 --> 00:02:44.560]  And if there is movies
[00:02:44.560 --> 00:02:46.800]  I just try to watch as many movies as I can
[00:02:46.800 --> 00:02:49.000]  just to pass time to get lost in the movie
[00:02:49.000 --> 00:02:50.320]  如果可以睇戲嘅話
[00:02:50.320 --> 00:02:51.880]  就盡量有咁多睇咁多
[00:02:51.880 --> 00:02:55.240]  希望唔知道啲時間就過曬啦
[00:02:55.240 --> 00:02:56.560]  Now I have to admit
[00:02:56.560 --> 00:02:59.440]  I've actually had anxieties of flying
[00:02:59.440 --> 00:03:01.040]  我必須要承認
[00:03:01.040 --> 00:03:02.320]  我坐飛機嘅時候
[00:03:02.320 --> 00:03:03.680]  係會有驚恐症
[00:03:03.680 --> 00:03:06.000]  Not because I'm scared that the plane will crash
[00:03:06.000 --> 00:03:08.720]  唔係因為我驚個機會墜機
[00:03:08.720 --> 00:03:11.920]  But because I'm scared of sitting in this tight seat
[00:03:11.920 --> 00:03:15.080]  因為係喺一個咁窄嘅位裏面
[00:03:15.080 --> 00:03:16.880]  其實我好焦慮
[00:03:16.880 --> 00:03:21.480]  But this flight to Tel Aviv was different
[00:03:21.480 --> 00:03:24.120]  但係呢一班去特拉維夫嘅航班
[00:03:24.120 --> 00:03:24.960]  係唔一樣嘅
[00:03:24.960 --> 00:03:26.080]  Instead of watching movies
[00:03:26.080 --> 00:03:27.760]  and just having time pass by
[00:03:27.760 --> 00:03:29.600]  我唔係喺度睇戲
[00:03:29.600 --> 00:03:31.480]  喺度等時間過
[00:03:31.480 --> 00:03:35.920]  I had this desire and longing in my heart
[00:03:35.920 --> 00:03:37.800]  to draw close to Jesus
[00:03:37.800 --> 00:03:38.720]  喺我心裏面
[00:03:38.720 --> 00:03:40.080]  我有一個渴望
[00:03:40.080 --> 00:03:40.920]  有一個渴想
[00:03:40.920 --> 00:03:43.920]  就係好想更加去親近耶穌
[00:03:43.920 --> 00:03:46.240]  There was a deep awareness of my need
[00:03:46.240 --> 00:03:49.560]  for a greater work of the Holy Spirit in my life
[00:03:49.560 --> 00:03:50.480]  喺我心裏面
[00:03:50.480 --> 00:03:52.640]  我好想去經歷得到
[00:03:52.640 --> 00:03:53.760]  耶穌經歷到聖靈
[00:03:53.760 --> 00:03:56.080]  喺我生命裏面更大嘅工作
[00:03:56.080 --> 00:04:00.840]  And the only way I know how to explain this is
[00:04:00.840 --> 00:04:03.560]  I had just going through the most painful
[00:04:03.560 --> 00:04:06.240]  disorienting season in my life
[00:04:06.240 --> 00:04:08.600]  我唯一能夠解釋到嘅方法
[00:04:08.600 --> 00:04:10.560]  就係因為我啱啱喺生命裏面經歷完
[00:04:10.560 --> 00:04:12.320]  我生命裏面最痛苦
[00:04:12.320 --> 00:04:15.280]  最令到我好迷失嘅一個時間
[00:04:15.280 --> 00:04:18.320]  And while Jesus had met me at my lowest point
[00:04:18.320 --> 00:04:20.080]  and lifted me out of that
[00:04:20.080 --> 00:04:22.640]  耶穌喺我人生最低嘅低谷裏面
[00:04:22.640 --> 00:04:24.640]  遇見我去將我救起嚟
[00:04:24.640 --> 00:04:28.640]  There still was a great need for healing
[00:04:28.640 --> 00:04:31.160]  但喺我心裏面仍然有一個好大嘅
[00:04:31.160 --> 00:04:33.160]  需要被醫治嘅需要
[00:04:33.160 --> 00:04:35.920]  And so I prayed
[00:04:35.920 --> 00:04:39.920]  I cried out to Jesus to meet me
[00:04:39.920 --> 00:04:41.400]  所以我就喺度祈禱
[00:04:41.400 --> 00:04:43.000]  我去呼求耶穌呀
[00:04:43.000 --> 00:04:45.800]  你喺呢個地方裏面嚟同我相遇啦
[00:04:45.800 --> 00:04:49.200]  I asked the Holy Spirit to pour out over me
[00:04:49.200 --> 00:04:50.480]  for healing
[00:04:50.480 --> 00:04:53.040]  我求聖靈呢嚟度喺我生命裏面
[00:04:53.040 --> 00:04:55.320]  去傾倒出嚟嚟帶嚟醫治
[00:04:55.320 --> 00:04:57.720]  And I actually did this the entire flight
[00:04:57.720 --> 00:04:59.360]  from Hong Kong to Tel Aviv
[00:04:59.360 --> 00:05:01.920]  呢個禱告就由我喺香港出發
[00:05:01.920 --> 00:05:05.320]  一路持續去到我喺特拉維夫降落為止
[00:05:05.320 --> 00:05:06.400]  Now I know I am a pastor
[00:05:06.400 --> 00:05:08.800]  but I usually don't pray for like 10 hours in a row
[00:05:08.800 --> 00:05:10.560]  我知道呢我都係牧師嚟嘅
[00:05:10.560 --> 00:05:11.880]  不過我平時都唔係咁樣
[00:05:11.880 --> 00:05:13.880]  會連續十個鐘頭喺度祈禱
[00:05:13.880 --> 00:05:17.160]  So the Holy Spirit was doing something special on that flight
[00:05:17.160 --> 00:05:18.960]  所以喺嗰個航班裏面
[00:05:18.960 --> 00:05:21.480]  聖靈喺我生命裏面做嘅一樣好特別嘅嘢
[00:05:21.480 --> 00:05:25.480]  But I wonder if you have ever found yourself in a place
[00:05:25.480 --> 00:05:28.960]  where you are just aware of your deep need
[00:05:28.960 --> 00:05:30.480]  for Jesus to meet you
[00:05:30.480 --> 00:05:33.720]  and for the Holy Spirit to do some healing work
[00:05:33.720 --> 00:05:36.200]  some reviving work in your life
[00:05:36.200 --> 00:05:38.480]  我唔知你有冇察覺留意得到
[00:05:38.480 --> 00:05:40.480]  你自己喺生命裏面一啲嘅時刻
[00:05:40.480 --> 00:05:42.560]  都好需要耶穌咁樣嚟同你相遇
[00:05:42.560 --> 00:05:45.200]  需要聖靈喺你嘅生命裏面咁大嘅工作
[00:05:45.200 --> 00:05:48.800]  For me I needed healing from relationship breakdown
[00:05:48.800 --> 00:05:51.800]  喺我嘅生命裏面我需要聖靈嚟醫治我
[00:05:51.800 --> 00:05:53.800]  因為我經歷到關係裏面嘅破碎
[00:05:53.800 --> 00:05:57.400]  For some of us maybe it's need for forgiveness of our sins
[00:05:57.400 --> 00:05:58.800]  可能對於我哋一啲人嚟講
[00:05:58.800 --> 00:06:01.400]  我哋需要嘅係我哋嘅罪被赦免
[00:06:01.400 --> 00:06:03.400]  Cause we are just stuck in doing things
[00:06:03.400 --> 00:06:05.400]  we know are not right but we can't stop
[00:06:05.400 --> 00:06:06.400]  for whatever reason
[00:06:06.400 --> 00:06:08.400]  因為可能我哋都喺我哋嘅人生裏面
[00:06:08.400 --> 00:06:10.000]  我哋不斷喺度做嘅一啲
[00:06:10.000 --> 00:06:11.600]  我哋自己都知道係錯嘅嘢
[00:06:11.600 --> 00:06:12.800]  但我哋停唔到
[00:06:12.800 --> 00:06:15.800]  Maybe it's this longing for freedom from addiction
[00:06:15.800 --> 00:06:18.200]  可能係我哋好想喺我哋一啲嘅人裏面
[00:06:18.200 --> 00:06:20.200]  得到釋放得到自由
[00:06:20.200 --> 00:06:22.200]  Maybe we are addicted to the social media
[00:06:22.200 --> 00:06:23.400]  we are addicted to alcohol
[00:06:23.400 --> 00:06:24.800]  we are addicted to pornography
[00:06:24.800 --> 00:06:26.000]  we are addicted to our work
[00:06:26.000 --> 00:06:29.200]  可能係我哋喺我哋嘅社交嘅媒體
[00:06:29.200 --> 00:06:33.400]  我哋喺飲酒 於酒 或者喺色情裏面
[00:06:33.400 --> 00:06:34.600]  我哋都沉迷咗
[00:06:34.600 --> 00:06:36.800]  And just Jesus I need you to meet me
[00:06:36.800 --> 00:06:38.800]  to break me free
[00:06:38.800 --> 00:06:39.800]  我哋同耶穌講
[00:06:39.800 --> 00:06:42.600]  耶穌我哋需要你嚟同我哋去相遇
[00:06:42.600 --> 00:06:45.000]  去讓我哋得著自由
[00:06:45.000 --> 00:06:48.400]  Or maybe you are aware of that
[00:06:48.400 --> 00:06:51.200]  God has something different for you to do
[00:06:51.200 --> 00:06:54.200]  You just long for God to clarify your calling
[00:06:54.200 --> 00:06:56.800]  to show you his purpose that he has for your life
[00:06:56.800 --> 00:06:59.000]  或者你知道其實神喺你生命裏面
[00:06:59.000 --> 00:07:00.000]  有一個嘅召命
[00:07:00.000 --> 00:07:01.000]  佢有啲嘢想你做
[00:07:01.000 --> 00:07:03.200]  你好想佢更加清晰嚟話畀你聽
[00:07:03.200 --> 00:07:05.800]  你生命嘅方向應該去邊度
[00:07:05.800 --> 00:07:07.000]  And for some of us
[00:07:07.000 --> 00:07:09.000]  if we are not but Christian
[00:07:09.000 --> 00:07:11.600]  Maybe it's this longing just for peace
[00:07:11.600 --> 00:07:14.000]  and for God to come into our lives
[00:07:14.000 --> 00:07:16.200]  或者我哋未必係基督徒
[00:07:16.200 --> 00:07:18.400]  但我哋好想神嚟到我哋嘅生命裏面
[00:07:18.400 --> 00:07:20.600]  俾一份嘅平安我哋
[00:07:20.600 --> 00:07:23.600]  But you know that longing and that need
[00:07:23.600 --> 00:07:26.400]  that you are holding in your heart
[00:07:26.400 --> 00:07:29.000]  但係你知道你心裏面嘅期望
[00:07:29.000 --> 00:07:31.400]  呢一個渴想係點樣
[00:07:31.400 --> 00:07:33.200]  And so what I want to explore with you today
[00:07:33.200 --> 00:07:34.600]  through this message
[00:07:34.600 --> 00:07:36.400]  所以今日透過呢一個訊息
[00:07:36.400 --> 00:07:39.200]  我想同大家一齊嚟探索嘅嘢係
[00:07:39.200 --> 00:07:42.600]  Is what is this longing
[00:07:42.600 --> 00:07:44.200]  and this need that you are holding
[00:07:44.200 --> 00:07:47.600]  where you need Jesus to meet you right now
[00:07:47.600 --> 00:07:50.000]  喺你生命裏面嗰個嘅渴望
[00:07:50.000 --> 00:07:52.200]  好需要耶穌嚟到去
[00:07:52.200 --> 00:07:55.200]  去供應俾你嚟滿足嘅嗰一樣嘢係啲咩呢
[00:07:55.200 --> 00:07:58.800]  So as I was on the sabbatical
[00:07:58.800 --> 00:08:01.000]  I just really had the sense
[00:08:01.000 --> 00:08:02.800]  that God was inviting us
[00:08:02.800 --> 00:08:04.400]  to bring our needs
[00:08:04.400 --> 00:08:06.200]  our desperation to Him
[00:08:06.200 --> 00:08:08.000]  and that He wants to meet us
[00:08:08.000 --> 00:08:10.800]  喺我安息年嘅假期裏面嘅時候
[00:08:10.800 --> 00:08:13.000]  我心裏面好深嘅去感受到
[00:08:13.000 --> 00:08:15.000]  神想帶我哋去到一個嘅地方裏面
[00:08:15.000 --> 00:08:17.600]  以至我哋會將我哋生命裏面嘅渴望
[00:08:17.600 --> 00:08:20.000]  都帶到嚟佢嘅面前俾佢滿足
[00:08:20.000 --> 00:08:22.200]  And so today we are taking a one week break
[00:08:22.200 --> 00:08:25.000]  from our Daniel unshaken sermon series
[00:08:25.000 --> 00:08:26.600]  所以我哋今個星期呢
[00:08:26.600 --> 00:08:30.000]  我哋暫停一下我哋《但以利》嗰個講道系列先
[00:08:30.000 --> 00:08:31.400]  For this one-off message
[00:08:31.400 --> 00:08:33.000]  we will return to the series next week
[00:08:33.000 --> 00:08:34.800]  我哋今個禮拜呢有
[00:08:34.800 --> 00:08:36.600]  今日嘅訊息係
[00:08:36.600 --> 00:08:37.600]  即係淨係今日嘅
[00:08:37.600 --> 00:08:39.400]  我哋下個星期再繼續講《但以利》
[00:08:39.400 --> 00:08:41.200]  So we are in the Gospel of John
[00:08:41.200 --> 00:08:43.000]  Let me set the scene for you
[00:08:43.000 --> 00:08:44.800]  我哋嚟睇一睇約翰福音
[00:08:44.800 --> 00:08:47.600]  等我同大家講下呢本書發生緊咩事
[00:08:47.600 --> 00:08:50.200]  So it is the Feast of Tabernacles
[00:08:50.200 --> 00:08:54.000]  呢個故事係發生喺鑄棚節嘅時間裏面
[00:08:54.000 --> 00:08:56.800]  One of the three great Jewish festivals
[00:08:56.800 --> 00:09:00.200]  係三個最重要嘅猶太節期嘅其中一個
[00:09:00.200 --> 00:09:01.200]  And there is a buzz
[00:09:01.200 --> 00:09:03.200]  There is an excitement in Jerusalem
[00:09:03.200 --> 00:09:05.800]  喺耶路撒冷裏面非常之興奮
[00:09:05.800 --> 00:09:07.200]  有好多嘢發生緊
[00:09:07.200 --> 00:09:09.600]  But there is also a great tension
[00:09:09.600 --> 00:09:12.600]  但亦都有一個好大嘅張力喺嗰度
[00:09:12.600 --> 00:09:16.000]  And that tension revolves around Jesus and his identity
[00:09:16.000 --> 00:09:17.600]  呢個張力係圍繞住
[00:09:17.600 --> 00:09:20.600]  耶穌同埋佢嘅身份究竟係邊一個
[00:09:20.600 --> 00:09:24.000]  People are divided over who Jesus is
[00:09:24.000 --> 00:09:27.400]  好多人因為耶穌嘅身份而分裂咗
[00:09:27.400 --> 00:09:29.000]  Is he the Messiah?
[00:09:29.000 --> 00:09:31.200]  究竟佢係咪尼塞亞呢?
[00:09:31.200 --> 00:09:33.400]  Or is he some false teacher?
[00:09:33.400 --> 00:09:35.600]  定係佢只係一個假嘅教師呢?
[00:09:35.600 --> 00:09:37.600]  And those that thought he was a false teacher
[00:09:37.600 --> 00:09:39.200]  They wanted to see him killed
[00:09:39.200 --> 00:09:41.000]  And Jesus knew that
[00:09:41.000 --> 00:09:43.800]  嗰啲覺得耶穌係假教師嘅人
[00:09:43.800 --> 00:09:45.000]  好想去殺死佢
[00:09:45.000 --> 00:09:47.000]  而耶穌都知道呢一樣嘢
[00:09:47.000 --> 00:09:49.800]  And it's in this charged circumstances
[00:09:49.800 --> 00:09:52.400]  That Jesus stands up
[00:09:52.400 --> 00:09:54.400]  And he speaks profound words
[00:09:54.400 --> 00:09:56.600]  That still have significance for us today
[00:09:56.600 --> 00:09:58.000]  Right here, right now
[00:09:58.000 --> 00:10:00.200]  就係喺一個咁樣嘅情況之下
[00:10:00.200 --> 00:10:01.400]  耶穌佢站起嚟
[00:10:01.400 --> 00:10:02.800]  佢講咗一番嘅說話
[00:10:02.800 --> 00:10:04.200]  而呢一番嘅說話
[00:10:04.200 --> 00:10:06.000]  直到今時今日對我哋嚟講
[00:10:06.000 --> 00:10:07.200]  仍然有影響力
[00:10:07.200 --> 00:10:10.200]  So let me take you to John chapter 7
[00:10:10.200 --> 00:10:13.200]  We're starting in verse 37 it says
[00:10:13.200 --> 00:10:15.600]  所以我哋去到約翰福音第七章
[00:10:15.600 --> 00:10:19.000]  我哋由第37節開始去讀
[00:10:19.000 --> 00:10:20.400]  節期嘅最後一日
[00:10:20.400 --> 00:10:22.200]  就係最隆重嘅一日
[00:10:22.200 --> 00:10:24.200]  耶穌站著喊著說
[00:10:24.200 --> 00:10:27.400]  人若渴了,到我者裡來渴
[00:10:27.400 --> 00:10:29.600]  信我嘅人就如經上所說
[00:10:29.600 --> 00:10:33.000]  從他腹中將流出活水嘅江河來
[00:10:33.000 --> 00:10:34.400]  耶穌者話係指著
[00:10:34.400 --> 00:10:37.000]  信他嘅人要受聖靈說的
[00:10:37.000 --> 00:10:38.800]  那時還沒有賜下聖靈
[00:10:38.800 --> 00:10:41.600]  因為耶穌還沒有得到榮耀
[00:10:41.600 --> 00:10:44.800]  All the way to 39
[00:10:44.800 --> 00:10:46.400]  OK
[00:10:46.400 --> 00:10:49.800]  So let's unpack what it says there
[00:10:49.800 --> 00:10:51.200]  所以我哋一齊嚟睇下
[00:10:51.200 --> 00:10:52.800]  呢段嘅經文講緊乜嘢
[00:10:52.800 --> 00:10:54.400]  John says that is the last
[00:10:54.400 --> 00:10:56.000]  and greatest day of the festival
[00:10:56.000 --> 00:10:58.000]  約翰話呢個係節期裏面
[00:10:58.000 --> 00:10:59.200]  最後嘅一日
[00:10:59.200 --> 00:11:01.600]  最重要最大嘅一日
[00:11:01.600 --> 00:11:04.400]  And this festival of Feast of Tribal Knuckles
[00:11:04.400 --> 00:11:06.400]  lasted for seven days
[00:11:06.400 --> 00:11:08.000]  呢個鑄棚節嘅節期
