
[00:00:00.000 --> 00:00:05.920]   Amen, amen, amen.
[00:00:05.920 --> 00:00:08.340]   Have a seat, have a seat.
[00:00:08.340 --> 00:00:13.820]   At the beginning of this year, in the very first devotional of the year, back in our
[00:00:13.820 --> 00:00:18.580]   fasting time in January, I wrote to you of a heart that I have for this year.
[00:00:18.580 --> 00:00:23.600]   And that heart, the desire that I have, is that the Holy Spirit would come and manifest
[00:00:23.600 --> 00:00:28.140]   itself more and more in our midst than ever before, and that we would see the ministry
[00:00:28.140 --> 00:00:32.300]   of the Holy Spirit amongst us like never before.
[00:00:32.300 --> 00:00:37.560]   You know, history will tell you that in a time where the Lord calls His people to uncharted
[00:00:37.560 --> 00:00:42.660]   waters, the season that we believe that the Lord is calling the vine into right now, when
[00:00:42.660 --> 00:00:46.500]   the Lord does that, what He's talking about is moving His people into a time where they're
[00:00:46.500 --> 00:00:50.000]   out of their comfort zone, a time where it's uncomfortable for them, a time where there
[00:00:50.000 --> 00:00:53.720]   is no strategy or roadmap for what might happen ahead.
[00:00:53.720 --> 00:01:00.800]   So it's a time where we have to be heightened to the witness and the work of the Holy Spirit
[00:01:00.800 --> 00:01:01.800]   amongst us.
[00:01:01.800 --> 00:01:07.140]   I would say now more than ever, we are in need here at the Vine of the manifest power
[00:01:07.140 --> 00:01:10.480]   and the glory of the Holy Spirit.
[00:01:10.480 --> 00:01:14.540]   And one of the things that I can testify to the joy that is inside of me over this year
[00:01:14.540 --> 00:01:18.400]   has been that I've seen an increase in the work of the ministry of the Spirit amongst
[00:01:18.400 --> 00:01:19.400]   us.
[00:01:19.400 --> 00:01:23.300]   And not just in the moment like we just shared together just now in our worship, as well
[00:01:23.300 --> 00:01:26.560]   as in our prayer and the ministry out of worship.
[00:01:26.560 --> 00:01:30.560]   Although we have seen, I think we can all witness an increase in the work of the Holy
[00:01:30.560 --> 00:01:31.740]   Spirit that way.
[00:01:31.740 --> 00:01:36.140]   But I think particularly in what happens often behind the scenes, in the transformed and
[00:01:36.140 --> 00:01:40.860]   changed marriages that we've seen transformed this year, into some of the relationships
[00:01:40.860 --> 00:01:46.180]   that we know were established that were broken before the reconciliation of some personal
[00:01:46.180 --> 00:01:47.180]   relationships.
[00:01:47.180 --> 00:01:51.380]   We've seen people physically healed this year, people coming to physical healing through
[00:01:51.380 --> 00:01:54.020]   the power of prayer and the work of the Holy Spirit.
[00:01:54.020 --> 00:01:58.500]   And then last week, in the testimony of the death and resurrection of Jesus on Easter
[00:01:58.500 --> 00:02:03.620]   Sunday, we saw 28 people go down to the waters of baptism and come up because the Holy Spirit
[00:02:03.620 --> 00:02:07.940]   has done something significant in their lives in bringing them into a place of faith.
