
[00:00:00.000 --> 00:00:02.000]   Amen. Thank you, Francesca.
[00:00:02.000 --> 00:00:06.000]   It's so good to see you all.
[00:00:06.000 --> 00:00:11.000]   Now, I want to share with you about an experience I had about 10 years ago.
[00:00:11.000 --> 00:00:18.000]   I took a Christmas Bible quiz and I got a really low score.
[00:00:18.000 --> 00:00:21.000]   So this was a little bit traumatizing for me.
[00:00:21.000 --> 00:00:23.000]   So I had a lot of sleepless nights.
[00:00:23.000 --> 00:00:26.000]   I woke up, there was tears in my eyes thinking of it.
[00:00:26.000 --> 00:00:32.000]   But my score was, I was really shocked at how much details of the Christmas story I got wrong.
[00:00:32.000 --> 00:00:39.000]   So I thought it would be fun this morning to do a little Christmas Bible quiz.
[00:00:39.000 --> 00:00:42.000]   So are you ready for that?
[00:00:42.000 --> 00:00:44.000]   Come on.
[00:00:44.000 --> 00:00:45.000]   I told you I got a bad score.
[00:00:45.000 --> 00:00:47.000]   So you're set up for success.
[00:00:47.000 --> 00:00:50.000]   Okay, so here's the first question.
[00:00:50.000 --> 00:00:52.000]   Jesus was born in a stable.
[00:00:52.000 --> 00:00:54.000]   True or false?
[00:00:54.000 --> 00:00:58.000]   If you think it's true, raise your hand.
[00:00:58.000 --> 00:01:01.000]   Okay, the answer is false.
[00:01:01.000 --> 00:01:04.000]   The Bible actually doesn't say where Jesus was born.
[00:01:04.000 --> 00:01:06.000]   So that's the first one.
[00:01:06.000 --> 00:01:08.000]   All right, second one.
[00:01:08.000 --> 00:01:12.000]   There were three wise men who brought gifts of gold, frankincense, and myrrh.
[00:01:12.000 --> 00:01:13.000]   True or false?
[00:01:13.000 --> 00:01:15.000]   True.
[00:01:15.000 --> 00:01:17.000]   Okay.
[00:01:17.000 --> 00:01:22.000]   So that is also false because it doesn't mention that there was three wise men.
[00:01:22.000 --> 00:01:23.000]   Good job.
[00:01:23.000 --> 00:01:24.000]   You did good.
[00:01:24.000 --> 00:01:26.000]   That was good.
[00:01:26.000 --> 00:01:28.000]   The next one.
[00:01:28.000 --> 00:01:33.000]   What animal did Mary ride on during the journey from Nazareth to Bethlehem?
[00:01:33.000 --> 00:01:36.000]   Was it a donkey?
[00:01:36.000 --> 00:01:39.000]   Was it a mule, a horse, or does the Bible not say?
[00:01:39.000 --> 00:01:43.000]   So if you think it was a donkey, raise your hand.
[00:01:43.000 --> 00:01:52.000]   If you think it was a mule, if you think it was a horse, I'm the only one who thinks it's a horse, okay.
[00:01:52.000 --> 00:01:56.000]   Or the Bible does not say.
[00:01:56.000 --> 00:01:58.000]   The Bible does not say.
[00:01:58.000 --> 00:02:02.000]   Mary probably walked.
[00:02:02.000 --> 00:02:04.000]   See, I'm serious.
[00:02:04.000 --> 00:02:10.000]   But a Christmas place always have a donkey or a mule in there, right?
[00:02:10.000 --> 00:02:12.000]   Okay, and here's the fourth one, last one.
[00:02:12.000 --> 00:02:13.000]   This is the last one.
[00:02:13.000 --> 00:02:16.000]   Where did the Magi from the East meet Jesus?
[00:02:16.000 --> 00:02:22.000]   Was it in a cave, in a manger, in a house, or the Bible does not say?
[00:02:22.000 --> 00:02:25.000]   So the first one is cave.
[00:02:25.000 --> 00:02:28.000]   Okay, the second one is the manger.
[00:02:28.000 --> 00:02:30.000]   Okay, we got a few.
[00:02:30.000 --> 00:02:33.000]   The house.
[00:02:33.000 --> 00:02:37.000]   And then the last one, the Bible does not say.
[00:02:37.000 --> 00:02:38.000]   Okay.
[00:02:38.000 --> 00:02:45.000]   So the Magi met Jesus in a house.
[00:02:45.000 --> 00:02:51.000]   Because they actually came almost two years after Jesus was born.
[00:02:51.000 --> 00:02:53.000]   And so Joseph and Mary were living in a house.
[00:02:53.000 --> 00:02:56.000]   Matthew 2.11, you can look it up.
[00:02:56.000 --> 00:02:58.000]   So, okay, I'm curious.
[00:02:58.000 --> 00:03:02.000]   Who got two or more right?
[00:03:02.000 --> 00:03:05.000]   How about three or more?
[00:03:05.000 --> 00:03:08.000]   What about four out of four?
[00:03:08.000 --> 00:03:10.000]   Okay, we have one person.
[00:03:10.000 --> 00:03:13.000]   Congratulations.
[00:03:13.000 --> 00:03:15.000]   We have a Bible scholar among us.
[00:03:15.000 --> 00:03:17.000]   This is great.
[00:03:17.000 --> 00:03:20.000]   So why am I doing this Christmas quiz?
[00:03:20.000 --> 00:03:40.000]   Well, what I wanted to highlight through my own experience, but also I think through our experience right now here together is that our knowledge from Christmas about Jesus, it comes from pop culture, from Christmas plays, from tradition, but not really from the biblical account.
