
[00:00:00.000 --> 00:00:04.600]  這個Home and Away是一件令人興奮的事
[00:00:04.600 --> 00:00:08.000]  多謝Enor為我們分享
[00:00:08.000 --> 00:00:10.000]  亦帶領著我們對球
[00:00:10.000 --> 00:00:12.000]  雖然我痛了一個星期之後
[00:00:12.000 --> 00:00:14.000]  所以呼籲大家
[00:00:14.000 --> 00:00:16.000]  年輕的請報名
[00:00:16.000 --> 00:00:18.000]  不要讓我們這些老人家
[00:00:18.000 --> 00:00:22.000]  骨頭都痛了
[00:00:22.000 --> 00:00:24.000]  我想問問大家
[00:00:24.000 --> 00:00:28.000]  我不知道你們現在的看新聞習慣是怎樣
[00:00:28.000 --> 00:00:30.000]  以前的年代
[00:00:30.000 --> 00:00:32.000]  大家都是那個年代
[00:00:32.000 --> 00:00:34.000]  看新聞當然看無線
[00:00:34.000 --> 00:00:36.000]  事事關心
[00:00:36.000 --> 00:00:39.000]  其他人改的我不說了
[00:00:39.000 --> 00:00:43.000]  現在看新聞的習慣真的不同了
[00:00:43.000 --> 00:00:46.000]  看新聞我很多時候都是在電話裡按一按
[00:00:46.000 --> 00:00:50.000]  看新聞現在變得很零碎的片段
[00:00:50.000 --> 00:00:52.000]  當然多了很多思考
[00:00:52.000 --> 00:00:54.000]  究竟哪些是真哪些是假
[00:00:54.000 --> 00:00:57.000]  哪些是新聞的編輯有不同的想法表達
[00:00:57.000 --> 00:01:01.000]  不過有一樣東西是一樣的
[00:01:01.000 --> 00:01:03.000]  當你打開新聞的時候
[00:01:03.000 --> 00:01:05.000]  無論是電視機
[00:01:05.000 --> 00:01:07.000]  或者是你的手機或者是你的電腦
[00:01:07.000 --> 00:01:09.000]  有一樣東西是不變的
[00:01:09.000 --> 00:01:12.000]  就是你會看到持續地不斷地看到
[00:01:12.000 --> 00:01:15.000]  世界不同的角落都會有戰爭
[00:01:15.000 --> 00:01:17.000]  災難
[00:01:17.000 --> 00:01:19.000]  一些的政治迫害
[00:01:19.000 --> 00:01:20.000]  一些的政府的貪腐
[00:01:20.000 --> 00:01:23.000]  其實每天都在世界不同的各地都發生
[00:01:23.000 --> 00:01:25.000]  當我們再留意一下
[00:01:25.000 --> 00:01:27.000]  在我們的城市裡面
[00:01:27.000 --> 00:01:29.000]  有很多社會的不公義
[00:01:29.000 --> 00:01:31.000]  一些家庭的淪喪慘案
[00:01:31.000 --> 00:01:33.000]  其實都是沒完沒了
[00:01:33.000 --> 00:01:35.000]  在我們的身邊
[00:01:35.000 --> 00:01:37.000]  其實你可能會看到或者聽到一些
[00:01:37.000 --> 00:01:41.000]  當你聽到或者聽見
[00:01:41.000 --> 00:01:43.000]  你都會覺得已經很不開心的事
[00:01:43.000 --> 00:01:46.000]  不斷不斷地發生
[00:01:46.000 --> 00:01:47.000]  沒有停過
[00:01:47.000 --> 00:01:49.000]  你可能會問一個問題
[00:01:49.000 --> 00:01:51.000]  世界為什麼會變成這樣
[00:01:51.000 --> 00:01:53.000]  當我們想深一層
[00:01:53.000 --> 00:01:56.000]  其實世界一直都是這樣
[00:01:56.000 --> 00:02:02.000]  而且這是幾千年來一直發生的事
[00:02:02.000 --> 00:02:04.000]  當我們作為基督徒的時候
[00:02:04.000 --> 00:02:06.000]  難免會問一個問題
[00:02:06.000 --> 00:02:12.000]  這個世界究竟神是不是真正掌權的呢
[00:02:12.000 --> 00:02:16.000]  究竟神是不是真正掌權的呢
[00:02:16.000 --> 00:02:21.000]  今天的世界看起來好像真的被惡勢力去操控
[00:02:21.000 --> 00:02:23.000]  控制著
[00:02:23.000 --> 00:02:26.000]  作為基督徒可能都會感到無力
[00:02:26.000 --> 00:02:28.000]  有時候又會感到很困惑
[00:02:28.000 --> 00:02:30.000]  失望
[00:02:30.000 --> 00:02:33.000]  甚至乎當我們面對一些個人的處境的時候
[00:02:33.000 --> 00:02:35.000]  我們可能會有絕望的感覺
[00:02:35.000 --> 00:02:38.000]  但是在2500年前
[00:02:38.000 --> 00:02:41.000]  神已經給了但爾利一個意象
[00:02:41.000 --> 00:02:44.000]  在這個意象裡面神要告訴人
[00:02:44.000 --> 00:02:48.000]  一個這麼多年來都沒有變過的事實
[00:02:48.000 --> 00:02:51.000]  讓我去refresh一下
[00:02:51.000 --> 00:02:56.000]  過去幾個禮拜我們講到關於但爾利系列的講道
[00:02:56.000 --> 00:02:58.000]  不動搖
[00:02:58.000 --> 00:03:04.000]  但爾利和幾個一起被擄到巴比倫的三個同伴
[00:03:04.000 --> 00:03:06.000]  在皇宮裡面作見證
[00:03:06.000 --> 00:03:10.000]  他們不讓自己的生命被占污
[00:03:10.000 --> 00:03:12.000]  他們懇切地祈禱
[00:03:12.000 --> 00:03:15.000]  他們拒絕去敬拜偶像
[00:03:15.000 --> 00:03:19.000]  他們去展示出那個織畫不言的信心
[00:03:19.000 --> 00:03:23.000]  藉著對上帝的信心和倚靠和信服
[00:03:23.000 --> 00:03:25.000]  他們勝過了敵人
[00:03:25.000 --> 00:03:29.000]  但爾利書基本上是分開了兩個部分
[00:03:29.000 --> 00:03:35.000]  一到六章是講巴比倫和波斯王國時代的一些背景
[00:03:35.000 --> 00:03:38.000]  去描述但爾利和那幾個同伴的故事
[00:03:38.000 --> 00:03:44.000]  第十七到第十二章是但爾利見到一連串的意象的描述
[00:03:44.000 --> 00:03:47.000]  今天我們正正要進入第七章
[00:03:47.000 --> 00:03:50.000]  去看看這些意象
[00:03:50.000 --> 00:03:53.000]  我們去到第七章的第一節
[00:03:53.000 --> 00:03:57.000]  巴比倫王白沙薩元年
[00:03:57.000 --> 00:03:59.000]  但爾利在床上做夢
[00:03:59.000 --> 00:04:01.000]  腦中看見意象
[00:04:01.000 --> 00:04:03.000]  就記錄這夢
[00:04:03.000 --> 00:04:06.000]  述說其中的大義
[00:04:06.000 --> 00:04:08.000]  白沙薩元年
[00:04:08.000 --> 00:04:11.000]  即是主前的553年
[00:04:11.000 --> 00:04:14.000]  但爾利差不多70歲
[00:04:14.000 --> 00:04:17.000]  我們早幾個星期還說他只是十幾二十歲
[00:04:17.000 --> 00:04:19.000]  剛剛去到巴比倫的人
[00:04:19.000 --> 00:04:21.000]  白沙薩元年他已經70歲
[00:04:21.000 --> 00:04:24.000]  所以就常說老年人發異夢
[00:04:24.000 --> 00:04:27.000]  但爾利在這個夢中見到的意象
[00:04:27.000 --> 00:04:30.000]  其實有三幕的場景
[00:04:30.000 --> 00:04:33.000]  第一幕是四獸掌權
[00:04:33.000 --> 00:04:36.000]  透過這個四獸的掌權見到世界的真相
[00:04:36.000 --> 00:04:39.000]  第二幕是審判的降臨
[00:04:39.000 --> 00:04:42.000]  他們見到歷史的終局
[00:04:42.000 --> 00:04:45.000]  第三幕是永恆國度
[00:04:45.000 --> 00:04:47.000]  見到將來的盼望
[00:04:47.000 --> 00:04:49.000]  有一個有趣的地方
[00:04:49.000 --> 00:04:52.000]  當但爾利描述這三個意象的時候
[00:04:52.000 --> 00:04:55.000]  他三次說到
[00:04:55.000 --> 00:04:58.000]  我在夜間的意象中觀看
[00:04:58.000 --> 00:05:03.000]  大家在IG上可能有時見到一些帖文
[00:05:03.000 --> 00:05:05.000]  有一個POV
[00:05:05.000 --> 00:05:08.000]  當你看那個影片的時候
[00:05:08.000 --> 00:05:12.000]  POV這個東西的人有自己的體驗
[00:05:12.000 --> 00:05:13.000]  有自己的演繹
[00:05:13.000 --> 00:05:16.000]  今天我們就要用但爾利的視覺
[00:05:16.000 --> 00:05:20.000]  三次觀看這個改變世界的意象
[00:05:20.000 --> 00:05:23.000]  首先我們繼續下去
[00:05:23.000 --> 00:05:27.000]  但爾利說我在夜間的意象中觀看
[00:05:27.000 --> 00:05:30.000]  看啊天上有四風
[00:05:30.000 --> 00:05:32.000]  突然刮在大海之上
[00:05:32.000 --> 00:05:35.000]  有四隻巨獸從海裡上來
[00:05:35.000 --> 00:05:38.000]  他們各不相同
[00:05:38.000 --> 00:05:41.000]  但爾利見到什麼?
[00:05:41.000 --> 00:05:42.000]  海
[00:05:42.000 --> 00:05:44.000]  在聖經當中
[00:05:44.000 --> 00:05:48.000]  海經常象徵著列國或動亂
[00:05:48.000 --> 00:05:51.000]  四風代表著神的主權行動
[00:05:51.000 --> 00:05:55.000]  留意這四隻獸是陸上的動物
[00:05:55.000 --> 00:05:57.000]  但他們不在陸上
[00:05:57.000 --> 00:06:00.000]  他們是從混亂的海中上來
[00:06:00.000 --> 00:06:03.000]  顯示人類政權的本質
[00:06:03.000 --> 00:06:07.000]  就是從罪惡和動亂中產生
[00:06:07.000 --> 00:06:10.000]  第四節說
[00:06:10.000 --> 00:06:14.000]  頭一個像獅子有鷹的翅膀
[00:06:14.000 --> 00:06:16.000]  我在觀看的時候
[00:06:16.000 --> 00:06:18.000]  他的翅膀被拔去
[00:06:18.000 --> 00:06:20.000]  他從地上被扶起來
[00:06:20.000 --> 00:06:22.000]  用兩腳站立像人一樣
[00:06:22.000 --> 00:06:24.000]  還給了他人的心
[00:06:24.000 --> 00:06:26.000]  看啊另有一獸羽熊
[00:06:26.000 --> 00:06:28.000]  就是第二獸
[00:06:28.000 --> 00:06:29.000]  半身側立
[00:06:29.000 --> 00:06:31.000]  口裡的牙齒中有三根獠牙
