
[00:00:00.000 --> 00:00:01.700]   Have a seat.
[00:00:01.700 --> 00:00:05.780]   Well, I wanna continue our conversation today on intimacy,
[00:00:05.780 --> 00:00:08.440]   this theme that we've been having over us
[00:00:08.440 --> 00:00:10.600]   as a church community for this past year.
[00:00:10.600 --> 00:00:13.100]   And I wanna talk about what I would consider
[00:00:13.100 --> 00:00:17.600]   perhaps one of the most critical things that is involved,
[00:00:17.600 --> 00:00:20.040]   not just in your intimacy with God,
[00:00:20.040 --> 00:00:23.100]   but in particular, your intimacy with one another.
[00:00:23.100 --> 00:00:24.980]   I wanna talk a little bit today
[00:00:24.980 --> 00:00:28.520]   about what that intimacy can look like with one another.
[00:00:28.520 --> 00:00:30.600]   And the topic that I'm talking about,
[00:00:30.600 --> 00:00:34.160]   I think has probably the greatest power
[00:00:34.160 --> 00:00:37.180]   to impact a church community
[00:00:37.180 --> 00:00:39.060]   with the community in which it's planted in.
[00:00:39.060 --> 00:00:40.320]   So what we're talking about today
[00:00:40.320 --> 00:00:44.640]   has a significant impact into what it is to serve
[00:00:44.640 --> 00:00:48.320]   and to bless Hong Kong and the society around it.
[00:00:48.320 --> 00:00:49.320]   And not only that,
[00:00:49.320 --> 00:00:52.220]   but when you do what I'm talking about today well,
[00:00:52.220 --> 00:00:54.020]   when you do it well in your own life,
[00:00:54.020 --> 00:00:55.960]   it also has the power to bring you
[00:00:55.960 --> 00:00:59.480]   into deeper moments of freedom and joy
[00:00:59.480 --> 00:01:03.480]   that you perhaps can't experience in anything else.
[00:01:03.480 --> 00:01:05.780]   This topic is really important.
[00:01:05.780 --> 00:01:07.360]   The topic is what I would call
[00:01:07.360 --> 00:01:10.420]   the subversive act of generosity.
[00:01:10.420 --> 00:01:15.300]   Now I call generosity a subversive act
[00:01:15.300 --> 00:01:18.720]   because I think that's exactly what generosity does.
[00:01:18.720 --> 00:01:20.400]   When we're generous,
[00:01:20.400 --> 00:01:24.200]   whether that's with our resources like our time,
[00:01:24.200 --> 00:01:26.320]   with the resources like our emotions,
[00:01:26.320 --> 00:01:29.600]   resources like our possessions, our material goods,
[00:01:29.600 --> 00:01:31.200]   our resources like our finances,
[00:01:31.200 --> 00:01:33.040]   whatever those resources might be,
[00:01:33.040 --> 00:01:34.480]   when we're generous with them,
[00:01:34.480 --> 00:01:39.480]   that has the power to basically subvert, uproot, overturn,
[00:01:39.480 --> 00:01:44.200]   what I think is our natural human tendency
[00:01:44.200 --> 00:01:46.480]   to hold on to what we have
[00:01:46.480 --> 00:01:49.920]   at the expense of what others do not have.
[00:01:49.920 --> 00:01:51.240]   Are you following this?
[00:01:51.280 --> 00:01:55.800]   That generosity has this characteristic to it
[00:01:55.800 --> 00:01:58.840]   where it has the power to subvert this tendency
[00:01:58.840 --> 00:02:01.100]   that I think all of us humans struggle with
[00:02:01.100 --> 00:02:02.960]   to hold on to the things that we have
[00:02:02.960 --> 00:02:06.240]   at the expense of what others do not have.
[00:02:06.240 --> 00:02:08.860]   And when we move in the spirit
[00:02:08.860 --> 00:02:11.200]   and in the movement of generosity,
[00:02:11.200 --> 00:02:12.960]   what we're doing is we're subverting
[00:02:12.960 --> 00:02:14.440]   that tendency in our lives
[00:02:14.440 --> 00:02:18.640]   and we're then opening ourselves and those around us
[00:02:18.640 --> 00:02:22.040]   to some of the most profound and beautiful encounters
[00:02:22.040 --> 00:02:24.320]   and moments with the character of God
[00:02:24.320 --> 00:02:26.360]   that they can experience
[00:02:26.360 --> 00:02:29.880]   'cause God's character is to be generous.
[00:02:29.880 --> 00:02:32.480]   So when his people are generous,
[00:02:32.480 --> 00:02:35.040]   they're revealing something of the nature
[00:02:35.040 --> 00:02:38.320]   and the character of God to the world.
[00:02:38.320 --> 00:02:39.200]   And that can happen
[00:02:39.200 --> 00:02:41.960]   through some of the smallest acts of generosity
[00:02:41.960 --> 00:02:43.760]   as well as some of the largest.
[00:02:43.760 --> 00:02:44.600]   Give me an example.
[00:02:44.600 --> 00:02:47.220]   About 30 years ago, I became a Christian.
[00:02:47.220 --> 00:02:50.640]   So about 30 years ago, I gave my life to Jesus.
[00:02:50.640 --> 00:02:52.000]   And then shortly after that,
[00:02:52.000 --> 00:02:54.320]   about a year into being a Christian,
[00:02:54.320 --> 00:02:56.200]   I was mentored by somebody
[00:02:56.200 --> 00:02:58.080]   who was a part of our youth ministry at that time.
[00:02:58.080 --> 00:03:00.680]   The youth ministry was called Saturday Night Alive.
[00:03:00.680 --> 00:03:02.960]   And I was being mentored by a guy called Doggan.
[00:03:02.960 --> 00:03:06.080]   And Doggan, for me in those days, and he still is today,
[00:03:06.080 --> 00:03:08.200]   he's like one of the most radical Christians
[00:03:08.200 --> 00:03:09.640]   I have ever met, okay?
[00:03:09.640 --> 00:03:13.000]   Doggan like lives, eats, sleeps, drinks, and breathes Jesus.
[00:03:13.000 --> 00:03:14.960]   There's Jesus and there's Doggan.
[00:03:14.960 --> 00:03:19.140]   And Andrew in those days was like way down the list, okay?
[00:03:19.140 --> 00:03:22.340]   I was a new Christian, didn't really know too much.
[00:03:22.340 --> 00:03:23.340]   One day he reached out to me.
[00:03:23.340 --> 00:03:24.420]   He said, "Hey, let's hang out.
[00:03:24.420 --> 00:03:25.580]   "Let's get together and hang out."
[00:03:25.580 --> 00:03:26.740]   And I thought that'd be great.
[00:03:26.740 --> 00:03:28.860]   I met him in one chai, MTR.
[00:03:28.860 --> 00:03:29.700]   And as I met him, he said,
[00:03:29.700 --> 00:03:32.220]   "Okay, we're gonna go into Southern Playground
[00:03:32.220 --> 00:03:33.860]   "and we're going to actually minister
[00:03:33.860 --> 00:03:35.540]   "to the drug addicts and the street sleepers
[00:03:35.540 --> 00:03:37.700]   "that hang out in Southern Playground.
[00:03:37.700 --> 00:03:39.780]   "I'm a new Christian, I'm freaking out.
[00:03:39.780 --> 00:03:41.260]   "I don't know how to do that.
[00:03:41.260 --> 00:03:43.420]   "I've never gone out and done something like that."
[00:03:43.420 --> 00:03:44.820]   He's like, "Don't worry, it's fine.
[00:03:44.820 --> 00:03:46.260]   "Everybody will speak Cantonese.
[00:03:46.260 --> 00:03:48.640]   "So I will speak to everybody in Cantonese."
[00:03:48.640 --> 00:03:49.480]   He's Chinese.
[00:03:49.480 --> 00:03:51.640]   He's like, "I'm gonna speak to everybody in Cantonese.
[00:03:51.640 --> 00:03:54.520]   "Andrew, your role is just to pray."
[00:03:54.520 --> 00:03:55.600]   I'm like, "Cool, I can pray."
[00:03:55.600 --> 00:03:58.480]   He's like, "Pray in tongues, pray in the spirit, whatever.
[00:03:58.480 --> 00:04:00.760]   "Just pray whilst I share in Cantonese."
[00:04:00.760 --> 00:04:03.140]   So we go out to Southern Playground just along here.
[00:04:03.140 --> 00:04:05.440]   And sure enough, we meet a couple of these guys.
[00:04:05.440 --> 00:04:08.000]   And it's quite obvious that they're either street sleepers
[00:04:08.000 --> 00:04:09.960]   or they're drug addicts just by the way they looked
[00:04:09.960 --> 00:04:12.920]   and the way they were dressed and their face and everything.
[00:04:12.920 --> 00:04:15.380]   It was quite a sad situation.
[00:04:15.380 --> 00:04:17.520]   Doggan begins to share in Cantonese
[00:04:17.520 --> 00:04:19.820]   the good hope of Jesus with these people.
[00:04:19.820 --> 00:04:21.420]   And I'm there, I'm praying.
[00:04:21.420 --> 00:04:22.940]   And as soon as I start to pray,
[00:04:22.940 --> 00:04:25.580]   I hear God say something very specifically to me.
[00:04:25.580 --> 00:04:28.380]   He said, "Andrew, I want you to take off the cross
[00:04:28.380 --> 00:04:29.580]   "that you're wearing,
[00:04:29.580 --> 00:04:32.260]   "and I want you to give it to this man."
[00:04:32.260 --> 00:04:34.580]   Now this is way before I had any idea
[00:04:34.580 --> 00:04:35.940]   that he knows anything about Jesus,
[00:04:35.940 --> 00:04:37.440]   is a Christian or anything like that.
[00:04:37.440 --> 00:04:38.280]   I feel like God is saying,
[00:04:38.280 --> 00:04:40.220]   "Take off your cross and give it to this man."
[00:04:40.220 --> 00:04:42.660]   Now that might sound like a small thing,
[00:04:42.660 --> 00:04:45.920]   but this cross had been given to me by Chris.
[00:04:45.920 --> 00:04:47.260]   We weren't even married at the time.
[00:04:47.260 --> 00:04:48.980]   I think we were engaged at the time.
[00:04:48.980 --> 00:04:50.660]   And she'd given me this cross
[00:04:50.660 --> 00:04:52.780]   as like a gift of our engagement.
[00:04:52.780 --> 00:04:54.020]   I had given her a ring.
[00:04:54.020 --> 00:04:54.900]   She'd given me a cross.
