
[00:00:00.000 --> 00:00:00.920]  多謝Ivan
[00:00:00.920 --> 00:00:03.600]  剛才你問大家家中有沒有放聖誕樹的時候
[00:00:03.600 --> 00:00:04.800]  我真的想說
[00:00:04.800 --> 00:00:07.000]  我其實也有裝樹的習慣
[00:00:07.000 --> 00:00:09.960]  今早想過把整棵聖誕樹喝回來
[00:00:09.960 --> 00:00:11.120]  大家好
[00:00:11.120 --> 00:00:12.000]  啊對
[00:00:12.000 --> 00:00:14.600]  YouTube的剪片師可以把剛才的剪掉
[00:00:14.600 --> 00:00:16.400]  謝謝
[00:00:16.400 --> 00:00:20.120]  大家有沒有留意我們YouTube現在有一點新的不同
[00:00:20.120 --> 00:00:23.160]  如果你週中登入去看我們YouTube
[00:00:23.160 --> 00:00:27.560]  我們會特意把講道剪輯出來給大家看
[00:00:27.560 --> 00:00:30.640]  所以如果你很想聽敬拜的內容的話
[00:00:30.640 --> 00:00:33.240]  這兩天好好去聽
[00:00:33.240 --> 00:00:35.200]  我們之後會把它剪掉
[00:00:35.200 --> 00:00:36.160]  把它下架
[00:00:36.160 --> 00:00:38.200]  留下講道在那裡
[00:00:38.200 --> 00:00:38.600]  好啦
[00:00:38.600 --> 00:00:39.960]  YouTube可以在這裡開始剪片
[00:00:39.960 --> 00:00:42.680]  謝謝
[00:00:42.680 --> 00:00:45.560]  有沒有人喜歡看電影的
[00:00:45.560 --> 00:00:46.280]  咦
[00:00:46.280 --> 00:00:47.200]  只有一個
[00:00:47.200 --> 00:00:48.520]  我聽聞你們去看電影
[00:00:48.520 --> 00:00:49.440]  之前那兩天
[00:00:49.440 --> 00:00:52.880]  有人碰到
[00:00:52.880 --> 00:00:55.240]  如果你這段時間在香港
[00:00:55.240 --> 00:00:58.600]  平時在街上或是上網聽新聞
[00:00:58.600 --> 00:01:02.560]  你知道現在11月在香港有一部電影非常非常熱
[00:01:02.560 --> 00:01:05.160]  兩星期已經有八千萬票房
[00:01:05.160 --> 00:01:06.280]  知道是哪部電影嗎
[00:01:06.280 --> 00:01:08.280]  《破地獄》
[00:01:08.280 --> 00:01:11.800]  大家都很緊貼時事潮流
[00:01:11.800 --> 00:01:17.880]  這部電影的電影名稱是
[00:01:17.880 --> 00:01:19.920]  一個道教的
[00:01:19.920 --> 00:01:21.920]  一個殯葬的儀式
[00:01:21.920 --> 00:01:23.360]  說的是他們怎樣
[00:01:23.360 --> 00:01:27.240]  南俄的師父要透過破地獄的儀式
[00:01:27.240 --> 00:01:29.920]  去將一個亡靈超渡等等
[00:01:29.920 --> 00:01:31.400]  如果有看這部電影的大英姐妹
[00:01:31.400 --> 00:01:33.000]  可能你會知道
[00:01:33.000 --> 00:01:36.360]  其實內容不是想講一些道教的儀式
[00:01:36.360 --> 00:01:38.640]  是講生死的教育
[00:01:38.640 --> 00:01:41.240]  如果你知道什麼是死亡的話
[00:01:41.240 --> 00:01:42.960]  你會懂得怎樣去面對生命
[00:01:42.960 --> 00:01:46.000]  有很多對於生和死之間的探索
[00:01:46.000 --> 00:01:48.440]  不過今天我不是想討論這部電影
[00:01:48.440 --> 00:01:52.480]  起碼不是要討論基督徒應不應該看這部電影
[00:01:52.480 --> 00:01:55.280]  如果你想討論這個話題
[00:01:55.280 --> 00:01:57.680]  請Ivan喝咖啡
[00:01:57.680 --> 00:01:59.680]  哈哈哈哈
[00:01:59.680 --> 00:02:01.680]  看多一次
[00:02:01.680 --> 00:02:04.480]  但今天我想zoom in(放大)
[00:02:04.480 --> 00:02:06.960]  在這部電影的家庭
[00:02:06.960 --> 00:02:09.480]  許冠文的家庭
[00:02:09.480 --> 00:02:11.480]  許冠文有一對子女
[00:02:11.480 --> 00:02:14.280]  是電影中的兩個主角
[00:02:14.280 --> 00:02:17.480]  他的兒子子徐父葉
[00:02:17.480 --> 00:02:19.480]  成為了一個南俄師父
[00:02:19.480 --> 00:02:22.480]  要跟著他一起去做法事
[00:02:22.480 --> 00:02:25.480]  但偏偏當他娶老婆的時候
[00:02:25.480 --> 00:02:28.480]  少少劇透
[00:02:28.480 --> 00:02:30.480]  不影響劇情
[00:02:30.480 --> 00:02:32.480]  他娶了一個天主教徒
[00:02:32.480 --> 00:02:34.480]  然後生了一個兒子
[00:02:34.480 --> 00:02:38.480]  兒子也跟著媽媽成為一個天主教徒
[00:02:38.480 --> 00:02:43.480]  而劇情的發展非常符合香港家庭的邏輯
[00:02:43.480 --> 00:02:46.480]  到兒子長大後開始要報讀學校的時候
[00:02:46.480 --> 00:02:49.480]  當然想入一間天主教的學校
[00:02:49.480 --> 00:02:51.480]  或者教會的學校
[00:02:51.480 --> 00:02:53.480]  誰知道原來教會學校
[00:02:53.480 --> 00:02:55.480]  如果父母都受洗的話
[00:02:55.480 --> 00:02:56.480]  是會加分的
[00:02:56.480 --> 00:02:59.480]  是不是完全符合香港的情節呢?
[00:02:59.480 --> 00:03:03.480]  於是太太就要逼這個南俄師父
[00:03:03.480 --> 00:03:05.480]  即是年輕兒子南俄師父
[00:03:05.480 --> 00:03:08.480]  就要逼他去受洗
[00:03:08.480 --> 00:03:09.480]  而且不止這樣
[00:03:09.480 --> 00:03:11.480]  當他受洗之後
[00:03:11.480 --> 00:03:14.480]  有一天太太就在一家人吃飯的時間
[00:03:14.480 --> 00:03:16.480]  喂!喂!喂!
[00:03:16.480 --> 00:03:17.480]  做什麼呢?
