
[00:00:00.000 --> 00:00:07.720]   With the fullness of Him who fills everything in every way be upon us for the glory of Jesus
[00:00:07.720 --> 00:00:09.720]   And everybody says
[00:00:09.720 --> 00:00:12.400]   Amen, amen
[00:00:12.400 --> 00:00:18.500]   Have a seat have a seat. It's so wonderful to have you with us
[00:00:18.500 --> 00:00:25.280]   We're in the final week of our four week series on personal transformation. Is this series been helping any of you?
[00:00:25.280 --> 00:00:28.960]   Yeah, like nine of you. Great. We
[00:00:29.840 --> 00:00:34.720]   Know I know that actually many of us have been really touched by what we've been doing in this series
[00:00:34.720 --> 00:00:42.760]   Looking at this pivotal moment in Israel's history a real moment of uncharted time for them where they are
[00:00:42.760 --> 00:00:45.760]   miraculously released out of their exile in Babylon
[00:00:45.760 --> 00:00:52.280]   By the Persian Authority and by the king of Persia Cyrus and they're released back to Jerusalem a city that they had left
[00:00:52.280 --> 00:00:57.600]   some 70 years before and they find themselves standing in the rubble and the ruins of that city a
[00:00:58.000 --> 00:01:03.160]   Walls which 70 years beforehand had been pulled down a temple that had been destroyed
[00:01:03.160 --> 00:01:08.640]   And now they're standing in that rubble and they're asking themselves a big question
[00:01:08.640 --> 00:01:14.440]   Can what is rubble today become a glorious temple tomorrow?
[00:01:14.440 --> 00:01:17.200]   and as they begin to see the
[00:01:17.200 --> 00:01:24.280]   First builders come and begin to lay the stones of both the wall that had been broken and the temple that had been pulled down
[00:01:24.280 --> 00:01:26.920]   both excitement and
[00:01:27.240 --> 00:01:30.480]   Challenge rise up in the hearts of the people of God
[00:01:30.480 --> 00:01:37.720]   Believing that God and God alone can take what something right now looks like
[00:01:37.720 --> 00:01:42.440]   Destruction and turn it into his glory
[00:01:42.440 --> 00:01:49.640]   And we've been saying in this series that that we're using this this moment that we've been looking at from Ezra chapter 3 of the of
[00:01:49.640 --> 00:01:55.160]   The rebuilding of the temple where we're using this as a as a metaphor really of what the Lord wants to do in our hearts
[00:01:55.720 --> 00:01:58.320]   The reality that for every single one of us, right?
[00:01:58.320 --> 00:02:05.200]   We know what it is to have things that lie in ruin within us like those walls in the temple for Israel. So for us
[00:02:05.200 --> 00:02:08.000]   pain and hurt from our past
[00:02:08.000 --> 00:02:10.320]   trauma that we've struggled to deal with
[00:02:10.320 --> 00:02:16.520]   Disappointments that we've had maybe things that have taken place that we regret
[00:02:16.520 --> 00:02:22.440]   Maybe sin that we're holding or or sin in the past that we struggle to let go of
[00:02:23.080 --> 00:02:26.240]   Maybe suffering that's come upon us not from any mistake
[00:02:26.240 --> 00:02:33.200]   We've made but it's still a suffering that we carry today all of us. We have rubble we have ruin within us
[00:02:33.200 --> 00:02:42.120]   And over this series we've been speaking about this audacity to believe and this hope within us that might say
[00:02:42.120 --> 00:02:48.280]   That despite the fact that we can all sense a rubble within us what the enemy
[00:02:48.280 --> 00:02:52.240]   Meant for evil the Lord can turn for good
[00:02:53.200 --> 00:02:59.440]   And as we finish the series here today, we're not finishing this transformation journey that the Lord has
[00:02:59.440 --> 00:03:03.640]   For us here at the vine. We're in a very beautiful season right now
[00:03:03.640 --> 00:03:12.160]   Where the Spirit is moving prophetically and powerfully amongst us and your transformation journey is not a four-week sermon series
[00:03:12.160 --> 00:03:16.160]   It is a journey which will lead you beyond here into
[00:03:16.760 --> 00:03:20.440]   Many twists and turns in the months ahead
[00:03:20.440 --> 00:03:26.920]   And so what I want to do in this final message is help to connect you to what I think is one of the most
[00:03:26.920 --> 00:03:31.600]   Significant things that we need to understand if we're going to be steadfast in the journey
[00:03:31.600 --> 00:03:34.760]   That's ahead and this thing that we're looking at today
[00:03:34.760 --> 00:03:39.880]   It's found in Ezra chapter 3 and 4 as they're dealing with what's happening with the temple
[00:03:39.880 --> 00:03:46.640]   But it's even more beautifully represented for us in the rebuilding of the wall that is found in Nehemiah
[00:03:46.640 --> 00:03:49.920]   So although in this series, we've been kind of sat in Ezra
[00:03:49.920 --> 00:03:55.560]   I want to shift us now to the book of Nehemiah as we close you might remember in week one
[00:03:55.560 --> 00:03:58.000]   I spoke about this historic moment where the
[00:03:58.000 --> 00:04:04.000]   Israelites are in that exile and they're released from exile to go back to Jerusalem in three waves
[00:04:04.000 --> 00:04:10.240]   Remember this so the first wave was Zerubbabel the leader who led a bunch of people back to rebuild the temple in
[00:04:10.240 --> 00:04:16.360]   The second wave Nehemiah as the leader brings people back to rebuild the walls that have been broken down
[00:04:16.360 --> 00:04:23.720]   And the third wave was Ezra leading the remaining people back to Jerusalem to reestablish the law
[00:04:23.720 --> 00:04:29.880]   So we've been looking at Zerubbabel over the last number of weeks. I want to finish by looking here today at Nehemiah
[00:04:29.880 --> 00:04:33.000]   And as we do this my prayer for you
[00:04:33.000 --> 00:04:40.040]   Is that this teaching will be something that will be like a like a linchpin in your mind like something in your spirit in your heart
[00:04:40.040 --> 00:04:45.440]   That you'd be able to take this thing and build on it in the weeks months and years ahead
[00:04:45.440 --> 00:04:51.080]   I feel like what we're going to be talking about today for some of you will be a shifting point in this journey of
[00:04:51.080 --> 00:04:55.600]   Transformation that you're in let's start here in Nehemiah
[00:04:55.600 --> 00:05:00.560]   Chapter 4 and I'm going to start in verse 1
[00:05:00.560 --> 00:05:08.440]   Although you can see my page in Ephesians is ripped and it is trying to escape my Bible sit in the name of Jesus
[00:05:08.440 --> 00:05:09.400]   Okay
[00:05:09.400 --> 00:05:11.360]   Nehemiah chapter 4 verse 1
[00:05:11.400 --> 00:05:16.840]   When Sambalat and I'll explain who that is in a moment heard that we were this is Nehemiah writing
[00:05:16.840 --> 00:05:24.480]   We're rebuilding the wall. He became angry and greatly incensed. Let's just stop here for a moment
[00:05:24.480 --> 00:05:29.240]   Let me give you some context so that we can kind of really understand this this this passage and background
[00:05:29.240 --> 00:05:34.040]   We know that Israel has been for 70 years in exile in Babylon
[00:05:34.040 --> 00:05:38.960]   But we know that the king of Persia Cyrus has come and now has released them to go back to Jerusalem
