
[00:00:00.000 --> 00:00:02.720]  我總是很榮幸能與你們在一起
[00:00:02.720 --> 00:00:08.400]  我去年大約兩個月前
[00:00:08.400 --> 00:00:10.400]  你們的社會已經成長了
[00:00:10.400 --> 00:00:11.200]  這很棒
[00:00:11.200 --> 00:00:17.840]  當師父Tim和師父Ivan說
[00:00:17.840 --> 00:00:19.840]  我們在今年初會舉辦一系列
[00:00:19.840 --> 00:00:22.000]  關於如何跟隨耶穌
[00:00:22.000 --> 00:00:23.000]  我非常興奮
[00:00:23.000 --> 00:00:25.000]  我到了大學的時候
[00:00:25.000 --> 00:00:26.600]  我已經二十歲
[00:00:26.600 --> 00:00:28.000]  從那時候開始
[00:00:28.000 --> 00:00:30.000]  我已經在這三十年來
[00:00:30.000 --> 00:00:33.000]  嘗試學習如何跟隨耶穌
[00:00:33.000 --> 00:00:35.000]  我二十歲的時候
[00:00:35.000 --> 00:00:37.000]  在大學的時候去信主
[00:00:37.000 --> 00:00:38.000]  由此之後的三十年
[00:00:38.000 --> 00:00:39.000]  我一直在學習
[00:00:39.000 --> 00:00:41.000]  什麼是跟隨耶穌
[00:00:41.000 --> 00:00:43.000]  跟隨耶穌是你人生中
[00:00:43.000 --> 00:00:45.000]  最極端的事情
[00:00:45.000 --> 00:00:47.000]  跟隨耶穌是你人生中
[00:00:47.000 --> 00:00:49.000]  最極端的事情
[00:00:49.000 --> 00:00:51.000]  你會做的一件事
[00:00:51.000 --> 00:00:53.000]  跟你人生中最興奮的一件事
[00:00:53.000 --> 00:00:55.000]  但也是你人生中
[00:00:55.000 --> 00:00:57.000]  最難的一件事
[00:00:57.000 --> 00:00:59.000]  當耶穌呼喚了
[00:00:59.000 --> 00:01:01.000]  基督徒在
[00:01:01.000 --> 00:01:03.000]  馬太福音16:24
[00:01:03.000 --> 00:01:05.000]  祂說
[00:01:05.000 --> 00:01:07.000]  如果你會跟隨我
[00:01:07.000 --> 00:01:09.000]  你必須拒絕自己
[00:01:09.000 --> 00:01:11.000]  拿起你的領袖
[00:01:11.000 --> 00:01:13.000]  跟隨我
[00:01:13.000 --> 00:01:15.000]  在馬太福音16:24
[00:01:15.000 --> 00:01:17.000]  當耶穌呼召他的門徒的時候
[00:01:17.000 --> 00:01:19.000]  他就說
[00:01:19.000 --> 00:01:21.000]  如果有人要跟從我
[00:01:21.000 --> 00:01:23.000]  就要捨己
[00:01:23.000 --> 00:01:25.000]  背起他的十字架來跟從我
[00:01:25.000 --> 00:01:27.000]  這不是那群門徒
[00:01:27.000 --> 00:01:29.000]  正在尋找的生活
[00:01:29.000 --> 00:01:31.000]  他們以為
[00:01:31.000 --> 00:01:33.000]  跟隨耶穌的故事
[00:01:33.000 --> 00:01:35.000]  會很不一樣
[00:01:35.000 --> 00:01:37.000]  耶穌說
[00:01:37.000 --> 00:01:39.000]  我們要捨己
[00:01:39.000 --> 00:01:41.000]  背起我們的十字架
[00:01:41.000 --> 00:01:43.000]  他們以為
[00:01:43.000 --> 00:01:45.000]  我們要捨己
[00:01:45.000 --> 00:01:47.000]  背起我們的十字架
[00:01:47.000 --> 00:01:49.000]  但門徒想要的
[00:01:49.000 --> 00:01:51.000]  是非常非常不一樣
[00:01:51.000 --> 00:01:53.000]  他們想像
[00:01:53.000 --> 00:01:55.000]  福音其實是這樣的
[00:01:55.000 --> 00:01:57.000]  好像耶穌
[00:01:57.000 --> 00:01:59.000]  會這樣說
[00:01:59.000 --> 00:02:01.000]  如果你想要跟隨我
[00:02:01.000 --> 00:02:03.000]  你必須接受
[00:02:03.000 --> 00:02:05.000]  我所有的祝福
[00:02:05.000 --> 00:02:07.000]  去享受
[00:02:07.000 --> 00:02:09.000]  很容易的生活
[00:02:09.000 --> 00:02:11.000]  知道我會
[00:02:11.000 --> 00:02:13.000]  跟隨你
[00:02:13.000 --> 00:02:15.000]  你餘下的人生
[00:02:15.000 --> 00:02:17.000]  知道我會在你餘下的人生
[00:02:17.000 --> 00:02:19.000]  都跟隨你
[00:02:19.000 --> 00:02:21.000]  這不是很棒的生活嗎?
[00:02:21.000 --> 00:02:23.000]  這不是很棒的人生嗎?
[00:02:23.000 --> 00:02:25.000]  這不是我們想要的
[00:02:25.000 --> 00:02:27.000]  信仰和宗教嗎?
[00:02:27.000 --> 00:02:29.000]  這不是我們想要的
[00:02:29.000 --> 00:02:31.000]  宗教嗎?
[00:02:31.000 --> 00:02:33.000]  神每天都來祝福我們
[00:02:33.000 --> 00:02:35.000]  人生真棒
[00:02:35.000 --> 00:02:37.000]  耶穌跟隨我們
[00:02:37.000 --> 00:02:39.000]  我想耶穌跟隨我
[00:02:39.000 --> 00:02:41.000]  Amen
[00:02:41.000 --> 00:02:43.000]  Amen
