
[00:00:00.000 --> 00:00:03.740]  很感謝上星期有CB
[00:00:03.740 --> 00:00:07.920]  今星期有Danny、Shandy、Gordon
[00:00:07.920 --> 00:00:09.920]  還有小朋友、嬰兒
[00:00:09.920 --> 00:00:11.200]  還有肚子裡的嬰兒
[00:00:11.200 --> 00:00:15.000]  一起為我們燃點這兩支蠟燭
[00:00:15.000 --> 00:00:20.000]  這兩支蠟燭代表著盼望和平安
[00:00:20.000 --> 00:00:21.280]  這四支蠟燭
[00:00:21.280 --> 00:00:25.280]  我們另外還有喜樂和愛
[00:00:25.280 --> 00:00:27.000]  當然還有第五支蠟燭
[00:00:27.000 --> 00:00:32.000]  這五支蠟燭代表著一個非常重要的屬靈意義
[00:00:32.000 --> 00:00:34.000]  也要感謝Charles Chow
[00:00:34.000 --> 00:00:35.000]  Charles Chow幫我們做的
[00:00:35.000 --> 00:00:37.000]  這個是手工製的
[00:00:37.000 --> 00:00:38.000]  是真的
[00:00:38.000 --> 00:00:41.000]  植物是真的
[00:00:41.000 --> 00:00:43.000]  這些也不知道是真是假
[00:00:43.000 --> 00:00:45.000]  很香
[00:00:45.000 --> 00:00:47.000]  這個散發著的香氣是一個什麼香氣呢?
[00:00:47.000 --> 00:00:49.000]  是一個基督的香氣
[00:00:49.000 --> 00:00:51.000]  這五支蠟燭
[00:00:51.000 --> 00:00:55.000]  代表著我們非常重要的一個屬靈元素
[00:00:55.000 --> 00:01:01.000]  因為其實平安、喜樂、盼望和愛
[00:01:01.000 --> 00:01:03.000]  是我們每一個生命都需要的
[00:01:03.000 --> 00:01:06.000]  如果一個生命沒有平安、喜樂、盼望和愛
[00:01:06.000 --> 00:01:08.000]  跟一個活的死人沒有分別
[00:01:08.000 --> 00:01:10.000]  但是很可惜的是
[00:01:10.000 --> 00:01:14.000]  我們每一個人都需要這四個元素
[00:01:14.000 --> 00:01:16.000]  但是這四個元素
[00:01:16.000 --> 00:01:18.000]  因為罪的緣故
[00:01:18.000 --> 00:01:20.000]  導致我們在這個世界上
[00:01:20.000 --> 00:01:22.000]  是不能夠得著
[00:01:22.000 --> 00:01:25.000]  就算有
[00:01:25.000 --> 00:01:27.000]  可能我們有句說話叫什麼呢?
[00:01:27.000 --> 00:01:30.000]  也可能不是天長地久
[00:01:30.000 --> 00:01:32.000]  可能是曾經擁有
[00:01:32.000 --> 00:01:35.000]  頂多你也是曾經擁有一刻的平安、喜樂
[00:01:35.000 --> 00:01:39.000]  所以這五支蠟燭裡面
[00:01:39.000 --> 00:01:41.000]  我們很重要的就是
[00:01:41.000 --> 00:01:43.000]  要有第五支這支蠟燭
[00:01:43.000 --> 00:01:46.000]  我們將會在聖誕節的時候
[00:01:46.000 --> 00:01:48.000]  燃點起這一支蠟燭
[00:01:48.000 --> 00:01:51.000]  這一支蠟燭代表著耶穌基督的誕生
[00:01:51.000 --> 00:01:53.000]  耶穌基督的來臨
[00:01:53.000 --> 00:01:58.000]  耶穌基督臨在我們的世界當中
[00:01:58.000 --> 00:02:00.000]  在經文裡面他記載過
[00:02:00.000 --> 00:02:01.000]  他講過
[00:02:01.000 --> 00:02:03.000]  他有七個的I am
[00:02:03.000 --> 00:02:04.000]  七個的我是
[00:02:04.000 --> 00:02:06.000]  在這五支蠟燭裡面我們見到
[00:02:06.000 --> 00:02:09.000]  耶穌所講的這七個我是
[00:02:09.000 --> 00:02:11.000]  耶穌說我是世界的光
[00:02:11.000 --> 00:02:15.000]  所以人可以見得到盼望
[00:02:15.000 --> 00:02:18.000]  耶穌說我是好的牧人
[00:02:18.000 --> 00:02:20.000]  所以人能夠得著平安
[00:02:20.000 --> 00:02:23.000]  耶穌說我是生命的糧
[00:02:23.000 --> 00:02:26.000]  所以人能夠得著喜樂
[00:02:26.000 --> 00:02:28.000]  耶穌說我是真的葡萄樹
[00:02:28.000 --> 00:02:30.000]  所以人可以有愛
[00:02:30.000 --> 00:02:35.000]  耶穌說我就是道路、真理、生命
[00:02:35.000 --> 00:02:39.000]  所以聖誕才變得有意義
[00:02:39.000 --> 00:02:42.000]  因為基督已經來臨
[00:02:42.000 --> 00:02:44.000]  張臨奇的蠟燭
[00:02:44.000 --> 00:02:46.000]  是要讓我們去記得
[00:02:46.000 --> 00:02:50.000]  耶穌降世是已經成就了的事情
[00:02:50.000 --> 00:02:53.000]  是已經將所講的一切
[00:02:53.000 --> 00:02:55.000]  帶到這個世界
[00:02:55.000 --> 00:02:57.000]  帶到我們的生命裡面
[00:02:57.000 --> 00:03:00.000]  不是說將來有一天
[00:03:00.000 --> 00:03:04.000]  聖誕節是說耶穌已經降生
[00:03:04.000 --> 00:03:07.000]  已經臨在我們當中
[00:03:07.000 --> 00:03:10.000]  只要我們一直緊隨著耶穌
[00:03:10.000 --> 00:03:13.000]  和耶穌有這份特別的關係
[00:03:13.000 --> 00:03:17.000]  這一切將會臨到我們的生命裡面
[00:03:17.000 --> 00:03:20.000]  上星期我們說到
[00:03:20.000 --> 00:03:24.000]  我們是在一個已經但未來的時段裡面
[00:03:24.000 --> 00:03:26.000]  耶穌誕生
[00:03:26.000 --> 00:03:29.000]  但耶穌也會再一次降臨
[00:03:29.000 --> 00:03:31.000]  再一次臨在我們裡面
[00:03:31.000 --> 00:03:35.000]  我們在兩個時段中間的時候
[00:03:35.000 --> 00:03:37.000]  沒錯我們可能仍然要去忍受
[00:03:37.000 --> 00:03:39.000]  仍然要在這裡等候
[00:03:39.000 --> 00:03:42.000]  但是為什麼這四個元素在我們裡面
[00:03:42.000 --> 00:03:45.000]  是這麼重要呢?
[00:03:45.000 --> 00:03:50.000]  上星期我們專注在說已經
[00:03:50.000 --> 00:03:52.000]  我們上星期說的不是已經
[00:03:52.000 --> 00:03:55.000]  期盼著盼望耶穌會再來
[00:03:55.000 --> 00:03:58.000]  今天我想和大家去定睛去看
[00:03:58.000 --> 00:04:00.000]  那個已經
[00:04:00.000 --> 00:04:02.000]  未然的那個已然已經臨在
[00:04:02.000 --> 00:04:08.000]  在現在的現在進行式裡面
[00:04:08.000 --> 00:04:11.000]  我們上星期說了盼望
[00:04:11.000 --> 00:04:17.000]  今天我們定睛在平安的裡面
[00:04:17.000 --> 00:04:19.000]  但是弟子妹我希望大家今天
[00:04:19.000 --> 00:04:23.000]  不要只是用耳朵去聽這邊的講道
[00:04:23.000 --> 00:04:26.000]  因為你會聽不進去
[00:04:26.000 --> 00:04:29.000]  我們說我們將要定睛在平安
[00:04:29.000 --> 00:04:32.000]  但是前一個星期
[00:04:32.000 --> 00:04:34.000]  我們知道在大埔裡面
[00:04:34.000 --> 00:04:35.000]  發生一個這麼嚴重
[00:04:35.000 --> 00:04:37.000]  這麼悲慘的事情
[00:04:37.000 --> 00:04:39.000]  但今天我要在這裡和大家說平安
[00:04:39.000 --> 00:04:41.000]  可能有些人會覺得
[00:04:41.000 --> 00:04:42.000]  不要說聽不進去
[00:04:42.000 --> 00:04:44.000]  比髒話還要難聽
[00:04:44.000 --> 00:04:46.000]  平安
[00:04:46.000 --> 00:04:49.000]  有很多人仍然未能得到那份平安
[00:04:49.000 --> 00:04:51.000]  但是我們今天說耶穌基督的平安
[00:04:51.000 --> 00:04:53.000]  就已經臨在
[00:04:53.000 --> 00:04:56.000]  究竟是在說什麼呢?
[00:04:56.000 --> 00:04:57.000]  這個平安是主題
[00:04:57.000 --> 00:04:59.000]  但我相信當我們今天
[00:04:59.000 --> 00:05:01.000]  我們不是今天突然間說平安
[00:05:01.000 --> 00:05:02.000]  而是我們很早的時間
