
[00:00:00.000 --> 00:00:06.000]  多謝Ivan,我有個問題想問的,為什麼你去完日本之後帶了一個韓國的髮型回來?
[00:00:06.000 --> 00:00:09.000]  (Saranghae)
[00:00:09.000 --> 00:00:19.000]  Sorry,我要拿著一杯暖水,因為好像禁食的時候突然間會覺得很冷,明明我本身是熱底的,但是覺得很冷,今天回來
[00:00:19.000 --> 00:00:38.000]  大家好嗎?一月是一個特別的時間,我們在教會裡面,我們每年一月都會有一起禁食,我記得上年一月我有機會在這裡分享的時候都說了一些個人的訊息
[00:00:38.000 --> 00:00:50.000]  一月很多時候我們除了禁食之外,我們也會,我們的港獨系列今年就是跟禱告有關,上年也是說我們怎樣可以在不同的方法裡面去遇見,去親近神
[00:00:50.000 --> 00:01:06.000]  上年我說了一些個人的經歷是跟敬拜有關,今天我也想用一個比較個人的方法,或者在港獨的內容上面是個人一點的一個訊息來跟大家分享
[00:01:06.000 --> 00:01:23.000]  每一年去到年尾的時候,即將要踏入新的一年,無獨有偶小弟的生日正正踏入年尾最後的時間,所以非常方便,我每一年去到年尾有一個習慣就是,我會問我自己一個很簡單的問題
[00:01:23.000 --> 00:01:41.000]  我會問我自己一個問題就是,究竟我今年我只是go through了這一年,還是我grow through了這一年,即是究竟這一年我只是渾渾噩噩過了一年,還是我覺得我自己有些東西成長了
[00:01:41.000 --> 00:01:55.000]  這個每一年我會嘗試問我自己一個問題,我有沒有學到一些新的東西,我有沒有試過用一些新的方法去解決一些舊的問題,或者我會不會繼續停留在一些過去的錯誤裡面不斷重複犯錯
[00:01:55.000 --> 00:02:13.000]  或者我覺得我有沒有更加去貼近,更加追得近我認為我感受到神要帶領我去的方向,又或者是我講話的方式,我的說話,我的行為,我的態度有沒有跟耶穌好像再接近了一些
[00:02:13.000 --> 00:02:27.000]  很多時候我就會這樣去問我自己這些問題,不過如果我誠實去面對我自己,或者誠實去面對大家的話,其實有些時候有幾年可能我的答案是,好像沒有,或者沒有什麼
[00:02:27.000 --> 00:02:43.000]  有些時候我都是這樣,渾渾噩噩過了一年,又是這樣,一個人都是一樣的,很多事情做完,很多教會的服事做完之後,我好像都只不過是同一個人,唯獨不同的是跟上一年就是我老了一歲
[00:02:43.000 --> 00:03:03.000]  很多時候我們人就是這樣,年齡的增長是無可避免的,但是生命的成長往往其實是一個選擇,growing old是你沒辦法避免,但是growing up經常都是一個選擇
[00:03:03.000 --> 00:03:16.000]  在divine這裡這麼多年,十幾年的時間,除了服事我在這裡教會這麼多年,我很深刻體會一件事,就是我們教會的意象是要growing big people,我們要去讓人可以成長成熟
[00:03:16.000 --> 00:03:29.000]  但是很多時候就算作為在這裡當中作為一個僕人,作為一個傳道人,我發現要growing big people的時候,首先原來第一個我要去grow,第一個要他成長的人,是這個,是我自己
