
[00:00:00.000 --> 00:00:05.120]  有很多節日的氣氛、活動、裝飾
[00:00:05.120 --> 00:00:07.600]  或者在一個晚上之間
[00:00:07.600 --> 00:00:10.120]  我們都把這些東西拋諸腦後
[00:00:10.120 --> 00:00:13.880]  在這幾天我們城市裡所發生的事
[00:00:13.880 --> 00:00:18.080]  基本上如果我們要將我們裡面的感受
[00:00:18.080 --> 00:00:20.360]  現在去攤出來看一看的話
[00:00:20.360 --> 00:00:27.200]  應該都跟慶祝、歡慶這兩個字有很遙遠的距離
[00:00:27.200 --> 00:00:29.200]  如果不是完全相反的話
[00:00:29.200 --> 00:00:32.560]  很多的慶祝活動
[00:00:32.560 --> 00:00:34.760]  我們可以取消的都取消了
[00:00:34.760 --> 00:00:36.320]  我們不亮燈了
[00:00:36.320 --> 00:00:38.920]  很多的事都叫停了
[00:00:38.920 --> 00:00:40.200]  不做了
[00:00:40.200 --> 00:00:41.920]  因為我們大家都覺得
[00:00:41.920 --> 00:00:44.280]  在我們整個城市裡面
[00:00:44.280 --> 00:00:46.840]  我們正在進入一種很哀傷
[00:00:46.840 --> 00:00:49.880]  甚至在哀悼的一個時間
[00:00:49.880 --> 00:00:54.200]  無論我們有沒有在我們身邊
[00:00:54.200 --> 00:00:58.720]  有沒有親身認識一些在災難裡面受災的人
[00:00:58.720 --> 00:01:01.080]  他們受害的人
[00:01:01.080 --> 00:01:03.240]  無論我們身邊有沒有這些人也好
[00:01:03.240 --> 00:01:04.520]  我相信我們過去幾天
[00:01:04.520 --> 00:01:07.760]  每一天拿著電話看新聞也好
[00:01:07.760 --> 00:01:10.520]  或者我們看社交媒體
[00:01:10.520 --> 00:01:11.920]  我們在看的時候
[00:01:11.920 --> 00:01:14.720]  會有很多很多這些消息
[00:01:14.720 --> 00:01:18.520]  這些更新、這些數字、這些故事
[00:01:18.520 --> 00:01:25.120]  我們很快就淹沒在這些很多不同的更新的消息裡面
[00:01:25.120 --> 00:01:29.840]  其實越看,人覺得越來越
[00:01:29.840 --> 00:01:31.880]  覺得越來越無力
[00:01:31.880 --> 00:01:33.680]  覺得越來越無助
[00:01:33.680 --> 00:01:36.520]  覺得越來越無力
