
[00:00:00.000 --> 00:00:02.000]  我們給Ivan掌聲,好嗎?
[00:00:02.000 --> 00:00:07.000]  你平時回來都會見到他經常走來走去
[00:00:07.000 --> 00:00:10.000]  很多這裡教會大小的事
[00:00:10.000 --> 00:00:13.000]  他都會不斷去照顧
[00:00:13.000 --> 00:00:14.000]  所以其實他很清楚
[00:00:14.000 --> 00:00:18.000]  他應該是最清楚這裡發生什麼事的那個人
[00:00:18.000 --> 00:00:22.000]  Holiday Mood是否在說大家放假
[00:00:22.000 --> 00:00:26.000]  我們剛剛這個星期又有壽苦節又有復活節
[00:00:26.000 --> 00:00:28.000]  然後還有清明節
[00:00:28.000 --> 00:00:31.000]  整個星期我們一直都在過很多
[00:00:31.000 --> 00:00:33.000]  跟生命跟死亡復活
[00:00:33.000 --> 00:00:36.000]  我們不斷在處理很多這樣的事
[00:00:36.000 --> 00:00:38.000]  咪高峰可能可以小一點
[00:00:38.000 --> 00:00:39.000]  有一點點fit在這裡
[00:00:39.000 --> 00:00:41.000]  所以我不敢說話那麼大聲
[00:00:41.000 --> 00:00:45.000]  剛剛這個清明節還有兩天
[00:00:45.000 --> 00:00:47.000]  我們紀念先人的時間
[00:00:47.000 --> 00:00:48.000]  對我來說都是一個很特別的時間
[00:00:48.000 --> 00:00:55.000]  我第一次帶Megan和Mabel去認識我的媽媽
[00:00:55.000 --> 00:00:57.000]  第一次帶他們去掃墓
[00:00:57.000 --> 00:01:01.000]  我媽媽可能不是每一個人都聽過我的故事
[00:01:01.000 --> 00:01:06.000]  我媽媽在我三歲的時候因為癌症離開了這個世界
[00:01:06.000 --> 00:01:10.000]  之後大部分有一段短的時間
[00:01:10.000 --> 00:01:12.000]  在我爸爸和我現在的媽媽結婚之前
[00:01:12.000 --> 00:01:14.000]  我和我爸爸一起住
[00:01:14.000 --> 00:01:16.000]  那是我幼稚園的時間
[00:01:16.000 --> 00:01:18.000]  在我幼稚園的時候
[00:01:18.000 --> 00:01:20.000]  這裡應該有些人聽過我說過這個故事
[00:01:20.000 --> 00:01:23.000]  有一次我偷我爸爸的錢
[00:01:23.000 --> 00:01:26.000]  因為偷他的錢之後就回學校
[00:01:26.000 --> 00:01:29.000]  叫我的同學幫我買玩具
[00:01:29.000 --> 00:01:31.000]  幫我買那些東西
[00:01:31.000 --> 00:01:34.000]  後來第一次偷錢
[00:01:34.000 --> 00:01:38.000]  第一次也被人告發了我
[00:01:38.000 --> 00:01:39.000]  東窗事發
[00:01:39.000 --> 00:01:40.000]  同學就跟老師說
[00:01:40.000 --> 00:01:42.000]  老師就說要見家長
[00:01:42.000 --> 00:01:44.000]  當然我爸爸知道之後
[00:01:44.000 --> 00:01:47.000]  他非常非常生氣
[00:01:47.000 --> 00:01:50.000]  他當時用了一個故事來教訓我
[00:01:50.000 --> 00:01:53.000]  他用了狼來了的故事來教訓我
[00:01:53.000 --> 00:01:54.000]  我記得他說過這句話
[00:01:54.000 --> 00:01:56.000]  他說只要你偷過一次東西
[00:01:56.000 --> 00:01:58.000]  人們一輩子都會當你是賊
[00:01:58.000 --> 00:01:59.000]  你講過一次謊話的話
[00:01:59.000 --> 00:02:02.000]  這輩子都不會有人再信你
[00:02:02.000 --> 00:02:05.000]  一句非常中肯
[00:02:05.000 --> 00:02:07.000]  教小朋友這樣很正常
[00:02:07.000 --> 00:02:10.000]  這句話本身是沒什麼問題
[00:02:10.000 --> 00:02:11.000]  但耶穌告訴我們
[00:02:11.000 --> 00:02:14.000]  在這個世界裡有一個真正的盜賊
[00:02:14.000 --> 00:02:18.000]  他會偷竊、殺害和毀壞
[00:02:18.000 --> 00:02:20.000]  他其中用的一個技倆
[00:02:20.000 --> 00:02:21.000]  就是會在人的心裡
[00:02:21.000 --> 00:02:24.000]  他當年就在我的心裡
[00:02:24.000 --> 00:02:27.000]  去殺害了一個謊話的種子在我裡面
[00:02:27.000 --> 00:02:33.000]  他將我爸爸講的這句話扭曲成這樣
[00:02:33.000 --> 00:02:37.000]  他說Charman 你一輩子都是賊
