
[00:00:00.000 --> 00:00:02.000]   Merry Christmas, everyone.
[00:00:02.000 --> 00:00:04.000]   Alright, alright.
[00:00:04.000 --> 00:00:06.000]   You didn't have to. That's so nice.
[00:00:06.000 --> 00:00:11.000]   So, a week before Christmas in 2014,
[00:00:11.000 --> 00:00:15.000]   a friend of mine who works for Nike reached out to me and she said,
[00:00:15.000 --> 00:00:17.000]   "We're having an event, a special lunch event,
[00:00:17.000 --> 00:00:21.000]   to say thank you to all our clients, our customers,
[00:00:21.000 --> 00:00:23.000]   our friends of the brand."
[00:00:23.000 --> 00:00:25.000]   She said, "I'd love you to come to the lunch."
[00:00:25.000 --> 00:00:27.000]   And I said to her, "Look," you know,
[00:00:27.000 --> 00:00:31.000]   "my thinking was, look, Christmas is a busy time for us pastors.
[00:00:31.000 --> 00:00:34.000]   I don't always can fit in lots of social stuff around Christmas.
[00:00:34.000 --> 00:00:38.000]   This lunch was really not something that really was a priority for me."
[00:00:38.000 --> 00:00:41.000]   So I reached back out to her and I said, "Look, I thank you so much for your invite.
[00:00:41.000 --> 00:00:44.000]   I'm not really sure if this is going to work for me."
[00:00:44.000 --> 00:00:47.000]   And she's like, "Andrew," she's like,
[00:00:47.000 --> 00:00:52.000]   "there's a very, very famous person coming to this lunch."
[00:00:52.000 --> 00:00:56.000]   She says, "This person is so famous
[00:00:56.000 --> 00:01:03.000]   and I will arrange it that you will get to personally meet with this famous person."
[00:01:03.000 --> 00:01:05.000]   I was like, "Who is this famous person?"
[00:01:05.000 --> 00:01:09.000]   She's like, "I'm not going to tell you who the famous person is.
[00:01:09.000 --> 00:01:12.000]   All you need to know is that they're very, very famous
[00:01:12.000 --> 00:01:15.000]   and you will want to meet them."
[00:01:15.000 --> 00:01:18.000]   This is like a marketing technique of Nike, okay?
[00:01:18.000 --> 00:01:21.000]   This is how they get people to their lunches, right?
[00:01:21.000 --> 00:01:24.000]   So I was intrigued. It worked, right?
[00:01:24.000 --> 00:01:28.000]   I was intrigued. I'm like, "This priority has now gone up in my priority list."
[00:01:28.000 --> 00:01:33.000]   So I signed up for the event and a week or so later, I went along to the event.
[00:01:33.000 --> 00:01:36.000]   I got there early and it was one of those really fancy events
[00:01:36.000 --> 00:01:40.000]   where there's lots of tables and you're assigned a specific table.
[00:01:40.000 --> 00:01:43.000]   When you get to your table, there's a little name tag for you on the table.
[00:01:43.000 --> 00:01:47.000]   So I got to my table, I walked around, I found my name tag
[00:01:47.000 --> 00:01:52.000]   and I looked at the name tag next to me and I could not believe what I saw.
[00:01:52.000 --> 00:01:57.000]   The name tag next to me read "David Beckham."
[00:01:57.000 --> 00:02:00.000]   David Beckham, people!
[00:02:00.000 --> 00:02:05.000]   David Beckham is going to be sitting next to me for an--
[00:02:05.000 --> 00:02:11.000]   He's so lucky. Can you imagine how lucky David Beckham is?
[00:02:11.000 --> 00:02:15.000]   To sit next to me? Wow!
[00:02:15.000 --> 00:02:18.000]   What a day for Beckham.
[00:02:18.000 --> 00:02:21.000]   But I couldn't believe that David Beckham was going to sit next to me.
[00:02:21.000 --> 00:02:24.000]   My heart rate started to go up. My heart rate was pounding.
[00:02:24.000 --> 00:02:27.000]   I was like, "What am I going to talk to David Beckham about?"
[00:02:27.000 --> 00:02:31.000]   And I thought about all my sporting hero moments of my life.
[00:02:31.000 --> 00:02:33.000]   Very short list.
[00:02:33.000 --> 00:02:36.000]   But I did actually play international football.
[00:02:36.000 --> 00:02:40.000]   I actually played international football for Hong Kong and I scored a goal.
[00:02:40.000 --> 00:02:45.000]   I'm like, "I'm going to tell David Beckham about my international football experience."
[00:02:45.000 --> 00:02:48.000]   And then I realized that's the dumbest thing to ever say
[00:02:48.000 --> 00:02:52.000]   because he's just going to come back with, "Well, the time that I played in the World Cup."
[00:02:52.000 --> 00:02:55.000]   So I was super nervous.
[00:02:55.000 --> 00:02:58.000]   I was like, "I'm not sure what I'm going to say to this guy,
