
[00:00:00.000 --> 00:00:02.000]   Everybody says, amen.
[00:00:02.000 --> 00:00:06.000]   Hey, can we thank our worship team as always?
[00:00:06.000 --> 00:00:08.000]   Amazing, amazing.
[00:00:08.000 --> 00:00:10.000]   Have a seat, have a seat.
[00:00:10.000 --> 00:00:11.000]   Come on in.
[00:00:11.000 --> 00:00:12.000]   There are some people standing.
[00:00:12.000 --> 00:00:14.000]   We do have a few seats.
[00:00:14.000 --> 00:00:16.000]   Here in the front, there's about three or four seats.
[00:00:16.000 --> 00:00:18.000]   So if anybody's standing, come, come, come.
[00:00:18.000 --> 00:00:20.000]   No one's looking at you, don't worry.
[00:00:20.000 --> 00:00:21.000]   Actually, everybody's looking at you.
[00:00:21.000 --> 00:00:23.000]   It's okay, just come.
[00:00:23.000 --> 00:00:24.000]   Come, come, come, come.
[00:00:24.000 --> 00:00:27.000]   I need about four people, three people, four people.
[00:00:27.000 --> 00:00:29.000]   Come grab a seat, please.
[00:00:29.000 --> 00:00:31.000]   My man, God is dope.
[00:00:31.000 --> 00:00:33.000]   Come with me, come here, come here.
[00:00:33.000 --> 00:00:36.000]   What's up, man?
[00:00:36.000 --> 00:00:37.000]   God is dope, baby.
[00:00:37.000 --> 00:00:38.000]   God is dope.
[00:00:38.000 --> 00:00:39.000]   There we go.
[00:00:39.000 --> 00:00:41.000]   All right, all right, cool.
[00:00:41.000 --> 00:00:42.000]   My seat is also available.
[00:00:42.000 --> 00:00:44.000]   Anybody else need a seat?
[00:00:44.000 --> 00:00:45.000]   Lovely lady here.
[00:00:45.000 --> 00:00:46.000]   Hi, how are you?
[00:00:46.000 --> 00:00:48.000]   Come on in.
[00:00:48.000 --> 00:00:50.000]   This is the anointed seat.
[00:00:50.000 --> 00:00:52.000]   It's because you're next to Jess.
[00:00:52.000 --> 00:00:53.000]   There you go, have a seat.
[00:00:53.000 --> 00:00:54.000]   All right, welcome to the Vine.
[00:00:54.000 --> 00:00:55.000]   My name's Andrew.
[00:00:55.000 --> 00:00:57.000]   If you're new here, we're so glad you're here.
[00:00:57.000 --> 00:01:03.000]   I want to address the elephant on my face, which is the massive lip that I currently have,
[00:01:03.000 --> 00:01:05.000]   and the big blister on my lip.
[00:01:05.000 --> 00:01:09.000]   I thought if I don't address this at the start, you'll all wonder what happened to me.
[00:01:09.000 --> 00:01:11.000]   So let me tell you the story.
[00:01:11.000 --> 00:01:13.000]   I've just come back from New Zealand.
[00:01:13.000 --> 00:01:15.000]   I just had a short holiday in New Zealand.
[00:01:15.000 --> 00:01:18.000]   And whilst I was in New Zealand, I went swimming with dolphins.
[00:01:18.000 --> 00:01:21.000]   And swimming with dolphins is amazing.
[00:01:21.000 --> 00:01:22.000]   And I'm out there in the ocean.
[00:01:22.000 --> 00:01:24.000]   I'm swimming with these incredible dolphins.
[00:01:24.000 --> 00:01:26.000]   They're baby dolphins with us.
[00:01:26.000 --> 00:01:29.000]   And the baby dolphins are super cute.
[00:01:29.000 --> 00:01:34.000]   And then a stingray comes out of nowhere and starts to attack the baby dolphins.
[00:01:34.000 --> 00:01:40.000]   And I was the nearest, and I thought, "I'm going to put myself between the baby dolphins and the stingray."
[00:01:40.000 --> 00:01:44.000]   So I swam and put myself between the baby dolphins and the stingray.
[00:01:44.000 --> 00:01:45.000]   The stingray didn't like that.
[00:01:45.000 --> 00:01:47.000]   It stung me in the lip.
[00:01:47.000 --> 00:01:49.000]   And if that story was true, that would be really cool.
[00:01:49.000 --> 00:01:51.000]   But...
[00:01:51.000 --> 00:01:55.000]   That's not what happened.
[00:01:55.000 --> 00:01:57.000]   Thank you. Thank you.
[00:01:57.000 --> 00:02:01.000]   I actually just got sunburned.
[00:02:01.000 --> 00:02:06.000]   And I got so badly sunburned on my lip that it swelled up.
[00:02:06.000 --> 00:02:09.000]   And the way it looks right now actually is kind of a lot better.
[00:02:09.000 --> 00:02:11.000]   It really swelled up.
[00:02:11.000 --> 00:02:13.000]   And I got this blister, and it got infected.
[00:02:13.000 --> 00:02:15.000]   And I had to go to the hospital last night.
[00:02:15.000 --> 00:02:18.000]   I landed last night, went straight to the hospital.
[00:02:18.000 --> 00:02:24.000]   Anyway, all that to say, here at The Vine, we say, "Come as you are."
[00:02:25.000 --> 00:02:31.000]   And so I did think about putting on a mask today, but I'm coming as I am.
[00:02:31.000 --> 00:02:34.000]   All the good, bad, and ugly of me in this moment.
[00:02:34.000 --> 00:02:37.000]   Don't worry. If you're in the front row, it's not contagious.
[00:02:37.000 --> 00:02:41.000]   Okay? You guys are all good.
[00:02:41.000 --> 00:02:44.000]   One thing that is... I would appreciate prayer.
[00:02:44.000 --> 00:02:47.000]   It's actually very painful, as you can probably imagine.
[00:02:47.000 --> 00:02:50.000]   And so it actually hurts to talk.
[00:02:50.000 --> 00:02:55.000]   And I was praying yesterday, and I was like, "God, I'm sharing a word for the church at the start of the year."
[00:02:55.000 --> 00:02:59.000]   And it's actually painful to talk.
[00:02:59.000 --> 00:03:05.000]   But I want to do this because what we want to share today with you guys
[00:03:05.000 --> 00:03:12.000]   is something that our eldership, our pastoral team, our staff have discerned, we've prayed into.
[00:03:12.000 --> 00:03:19.000]   And I want to share something that is a correction to us as a church
[00:03:19.000 --> 00:03:22.000]   as well as an invitation to us.
[00:03:22.000 --> 00:03:28.000]   And you know when God speaks, and He brings a correcting word,
[00:03:28.000 --> 00:03:34.000]   it's important that a church community like ours, or like any church community, listens to what God says.
[00:03:34.000 --> 00:03:37.000]   But it's also important that we don't just hear it privately as a leadership.
[00:03:37.000 --> 00:03:41.000]   We want to make sure that that's publicly aware and publicly understood.
[00:03:41.000 --> 00:03:44.000]   But I also want to share it for this reason.
[00:03:44.000 --> 00:03:49.000]   I believe what we're talking about today is actually fundamentally
[00:03:49.000 --> 00:03:53.000]   what God wants to do and shape in your life in the year ahead.
[00:03:53.000 --> 00:03:57.000]   You might have come into the Vine today, 1st Sunday of 2024,
[00:03:57.000 --> 00:04:00.000]   praying, wondering what is it that God wants to do in your life?
[00:04:00.000 --> 00:04:02.000]   How is it that God wants to speak to you today?
[00:04:02.000 --> 00:04:07.000]   And if the Vine is your community of faith, if this is where you regularly worship,
[00:04:07.000 --> 00:04:11.000]   then I want to put it to you that what we're going to talk about today and over the next five weeks,
[00:04:11.000 --> 00:04:16.000]   and actually what we're going to talk about today, we're going to be talking about the whole year, all of 2024,
[00:04:16.000 --> 00:04:20.000]   is actually not just a word for us as a corporate church,
[00:04:20.000 --> 00:04:24.000]   it's also a word for you personally, individually.
[00:04:24.000 --> 00:04:27.000]   And I feel like God's got a few things He wants to say.
[00:04:27.000 --> 00:04:31.000]   So I wonder whether we could pray as we come into this time together.
[00:04:31.000 --> 00:04:35.000]   Father, what a joy it is to gather on a day like today,
[00:04:35.000 --> 00:04:41.000]   and to be a community together, and to come under the ministry of your word,
[00:04:41.000 --> 00:04:46.000]   not my words, not any pastor or leader's words, but under your word.
[00:04:46.000 --> 00:04:49.000]   Lord, I want to pray that your word would speak today.
[00:04:49.000 --> 00:04:53.000]   Father, I thank you that every single person in this room you love,
[00:04:53.000 --> 00:04:56.000]   you find is the joy of your heart.
[00:04:56.000 --> 00:04:59.000]   And Lord, you have something you want to say.
[00:04:59.000 --> 00:05:01.000]   And Lord, I pray that whatever words that I'm going to say,
[00:05:01.000 --> 00:05:07.000]   and not of you would fall away from their ears, your words would stick and remain true.
[00:05:07.000 --> 00:05:11.000]   And Lord, we open our hearts to your voice.
[00:05:11.000 --> 00:05:16.000]   And I just want to pray, maybe you could just take a moment, just five seconds, to pray in your own heart.
[00:05:16.000 --> 00:05:18.000]   Lord, I'm open to what you want to say to me this year.
[00:05:18.000 --> 00:05:22.000]   Maybe just make that a prayer right now, just in the quietness of your heart.
