
[00:00:00.000 --> 00:00:02.600]   Good morning, everybody.
[00:00:02.600 --> 00:00:03.600]   Good morning.
[00:00:03.600 --> 00:00:04.960]   Happy New Year.
[00:00:04.960 --> 00:00:06.720]   Here we are at the start of a new year.
[00:00:06.720 --> 00:00:07.720]   Thank you, Carla.
[00:00:07.720 --> 00:00:08.720]   Beautiful.
[00:00:08.720 --> 00:00:09.720]   All right.
[00:00:09.720 --> 00:00:12.920]   It's good to be back.
[00:00:12.920 --> 00:00:18.040]   My family and I, we've been away on sabbatical for a little while, and so it wasn't very
[00:00:18.040 --> 00:00:22.640]   restful when you're traveling with two little kids, but we had a lot of fun family time
[00:00:22.640 --> 00:00:23.640]   together.
[00:00:23.640 --> 00:00:27.440]   But I'm so glad to be back with everybody and getting into the swing of things, Christmas,
[00:00:27.440 --> 00:00:31.360]   and of course, looking towards 2024.
[00:00:31.360 --> 00:00:34.960]   We're going to be in Philippians chapter three today, so if you want to follow on the screen,
[00:00:34.960 --> 00:00:38.520]   it's going to come up on there, or if you have a Bible or a device that you can read
[00:00:38.520 --> 00:00:43.920]   from, I'm going to invite you to listen as I read Philippians chapter three, starting
[00:00:43.920 --> 00:00:46.480]   in verse seven.
[00:00:46.480 --> 00:00:51.760]   Word of the Lord says this, "But whatever were gains to me, I now consider loss for
[00:00:51.760 --> 00:00:53.920]   the sake of Christ.
[00:00:53.920 --> 00:00:58.360]   What is more, I consider everything a loss because of the surpassing worth of knowing
[00:00:58.360 --> 00:01:03.440]   Christ Jesus my Lord, for whose sake I have lost all things.
[00:01:03.440 --> 00:01:09.720]   I consider them garbage that I may gain Christ and be found in him, not having a righteousness
[00:01:09.720 --> 00:01:15.480]   of my own that comes from the law, but that which is through faith in Christ, the righteousness
[00:01:15.480 --> 00:01:19.040]   that comes from God on the basis of faith.
[00:01:19.040 --> 00:01:24.840]   I want to know Christ, yes, to know the power of his resurrection and participation in his
[00:01:24.840 --> 00:01:30.600]   sufferings, becoming like him in his death, and so somehow attaining to the resurrection
[00:01:30.600 --> 00:01:32.760]   from the dead.
[00:01:32.760 --> 00:01:37.240]   Not that I have already attained all of this, or already have arrived at my goal, but I
[00:01:37.240 --> 00:01:43.520]   press on to take hold of that which Christ Jesus took hold of me.
[00:01:43.520 --> 00:01:49.160]   Brothers and sisters, I do not consider myself yet to have taken a hold of it, but one thing
[00:01:49.160 --> 00:01:56.360]   I do, forgetting what is behind, straining toward what is ahead, I press on toward the
[00:01:56.360 --> 00:02:04.080]   goal to win the prize for which God has called me heavenward in Christ Jesus."
[00:02:04.080 --> 00:02:07.960]   So here we are, church, on the cusp of a new year.
[00:02:07.960 --> 00:02:12.200]   Goodbye 2023, hello 2024.
[00:02:12.200 --> 00:02:16.040]   For some of us, New Year's Eve is very exciting.
[00:02:16.040 --> 00:02:19.880]   Let me tell you how it's going to go down at my house tonight.
[00:02:19.880 --> 00:02:24.080]   After services today, I'm going to call Dobro's, I'm going to walk over to that little shop
[00:02:24.080 --> 00:02:29.360]   in Wan Chai, pick up my pizzas, we're going to go home and have pizza for dinner because
[00:02:29.360 --> 00:02:35.240]   it's super easy, put the kids to bed, I'm going to open a bottle of wine and then doom
[00:02:35.240 --> 00:02:39.440]   scroll Instagram for a little bit until I get a bit tired, then I'm going to put on
[00:02:39.440 --> 00:02:45.680]   a movie, I'll fall asleep on the sofa inevitably, wake up at 1am or the baby will wake me up,
[00:02:45.680 --> 00:02:49.200]   take a look at my watch, oh it's 2024 and go back to sleep.
[00:02:49.200 --> 00:02:53.780]   I know how to party, that's how it's going to go down at my house.
[00:02:53.780 --> 00:02:58.960]   But for you, for you out there, maybe you have champagne in the fridge right now, I
[00:02:58.960 --> 00:03:01.360]   know Hudson does, definitely.
[00:03:01.360 --> 00:03:05.080]   Fancy dress party to attend later.
[00:03:05.080 --> 00:03:09.000]   Perhaps some of you in this room or watching online, you're planning to ask the big question
[00:03:09.000 --> 00:03:10.240]   tonight, okay?
[00:03:10.240 --> 00:03:13.520]   Some of you today are going to be ringing in 2024, okay?
[00:03:13.520 --> 00:03:17.240]   And it's all going to be good, it's going to be a celebration.
[00:03:17.240 --> 00:03:19.800]   Maybe that's you tonight, I don't know.
[00:03:19.800 --> 00:03:24.600]   For some of us, 2023 has been a great year.
[00:03:24.600 --> 00:03:29.440]   You've hit your goals, you've landed that dream job, you've met the person that you've
[00:03:29.440 --> 00:03:31.880]   been wanting to meet.
[00:03:31.880 --> 00:03:35.320]   And as you look ahead, it's looking good.
[00:03:35.320 --> 00:03:38.040]   There is so much to look forward to.
[00:03:38.040 --> 00:03:44.400]   So tonight, as Prince tells us to do, we're going to party like it's 1999.
[00:03:44.400 --> 00:03:50.440]   However, dates like New Year's Eve are difficult for some of us.
[00:03:50.440 --> 00:03:56.160]   Because instead of looking forward to celebration and the excitement that's to come, tonight
[00:03:56.160 --> 00:04:00.380]   you're going to be reminded of how tough the past year has been.
[00:04:00.380 --> 00:04:04.820]   And as you look ahead, the forecast is just more disappointment.
[00:04:04.820 --> 00:04:10.800]   And 2023 hasn't been kind, and it's hard to see how things are going to change.
[00:04:10.800 --> 00:04:16.640]   And so Christmas Eve, New Year's Eve, dates like this, it's just a painful reminder of
[00:04:16.640 --> 00:04:20.920]   pain and sadness.
[00:04:20.920 --> 00:04:25.640]   So as we look towards 2024, I'm not here to tell you today it's just going to be a best
[00:04:25.640 --> 00:04:26.640]   year ever, okay?
[00:04:26.640 --> 00:04:31.420]   I'm not going to say that because I have no idea, we have no idea how this year is going
[00:04:31.420 --> 00:04:32.420]   to turn out.
[00:04:32.420 --> 00:04:35.080]   Like I said, for some it's going to be awesome.
[00:04:35.080 --> 00:04:38.960]   All your hopes and dreams and prayers are going to come through.
[00:04:38.960 --> 00:04:41.760]   But for some it's going to be a storm.
[00:04:41.760 --> 00:04:45.920]   And I don't know if things are going to get better.
[00:04:45.920 --> 00:04:51.040]   But wherever we are in this journey, my hope for today, as we end this year, is going to
[00:04:51.040 --> 00:04:55.020]   be an encouragement and a challenge for everybody.
[00:04:55.020 --> 00:04:59.740]   And yes, I understand we don't have to wait till New Year's Eve to do something like this,
[00:04:59.740 --> 00:05:01.060]   but today is Sunday.
[00:05:01.060 --> 00:05:02.060]   We are gathered.
[00:05:02.060 --> 00:05:05.340]   It does happen to be New Year's Eve.
[00:05:05.340 --> 00:05:10.540]   So we have an opportunity to hear from the Lord about the things that have passed and
[00:05:10.540 --> 00:05:13.500]   the things that are yet to come.
[00:05:13.500 --> 00:05:18.060]   And what I do know is this, what I do know is no matter what life looks like for you
[00:05:18.060 --> 00:05:24.020]   right now, in this moment, in this season, there is an attitude, there's a frame of mind
[00:05:24.020 --> 00:05:31.420]   and a faith that Jesus wants us to step into as we look towards 2024.
[00:05:31.420 --> 00:05:36.020]   A foundation for us to build the next 365 days on.
[00:05:36.020 --> 00:05:40.580]   Some framework for you to think about as we step into the fast.
[00:05:40.580 --> 00:05:44.740]   And so whether or not 2024 brings you to the top of the mountains where you're celebrating
[00:05:44.740 --> 00:05:51.780]   or leaves you struggling in the valleys, we can be sure about our goals and our purposes
[00:05:51.780 --> 00:05:53.660]   for this year.
[00:05:53.660 --> 00:05:55.740]   So let's go back to the passage we're looking at today.
[00:05:55.740 --> 00:05:58.540]   Let's see what it has to say.
[00:05:58.540 --> 00:06:04.500]   Verse 7, "Wherever were gains to me, I now consider loss for the sake of Christ.
[00:06:04.500 --> 00:06:08.980]   What is more, I consider everything a loss because of the surpassing worth of knowing
[00:06:08.980 --> 00:06:13.460]   Christ Jesus my Lord, for whose sake I have lost all things.
[00:06:13.460 --> 00:06:19.380]   I consider them garbage that I may gain Christ and be found in Him, not having a righteousness
[00:06:19.380 --> 00:06:25.100]   of my own that comes from the law, but that which is through faith in Christ, the righteousness
[00:06:25.100 --> 00:06:30.220]   that comes from God on the basis of faith."
[00:06:30.220 --> 00:06:31.220]   So let me ask you this.
[00:06:31.220 --> 00:06:36.700]   If someone were to ask you, "How do you measure how successful your year has been?"
[00:06:36.700 --> 00:06:37.700]   What would you say?
[00:06:37.700 --> 00:06:40.140]   I'm preaching for this iPad and it messes up on me.
[00:06:40.140 --> 00:06:41.140]   Hang on a second.
[00:06:41.140 --> 00:06:42.140]   Normally I use paper.
[00:06:42.140 --> 00:06:44.140]   New year, new me.
[00:06:44.140 --> 00:06:45.940]   It's not working out so far.
[00:06:45.940 --> 00:06:46.940]   Hang on.
[00:06:46.940 --> 00:06:47.940]   Okay, here we go.
[00:06:47.940 --> 00:06:48.940]   Okay.
[00:06:48.940 --> 00:06:49.940]   What would you say?
[00:06:49.940 --> 00:06:54.380]   How would you measure how successful your year has been?
[00:06:54.380 --> 00:06:55.380]   What would be your answer?
[00:06:55.380 --> 00:06:59.820]   Well, if you're a fan of musical theater, you might say this.
[00:06:59.820 --> 00:07:07.020]   In daylights, in sunsets, in midnights, in cups of coffee, in inches, in miles, in laughter,
[00:07:07.020 --> 00:07:14.340]   and in strife, 525,000.
[00:07:14.340 --> 00:07:20.540]   Many times when we look at life, we measure it by achievements, things we have done.
[00:07:20.540 --> 00:07:25.460]   So as you look back towards 2023 and how successful it was, you might start by asking yourself
[00:07:25.460 --> 00:07:30.500]   the question, "Did I achieve all the things I set out to achieve?
[00:07:30.500 --> 00:07:32.660]   Did I hit all my goals?"
[00:07:32.660 --> 00:07:33.660]   Right?
[00:07:33.660 --> 00:07:36.740]   The internet, social media is going to be full of memes about this.
[00:07:36.740 --> 00:07:40.340]   You know the ones that say, right, "How it started, how it's going," right?
[00:07:40.340 --> 00:07:45.580]   And so as the year comes to an end, okay, not great for these guys, okay?
[00:07:45.580 --> 00:07:51.620]   You promise.
[00:07:51.620 --> 00:07:55.780]   As the year comes to an end, you might have been on this process yourself, seeing how
[00:07:55.780 --> 00:07:59.020]   well you've hit your 2023 goals.
[00:07:59.020 --> 00:08:01.300]   Now goals can be a good thing.
[00:08:01.300 --> 00:08:06.380]   In fact, here at the Vine, as a church, as a ministry, we have a process for setting
[00:08:06.380 --> 00:08:10.620]   goals for ourselves personally and professionally, right?
[00:08:10.620 --> 00:08:15.340]   We do this as a way to keep focus on the things that are important.
[00:08:15.340 --> 00:08:19.540]   It gives us a way to measure whether or not we're heading in the right direction, keeps
[00:08:19.540 --> 00:08:23.340]   us accountable to the things that we said we were going to do at the beginning of the
[00:08:23.340 --> 00:08:24.900]   year.
[00:08:24.900 --> 00:08:28.020]   And when we hit those goals, it's awesome, right?
[00:08:28.020 --> 00:08:34.120]   Setting that new personal best for a fitness goal and finally reaching that, that's great.
[00:08:34.120 --> 00:08:39.300]   Buying the dream car, getting that promotion, paying off that debt, whatever it is, when
[00:08:39.300 --> 00:08:43.660]   we reach our goals, there's an undeniable sense of achievement.
[00:08:43.660 --> 00:08:45.860]   It feels good.
[00:08:45.860 --> 00:08:50.740]   And so now as you look towards 2024, you might have already made a list of goals, resolutions
[00:08:50.740 --> 00:08:52.340]   to start the new year with.
[00:08:52.340 --> 00:08:56.980]   We make these declarations of the things we want to achieve at the beginning of a new
[00:08:56.980 --> 00:08:59.180]   year.
[00:08:59.180 --> 00:09:01.460]   And like I said, it can be a good thing.
[00:09:01.460 --> 00:09:05.700]   In fact, for some of us in this room and some of us watching online, you'd be doing yourself
[00:09:05.700 --> 00:09:11.740]   a great favor by setting some real goals this year so that the next 365 days don't just
[00:09:11.740 --> 00:09:15.180]   go aimlessly sailing by.
[00:09:15.180 --> 00:09:20.540]   At the same time though, if we make reaching these earthly goals the only thing, if hitting
[00:09:20.540 --> 00:09:25.620]   goals is a standard that we focus on, I don't think that's very healthy either.
[00:09:25.620 --> 00:09:29.980]   And I don't think that's the way Jesus calls us to live our lives.
[00:09:29.980 --> 00:09:36.020]   And by the way, statistics show us that only 9% of people who make resolutions manage to
[00:09:36.020 --> 00:09:40.980]   see them through till the end of the year, which means that for most of us this year,
[00:09:40.980 --> 00:09:44.820]   we've already failed before it started.
[00:09:44.820 --> 00:09:49.620]   Which is why when Paul says, "But whatever were gains to me, I now consider loss for
[00:09:49.620 --> 00:09:53.940]   the sake of Christ," it's absolutely ridiculous.
[00:09:53.940 --> 00:09:57.540]   Because this was a man who had hit all his goals.
[00:09:57.540 --> 00:10:02.980]   This was a man who achieved everything you could imagine to achieve and then some more.
[00:10:02.980 --> 00:10:06.800]   Listen to how he describes himself in Philippians chapter three a bit earlier, just the verses
[00:10:06.800 --> 00:10:08.300]   before this, 4 to 6.
[00:10:08.300 --> 00:10:13.780]   "If someone else thinks they have reason to put confidence in the flesh, I have more.
[00:10:13.780 --> 00:10:18.500]   Circumcised on the eighth day of the people of Israel, of the tribe of Benjamin, a Hebrew
