
[00:00:00.000 --> 00:00:03.000]   In Jesus' name, amen.
[00:00:03.000 --> 00:00:06.000]   Thank you, worship team.
[00:00:06.000 --> 00:00:07.000]   Thank you, everyone.
[00:00:07.000 --> 00:00:10.860]   Say hello to somebody as you sit down.
[00:00:10.860 --> 00:00:16.160]   Well, we are really excited that we continue to be
[00:00:16.160 --> 00:00:20.800]   in our Exodus series, which has been just such an amazing
[00:00:20.800 --> 00:00:23.160]   journey for us as a church.
[00:00:23.160 --> 00:00:25.920]   And today we get the privilege of having
[00:00:25.920 --> 00:00:29.760]   our two founding pastors share our message today.
[00:00:29.760 --> 00:00:31.480]   So would you give a very warm welcome
[00:00:31.480 --> 00:00:35.880]   as I introduce firstly, John Snellgrove, Pastor John.
[00:00:35.880 --> 00:00:39.560]   It's so good to have you here.
[00:00:39.560 --> 00:00:40.400]   It's so good.
[00:00:40.400 --> 00:00:42.520]   And Sandra was here earlier as well.
[00:00:42.520 --> 00:00:45.080]   It's such a great honor to have you stand
[00:00:45.080 --> 00:00:46.000]   and share a message.
[00:00:46.000 --> 00:00:48.120]   And I know that there's a new season going for you
[00:00:48.120 --> 00:00:51.200]   and Sandra as well, Priscilla and Aquila,
[00:00:51.200 --> 00:00:53.240]   I believe it's called.
[00:00:53.240 --> 00:00:57.040]   And this really is an opportunity for John and Sandra
[00:00:57.040 --> 00:01:01.840]   to empower the global church, encourage the global church
[00:01:01.840 --> 00:01:04.320]   in their continuous faith journey
[00:01:04.320 --> 00:01:08.020]   and to really equip the younger generation,
[00:01:08.020 --> 00:01:09.120]   which is really exciting.
[00:01:09.120 --> 00:01:10.240]   And if you wanna find out more,
[00:01:10.240 --> 00:01:14.320]   then the details are showing up on the screen.
[00:01:14.320 --> 00:01:16.480]   Do contact John and Sandra.
[00:01:16.480 --> 00:01:19.120]   I'm sure that they would love to tell you more about it.
[00:01:19.120 --> 00:01:22.600]   So let us pray for John and Tony.
