
[00:00:00.000 --> 00:00:06.680]   Everybody says, "Amen, Amen."
[00:00:06.680 --> 00:00:08.680]   Have a seat, have a seat.
[00:00:08.680 --> 00:00:09.680]   Welcome to the Vine.
[00:00:09.680 --> 00:00:12.760]   If you're relatively new with us, my name is Andrew.
[00:00:12.760 --> 00:00:17.080]   I'm one of the pastors here and it's so great to have you here.
[00:00:17.080 --> 00:00:21.480]   I was just sensing as you were worshiping as well, I wonder if anybody's just arrived
[00:00:21.480 --> 00:00:23.160]   in Hong Kong.
[00:00:23.160 --> 00:00:25.360]   Maybe you're new to the city.
[00:00:25.360 --> 00:00:29.960]   Maybe you've come in in the last week or two or month and you're settling into Hong Kong.
[00:00:29.960 --> 00:00:30.960]   It's totally new for you.
[00:00:30.960 --> 00:00:32.920]   Maybe you have your family, maybe you're on your own.
[00:00:32.920 --> 00:00:37.160]   Maybe works brought you here or for some reason you're in the city.
[00:00:37.160 --> 00:00:39.280]   If that's you, would you just put your hand up?
[00:00:39.280 --> 00:00:40.280]   You're new to Hong Kong.
[00:00:40.280 --> 00:00:41.280]   Welcome, welcome, welcome, welcome, welcome.
[00:00:41.280 --> 00:00:45.320]   In the upper house, put your hand up if you're new.
[00:00:45.320 --> 00:00:47.320]   All right, awesome.
[00:00:47.320 --> 00:00:48.320]   Here's what I want to do.
[00:00:48.320 --> 00:00:49.320]   I want to just take a moment.
[00:00:49.320 --> 00:00:54.840]   If you're new to Hong Kong, I just want to say this.
[00:00:54.840 --> 00:00:57.640]   There's amazing great churches in our city, lots of great churches in our city.
[00:00:57.640 --> 00:01:02.240]   And even if you're new, we encourage you to get out there and experience and to get, you
[00:01:02.240 --> 00:01:04.560]   know, to see some of the churches in our city.
[00:01:04.560 --> 00:01:07.680]   But every single church in here in Hong Kong would say the same thing.
[00:01:07.680 --> 00:01:12.360]   You are not in Hong Kong by mistake.
[00:01:12.360 --> 00:01:15.740]   I'm biased because I've lived here for 40 years.
[00:01:15.740 --> 00:01:20.320]   But God is doing something in this city, I think that is unprecedented.
[00:01:20.320 --> 00:01:24.300]   And you're a Christian, you're a believer, and you've been brought to this city.
[00:01:24.300 --> 00:01:27.640]   And I believe the Lord is about to light a fire in you.
[00:01:27.640 --> 00:01:31.160]   I believe that you came here for work, and work is awesome, and there's lots going on
[00:01:31.160 --> 00:01:32.640]   in your work, and that's great.
[00:01:32.640 --> 00:01:35.400]   But I believe that you're in this city for something far greater than what you're doing
