
[00:00:00.000 --> 00:00:01.000]   Thank you, Benedict.
[00:00:01.000 --> 00:00:03.000]   Why don't we put our hands together for Benedict?
[00:00:03.000 --> 00:00:06.000]   (audience applauds)
[00:00:06.000 --> 00:00:11.000]   Just want to say up front, just want to say thank you.
[00:00:11.000 --> 00:00:13.000]   Thank you for your love and support.
[00:00:13.000 --> 00:00:16.000]   I could feel that while I was sitting there.
[00:00:16.000 --> 00:00:18.000]   Please continue to pray for us,
[00:00:18.000 --> 00:00:20.000]   for this project, for our church,
[00:00:20.000 --> 00:00:23.000]   as we are learning to serve and minister
[00:00:23.000 --> 00:00:26.000]   to the younger generation in this city.
[00:00:26.000 --> 00:00:29.000]   What a coincidence that in the last couple of weeks,
[00:00:29.000 --> 00:00:31.000]   our sermon series was centered on
[00:00:31.000 --> 00:00:33.000]   a particular person in the Bible.
[00:00:33.000 --> 00:00:35.000]   And we're not just focusing on him.
[00:00:35.000 --> 00:00:39.000]   We're focusing on a very particular period of life in him.
[00:00:39.000 --> 00:00:42.000]   And that's 17 to right now,
[00:00:42.000 --> 00:00:45.000]   we're coming to about 30 years of his age.
[00:00:45.000 --> 00:00:47.000]   We've been looking at the young adult
[00:00:47.000 --> 00:00:50.000]   like timeline in his life, Joseph.
[00:00:50.000 --> 00:00:52.000]   And we're going to continue.
[00:00:52.000 --> 00:00:55.000]   When the Bible started describing him
[00:00:55.000 --> 00:00:59.000]   or when his narrative started, he was 17 years old
[00:00:59.000 --> 00:01:02.000]   in Genesis chapter 37.
[00:01:02.000 --> 00:01:07.000]   And now we're at chapter 41, and he's turning 30s.
[00:01:07.000 --> 00:01:09.000]   It's a little bit, you have to feedback.
[00:01:09.000 --> 00:01:10.000]   You have to lower the volume.
[00:01:10.000 --> 00:01:12.000]   Thank you.
[00:01:12.000 --> 00:01:14.000]   I don't dare to talk right now.
[00:01:14.000 --> 00:01:16.000]   Okay, okay, much better.
[00:01:16.000 --> 00:01:17.000]   Thank you.
[00:01:17.000 --> 00:01:20.000]   Can we put our hands together for Toby and the production team?
[00:01:20.000 --> 00:01:21.000]   Thank you so much.
[00:01:21.000 --> 00:01:23.000]   You guys are my hero.
[00:01:23.000 --> 00:01:25.000]   And so although this guy, Joseph,
[00:01:25.000 --> 00:01:29.000]   he lived like a long time ago in a galaxy far, far away,
[00:01:29.000 --> 00:01:33.000]   like not a galaxy, just another country far, far away
[00:01:33.000 --> 00:01:35.000]   in a very different culture.
[00:01:35.000 --> 00:01:39.000]   But we know that as we could see in the story,
[00:01:39.000 --> 00:01:42.000]   there are challenges, there are struggles in his life,
[00:01:42.000 --> 00:01:45.000]   just as like you and me in a young generation
[00:01:45.000 --> 00:01:46.000]   in this city right now,
[00:01:46.000 --> 00:01:49.000]   there are challenges and struggles in their life.
[00:01:49.000 --> 00:01:53.000]   And so often we could see these kind of brokenness
[00:01:53.000 --> 00:01:55.000]   or challenges or struggles.
[00:01:55.000 --> 00:01:57.000]   They start to become part of who we are.
[00:01:57.000 --> 00:02:00.000]   They start to shape our identity.
[00:02:00.000 --> 00:02:03.000]   For example, there are people in everywhere, basically.
[00:02:03.000 --> 00:02:05.000]   There are people who drink too much,
[00:02:05.000 --> 00:02:08.000]   and we call them alcoholic.
[00:02:08.000 --> 00:02:09.000]   We gave them a name,
[00:02:09.000 --> 00:02:13.000]   and that starts to become their identity.
[00:02:13.000 --> 00:02:16.000]   And people who maybe when they're in front of people,
[00:02:16.000 --> 00:02:19.000]   they're so insecure that they have to say something
[00:02:19.000 --> 00:02:21.000]   that is not true to protect themselves.
[00:02:21.000 --> 00:02:22.000]   They have to tell a lie,
[00:02:22.000 --> 00:02:25.000]   and we name these people liars.
[00:02:25.000 --> 00:02:26.000]   We name them.
[00:02:26.000 --> 00:02:28.000]   That becomes their identity.
[00:02:28.000 --> 00:02:32.000]   So sometimes the brokenness and our struggles in life,
[00:02:32.000 --> 00:02:36.000]   they do become part of who we are or part of our identity.
[00:02:36.000 --> 00:02:39.000]   When I was 18 years old,
[00:02:39.000 --> 00:02:42.000]   that's quite long ago now, okay.
[00:02:42.000 --> 00:02:44.000]   When I was 18 years old,
[00:02:44.000 --> 00:02:47.000]   I did my A-levels exam.
[00:02:47.000 --> 00:02:49.000]   I remember the last subject,
[00:02:49.000 --> 00:02:54.000]   the last exam I had to sit was the Chinese oral exams.
[00:02:54.000 --> 00:02:56.000]   Oh, I can see there are people
[00:02:56.000 --> 00:02:58.000]   who went through the same thing as me.
[00:02:58.000 --> 00:02:59.000]   Good for you.
[00:02:59.000 --> 00:03:01.000]   You don't have to review your age.
[00:03:01.000 --> 00:03:03.000]   So in the Chinese oral exams and the A-levels,
[00:03:03.000 --> 00:03:04.000]   there are two parts.
[00:03:04.000 --> 00:03:05.000]   The first part,
[00:03:05.000 --> 00:03:08.000]   I'll be given a particular topic on a slip of paper.
[00:03:08.000 --> 00:03:09.000]   I've got 10 minutes to prepare,
[00:03:09.000 --> 00:03:11.000]   and then I have to give a three-minute speech.
[00:03:11.000 --> 00:03:13.000]   Second part is a group discussion.
[00:03:13.000 --> 00:03:19.000]   And the topic I received that day was this on the screen.
[00:03:19.000 --> 00:03:22.000]   The best gift for my childhood self.
[00:03:22.000 --> 00:03:23.000]   That's my topic.
[00:03:23.000 --> 00:03:27.000]   So when my three-minute started,
[00:03:27.000 --> 00:03:30.000]   this is how I began that speech.
[00:03:30.000 --> 00:03:34.000]   If it were possible for me,
[00:03:34.000 --> 00:03:37.000]   the best gift that I could ever receive
[00:03:37.000 --> 00:03:42.000]   as a three-year-old kid or child would be my mother.
[00:03:42.000 --> 00:03:45.000]   I could tell immediately the entire room,
[00:03:45.000 --> 00:03:46.000]   all the audience,
[00:03:46.000 --> 00:03:47.000]   their eyes were on me.
[00:03:47.000 --> 00:03:49.000]   By the way, I mean, by audience,
[00:03:49.000 --> 00:03:51.000]   I mean there were like two examiners there,
[00:03:51.000 --> 00:03:52.000]   a male and a female.
[00:03:52.000 --> 00:03:54.000]   Both of them immediately looked at me.
[00:03:54.000 --> 00:03:59.000]   And I started sharing a little bit about myself.
[00:03:59.000 --> 00:04:01.000]   And thanks to my youth pastor,
[00:04:01.000 --> 00:04:03.000]   who had a counseling background,
[00:04:03.000 --> 00:04:05.000]   when we were teenagers,
[00:04:05.000 --> 00:04:07.000]   every week at a youth group,
[00:04:07.000 --> 00:04:09.000]   he would come and lead some sort of like
[00:04:09.000 --> 00:04:11.000]   self-reflective exercise.
[00:04:11.000 --> 00:04:12.000]   We talk about a life,
[00:04:12.000 --> 00:04:14.000]   like what are the ups and downs,
[00:04:14.000 --> 00:04:15.000]   and you have to draw a lifeline,
[00:04:15.000 --> 00:04:16.000]   that sort of things.
[00:04:16.000 --> 00:04:19.000]   So by the time when I turned 18,
[00:04:19.000 --> 00:04:21.000]   I was okay.
[00:04:21.000 --> 00:04:25.000]   I mean, I'm decently aware of who I am,
[00:04:25.000 --> 00:04:26.000]   what I've been through,
[00:04:26.000 --> 00:04:28.000]   and I'm decently like, okay,
[00:04:28.000 --> 00:04:30.000]   I know what's going on in my life right now.
[00:04:30.000 --> 00:04:31.000]   I know this and that happened,
[00:04:31.000 --> 00:04:33.000]   and so now I'm like this or that.
[00:04:33.000 --> 00:04:34.000]   So for three minutes,
[00:04:34.000 --> 00:04:38.000]   I started unpacking my entire 18-year life
[00:04:38.000 --> 00:04:40.000]   to these two examiners.
[00:04:40.000 --> 00:04:42.000]   I told them how I lost my mother to cancer
[00:04:42.000 --> 00:04:44.000]   at the age of three,
[00:04:44.000 --> 00:04:47.000]   and how that impacted my life in different parts,
[00:04:47.000 --> 00:04:50.000]   how there's been constantly a void,
[00:04:50.000 --> 00:04:52.000]   a loneliness inside of me.
[00:04:52.000 --> 00:04:54.000]   I've been always struggling with that,
[00:04:54.000 --> 00:04:58.000]   and how I always wish my mother would be there with me
[00:04:58.000 --> 00:05:01.000]   when I'm going through all the storms in life.
[00:05:01.000 --> 00:05:04.000]   And so I could see there's a countdown timer,
[00:05:04.000 --> 00:05:07.000]   and when it counts down to three, two, one,
[00:05:07.000 --> 00:05:10.000]   I wrap up my speech with that sentence again,
[00:05:10.000 --> 00:05:12.000]   if it were all possible.
[00:05:12.000 --> 00:05:14.000]   For the three-year-old kid,
[00:05:14.000 --> 00:05:17.000]   I would love to have my mom back.
[00:05:17.000 --> 00:05:19.000]   And I could tell when the clock stops
[00:05:19.000 --> 00:05:21.000]   or start like ringing,
[00:05:21.000 --> 00:05:23.000]   I could see there's a drop of tear
[00:05:23.000 --> 00:05:25.000]   in the female examiner's eyes,
[00:05:25.000 --> 00:05:28.000]   and I'm like, wow.
[00:05:28.000 --> 00:05:32.000]   That's the story I told people when I was 18 years old.
[00:05:32.000 --> 00:05:34.000]   But that was also the story I told my counselor
[00:05:34.000 --> 00:05:37.000]   when I was seated in her office on the chair
[00:05:37.000 --> 00:05:39.000]   a couple years down the road.
[00:05:39.000 --> 00:05:41.000]   If you were here for a while,
[00:05:41.000 --> 00:05:43.000]   you probably have heard my story,
[00:05:43.000 --> 00:05:46.000]   how I struggled in uni and in seminary.
[00:05:46.000 --> 00:05:47.000]   I struggled a lot, actually.
[00:05:47.000 --> 00:05:49.000]   I had a little bit of depressive symptoms,
[00:05:49.000 --> 00:05:52.000]   and I was actively seeing a counselor back then.
[00:05:52.000 --> 00:05:54.000]   I remember every time I sat in her office,
[00:05:54.000 --> 00:05:56.000]   we would just talk about things in my life,
[00:05:56.000 --> 00:05:58.000]   how I'm doing.
[00:05:58.000 --> 00:06:02.000]   But then I felt I was always constantly
[00:06:02.000 --> 00:06:06.000]   trying to connect all the things I'm going through,
[00:06:06.000 --> 00:06:09.000]   all my troubles, all my problems,
[00:06:09.000 --> 00:06:13.000]   to all the tragedy I had experienced when I was younger.
[00:06:13.000 --> 00:06:15.000]   I had always been trying to connect
[00:06:15.000 --> 00:06:20.000]   my current problems to my past circumstances.
[00:06:20.000 --> 00:06:21.000]   I've been trying to say, yeah,
[00:06:21.000 --> 00:06:24.000]   because I've been a three-year-old kid without my mom,
[00:06:24.000 --> 00:06:27.000]   and so I grew up this way, I was super insecure,
[00:06:27.000 --> 00:06:29.000]   and that's why I had this or that kind of problem.
[00:06:29.000 --> 00:06:33.000]   And I felt like I've been trying to prove myself,
[00:06:33.000 --> 00:06:37.000]   or I've been trying to convince her, my counselor,
[00:06:37.000 --> 00:06:39.000]   that in everything that happened,
[00:06:39.000 --> 00:06:41.000]   I'm just a victim here.
[00:06:41.000 --> 00:06:45.000]   I don't know if you've ever felt that in you before,
[00:06:45.000 --> 00:06:47.000]   that you have to try and explain yourself
[00:06:47.000 --> 00:06:52.000]   to prove or to show people that you are indeed a victim.
[00:06:52.000 --> 00:06:55.000]   I've been trying to tell myself, to show myself,
[00:06:55.000 --> 00:06:57.000]   and to show my counselor,
[00:06:57.000 --> 00:07:01.000]   I was trying to make her agree with me
[00:07:01.000 --> 00:07:02.000]   so that she would acknowledge,
[00:07:02.000 --> 00:07:04.000]   "Yes, Chapman, none of this is your fault.
[00:07:04.000 --> 00:07:07.000]   "You're just a victim, you lost your mom when you were young,
[00:07:07.000 --> 00:07:09.000]   "so that's why you're going through all this."
[00:07:09.000 --> 00:07:13.000]   I was trying to convince her and convince myself that.
[00:07:13.000 --> 00:07:15.000]   Because after a while, I realized
[00:07:15.000 --> 00:07:18.000]   I was not the only one having this kind of urge
[00:07:18.000 --> 00:07:21.000]   to show or prove that I'm a victim.
[00:07:21.000 --> 00:07:24.000]   Psychologists, they actually research on this,
[00:07:24.000 --> 00:07:30.000]   and they call this the victim mentality.
[00:07:30.000 --> 00:07:33.000]   Victim mentality is a learned psychological response
[00:07:33.000 --> 00:07:37.000]   rooted in this idea called learned helplessness,
[00:07:37.000 --> 00:07:41.000]   where individuals feel trapped in cycles of perceived victimhood,
[00:07:41.000 --> 00:07:44.000]   hindering their ability to move forward.
[00:07:44.000 --> 00:07:47.000]   Rather than being an inherent personality trait,
