
[00:00:00.000 --> 00:00:02.360]  謝謝Ivan,我們先給Ivan掌聲
[00:00:02.360 --> 00:00:07.400]  真的冷,這個星期涼了,大家覺不覺得
[00:00:07.400 --> 00:00:11.720]  終於去到一些我比較喜歡的香港天氣
[00:00:11.720 --> 00:00:14.640]  很多一個地步,我記得那晚應該是星期三晚
[00:00:14.640 --> 00:00:16.520]  Alpha我們在這裡,完了之後
[00:00:16.520 --> 00:00:20.280]  我正在走去搭巴士,嘩,今天的天氣這麼舒服
[00:00:20.280 --> 00:00:23.480]  我忍不住去到一個地步,我們立刻走到巴士站
[00:00:23.480 --> 00:00:26.360]  拍了一張照片打卡,放上IG的Story
[00:00:26.360 --> 00:00:29.400]  嘩,今天的天氣真的很舒服,真的很涼爽
[00:00:29.400 --> 00:00:31.520]  很久沒有試過這樣的感覺
[00:00:31.520 --> 00:00:35.360]  因為如果你一直去追蹤新聞,不同的東西的話
[00:00:35.360 --> 00:00:40.040]  你可能會一直有一段時間你經常聽到一句說話
[00:00:40.040 --> 00:00:43.160]  類似就是天文台錄得最高氣溫多少多少度
[00:00:43.160 --> 00:00:45.280]  是有紀錄以來的,不知道什麼最高
[00:00:45.280 --> 00:00:47.360]  我們去看一下後面的新聞
[00:00:47.360 --> 00:00:50.240]  當我開始去搜尋這些新聞的時候
[00:00:50.240 --> 00:00:51.600]  我一開始是搜尋今年
[00:00:51.600 --> 00:00:54.720]  因為我看到今年的35.7度中秋節
[00:00:54.720 --> 00:00:56.800]  是有紀錄以來香港最熱的中秋節
[00:00:56.800 --> 00:00:59.080]  但是當我一直搜尋下去的時候
[00:00:59.080 --> 00:01:03.360]  我發現原來上年的中秋節那裡寫著2023年
[00:01:03.360 --> 00:01:09.520]  2023年的中秋節也是直到上年為止最熱的一個中秋節
[00:01:09.520 --> 00:01:11.280]  然後我再繼續看的時候
[00:01:11.280 --> 00:01:15.920]  看回2019年原來也是那時候有史以來最熱的中秋節
[00:01:15.920 --> 00:01:19.240]  就是說我們在過去五年裡面最熱的中秋節
[00:01:19.240 --> 00:01:20.880]  這個紀錄打破了三次
[00:01:20.880 --> 00:01:26.600]  我知道在這個世界上有些地方還有人在
[00:01:26.600 --> 00:01:31.280]  有些對於是不是真的有全球暖化這個議題
[00:01:31.280 --> 00:01:32.960]  有些人是表達不認同
[00:01:32.960 --> 00:01:35.040]  還有爭論的,我明白的
[00:01:35.040 --> 00:01:38.520]  不過每一次當我有時候坐在家裡不開冷氣
[00:01:38.520 --> 00:01:40.680]  好像以前的台長那樣
[00:01:40.680 --> 00:01:41.840]  試一下不開冷氣
[00:01:41.840 --> 00:01:44.000]  或者我知道我走出街
[00:01:44.000 --> 00:01:47.800]  我就覺得全球暖化應該是真的,是不是
