
[00:00:00.000 --> 00:00:01.560]   Thank you, Carla.
[00:00:01.560 --> 00:00:03.080]   Good morning, church.
[00:00:03.080 --> 00:00:04.100]   >> Good morning. >> Good morning.
[00:00:04.100 --> 00:00:06.300]   Good morning, those who are joining online.
[00:00:06.300 --> 00:00:08.800]   So it's a great privilege to,
[00:00:08.800 --> 00:00:11.440]   we can open the word together this morning.
[00:00:11.440 --> 00:00:13.560]   So as Carla said just now,
[00:00:13.560 --> 00:00:18.560]   Pastor Andrew opened us a new sermon series on public faith.
[00:00:18.560 --> 00:00:23.080]   He asked us a question on what should a Christian do
[00:00:23.080 --> 00:00:26.320]   when the world has gone crazy?
[00:00:26.320 --> 00:00:28.640]   So I think this is something that we are,
[00:00:28.640 --> 00:00:31.200]   I'm still wrestling with that
[00:00:31.200 --> 00:00:33.320]   since last week hearing this word.
[00:00:33.320 --> 00:00:36.480]   And he also showed us that we are actually
[00:00:36.480 --> 00:00:39.600]   called to be sought and liked,
[00:00:39.600 --> 00:00:41.720]   to live out our faith publicly,
[00:00:41.720 --> 00:00:46.720]   to we feel the love of Jesus for the world.
[00:00:46.720 --> 00:00:49.040]   And today, we're going to look at
[00:00:49.040 --> 00:00:52.320]   a very important aspect of our life.
[00:00:52.320 --> 00:00:53.400]   In fact, the coming weeks,
[00:00:53.400 --> 00:00:56.760]   we will be looking into different areas of our life.
[00:00:56.760 --> 00:01:00.600]   But today, we will focus on our work.
[00:01:00.600 --> 00:01:02.960]   So I believe most of us here
[00:01:02.960 --> 00:01:07.960]   spend the most hours of our week in our workplace, right?
[00:01:07.960 --> 00:01:12.160]   And two weeks ago, Pastor John also preached
[00:01:12.160 --> 00:01:14.400]   on the topic of workplace.
[00:01:14.400 --> 00:01:18.360]   And he focused on the aspect of how we are called,
[00:01:18.360 --> 00:01:22.580]   or we are all called to witness Jesus in our workplace.
[00:01:22.580 --> 00:01:24.720]   And there's no such differentiation
[00:01:24.720 --> 00:01:27.040]   between sacred and secular.
[00:01:27.040 --> 00:01:30.080]   And we are all called to evangelize.
[00:01:30.080 --> 00:01:33.520]   And he gave us some great tips on how to do that as well.
[00:01:33.520 --> 00:01:36.140]   So if you have missed the past two weeks,
[00:01:36.140 --> 00:01:38.220]   I would encourage you to go back to YouTube
[00:01:38.220 --> 00:01:39.720]   and catch up on that.
[00:01:39.720 --> 00:01:44.520]   But today, we will look into the workplace
[00:01:44.520 --> 00:01:47.400]   from a very different perspective.
[00:01:47.400 --> 00:01:52.040]   So we will look into how we live out our faith publicly
[00:01:52.040 --> 00:01:55.840]   when we are actually doing our work.
[00:01:55.840 --> 00:01:59.080]   So let's say we all work eight hours per day.
[00:01:59.080 --> 00:02:02.720]   So I'm sure that we don't spend eight hours per day
[00:02:02.720 --> 00:02:04.480]   to evangelize, right?
[00:02:04.480 --> 00:02:09.620]   I would be worried if you do, unless you're a missionary.
[00:02:09.620 --> 00:02:11.900]   So just to say like, what,
[00:02:11.900 --> 00:02:14.200]   how do we live out our faith publicly
[00:02:14.200 --> 00:02:16.680]   when we are actually working,
[00:02:16.680 --> 00:02:19.520]   when we're actually doing our eight hour work
[00:02:19.520 --> 00:02:21.000]   during our day?
[00:02:21.000 --> 00:02:25.680]   As important as it is to evangelize in our workplace
[00:02:25.680 --> 00:02:27.280]   and to pray for our colleagues,
[00:02:27.280 --> 00:02:32.140]   this is not the only way to express our faith publicly.
[00:02:32.140 --> 00:02:38.640]   So last week, Pastor Andrew emphasized on that,
[00:02:38.640 --> 00:02:41.720]   like being public about our faith
[00:02:41.720 --> 00:02:45.180]   can be reflected in our lifestyles,
[00:02:46.360 --> 00:02:51.360]   where our life can reflect the values,
[00:02:51.360 --> 00:02:55.760]   the behavior, and the character of Jesus.
[00:02:55.760 --> 00:02:59.040]   Can be shown in our choices we make each day,
[00:02:59.040 --> 00:03:02.480]   in our habits, in our character,
[00:03:02.480 --> 00:03:06.980]   in how we think, in how we use our resources.
[00:03:06.980 --> 00:03:10.920]   So these can be reflected
[00:03:10.920 --> 00:03:13.460]   in how we work in our workplace as well.
[00:03:15.120 --> 00:03:17.600]   So how do we make our faith public
[00:03:17.600 --> 00:03:21.200]   when we are actually doing our daily work?
[00:03:21.200 --> 00:03:24.400]   How can we demonstrate our values as Christians
[00:03:24.400 --> 00:03:25.860]   when we are working?
[00:03:25.860 --> 00:03:31.860]   And how do we live as salt and light in the workplace,
[00:03:31.860 --> 00:03:35.640]   being a blessing to those who work alongside?
[00:03:35.640 --> 00:03:40.120]   So to answer these questions,
