
[00:00:00.000 --> 00:00:02.000]   What day is it? Goodness gracious.
[00:00:02.000 --> 00:00:05.000]   All right. Hope everybody had a good lunch.
[00:00:05.000 --> 00:00:09.000]   Well, not too good, hopefully, and then you fall asleep and all that kind of stuff, you know.
[00:00:09.000 --> 00:00:14.000]   But as you know, we've been walking through our sermon series in this season.
[00:00:14.000 --> 00:00:16.000]   We've been calling Public Faith.
[00:00:16.000 --> 00:00:22.000]   And in this Public Faith series, we've been exploring different areas of our lives, right?
[00:00:22.000 --> 00:00:27.000]   Where we are applying the idea of how do we present our faith more publicly?
[00:00:27.000 --> 00:00:34.000]   How do we live more genuine lives of faith in the different parts of our everyday life?
[00:00:34.000 --> 00:00:36.000]   So we've talked about parenting. We talked about ambition.
[00:00:36.000 --> 00:00:41.000]   We talked about the workplace. And today we're talking about relationships.
[00:00:41.000 --> 00:00:44.000]   That's the theme for today. Relationships.
[00:00:44.000 --> 00:00:51.000]   Now, most of us here have probably got some sort of social media platform or following and stuff like that.
[00:00:51.000 --> 00:00:54.000]   You know, we stroll through Instagram. It's quite common thing to do.
[00:00:54.000 --> 00:01:04.000]   But can you remember the very first, you know, what was your first interaction with social media like way back in the day?
[00:01:04.000 --> 00:01:08.000]   I remember back when we still had dial-up Internet.
[00:01:08.000 --> 00:01:14.000]   You remember dial-up Internet where you log on the modem and go.
[00:01:14.000 --> 00:01:18.000]   And then it sounds like you're trying to drown a cat when trying to log on to the World Wide Web.
[00:01:18.000 --> 00:01:23.000]   And then you have to pray really hard that as you online, nobody would call the home phone.
[00:01:23.000 --> 00:01:27.000]   Because then it would cut off the Internet and you have to start reading all over again.
[00:01:27.000 --> 00:01:33.000]   And so when I, you know, when I was first discovering the Internet, there was two things that I would often do on the Internet.
[00:01:33.000 --> 00:01:37.000]   First was visit. There's this very interesting site called LimeWire.
[00:01:37.000 --> 00:01:41.000]   Right. You guys remember LimeWire. Right. OK. Right.
[00:01:41.000 --> 00:01:46.000]   If you do, it might not be reflected well on you because LimeWire was where you could get free music.
[00:01:46.000 --> 00:01:51.000]   OK. We'll just leave it at that. OK. It wasn't really free. Probably the safest way to describe that, though.
[00:01:51.000 --> 00:01:59.000]   But the next place I would log on to, there was there was a platform there which is probably familiar to you guys.
[00:01:59.000 --> 00:02:03.000]   Actually, if you heard the sound, you might recognize it straight away.
[00:02:03.000 --> 00:02:07.000]   If we could play that sound, please recognize what that is. Oh, right.
[00:02:07.000 --> 00:02:13.000]   There's somebody, you know, right. I see Q. OK. One of the first social media platforms.
[00:02:13.000 --> 00:02:17.000]   If you're millennial in this place today. Right. You probably will remember that.
[00:02:17.000 --> 00:02:22.000]   So every time I hear that noise, I'm taken back. Oh, yeah. Thank you.
[00:02:22.000 --> 00:02:28.000]   Oh, nostalgia. OK. Every time I hear that, I'm taken back to a preteen Ellison.
[00:02:28.000 --> 00:02:32.000]   OK. I'm sitting in the living room of my house. I was the only place with a computer.
[00:02:32.000 --> 00:02:36.000]   Right. In the living room. Right. The monitors that as big as a refrigerator.
[00:02:36.000 --> 00:02:42.000]   Right. This huge box on top of the on top of the desk. And I would log on to I.C.Q.
